titles,descriptions,genres,links
The Demonic Ancestor who Desired Supremacy,"Yin Li was born with a pure Yin body. He possessed the body of a male but the fate of a female, his Yin and Yan energies fully inverted. Because of this, his family’s old ancestors claimed he wouldn’t be able to live past twenty years of age.To prolong his life, his parents fostered a furnace whose energy he could harvest to nurture his own.
As Yin Li looked at the frail and delicately charming boy in front of him, he felt his heart stir with compassion.
The Heavenly Path is carried through reincarnation, life and death are decided by fate.
He couldn’t simply ruin this pitiful child for the sake of his own selfish interests. Instead, he kept the small boy at his side, spoiling him and raising him as his trusted aide.
He truly believed they shared a master and servant’s pure and honest affection, not at all realizing that that wicked boy had been rotten from the start. The delicately charming small boy who was spoiled day and night only ever thought about two things:
1. Why hasn’t master bestowed his favour on me yet?
2. Just how can I climb into master’s bed?","['Adventure', 'Fantasy', 'Gender Bender', 'School Life', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/the-demonic-ancestor-who-desired-supremacy/
Living As the Villainess Queen,"‘I want to travel to a place unknown to the many…’It was a passing wish to the weary and tired Eugene and she’d not think it’d ever come to pass… but it did.
She opened her eyes and found she was sent to a novel-like world she wrote in passing and became Jin Anika, the scorned queen notorious for her ruthlessness and undeserving of her status.
Queen Jin only sought and desired to see the destruction of this world — the villainess who met her untimely and miserable end at the hands of her husband, Kasser, the reigning king of the Fourth Kingdom.
While struggling to survive in the unknown world, King Kasser visited Eugene and demanded that a contract be fulfilled and come to fruition.
“Three years ago, we made a deal.”
It turns out the Queen was under a contractual marriage with King Kasser. The ultimate price? To bear him a child.
“A… a child?”
“Yes, my successor.”","['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/living-as-the-villainess-queen/
The Tyrant’s Last Doll,"I was reincarnated into a bloody novel famous for its bad ending!I’m even the last “doll” of the tyrant Emperor, who is suffering from insomnia due to his severe trauma?
I must survive his grasp until the original heroine appears a year later to save the tyrant.
But he’s starting to obsess over me, while I’m thinking about running away to safety?
Even the heroine who appeared earlier than expected is suspicious!
‘Then what about my grand plan to leave the tyrant to the heroine and run away?’
Will I be able to survive safely?
***
“Who are you.”
The hairs on my whole body stood up. It was as if a hungry black panther was making a threatening sound.
“I must have told you not to let anyone in.”
I saw golden eyes that seemed to be made by melted honey between scattered black hair.
I was suffocated when I met with those fascinating, but young eyes.
‘You’re not gonna kill me if I make eye contact with you, are you?’
He came close to me while I was distracted for a moment.
‘What just happened?’
I was suffocated as soon as I was surprised.
It was because the emperor, who came closer to me in no time, grabbed my waist and lifted me into the air.
‘Well, at this rate, I’m going to die right now, let alone three years of dawn!’
The golden eyes that entranced me shook slightly.
A moment passed, and a husky and low voice flowed through his red lips.
“Lily… … Ana?”
“Lilly… do you know?”
That was the name of the original heroine.
And it was the moment that I officially became a tyrant’s doll.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",https://www.novelupdates.com/series/the-tyrants-last-doll/
"Train Elementary Level Spell, Magic Arrow to the Absolute Limit ~The Exiled Noble Student Not Giving up, Train to Become the Strongest~","Albert, who had learned the beginner-level spell Magic Arrow at a very young age, was expected to do great things in the future. However, he was unable to learn any other spells.Albert’s father was a noble who heavily valued his dignity, so he banished his good-for-nothing son and granted him a house to stay in. There, Albert would live out more than ten years reading Magic Arrow spellbooks.  
After day after day of practice, he would unknowingly break the limit of his spell. 
To a young lady despairing that she would miss her exam, Albert would say:
“I’ll take you there with Magic Arrow.”
“How are you gonna do that using a spell with a firing range of 50 meters?”
This is the story of a man pushing through hardships using his dysfunctional spell and eventually becoming the strongest magician⁠—all while convinced that his Magic Arrow is only slightly stronger than most.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/train-elementary-level-spell-magic-arrow-to-the-absolute-limit-the-exiled-noble-student-not-giving-up-train-to-become-the-strongest/
He Is Obsessed With Me After I Saved Him,"I met a male protagonist who is exploding with descriptions of his work.There are two options.
Number one, ignore and get killed like a dog.
Number 2 is a bit of a method, but it is provided with a dense touch.
Whew, there’s nothing we can do. I don’t want to, but I didn’t want to die at all.
I approached him crying while eating mustard.
“I’m telling you in advance, don’t get me wrong.”
“I’m not interested in you.” And I kissed him.
“Take responsibility now. It cannot be if it’s not you.” Unintentionally, I got the male lead.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Mecha', 'Mystery', 'Sci-fi', 'Seinen', 'Supernatural']",https://www.novelupdates.com/series/he-is-obsessed-with-me-after-i-saved-him/
Omake no Tensei-sha,"Aihara Runa was a person who has been living in hell of misfortune. Someday she found herself in a strange stage, apparently her soul was reaped without permission and sold at an auction to gods from another world along with her 28 classmates. But there was a trouble, it seems that Aihara’s soul was extremly smelly and stink. Instead of getting a buyer, she was thrown away and get her soul in danger of dissappeared.    However, when her soul was about dissappear, she met an unnamed goddess who claimed herself as a god’s vessel. The goddess said that she can help Aihara to get reincarnated but with one condition, that is to bring her along and get reincarnated together. Aihara who was about dissappeared accepted the goddess condition and got reincarnated successfully as Emmy. But apparently, the hard life still continued even after reincarnated too….. .
If there’s no food then let’s get some bugs!!! Let’s just enjoy this hardlife together with reliable partner [Omake-sama] inside my head and have fun instead.
   As Emmy managed to survive while watching and getting involved in the events of another cheat reincarnators, she grew into an irregular. This is a story about Emmy, a soul who managed to survive from disposal by gods. However, she doesn’t know that her reincarnation did not listed in fate’ archive and unconsciously broke the gods’ scenario one after another.","['Adult', 'Comedy', 'Fantasy', 'Mature', 'Romance', 'Smut']",https://www.novelupdates.com/series/omake-no-tensei-sha/
I’m Really Not The Demon God’s Lackey,"Lin Jie, a transmigrator, is the owner of a bookstore in another world.He’s kind and warm-hearted, often recommending healing books to customers who are going through a tough time. From time to time, he secretly promotes his own work too. 
Over time, these customers begin to respect him greatly, some even frequently bringing local specialties to repay his favor. They often seek his professional opinion when it comes to selecting books, and share their experiences with this ordinary bookstore owner to people around them.
They respectfully and intimately refer to him using names such as the “Demon God’s Lackey”, “Propagator of the Flesh and Blood Gospel”, “ ‘Corpse Devouring Sect’s Rites and Customs’ Author” and “Shepherd of the Stars”.
?!","['Action', 'Fantasy', 'Romance', 'Shoujo Ai']",https://www.novelupdates.com/series/im-really-not-the-demon-gods-lackey/
I Became the Young Villain’s Sister-In-Law,"After possessing an extra with amnesia, I accidentally saved a child, but he was a villain.
...Huh?The villain had an older brother who died because of the curse of a fairy. He’s the reason for the villain’s darkening.
Poor brothers. If I ever met the fairy, I would give it some beating up, unfortunately, I’m just an extra…
“Ellia?”
Wait… So that fairy is me?
***
To be able to go to the place where the key to solve the curse is, I just have to get married, so I had no choice but to get married to his older brother. 
I don’t know how to solve the curse due to amnesia. That’s why I was going to help solve the curse and ask for help, but somehow…
“You make me live. When I touch you, all the senses that disappeared because of the curse return.”
Is the emotionless man who only cared about his younger brother smiling affectionately at me?
“Brother is an idiot! How can you let Ellia go? I hate you, Brother!”
To think that the relationship between the best brothers in the world splits?!
“The Grand Duke’s Castle without Ellia is so scary. Please don’t get a divorce from Brother.”
“Can‘t you remain… to be my wife?”
I was politely driven to the wedge.
Wow, what should I do with this?","['Adventure', 'Fantasy']",https://www.novelupdates.com/series/i-became-the-young-villains-sister-in-law/
Suppressing the Protagonist in the Start to Seize the Heroine,"When Su Lin transmigrated into a Rebirth novel, he found himself playing the role of a villain.He then came to know that Ye Feng, the Protagonist, will be reborn in three days and he began to alter the plot, leaving the reborn Ye Feng dumbfounded. 
Goddess Bai Yueguang’s attitude towards him has now changed. 
Even his childhood sweetheart began to treat him coldly. 
The reborn Ye Feng who intended to reach the pinnacle of his life, would never have expected he’d sink into oblivion. 
On the other hand, Su Lin, who was well-versed of the plot of the world and the cliches that are bound to it used them to his advantage, and flourished.
His story had become much more interesting.
The one who had been reborn, the supreme medical saint who had come from the mountains, the one who had returned from the military, and many more Protagonists were all dealt by Su Lin, and thus he had become a legend. ","['Comedy', 'Fantasy', 'Romance', 'Slice of Life', 'Smut', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/suppressing-the-protagonist-in-the-start-to-seize-the-heroine/
The Failed Swordsman Who Became the Strongest After Spamming the 100 Million Years Button,"There was a mysterious old man who approached the failed swordsman with the “100 million years button”. A magic button which can achieve the same effect as training for 100 million years if you push it.The failed swordsman who pushed the button had his doubts, but immediately felt tremendous power rising in his body. So he pushed the button many times.
However it was a cursed button. The moment it was pushed, he was confined to the 100 million years prison of time. The first 100 years were devoted solely to training. After 1000 years he had forgotten why he swung his sword. He stopped thinking completely after 10,000 years had passed. After 100 million years he became crippled and finally managed to return to the real world. At the same time losing all his memories from the past 100 million years, the only thing that remained were his sword techniques. “I can become stronger just by pressing the button!” or so he thought and pushed the button many times after that. Foolishly trapping himself in that 100 million years of hell each time.
As he continued this loop, he began to think “If I destroy this world, will I get out of here?” A few billion years later, he finally escaped from the loop.
This is the story of a failed swordsman trying to make a name for himself in the world.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Shounen']",https://www.novelupdates.com/series/the-failed-swordsman-who-became-the-strongest-after-spamming-the-100-million-years-button/
Harry Potter: Dark Alchemy,"Ming, an ordinary boy, who accidentally obtained the crossing system and came to the world of Harry Potter, he was thinking of, thought that he could punch and kick Tom Devil with the golden fingers of the system. But I didn’t expect that this is really just a ‘travelling’ system! You can only travel through co-authors!","['Action', 'Fantasy', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/harry-potter-dark-alchemy/
The Strategy of Walkthrough,"After encountering a system which told her that she could fulfill her long-cherished wish to become a human, the money jar spirit Su Ci sets out on a journey to conquer the male god and cheat him out of his fortune.The campus male god drops his eyes and whispers, ""Xiao Ci, you are so sweet, I really want to take you into my mouth.""
The dark emperor's eyes were like cold stars: ""If you look at him one more time, I will gouge out that man's eyes."" 
The sickly brother smiled gently: ""Ah, pull me into hell, completely dirty me, you will only belong to me sister Lord...""
After various male gods pestered her:
Su Ci grabbed the corner of the male gods clothes, with a soft sweet voice: ""Begging you to let go...""
Male God: ""Little Ci, give me a kiss and hug and you will be spared.""
Su Ci fell softly into the arms of her male gods, her back sore: ""Big liar!""","['Action', 'Adventure', 'Fantasy', 'School Life']",https://www.novelupdates.com/series/the-strategy-of-walkthrough/
Monster Apartment,"Gu Bai carried his drawing board and moved into an incredible apartment building.He found that the Queen of Toutiao lived on his left, and the veteran celebrity lived on his right. He went out to take an elevator, a supermodel stood on his left, and a gold lawyer on his right.
Across the door lives a financial crocodile who is often scanned in financial magazines.
Many years later, the reporter of S City Daily had the honor to interview Mr. Gu Bai, the famous muralist and lover of the financial crocodile Si Yiming.
“Excuse me, Mr. Gu, what is your biggest gain from this experience of freely falling in love and getting married with Si Dong?”
Gu Bai thought for a while, and replied, “Save the world.”","['Comedy', 'Shounen Ai']",https://www.novelupdates.com/series/monster-apartment/
I’m A Cool Salted Fish In The Entertainment Industry,"You Qiuqiu transmigrated into a book and became a cool female N number in the entertainment circle. The position is the supporting role that has no name.In this world where people are struggling to get to the top and become a frequent visitor of hot search, looking at everyone around her who is full of ambitions, You Qiuqiu has no fluctuations in her heart and just wants to be a salted fish.
But even if she is a salted fish, in order to become a salted fish with a high quality of life, she is being forced to do business for money.
You Qiuqiu: Paralyzed Salted fish jpg.
So the audience saw this scene –
You Qiuqiu sits in the shady place with her little stick in the variety show while cheering for the guests who have a hard time playing the game with their hideous faces.
Other female stars show off their eighteen martial arts in the live broadcast room to sing and dance. The worst thing was to remove makeup from the live broadcast. You Qiuqiu took out five takeaways.
Today I’m going to show you a live broadcast of fried chicken, kebabs, ice cream, crayfish, and doughnuts.
Audience: “…”
When You Qiuqiu was photographed at the awards ceremony, a handsome man and beautiful woman were sitting dignified around her, but she was sleeping with her mouth open.
You Qiuqiu thinks she is most likely demand to cool down.
She just took a nap! How could she be photographed! So angry!
Then…let’s calm down. The salted fish didn’t want to waste too much brain cells. When she was forced to do business, she still has some money. There are two apartments in the city center, enough to be a charter wife.
Who knows, she is on fire.
Frequent searchers and ranked among the top.
Thousands of fans are crying and shouting, Qiuqiu, you are the cutest cub in the world, completely different from those coquettish bastards outside. MaMa (BaBa) loves you!
You Qiuqiu:???
Give it a go. The salted fish becomes a koi?","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/im-a-cool-salted-fish-in-the-entertainment-industry/
Half-elves Fall in Love,"The spring fountain town of miracle that heals anything, Polka. In the hometown of memories, with my dear parents, there was a figure of a half-elf girl who swore to become my female s*ave.Repeating such a memorable talk every time he drinks alcohol, 25 years old Andy Smeyson is a former blacksmith’s apprentice and an innocent crossbow soldier. Andy is surrounded by nice companions and competent and sexy bosses, which is different from what he had thought when he was a child, but this was a cozy life. When the half-elf girl suddenly appeared in front of him, he will jump into a furious destiny. Andy, who is weak but courageous​ and clever will meet a lot of different race ladies such as elves, half elves, dark elves, loli dwarves, dragon girls, beast girls and make them his female s*aves one after another. The horny adventure started from a half elf girl who doesn’t stop liking him will eventually become a legend ──.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'School Life', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/half-elves-fall-in-love/
The Melancholy of the Demon Army Officer,"Раrоdу: Rаnсе ЅеrіеѕА humаn mаlе wаѕ bоrn durіng ЅЅ Еrа
Аѕ hе соntіnuеd tо ѕuffеr bесаuѕе оf thе ехіѕtеnсе оf Маоu аnd Мајіn, Маоu Ѕѕulаl арреаrеd bеfоrе hіm, аnd turnеd hіm іntо аn ехtrаоrdіnаrу ехіѕtеnсе. 
Whеn hе thоught hе wаѕ fіnаllу frееd frоm hіѕ ѕuffеrіng, hе wаѕ hаvіng а hаrd tіmе bесаuѕе thе mајіnѕ wеrе quіrkу іn thеіr rеѕресtіvе wауѕ.Іt wаѕ а ѕtоrу аbоut Мајіn. ","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/the-melancholy-of-the-demon-army-officer/
The Marquis’ Eldest Son’s Lascivious Story,"A Japanese salary man was reincarnated in a different world with swords and magic. He reincarnated into the family of a powerful noble. One day when he became twelve years old, he was suddenly summoned by his father.「 I do not mind whether it is a woman in the town or a maid in our house, learn about women.」
Having gained the permission of his father, he uses his power as a noble to have his way with women.","['Action', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance']",https://www.novelupdates.com/series/the-marquis-eldest-sons-lascivious-story/
History at the Library,"Perdi, known widely throughout the continent, is a very famous author of adult novels. But Perdi’s true identity is actually Vivian, the Imperial Night Librarian.Vivian sends over the fourth draft of her latest novel to her publisher to be reviewed, but her work is criticized because the way she writes hetero s*x scenes isn’t erot*c at all.
“What? So you’re saying I’ll only know what sexual relationships are like after I experience it myself? But what can I do when I’m bound to a chastity contract?”
Unfortunately for Vivian, she had to sign a chastity contract in order to be hired as an imperial servant, and has been forced to remain a virgin ever since. Worse still, only a member of the imperial family could break the contract ... but Vivian only has eyes for Ray, a mysterious man who visits the library every night.
But as it turns out, Ray is the imperial archduke and the emperor’s brother! One day, he approaches her with a sweet offer that she can’t resist ...","['Action', 'Adventure', 'Fantasy', 'Horror', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/history-at-the-library/
Disciple of Immortal,"The so called 『Enjoy the Human Lives Show Humans Sent to Another World With a Cheat』was trending amongst the Gods. Kanbara Kanata, one of the chosen humans ended up incurring the Evil God’s wrath and as a result, was sent to the worst dungeon,《Cocytus》. But, in a place where he was supposed to lose his life, he met Lunaère, a self-proclaimed misanthropic immortal girl. He was saved by her, who then decided to train him ’till he could at least protect himself.「Master, I think… I’ve become strong enough.」
「It’s Not enough! Erm, outside of this dungeon is a dangerous place you know!」
「Seriously!? More dangerous than this place…」
This is the story of Kanata who was trained by his master, who easily succumbed to loneliness, till he became the greatest hero of legend, and yet was unaware of it.","['Action', 'Fantasy', 'Martial Arts', 'School Life', 'Sci-fi', 'Supernatural']",https://www.novelupdates.com/series/disciple-of-immortal/
The First Evolution,"The strangest fate, the most exciting mind games, the cruelest survival battle, the craziest fantasy, the most bizarre truth… The first is here to battle for another ten years!","['Action', 'Adventure', 'Fantasy']",https://www.novelupdates.com/series/the-first-evolution/
The Villain Family’s New Daughter-In-Law,"Luciel is a [Crystal Fairy].  Someone who can create jewelry when she feels strong emotions.
She died after being exploited and returned to the past!
'This time, I will never live like that.’
In order to avoid the worst future possible, she even proposed a contract marriage to the Empire's top villain family.
But something became weird. The start of this relationship was definitely temporary.
""How about becoming my daughter instead of a daughter-in-law?""
""I always wish I had a granddaughter, this is just perfect.""
""When I grow up, I will marry my sister-in-law.""
How come they are doing this to me when they were said to be villians?
Besides...
""Whether it's a jewel or a flower, it doesn't matter to me what you make.""
The reaper of Bellstein.
The man who was in ruins in her past life said so with a fresh smile on his young face.
""If you get out of my sight, I'll chase you to the end, Luciel.""","['Action', 'Adventure', 'Fantasy', 'Harem', 'Seinen']",https://www.novelupdates.com/series/the-villain-familys-new-daughter-in-law/
He Has a Sickness that Needs to be Cured,"Xi Ning was punished for something he did. As his punishment, he had to go into different worlds to complete missions, which includes fixing bugs that would cause the plot to shift.His mission targets include [a person that never existed in the original plot], [a supporting character who had suddenly had a breakdown], [the villain who suddenly killed the protagonist], etc. As a punishment for his wrongdoing, he was reborn into…
An omega young master who is suffering from [anorexia].
The emperor’s son who has [skin hunger].
A beautiful young vampire with [mania].
A little mermaid with [aphasia]
A forest elf suffering from [depression]
…
System: Host, good luck! You can do it!
Xi Ning: … 
Fortunately for him, there is a way to alleviate his illness. There is an “antidote” for him in each world. Xi Ning had always adhered to his principle of [a tool would be useless if it’s not used], but the direction of the plot suddenly took a twist…
——A delicate and graceful omega from a noble family tugged on his silent classmate who is from a poor family. He refused to let go and said, “I want to eat the meal you brought. You have to feed me.”
——The crown prince of the world of immortals descended from the Azure Dragon. One day, he suddenly brought back a low-level demon. With his eyes filled with glistening tears, he said to the low-level demon, “Can you hug me and stroke my dragon horns again?”
——A beautiful but dangerous vampire caught a sickly young man. He sniffed the beautiful pale neck of the young man in front of him and licked his fangs. He threatened the man, “If you don’t let me take a bite, I’ll kill you.”
——The little mermaid who disliked talking was abducted by a group of interstellar pirates. When he met the cruel and vicious pirate leader, he whined coquettishly, “Give me a bite of the cake and I’ll sing for you.”
——The beautiful elf, who symbolized peace and life, was depressed. He tightly embraced the infamous and wicked dark magician. The beautiful elf sobbed, “Please don’t go. I need you.”","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/he-has-a-sickness-that-needs-to-be-cured/
Ex Rank Supporting Role’s Replay in a Prestigious School,"Fantasy World When I cleared the final chapter of a game that was a national failure, I became an unnamed supporting character in it.A non-standard, unmeasurable, EX rank side character.","['Comedy', 'Fantasy', 'Slice of Life']",https://www.novelupdates.com/series/ex-rank-supporting-roles-replay-in-a-prestigious-school/
Adonis,"“You were my enemy who always defeated me, but you were also a pretty good companion.”“Shut up! What do you think will possibly change if you say that now after all this time?”
He, who was more like her than any other. That was why they were so fixated on only each other, why they were so madly obsessed about only each other.
The only difference between them was that one wholeheartedly wanted to have the other, while the other wholeheartedly wanted to defeat him.
This was the very reason why this catastrophe had happened despite that they were the other’s sole companion.
“This life is over. But in the next, I won’t be your enemy, but your knight.”
If there is a next life, I will offer up my sword to you.
A brightly burning flame was pathetically extinguished.
And so, Ianna Roberstein, a duchess of the Kingdom of Roanne and the strongest swordswoman on the continent, died at the hands of the Conqueror Arhad Roygen, the emperor of the Bahamut Empire.
‘But why am I alive?’","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Romance']",https://www.novelupdates.com/series/adonis/
Someday Will I Be The Greatest Alchemist?,"Iruma Takumi, a 40-year old salary man, was dragged into a hero summoning just like in a template. What was his fate? The Goddess sent him and the heroes to the other world separately.With the Goddess’ overprotective support, he landed in a different world looking handsome, rejuvenated, and quite different from a Japanese.
Although he wanted a slow life while working in the manufacturing trade, that was not permitted by the Goddess’ special body and abilities.
Would Takumi be able to live a peaceful life in a different world?","['Adventure', 'Fantasy', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/someday-will-i-be-the-greatest-alchemist/
I was Reincarnated as a Farmer’s Daughter who Grows Strange Vegetables,"“Let’s just pretend we never got engaged, Irene.”This didn’t happen during a ball or at the coming of age ceremony,
It happened in a garden.
In a small quaint farming village, surrounded by old agricultural machines rotted away by time–is where the engagement was ended.","['Adventure', 'Fantasy', 'Gender Bender', 'School Life', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/i-was-reincarnated-as-a-farmers-daughter-who-grows-strange-vegetables/
The Magician Kunon Sees Everything,"Sometimes all it takes is one word to change your whole life.Kunon Gurion was born blinded by the curse known as the ""Hero's Scar.""
Unable to see, or even see the meaning of life, he spent his childhood in apathy.
Then one day, a water emblem appears on his body, and it turns out he is capable of magic.
So what?
Regardless of whether he has magical power or able to use magic, the fact remains that he cannot see.
Kunon was still unable to see the meaning of life.
Though an unexpected comment that was not intended to be such awakened Kunon.","['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/the-magician-kunon-sees-everything/
I Became the Rich Second-Generation Villain,"Wang Haoran transmigrated into a parallel world of urban-genre novels and became a rich second-generation son. As a fated Villain, in the near future, the Protagonist will seize his beloved girlfriend and tens of billions of his family's property.Fortunately, the plot has yet to begin…","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",https://www.novelupdates.com/series/i-became-the-rich-second-generation-villain/
"The Demon King of the Frontier Life, Reincarnated to Become the Strongest Mage ~The Former Demon King Who Grows Up While Being Loved, Wants to Know Humans~ (LN)","In a certain frontier, there lived a mage known as ‘The Lone Demon King’.He was just a creature that never grew old, but he was loved by the villagers as something like a Guardian Deity.
However, he was destroyed by a magic organization that regarded his existence as dangerous.
200 years later, he was reincarnated as the second son of a noble family and had acquired the strongest magic power.
“…This time, I’ll pretend to be a human skillfully”
However, being a human lover, he didn’t particularly thought of revenge, but decided to master the pretense of being human in this life.
In his previous life, he was the Guardian Deity of a region, and in this life, he is a local noble, but he doesn’t know common sense. He doesn’t even know how to take it easy.
As the second son of a noble, he was loved by his family and friends, and while he was revered as a master of magic by the Magic Guild, he rose to become the ‘Immortal Mage’ behind the scenes.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/the-demon-king-of-the-frontier-life-reincarnated-to-become-the-strongest-mage-the-former-demon-king-who-grows-up-while-being-loved-wants-to-know-humans-ln/
My Doomsday Territory,"On doomsday, Tang Yu unexpectedly got the Lord of the End System, he remained very calm.Lack of experts? I will construct a pub so I can make ten draws in a row; 　　
Lack of food? I can’t be too cheap with the large pack full of food supplies sent from the market;
Lack of safety? Arrow Tower, Mage Tower Artillery and all kinds of automatic defence buildings. Having many isn’t too many;
Lack of equipment? Workshop production must produce high-quality items. Sir, would you like one? We are having a 20% discount special at nine!
…………　
In short, this is a story of Great Lord Tang building up his territory, attacking some monsters, and ripping off…… Cough, making some money at the same time.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Mecha', 'Mystery', 'Sci-fi', 'Seinen', 'Supernatural']",https://www.novelupdates.com/series/my-doomsday-territory/
The Reincarnated Heavy Knight Who Was Exiled After A Supposed Big Miss Is Unparalleled With His Game Knowledge,"“You good-for-nothing bastard.. You are the son of a Sword Saint, yet you dare pull such a defective Class!?”During the〈Divine Blessing Ceremony〉of the 15-year-old Elma who came from a lineage of Sword Saints, he had manifested a commonly deemed defective class known as the Heavy Knight. He had been deprived of his position as the next head of the Edvan Household and was then exiled. The Heavy Knight class had an unbalanced status and useless skills, to top it off, it was even said to be a class cowardly and indolent people have.
But, Elma knew better—that this world was the world of the game he had used to play before—and that the Heavy Knight class was the strongest class to exist. Elma made full use of the knowledge he had in his previous life and began his efficient walkthrough of the world he was reincarnated into.","['Adult', 'Comedy', 'Fantasy', 'Mature', 'Romance', 'Smut']",https://www.novelupdates.com/series/the-reincarnated-heavy-knight-who-was-exiled-after-a-supposed-big-miss-is-unparalleled-with-his-game-knowledge/
Moonlight Ball,"This was the ordeal of the wizard, Iris Elaine! At the same moment that she was about to suffer a mysterious death by a woman who came to her, Iris became possessed by her instead.Was I possessed by a queen? Am I a queen now?
The red-haired King Sidrain walked through the door. He strode along with a very unpleasant and irritated-looking face and growled as he grabbed Iris' wrist. Her eyes shot open in surprise, as he'd appeared unexpectedly in the middle of the night.
“I don't like doing this with you once a month,” he said through clenched teeth.
What does this mean? she thought, feeling panicked.
""But it's up to you and me to produce an heir. If you behave like last month, I'll make you suffer.""
What does that mean? 
“This is the only thing you do that's queenly anyway.”
What on earth is he talking about? She was at a loss for words.
“Well, let's make an heir, Your Majesty,” he said sarcastically.","['Action', 'Fantasy', 'Romance', 'Shoujo Ai']",https://www.novelupdates.com/series/moonlight-ball/
S-Class Dungeon’s Mistress,"Adelaide, a succubus who inherited an F-class dungeon along with its massive debt.In order to pay off the debt and avoid forfeiting an arm and a leg to Lucifer, she had no choice but to manage the dungeon.
She thought it was certainly impossible.
“Are you my master?”
“No, I’m just the master of this dungeon…”
“Yes, that’s right. If so, you’re my master.”
Somehow, she gained a perfect manager as soon as she arrived in the dungeon.
“Don’t touch that unsightly bastard. Eat me instead.”
Presenting oneself as nourishment was one of the greatest predatory demons in Devildom.
“I brought the prince’s neck as an offering to you.”
And offering her a legendary adventurer she didn’t even ask for.
Okay. If it has already come to this, then the goal is to become S-class!","['Adventure', 'Fantasy']",https://www.novelupdates.com/series/s-class-dungeons-mistress/
The Mightiest Hero of Black,"Shion, the ‘Hero of Darkness’. He was said to be the strongest hero ever. He believed one thing, and that was his current party members.“I’ll defeat the Demon Lord with this party!”
That is what he swore to do, but a tragedy occurs. He was painfully betrayed by the girls that he trusted.
He barely held onto his life, but the incident left a deep scar in his heart.
He gave up on living, and while he was wandering around in a forest, looking for a way to die, a single monster appeared in front of him.
“Will you kill me, please?”
The monster asked Shion, who was still strong, despite losing his powers.
What Shion, who wanted to die as well, did was―","['Comedy', 'Fantasy', 'Romance', 'Slice of Life', 'Smut', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/the-mightiest-hero-of-black/
"A Genius Boy Who Was Exiled From His Family Home for “Not Being Able To Use Magic” Becomes a Witch’s Apprentice and Masters All Magic in the Right Way. This Is How You Use Your Magic, You Know?","""You’re a failure, don’t ever cross my threshold again!"" In a country where magic is everything, especially in a kingdom where everything is determined by the ability of ‘bloodline magic’ that only nobles are born with. Hermes, who was born as the second son of a certain noble family, was found to be a “failure” with no bloodline magic despite his high magical talent, and was exiled from the family. Hermes was almost killed in the depths of his disappointment, but then he was picked up by Rose, a “witch” he met, who saw his talent and made him her apprentice. 
After five years of training, he returns to King’s Landing with the most powerful magic of all – the ability to recreate all magic – and learns all kinds of magic he never knew he could. He corrects the wrong thinking spreading in the kingdom, saves his childhood friends who suffer from magic, destroys the incompetent position of the bloodline magic-dependent people who banished him, and eventually makes a name for himself as the savior of the kingdom.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Shounen']",https://www.novelupdates.com/series/a-genius-boy-who-was-exiled-from-his-family-home-for-not-being-able-to-use-magic-becomes-a-witchs-apprentice-and-masters-all-magic-in-the-right-way-this-is-how-you-use-your-magic-you-know/
