Name,University,Difficulty Level,Link,About,Course Description
Machine Learning,Columbia University,Advanced,https://www.edx.org/course/machine-learning,Master the essentials of machine learning and algorithms to help improve learning from data without human intervention.,"Machine Learning is the basis for the most exciting careers in data analysis today. You’ll learn the models and methods and apply them to real world situations ranging from identifying trending news topics, to building recommendation engines, ranking sports teams and plotting the path of movie zombies.Major perspectives covered include:Topics include: classification and regression, clustering methods, sequential models, matrix factorization, topic modeling and model selection.Methods include: linear and logistic regression, support vector machines, tree classifiers, boosting, maximum likelihood and MAP inference, EM algorithm, hidden Markov models, Kalman filters, k-means, Gaussian mixture models, among others.In the first half of the course we will cover supervised learning techniques for regression and classification. In this framework, we possess an output or response that we wish to predict based on a set of inputs. We will discuss several fundamental methods for performing this task and algorithms for their optimization. Our approach will be more practically motivated, meaning we will fully develop a mathematical understanding of the respective algorithms, but we will only briefly touch on abstract learning theory.In the second half of the course we shift to unsupervised learning techniques. In these problems the end goal less clear-cut than predicting an output based on a corresponding input. We will cover three fundamental problems of unsupervised learning: data clustering, matrix factorization, and sequential models for order-dependent data. Some applications of these models include object recommendation and topic modeling. Computer Science"
Free Cash Flow Analysis,Columbia University,Beginner,https://www.edx.org/course/free-cash-flow-analysis,Learn how to use the free cash flow method for firm valuation and how to compute and project free cash flows.,"In this course, learners will begin to apply the lessons and concepts from Introduction to Corporate Finance as they begin to discuss basics of firm valuation.Follow Professor Wolfenzon's lead to learn how the free cash flow method is applied to value firms. You will also learn about valuation using multiples. Throughout the course, you will learn how to construct Excel models to value firms by completing hands on activities. Business & Management"
Lean Production,Technische Universität München,Beginner,https://www.edx.org/course/lean-production,"Learn how to apply key elements of Lean Production, from minimizing inventory and reducing setup times, to using 5S and Kaizen, in order to improve quality and productivity in your workplace.","Learn about Lean Management, a customer-centric methodology that improves processes by eliminating waste and focusing on value-added tasks.This course will introduce the main tenets of the Toyota Production System, which includes Just-in-Time manufacturing, quality management tools, and the critical concept of Kaizen, the Japanese practice of continuous improvement. You will also learn about the key organization and managerial approaches that are used in Lean.You will learn how to analyze process flows in order to establish process capacity and identify the process bottleneck. You will then calculate resource utilization and cycle time to evaluate the impact of set up times, batching, defects and reworks on key process performance measures, including inventory, flow rate and flow time.We will also discuss the impact of key concepts of Lean, including Heijunka, Kanban, Jidoka, Andon, Poka Yoke, and 5S, which help achieve increased productivity and quality.Upon successful completion of this program, learners will earn the TUM Lean and Six Sigma Yellow Belt certification, confirming mastery of Lean Six Sigma fundamentals to a Green Belt level. The material is based on the American Society for Quality (www.asq.org) Body of Knowledge up to a Green Belt Level. The Professional Certificate is designed as preparation for a Lean Six Sigma Green Belt exam. Business & Management"
Introduction to Algebra,SchoolYourself,Beginner,https://www.edx.org/course/introduction-to-algebra,"Solve equations, draw graphs, and play with quadratics in this interactive course!","We live in a world of numbers. You see them every day: on clocks, in the stock market, in sports, and all over the news. Algebra is all about figuring out the numbers you don't see. You might know how fast you can throw a ball, but can you use this number to determine how far you can throw it? You might keep track of stock prices, but how can you figure out how much money you've made (or lost) in the market? And you may already know how to tell time, but can you calculate at what times a clock's hour and minute hands are exactly aligned? With algebra, you can answer all of these questions, using the numbers you already know to solve for the unknown. Algebra is an essential tool for all of high school and college-level math, science, and engineering. So if you're starting out in one of these fields and you haven't yet mastered algebra, then this is the course for you! In this course, you'll be able to choose your own path within each lesson, and you can jump between lessons to quickly review earlier material. AlgebraX covers a standard curriculum in high school Algebra I, and CCSS (common core) alignment is indicated where applicable.Learn more about our High School and AP* Exam Preparation Courses Math"
"LaTeX for Students, Engineers, and Scientists",IITBombay,Beginner,https://www.edx.org/course/latex-for-students-engineers-and-scientists-2,"Explore a new way of writing and typesetting articles, books, papers, etc. using a document preparation system called LaTeX.","LaTeX, a document preparation system, is widely used for publishing in many scientific fields like mathematics, statistics, computer science, engineering, chemistry, physics, economics, linguistics, etc.. It is a powerful and open-source system that provides numerous facilities for automating typesetting of the document: i.e. structuring page layout, listing and auto-numbering of sections, tables, figures, generating a table of contents, managing cross-referencing, citing, and indexing. Unlike other WYSIWYG editors, the content is written in plain text along with appropriate commands, thus, allowing the user to concentrate on the content rather than the aesthetics (the way it looks). The TeX typesetting program which LaTeX uses, was designed such that anyone can create good quality material with less efforts. This course introduces the basic concepts of LaTeX. Participants taking this course will be able to create and design documents in LaTeX and presentations in Beamer with confidence. Engineering"
Leading With Effective Communication (Inclusive Leadership Training),Catalyst,Beginner,https://www.edx.org/course/leading-with-effective-communication-inclusive-lea,Develop communication skills that bring out the best in you — and in others.,"What does it take to inspire others, promote a novel idea, or even have a difficult conversation? How can you position yourself as a leader through inclusive communication? How do you know that the message you are intending to send is what is being received? Join Catalyst experts to explore this topic and the important role communication plays in inclusive leadership.All too often, we struggle to communicate effectively—particularly with others who are different from us in some way. This course will show you how the most effective communication utilizes the inclusive leadership mindset of Empowerment, Accountability, Courage, and Humility and guide you on how to use that mindset yourself. Through research and real-world examples, you will learn strategies to enhance your communication skills and approach. Topics will include understanding dialogue processes, debunking everyday communication myths, testing assumptions, listening, expressing yourself authentically, and communicating across differences. With short quizzes, compelling case studies, and engaging videos, you will develop knowledge in each section and share your experience with other learners.Throughout the course, you will create a plan of action to help apply the strategies learned in this course to your work and other parts of your life. Communication"
Anatomy: Musculoskeletal and Integumentary Systems,The University of Michigan,Beginner,https://www.edx.org/course/anatomy-musculoskeletal-and-integumentary-systems,"Learn about the integumentary system (skin, hair, nails, and glands), and how the bones, joints, and muscles of the musculoskeletal system function.","In this anatomy course, part of the Anatomy XSeries, you will learn how the components of the integumentary system help protect our body (epidermis, dermis, hair, nails, and glands), and how the musculoskeletal system (bones, joints, and skeletal muscles) protects and allows the body to move.You will engage with fascinating videos, lectures, and anatomical visual materials (illustrations and cadaveric images) to learn about these properties and functions. Biology & Life Sciences"
"Inglés empresarial: ventas, gestión y liderazgo",Universidades Anáhuac,Beginner,https://www.edx.org/course/ingles-empresarial-para-venta-gestion-y-liderazgo-de-equipos,Este curso en línea te permitirá aprender inglés y tener una inmersión del idioma en los negocios para sobresalir en tu carrera profesional.,"Conviértete en un ciudadano global y obtén las habilidades necesarias para lograr sobresalir en tu lugar actual de trabajo o poder alcanzar el siguiente paso al éxito laboral.Este curso de inglés en línea te brindará las habilidades lingüísticas y conversacionales básicas para el mundo de los negocios, lo que te permitirá comunicarte con jefes, colegas y personal en el trabajo de forma eficaz, tales como escuchar y analizar antes de hablar, plantear correctamente una presentación, dirigir una reunión o cerrar un trato.Obtén el entrenamiento profesional básico en inglés que siempre has deseado de la mano de profesionistas con experiencia en el campo laboral angloparlante y triunfa en tu lugar de trabajo, prepárate para internacionalizar tu negocio o enfrentarte al mundo globalizado gracias al uso de la terminología propia del mundo de los negocios.Logra aplicar tus conocimientos de forma proactiva, al mismo tiempo que recibes toda la enseñanza, motivación y herramientas necesarias para crecer profesionalmente con bases sólidas en este idioma, en un periodo conciso y práctico utilizando cualquier dispositivo móvil. Business & Management"
Business Strategy from Wharton: Competitive Advantage,The Wharton School of the University of Pennsylvania,Intermediate,https://www.edx.org/course/business-strategy-from-wharton-competitive-advan-2,Learn how to develop and execute strategies to gain competitive advantage and improve your position in the marketplace.,"Maintaining a competitive advantage takes more than great timing or a single solution. Sustainable advantage requires a well-designed and well-executed strategy. This course was created to give you the tools and frameworks you need to develop and execute a successful strategy.You’ll learn how to evaluate your own strategy, as well as how to locate sources of potential competitive advantage from a perspective that encompasses the internal, external, and dynamic fit of your strategy. You’ll also learn how to enhance your ability to assess the strategic impact of the moves of your competitors and how to maintain competitive advantage, understand the general drivers that create and sustain competitive advantage, and how to identify organizational barriers to change.By the end of this course, you’ll be able to assess and redesign your current strategy and develop plans for effective implementation to give your firm a competitive advantage. Business & Management"
"Six Sigma: Analyze, Improve, Control",Technische Universität München,Beginner,https://www.edx.org/course/six-sigma-analyze-improve-control,"Learn how to statistically analyze process data to determine the root cause and propose solutions for process problems, to implement quality management tools, such as 8D and the 5 Whys, and to understand the concept of Design for Six Sigma (DFSS).","Learn how to statistically analyze data with the Six Sigma methodology using inferential statistical techniques to determine confidence intervals and to test hypotheses based on sample data. You will also review cause and effect techniques for root cause analysis.You will learn how to perform correlation and regression analyses in order to confirm the root cause and understand how to improve your process and plan designed experiments.You will learn how to implement statistical process control using control charts and quality management tools, including the 8 Disciplines and the 5 Whys to reduce risk and manage process deviations.To complement the lectures, learners are provided with interactive exercises, which allow learners to see the statistics ""in action."" Learners then master statistical concepts by completing practice problems. These are then reinforced using interactive case studies, which illustrate the application of the statistics in quality improvement situations.Upon successful completion of this program, learners will earn the TUM Lean and Six Sigma Yellow Belt certification, confirming mastery of Lean Six Sigma fundamentals to a Green Belt level. The material is based on the American Society for Quality (www.asq.org) Body of Knowledge up to a Green Belt Level. The Professional Certificate is designed as preparation for a Lean Six Sigma Green Belt exam. Business & Management"
AP® Microeconomics,Massachusetts Institute of Technology,Beginner,https://www.edx.org/course/ap-microeconomics,An overview of Beginner microeconomics. Learn the key principles of economics and how to apply them to the real world - and the AP® exam!,"Want to learn how individuals and businesses make the decisions that drive our economy - and use those skills to ace the Microeconomics AP® exam? This is the course for you!This economics course is an introduction to basic microeconomic principles. You will learn how individuals make decisions ranging from what type of goods to buy to how many hours to work, and how firms make decisions ranging from how many workers to hire to what prices to charge. You will study how to evaluate economic outcomes from the perspective of efficiency and fairness, and discuss the proper role of the government in determining these outcomes.This course will cover all material that is required for the Microeconomics AP® exam. It will cover this material through a mix of intuitive explanations, real-world applications, and graphical and mathematical supplements that explore the content in more depth. By the end of the course, not only will you have an understanding of the most important principles of microeconomics, but you’ll be able to use these principles to better understand the workings of the real world around you!*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings. Economics & Finance"
Engineering Calculus and Differential Equations,University of Hong Kong,Beginner,https://www.edx.org/course/engineering-calculus-and-differential-equations,"Learn fundamental concepts of single-variable calculus and ordinary differential equations, as well as their applications in engineering fields. Apply mathematical skills to model and solve engineering problems.","How do electrical engineers find out all the currents and voltages in a network of connected components? How do civil engineers calculate the materials necessary to construct a curved dome over a new sports arena? How do space flight engineers launch an exploratory probe? If questions like these pique your interest, this course is for you! Calculus with differential equations is the universal language of engineers. In this course, “Engineering Calculus and Differential Equations,” we will introduce fundamental concepts of single-variable calculus and ordinary differential equations. We'll explore their applications in different engineering fields. In particular, you will learn how to apply mathematical skills to model and solve real engineering problems. This course will enable you to develop a more profound understanding of engineering concepts and enhance your skills in solving engineering problems. In other words, youwill be able to construct relatively simple models of change and deduce their consequences. By studying these, youwill learn how to monitor and even controla given system to do what you want it to do. Techniques widely used in engineering will be illustrated; such as Laplace transform for solving problems in vibrations and signal processing. We have designed animations and interactive visualizations to supplement complex mathematical theories and facilitate understanding of the dynamic nature of topics involving calculus. Math"
Linear Algebra - Foundations to Frontiers,The University of Texas at Austin,Intermediate,https://www.edx.org/course/linear-algebra-foundations-to-frontiers,Learn the mathematics behind linear algebra and link it to matrix software development.,"Linear Algebra: Foundations to Frontiers (LAFF) is packed full of challenging, rewarding material that is essential for mathematicians, engineers, scientists, and anyone working with large datasets. Students appreciate our unique approach to teaching linear algebra because:In this course, you will learn all the standard topics that are taught in typical undergraduate linear algebra courses all over the world, but using our unique method, you'll also get more! LAFF was developed following the syllabus of an Beginner linear algebra course at The University of Texas at Austin taught by Professor Robert van de Geijn, an expert on high performance linear algebra libraries. Through short videos, exercises, visualizations, and programming assignments, you will study Vector and Matrix Operations, Linear Transformations, Solving Systems of Equations, Vector Spaces, Linear Least-Squares, and Eigenvalues and Eigenvectors. In addition, you will get a glimpse of cutting edge research on the development of linear algebra libraries, which are used throughout computational science.MATLAB licenses will be made available to the participants free of charge for the duration of the course. To see what former learners have to say about the course, read reviews on coursetalk.We invite you to LAFF with us! Computer Science"
Effective Communication for Today's Leader,Tecnológico de Monterrey,Intermediate,https://www.edx.org/course/effective-communication-for-todays-leader,Identify and develop the most important communication skills: assertiveness and empathy.,"Interpersonal communication is one of the most important management skills: everyday we relate with our bosses, collaborators, customers and colleagues.Being a good communicator is synonym to being a good leader.Interpersonal and group communication helps us to create better business environments, and therefore, to have better results.Understand the importance of communication in people's lives and thus boost the improvement in our ability to effectively socialize.Identify the concept of communication to clarify its importance.Develop communication skills: assertiveness and empathy.Apply communication skills to performance feedback and achieve organizational objectives. Business & Management"
Electric Cars: Technology,Delft University of Technology,Intermediate,https://www.edx.org/course/electric-cars-technology,Get an in-depth understanding of the technology behind electric cars.,"Electric cars are more than a novel means of mobility. They have been recognized as an essential building block of the energy transition. Fulfilling their promise will imply a significant change in the technical, digital and social dimensions of transport and energy infrastructure. If you are interested in learning about the state-of-the-art technology behind electric cars, then this is the course for you! This course focuses on the technology behind electric cars. You will explore the working principle of electric vehicles, delve into the key roles played by motors and power electronics, learn about battery technology, EV charging, smart charging and about future trends in the development of electric cars. The course includes video lectures, presentations and exercises, which are all illustrated with real-world case studies from projects that were implemented in the Netherlands. This course was co-developed by Dutch Innovation Centre for Electric Road Transport (Dutch-INCERT) and TU Delft and is taught by experts from both the industry and academia, who share their knowledge and insights. Join the course and be prepared for the upcoming developments amid the transition to electric vehicles! Engineering"
Site Planning Online,Massachusetts Institute of Technology,Intermediate,https://www.edx.org/course/site-planning-online,"How to plan a site, its infrastructure and public spaces so that it is sustainable, supports human needs, compatible with its natural and man-made surroundings, adaptable and economically efficient. The course includes many examples of well planned sites.","Cities are built site by site. Site planning has been taught in urban planning, landscape architecture and architecture programs for over a century and continues to be a foundation course for those who aspire to plan the built environment. It is a required subject on licensing and certification programs for each of these disciplines. Mastering the art of site planning requires substantive knowledge, well-honed design skills, and familiarity with examples and prototypes of site organization. This course provides the perspectives of leading academics and practitioners on the important issues in preparing site plans. It offers a foundation of knowledge, and the opportunity to apply what is learned in preparing a site plan.How to analyze a site and imagine the possibilities for its use. How to create a program and a plan for a site. How to make choices about site infrastructure. Examples of well planned sites. Design"
Macroeconometric Forecasting,The International Monetary Fund,Intermediate,https://www.edx.org/course/macroeconometric-forecasting-2,Learn how to create and assess forecasting models to predict macroeconomic variables such as inflation and economic growth.,"In this macroeconomics course, you will learn to predict macroeconomic variables such as inflation, growth or consumption, and to create statistical models in economics and use them to predict responses to economic policy.You will learn from hands-on demonstrations of model-building, forecasting and policy analysis, using data sets from a wide variety of countries. Demonstrations and applications will be conducted using EViews —a popular software for estimating and simulating forecasting models on Windows. Free, temporary licenses for EViews will be made available for the duration of the course.Macroeconometric Forecasting is offered by the IMF with financial support from the Government of Japan. Economics & Finance"
Algorithms,IITBombay,Intermediate,https://www.edx.org/course/algorithms-2,Learn how to structure and use algorithms to solve real life problems.,"Algorithms power the biggest web companies and the most promising startups. Interviews at tech companies start with questions that probe for good algorithm thinking.In this computer science course, you will learn how to think about algorithms and create them using sorting techniques such as quick sort and merge sort, and searching algorithms, median finding, and order statistics.The course progresses with Numerical, String, and Geometric algorithms like Polynomial Multiplication, Matrix Operations, GCD, Pattern Matching, Subsequences, Sweep, and Convex Hull. It concludes with graph algorithms like shortest path and spanning tree.Topics covered:This course is part of the Fundamentals of Computer Science XSeries Program: Computer Science"
Calculus Applied!,Harvard University,Intermediate,https://www.edx.org/course/calculus-applied,"Apply tools of single-variable calculus to create and analyze mathematical models used by real practitioners in social, life, and physical sciences.","In this course, we go beyond the calculus textbook, working with practitioners in social, life and physical sciences to understand how calculus and mathematical models play a role in their work.Through a series of case studies, you’ll learn:With real practitioners as your guide, you’ll explore these situations in a hands-on way: looking at data and graphs, writing equations, doing calculus computations, and making educated guesses and predictions.This course provides a unique supplement to a course in single-variable calculus. Key topics include application of derivatives, integrals and differential equations, mathematical models and parameters.This course is for anyone who has completed or is currently taking a single-variable calculus course (differential and integral), at the high school (AP or IB) or college/university level. You will need to be familiar with the basics of derivatives, integrals, and differential equations, as well as functions involving polynomials, exponentials, and logarithms.This is a course to learn applications of calculus to other fields, and NOT a course to learn the basics of calculus. Whether you’re a student who has just finished an Beginner Calculus course or a teacher looking for more authentic examples for your classroom, there is something for you to learn here, and we hope you’ll join us! Math"
Precalculus,Arizona State University,Intermediate,https://www.edx.org/course/precalculus,"This college-level, credit-eligible Precalculus course will teach you the skills required for success in future Calculus studies.","This course is part of Global Freshman Academy (GFA), which means you can earn transferable ASU credit toward your college degree.In this college-level Precalculus course, you will prepare for calculus by focusing on quantitative reasoning and functions. You’ll develop the skills to describe the behavior and properties of linear, exponential, logarithmic, polynomial, rational, and trigonometric functions.Content in this course will be adaptive, allowing you to achieve mastery in a certain concept before moving on to the next. Utilizing the ALEKS learning system, students in this personalized, self-paced course will be instructed on the topics they are most ready to learn while also providing individualized coaching as you move through each topic.Before taking this course, you should already have a strong understanding of algebraic skills such as factoring, basic equation solving, and the rules of exponents and radicals.This 3 credit hour course satisfies the Mathematical Studies (MA) general studies requirement at Arizona State University. The cost to convert to credit is $600. This course may satisfy a general education requirement at other institutions; however, it is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit. Math"
Business Communications,University of British Columbia,Beginner,https://www.edx.org/course/business-communications,Learn how to communicate effectively in a business setting: understand diverse audiences and build sound arguments.,"This course, part of the Business Fundamentals Professional Certificate program, will sharpen your writing, presentation, and interpersonal communication skills to help you succeed in the business world. You will learn a range of successful practices and guidelines that have been derived from both research and experience.You will learn strategies for honing your communication style, improving clarity, conciseness and impact. By the end of the course, you will be able to think strategically about all forms of communication, and communicate with diverse audiences. Business & Management"
International Women's Health and Human Rights,Stanford University,Beginner,https://www.edx.org/course/international-womens-health-and-human-rights,"This self-paced course provides an overview of women's health and human rights, beginning in infancy and childhood, then moving through adolescence, reproductive years and aging. We consider economic, social, political and human rights factors, and the challenges women face in maintaining health and managing their lives in the face of societal pressures and obstacles.","We focus on critical issues, namely those that may mean life or death to a woman, depending on whether she can exercise her human rights. These critical issues include: being born female and discrimination; poverty; unequal access to education, food, paid work and health care; and various forms of violence. Topics discussed include son preference, education, HIV/AIDS, reproductive health, violence in the home and in war and refugee circumstances, women's work, sex trafficking, and aging.Our MOOC will have a special focus on creating an international network of engaged participants. We will ask participants to take part in interactive discussions to share their own experiences. We also ask participants to engage with the communities they live in, in order to deepen their understanding of the issues and tie academic ideas to real-life circumstances. Social Sciences"
Blockchain: Understanding Its Uses and Implications,The Linux Foundation,Beginner,https://www.edx.org/course/blockchain-understanding-its-uses-and-implications,"Understand exactly what a blockchain is, its impact and potential for change around the world, and analyze use cases in technology, business, and enterprise products and institutions.","Blockchain technology is changing how business is executed. It's important to understand why blockchain is different and how it works in comparison with technologies of the past. The first segment of this course covers all the main concepts of what Blockchain is. It discusses how it began as a triple ledger system first introduced for the administration of the cryptocurrency Bitcoin, and how it is now applied to all aspects of business including government, banking, supply chains, and a host of other industries. It also analyzes the concept of transparent ledgers, both public and permissioned, and focuses on using cryptography to achieve consensus, immutability, and governance of transactions. This is all part of Blockchain's ability to provide ""trusted data from untrusted sources,"" disrupting traditional accounting methodologies and international trade. The course then dives into the various methods of blockchain governance that currently exist in the marketplace as well as how consensus fits into governance. It explores how to reach consensus through proof-of-work or proof-of-stake. Other aspects of the course include examining the very specific features of blockchain that solve problems that have been difficult to overcome in the past with more centralized architectures. The final part of the course takes a deep dive into the various use cases of blockchain, complete with analyzing real examples of how different industries are executing the technology and improving their business. Examining a problem, and then depicting a blockchain use case that solves the problem, will help gain an understanding of how blockchain is applied to real-world situations. Business & Management"
Basics of Power BI,Rolls-Royce,Beginner,https://www.edx.org/course/basics-of-power-bi,"This learning resource will give learners the knowledge and the confidence to use the Power BI tool over other methods of recording, visualising and presenting data such as PowerPoint presentations.","The purpose the tool is being used for will vary from learner to learner, but this learning covers key areas of navigation, design, sharing and presenting. You can use this learning resource as required for the areas that you need support on.This resource covers the following topic areas: Data Analysis & Statistics"
Preparing to Network in English,University of Washington,Beginner,https://www.edx.org/course/preparing-to-network-in-english,Learn the basics of networking while you grow your social network and professional connections. Practice speaking to improve your English language skills for increased success in job hunting.,"Networking in the business world is key to career success. Research shows that many jobs are never officially advertised. Many companies rely on word-of-mouth advertising to hire employees, so connections with people are important! It’s also clear that English is an important language in the global job hunt. But what exactly is networking? And how do you do it in English? This course helps you understand the basics of networking and why it’s important. You’ll identify the key qualities that you personally want to focus on developing. Most importantly, you’ll grow and expand your business network and professional connections. Gain confidence in your speaking while introducing yourself in English. You’ll also learn about business culture in North America and around the globe while you improve your English language skills for increased success in networking and job hunting. Language"
Mandarin Chinese Essentials,MandarinX,Beginner,https://www.edx.org/course/mandarin-chinese-essentials,"This course is your first crucial step to learning Mandarin Chinese. Learn essential skills for communicating in Chineseincluding tones, pinyin, grammar, characters, and basic structures all within the context of a business environment.","Chinese is a critical language for all global organizations. Mandarin Chinese Essentials features a thorough basic Chinese virtual learning experience at your pace! Switching from Latin alphabet or other phonogram languages to Chinese can be intimidating and frustrating. This prerequisite course breaks down all basic characteristics of Chinese language, ensuring you have a solid foundation to be a competent speaker in a business environment. We will introduce one rule with practices and related dialogues through videos that includepractical businessconversations. We provide solid learning system that is essential for beginners to differentiate and construct sentences, and then use them in workplace and business scenarios. If you enroll in the verified track, you will be able to participate in the Webinar lectured by Dr. Estella Y. Chen, who will lead thediscussionwitha wide variety ofpopulartopicstoaccompanyyou to the world of chinese business culture and trend. What's more, in the verified track, we'll give you three pronunciation lessons that will help youcommunicate more smoothly and effectively ina business environment. No previous knowledge needed. We start from the beginning! This course was developed with the assistance of Dr. Haohsiang Liao, Director of the Chinese Language Program at MIT. Language"
Human Rights: The Rights of Refugees,Amnesty International,Beginner,https://www.edx.org/course/human-rights-the-rights-of-refugees,Take action for human rights. This course will teach you about the human rights of refugees and empower you to defend them.,"Across the world, barriers are growing. Every day people fleeing war and persecution find the door slammed in their face.Refugees have human rights. What are these rights? Who is responsible for upholding and protecting them? How can we hold them to account?This short course will enable you to find the answers and empower yourself to defend and promote the rights of refugees and discover how you can be part of the solution.Learn from the experts, campaigners and activists at Amnesty International how to identify human rights violations and to claim, defend and promote the human rights of refugees.You will be challenged to think critically and interact with participants. Together you will learn how to empower yourselves to create change.This is Amnesty International's second human rights MOOC. Be prepared for active learning, connecting with course participants from across the world and to become part of a global community campaigning for the rights of refugees to be upheld everywhere.The course is also available in French and Spanish. Humanities"
What do Architects and Urban Planners do?,Wits University,Beginner,https://www.edx.org/course/what-do-architects-and-urban-planners-do,Discover how spatial design professionals make a difference in society,"Are you interested in studying architecture or urban planning? This course will help you understand what spatial design professionals really do, so you can decide if this is the right profession for you. First, we’ll learn about the built environment, and the kinds of challenges and opportunities that architects and planners grapple with. Then we’ll discuss five short examples based on real projects. In each example, we will focus on the role played by different spatial design professionals, including urban planners, urban designers, landscape architects, architects and interior architects. You’ll gain a good understanding of what each spatial design profession does, so you can make an informed choice about what to study. The course will also be useful for anyone who needs to interact with spatial design professionals, and would like an insight into their different roles. Architecture"
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",Harvard University,Beginner,https://www.edx.org/course/us-political-institutions-congress-presidency-cour,Examine the inner workings of the three branches of the U.S. Federal Government,"How do the three branches of government operate? How is power shared among Congress, the president, and the Supreme Court? What role is played by federal agencies that have no direct constitutional authority oftheir own? In this part of our series on American Government, we will examine the separation of powers among the three branches of government, and the role of voters, political parties, and the broader federal bureaucracy. We’ll explore how “the people” affect the behavior of members of Congress, what constitutes success in a president’s domestic and foreign policies, and how much power an unelected judiciary should have in a democratic system. Social Sciences"
Negotiation Skills and Effective Communication,Tecnológico de Monterrey,Intermediate,https://www.edx.org/course/negotiation-skills-and-effective-communication,"It analyzes the “social” perspective of a negotiation and its impact on successful agreements, as well as the risks of ignoring it, or disregarding its applicability.","We start making negotiations as soon as our day begins, through all our interactions, either work, social, or family-related. But have you ever wondered how efficiently you negotiate, and whether you could be better at it? This is a straightforward opportunity to put into practice all the knowledge you have acquired, and to confirm that the negotiation process is dynamic and can always be improved.The course integrates the most recent advances in the development of negotiation skills, based on modern life complexities, in a simple and direct way.We start out with the structure of effective communication in a negotiation, with the intention of identifying our opportunity areas, and improving them through active learning mechanisms.And what can we say about the role emotions play in a negotiation process? It is necessary to acknowledge , manage, and take advantage of them by using emotional intelligence mechanisms.Negotiation, by definition, implies the relationship between two or more parties who eventually express opposing interests and demand skills for problem-solving. In this course you will learn to identify and manage its irreversible consequences in advance.Implement the key negotiation skills and styles to carry out effective negotiations and reach satisfactory agreements.Adopt communication techniques that improve relationships and stimulate cooperation between the parties involved.Develop critical thinking to manage emotions and resolve conflicts in a constructive way. Business & Management"
AP® English Literature & Composition – Part 1: Stories,"University of California, Berkeley",Beginner,https://www.edx.org/course/ap-english-literature-composition-part-1-stories-2,Enhance your ability to read and write about great literature in preparation for the AP® English Literature & Composition exam.,"This course prepares you to read more deeply and write more clearly about works of literature. Through an engaging collection of videos, authentic readings, and support material from a variety of sources, you will learn to appreciate literature from different genres. This course will focus on reading, interpreting and writing about fiction and gothic literature.You will broaden your vocabulary while you sharpen your academic and creative writing skills. Interaction with other students will help you to refine your thinking about the reading and writing as well. You will learn to write under time pressure, and have the opportunity to complete practice assignments that are similar to those you will find on the AP examination.There are no prerequisites; you don’t have to take the AP exam to join the course. If you want to learn about literature and writing, this course is for you.In this part of the course, you’ll learn: Humanities"
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",IsraelX-Tel Aviv University,Beginner,https://www.edx.org/course/viruses-how-to-beat-them-cells-immunity-vaccines,"Learn how our immune system fights viral disease and make better vaccination decisions with a clearer understanding of Cells, Viruses, and Immunity.","Have you ever wondered what viruses actually are?Have you been curious about the ways they invade our bodies, attack our cells and make us sick? Come and learn what viruses are made of and understand the mechanisms of how they hijack and take over our cells.There is no need for a background in science - just bring your curious mind!Our bodies are made of cells, which are amazing molecular machines. So long as everything is in working order, we feel great. But surprisingly, these unbelievably tiny parasites made of Protein and Genes - viruses - can take over and cause serious damage to our bodies.Step by step, this course will teach you how the cells of our bodies work to keep us healthy. We will then explore the vast kingdom of viruses; especially those that have caused epidemics like the flu, AIDS and Ebola. Finally, we will systematically review our immune system, how it identifies ""the enemies,"" and how it takes them out.The lectures have been carefully planned to clearly describe basic Cell Biology, Virology, and Immunology in terms that everyone can understand, without compromising scientific correctness. You'll participate in a detailed exploration of the structures in our cells and how they function. You'll learn how viruses replicate and the way our immune system protects us from disease, as well as how scientists investigate these topics. You'll view laboratory demonstrations that illustrate how cells and viruses are grown and studied. Throughout the course, you will meet leading experts and scientists - some of whom have received the Nobel Prize in recognition of their discoveries and contributions to Chemistry and Medicine.Together we will gain a clearer understanding of how science has been applied to produce effective diagnostic tests, better medicines, and protective vaccines. You'll gain fascinating and comprehensible knowledge that is also practical. It is our goal to arm you with sufficient credible and practical understanding of how vaccines work so that you can make better vaccine-relevant decisions for you and your family.This course was produced at Tel Aviv University by TAU Online - learning innovation center. Medicine"
