"","h_a","xG","xGA","npxG","npxGA","deep","deep_allowed","scored","missed","xpts","result","date","wins","draws","loses","pts","npxGD","teamId","ppda_cal","allowed_ppda","matchtime","tot_points","round","tot_goal","tot_con","Referee.x","HS.x","HST.x","HF.x","HC.x","HY.x","HR.x","AS.x","AST.x","AF.x","AC.x","AY.x","AR.x","B365H.x","B365D.x","B365A.x","HtrgPerc","AtrgPerc","matchDay"
"86","a",0.577323,1.04944,0.577323,1.04944,5,8,0,4,0.8707,"l",2019-09-14 15:00:00,0,0,1,0,-0.472117,"Crystal Palace",17.0833333333333,6.54545454545455,14,7,5,3,6,"C Pawson",13,5,19,4,4,0,11,6,11,3,2,0,1.36,5.25,8,0.384615384615385,0.545454545454545,"Sat"
"87","a",0.459141,1.10019,0.459141,0.339017,4,4,0,1,0.6281,"l",2019-09-14 15:00:00,0,0,1,0,0.120124,"Leicester",4.77142857142857,9.72,14,8,5,6,4,"M Atkinson",10,5,14,3,1,0,9,3,14,9,2,0,1.95,3.5,4,0.5,0.333333333333333,"Sat"
"88","h",1.10019,0.459141,0.339017,0.459141,4,4,1,0,2.0657,"w",2019-09-14 15:00:00,1,0,0,3,-0.120124,"Man Utd",9.72,4.77142857142857,14,8,5,8,4,"M Atkinson",10,5,14,3,1,0,9,3,14,9,2,0,1.95,3.5,4,0.5,0.333333333333333,"Sat"
"89","h",1.88034,1.57659,1.88034,1.57659,8,7,0,1,1.5811,"l",2019-09-14 15:00:00,0,0,1,0,0.30375,"Sheffield United",12.5238095238095,12.8235294117647,14,5,5,5,6,"L Mason",17,4,10,12,1,1,11,7,7,6,1,0,2.45,3.2,3,0.235294117647059,0.636363636363636,"Sat"
"90","a",1.57659,1.88034,1.57659,1.88034,7,8,1,0,1.1662,"w",2019-09-14 15:00:00,1,0,0,3,-0.30375,"Southampton",12.8235294117647,12.5238095238095,14,7,5,5,6,"L Mason",17,4,10,12,1,1,11,7,7,6,1,0,2.45,3.2,3,0.235294117647059,0.636363636363636,"Sat"
"91","h",1.04944,0.577323,1.04944,0.577323,8,5,4,0,1.7965,"w",2019-09-14 15:00:00,1,0,0,3,0.472117,"Tottenham",6.54545454545455,17.0833333333333,14,8,5,11,6,"C Pawson",13,5,19,4,4,0,11,6,11,3,2,0,1.36,5.25,8,0.384615384615385,0.545454545454545,"Sat"
"92","h",1.49359,3.06799,1.49359,3.06799,5,6,2,5,0.4052,"l",2019-09-14 15:00:00,0,0,1,0,-1.5744,"Wolves",13.1071428571429,7.1,14,3,5,6,10,"G Scott",11,4,8,7,1,0,15,6,11,5,2,0,2.9,3.3,2.5,0.363636363636364,0.4,"Sat"
"93","a",2.34436,1.7413,2.34436,1.7413,14,6,2,3,1.7615,"l",2019-09-14 17:30:00,0,0,1,0,0.60306,"Man City",7.95833333333333,18.4285714285714,16,10,5,16,6,"K Friend",7,3,8,3,3,0,25,8,7,16,1,0,15,9,1.14,0.428571428571429,0.32,"Sat"
"94","h",1.7413,2.34436,1.7413,2.34436,6,14,3,2,0.9923,"w",2019-09-14 17:30:00,1,0,0,3,-0.60306,"Norwich",18.4285714285714,7.95833333333333,16,6,5,9,12,"K Friend",7,3,8,3,3,0,25,8,7,16,1,0,15,9,1.14,0.428571428571429,0.32,"Sat"
"95","h",1.41542,1.50641,1.41542,1.50641,3,9,3,1,1.2948,"w",2019-09-15 14:00:00,1,0,0,3,-0.0909900000000001,"Bournemouth",12.0909090909091,5.51612903225806,13,7,5,8,9,"P Tierney",13,6,5,7,0,0,14,5,14,7,4,0,2.9,3.5,2.4,0.461538461538462,0.357142857142857,"Sun"
"96","a",1.50641,1.41542,1.50641,1.41542,9,3,1,3,1.4259,"l",2019-09-15 14:00:00,0,0,1,0,0.0909900000000001,"Everton",5.51612903225806,12.0909090909091,13,7,5,5,7,"P Tierney",13,6,5,7,0,0,14,5,14,7,4,0,2.9,3.5,2.4,0.461538461538462,0.357142857142857,"Sun"
"97","a",1.00616,2.83209,1.00616,2.07092,7,12,2,2,0.3084,"d",2019-09-15 16:30:00,0,1,0,1,-1.06476,"Arsenal",21.4166666666667,9.07142857142857,15,8,5,8,8,"A Taylor",31,7,14,7,3,0,10,4,4,1,3,0,3.6,3.6,2,0.225806451612903,0.4,"Sun"
"98","h",2.83209,1.00616,2.07092,1.00616,12,7,2,2,2.5551,"d",2019-09-15 16:30:00,0,1,0,1,1.06476,"Watford",9.07142857142857,21.4166666666667,15,2,5,4,10,"A Taylor",31,7,14,7,3,0,10,4,4,1,3,0,3.6,3.6,2,0.225806451612903,0.4,"Sun"
"99","h",1.40502,0.535279,1.40502,0.535279,4,9,0,0,2.1615,"d",2019-09-16 20:00:00,0,1,0,1,0.869741,"Aston Villa",9.68181818181818,10.0909090909091,19,4,5,4,6,"M Dean",10,5,13,2,2,0,13,1,12,4,1,1,2.62,3.5,2.6,0.5,0.0769230769230769,"Mon"
"100","a",0.535279,1.40502,0.535279,1.40502,9,4,0,0,0.5889,"d",2019-09-16 20:00:00,0,1,0,1,-0.869741,"West Ham",10.0909090909091,9.68181818181818,19,8,5,6,7,"M Dean",10,5,13,2,2,0,13,1,12,4,1,1,2.62,3.5,2.6,0.5,0.0769230769230769,"Mon"
"101","a",1.29773,2.18021,1.29773,1.41904,2,6,3,1,0.7327,"w",2019-09-20 20:00:00,1,0,0,3,-0.12131,"Bournemouth",17.9375,4.08571428571429,19,10,6,11,10,"C Kavanagh",25,6,8,4,1,0,6,3,9,5,3,0,2.05,3.6,3.5,0.24,0.5,"Fri"
"102","h",2.18021,1.29773,1.41904,1.29773,6,2,1,3,2.0278,"l",2019-09-20 20:00:00,0,0,1,0,0.12131,"Southampton",4.08571428571429,17.9375,19,7,6,6,9,"C Kavanagh",25,6,8,4,1,0,6,3,9,5,3,0,2.05,3.6,3.5,0.24,0.5,"Fri"
"103","h",1.28752,1.33735,1.28752,1.33735,7,9,2,1,1.3097,"w",2019-09-21 12:30:00,1,0,0,3,-0.04983,"Leicester",10.6363636363636,5.61764705882353,11,11,6,8,5,"P Tierney",16,7,16,8,1,0,11,4,13,2,2,0,2.87,3.5,2.37,0.4375,0.363636363636364,"Sat"
"104","a",1.33735,1.28752,1.33735,1.28752,9,7,1,2,1.4105,"l",2019-09-21 12:30:00,0,0,1,0,0.04983,"Tottenham",5.61764705882353,10.6363636363636,11,8,6,12,8,"P Tierney",16,7,16,8,1,0,11,4,13,2,2,0,2.87,3.5,2.37,0.4375,0.363636363636364,"Sat"
"105","h",2.39312,0.801428,2.39312,0.801428,7,9,2,0,2.5163,"w",2019-09-21 15:00:00,1,0,0,3,1.591692,"Burnley",11.68,14.9,14,8,6,8,7,"D Coote",13,6,11,7,0,0,11,2,10,3,1,0,2,3.8,3.5,0.461538461538462,0.181818181818182,"Sat"
"106","h",1.26041,0.508011,1.26041,0.508011,9,2,0,2,1.9886,"l",2019-09-21 15:00:00,0,0,1,0,0.752399,"Everton",5.64705882352941,13.15,14,7,6,5,9,"S Hooper",16,3,9,12,1,0,2,1,9,3,3,0,1.61,3.75,6,0.1875,0.5,"Sat"
"107","h",6.63049,0.344718,5.86932,0.344718,13,1,8,0,2.9992,"w",2019-09-21 15:00:00,1,0,0,3,5.524602,"Man City",11.3333333333333,35.8333333333333,14,13,6,24,6,"M Dean",28,11,5,5,2,0,5,4,9,4,2,0,1.1,11,21,0.392857142857143,0.8,"Sat"
"108","a",0.801428,2.39312,0.801428,2.39312,9,7,0,2,0.3365,"l",2019-09-21 15:00:00,0,0,1,0,-1.591692,"Norwich",14.9,11.68,14,6,6,9,14,"D Coote",13,6,11,7,0,0,11,2,10,3,1,0,2,3.8,3.5,0.461538461538462,0.181818181818182,"Sat"
"109","a",0.508011,1.26041,0.508011,1.26041,2,9,2,0,0.7022,"w",2019-09-21 15:00:00,1,0,0,3,-0.752399,"Sheffield United",13.15,5.64705882352941,14,8,6,7,6,"S Hooper",16,3,9,12,1,0,2,1,9,3,3,0,1.61,3.75,6,0.1875,0.5,"Sat"
"110","a",0.344718,6.63049,0.344718,5.86932,1,13,0,8,4e-04,"l",2019-09-21 15:00:00,0,0,1,0,-5.524602,"Watford",35.8333333333333,11.3333333333333,14,2,6,4,18,"M Dean",28,11,5,5,2,0,5,4,9,4,2,0,1.1,11,21,0.392857142857143,0.8,"Sat"
"111","a",1.21592,1.09807,1.21592,1.09807,6,4,0,0,1.4292,"d",2019-09-21 17:30:00,0,1,0,1,0.11785,"Brighton",6.09523809523809,22.9,16,6,6,5,8,"M Atkinson",11,4,12,5,2,0,16,3,8,3,1,0,2.5,3.2,3,0.363636363636364,0.1875,"Sat"
"112","h",1.09807,1.21592,1.09807,1.21592,4,6,0,0,1.2702,"d",2019-09-21 17:30:00,0,1,0,1,-0.11785,"Newcastle United",22.9,6.09523809523809,16,5,6,4,8,"M Atkinson",11,4,12,5,2,0,16,3,8,3,1,0,2.5,3.2,3,0.363636363636364,0.1875,"Sat"
"113","h",0.984777,1.75572,0.984777,1.75572,6,5,1,1,0.7636,"d",2019-09-22 14:00:00,0,1,0,1,-0.770943,"Crystal Palace",13.9473684210526,12.5238095238095,13,8,6,4,7,"S Attwell",13,4,7,6,2,0,14,4,10,7,1,1,2.62,3.1,2.87,0.307692307692308,0.285714285714286,"Sun"
"114","a",1.27826,0.51376,1.27826,0.51376,5,4,0,2,2.0981,"l",2019-09-22 14:00:00,0,0,1,0,0.7645,"Man Utd",17.1818181818182,14.9473684210526,13,8,6,8,6,"A Taylor",8,6,8,3,2,0,9,3,9,7,2,0,3.1,3.6,2.2,0.75,0.333333333333333,"Sun"
"115","h",0.51376,1.27826,0.51376,1.27826,4,5,2,0,0.6305,"w",2019-09-22 14:00:00,1,0,0,3,-0.7645,"West Ham",14.9473684210526,17.1818181818182,13,11,6,8,7,"A Taylor",8,6,8,3,2,0,9,3,9,7,2,0,3.1,3.6,2.2,0.75,0.333333333333333,"Sun"
"116","a",1.75572,0.984777,1.75572,0.984777,5,6,1,1,1.9945,"d",2019-09-22 14:00:00,0,1,0,1,0.770943,"Wolves",12.5238095238095,13.9473684210526,13,4,6,7,11,"S Attwell",13,4,7,6,2,0,14,4,10,7,1,1,2.62,3.1,2.87,0.307692307692308,0.285714285714286,"Sun"
"117","h",2.53209,1.71546,1.77093,1.71546,12,8,3,2,1.9361,"w",2019-09-22 16:30:00,1,0,0,3,0.0554699999999999,"Arsenal",9.1,11,15,11,6,11,10,"J Moss",21,6,13,9,5,1,14,9,15,4,1,0,1.4,4.75,8,0.285714285714286,0.642857142857143,"Sun"
"118","a",1.71546,2.53209,1.71546,1.77093,8,12,2,3,0.8444,"l",2019-09-22 16:30:00,0,0,1,0,-0.0554699999999999,"Aston Villa",11,9.1,15,4,6,6,9,"J Moss",21,6,13,9,5,1,14,9,15,4,1,0,1.4,4.75,8,0.285714285714286,0.642857142857143,"Sun"
"119","h",1.23321,1.03003,1.23321,1.03003,5,5,1,2,1.5191,"l",2019-09-22 16:30:00,0,0,1,0,0.20318,"Chelsea",11.625,7.91428571428571,15,8,6,12,13,"M Oliver",13,2,8,6,3,0,6,3,13,4,3,0,3.5,3.75,2,0.153846153846154,0.5,"Sun"
"120","a",1.03003,1.23321,1.03003,1.23321,5,5,2,1,1.1699,"w",2019-09-22 16:30:00,1,0,0,3,-0.20318,"Liverpool",7.91428571428571,11.625,15,18,6,17,5,"M Oliver",13,2,8,6,3,0,6,3,13,4,3,0,3.5,3.75,2,0.153846153846154,0.5,"Sun"
"121","a",1.97079,1.17022,1.97079,1.17022,11,1,1,0,1.9796,"w",2019-09-28 12:30:00,1,0,0,3,0.80057,"Liverpool",11.2727272727273,24.2352941176471,11,21,7,18,5,"A Taylor",12,2,8,6,1,0,16,4,4,5,1,0,9,5.25,1.33,0.166666666666667,0.25,"Sat"
"122","h",1.17022,1.97079,1.17022,1.97079,1,11,0,1,0.7802,"l",2019-09-28 12:30:00,0,0,1,0,-0.80057,"Sheffield United",24.2352941176471,11.2727272727273,11,8,7,7,7,"A Taylor",12,2,8,6,1,0,16,4,4,5,1,0,9,5.25,1.33,0.166666666666667,0.25,"Sat"
"123","h",0.914266,1.66919,0.914266,1.66919,3,2,2,2,0.7663,"d",2019-09-28 15:00:00,0,1,0,1,-0.754924,"Aston Villa",6.05,9.04545454545454,14,5,7,8,11,"L Mason",16,3,10,7,1,0,10,3,16,3,4,0,2.3,3.4,3.1,0.1875,0.3,"Sat"
"124","h",2.31957,1.29546,2.31957,1.29546,8,17,2,2,2.0753,"d",2019-09-28 15:00:00,0,1,0,1,1.02411,"Bournemouth",11.25,13.1,14,11,7,13,12,"S Attwell",13,5,7,6,3,0,17,6,8,6,1,0,2.5,3.5,2.75,0.384615384615385,0.352941176470588,"Sat"
"125","a",0.616263,4.26443,0.616263,3.50326,0,9,0,2,0.0414,"l",2019-09-28 15:00:00,0,0,1,0,-2.886997,"Brighton",12.7692307692308,14.5416666666667,14,6,7,5,10,"C Kavanagh",24,10,5,5,2,0,8,1,13,2,3,0,1.4,4.75,8,0.416666666666667,0.125,"Sat"
"126","a",1.66919,0.914266,1.66919,0.914266,2,3,2,2,1.9909,"d",2019-09-28 15:00:00,0,1,0,1,0.754924,"Burnley",9.04545454545454,6.05,14,9,7,10,9,"L Mason",16,3,10,7,1,0,10,3,16,3,4,0,2.3,3.4,3.1,0.1875,0.3,"Sat"
"127","h",4.26443,0.616263,3.50326,0.616263,9,0,2,0,2.9361,"w",2019-09-28 15:00:00,1,0,0,3,2.886997,"Chelsea",14.5416666666667,12.7692307692308,14,11,7,14,13,"C Kavanagh",24,10,5,5,2,0,8,1,13,2,3,0,1.4,4.75,8,0.416666666666667,0.125,"Sat"
"128","h",1.80497,0.712129,1.0438,0.712129,11,10,2,0,2.2533,"w",2019-09-28 15:00:00,1,0,0,3,0.331671,"Crystal Palace",12.7826086956522,9.11111111111111,14,11,7,6,7,"J Moss",15,3,14,5,3,0,10,3,10,5,1,0,1.9,3.75,3.75,0.2,0.3,"Sat"
"129","a",0.712129,1.80497,0.712129,1.0438,10,11,0,2,0.5259,"l",2019-09-28 15:00:00,0,0,1,0,-0.331671,"Norwich",9.11111111111111,12.7826086956522,14,6,7,9,16,"J Moss",15,3,14,5,3,0,10,3,10,5,1,0,1.9,3.75,3.75,0.2,0.3,"Sat"
"130","a",1.16256,1.19008,1.16256,1.19008,8,7,1,2,1.3082,"l",2019-09-28 15:00:00,0,0,1,0,-0.02752,"Southampton",5.64864864864865,31.75,14,7,7,7,11,"G Scott",9,4,5,6,0,1,14,6,16,6,2,0,1.4,4.75,8,0.444444444444444,0.428571428571429,"Sat"
"131","h",1.19008,1.16256,1.19008,1.16256,7,8,2,1,1.3805,"w",2019-09-28 15:00:00,1,0,0,3,0.02752,"Tottenham",31.75,5.64864864864865,14,11,7,14,9,"G Scott",9,4,5,6,0,1,14,6,16,6,2,0,1.4,4.75,8,0.444444444444444,0.428571428571429,"Sat"
"132","a",1.06615,1.16363,1.06615,1.16363,10,5,0,2,1.1868,"l",2019-09-28 15:00:00,0,0,1,0,-0.09748,"Watford",11.3809523809524,22.9375,14,2,7,4,20,"P Tierney",6,2,5,1,0,0,14,5,6,6,1,0,1.85,3.4,4.5,0.333333333333333,0.357142857142857,"Sat"
"133","a",1.29546,2.31957,1.29546,2.31957,17,8,2,2,0.7235,"d",2019-09-28 15:00:00,0,1,0,1,-1.02411,"West Ham",13.1,11.25,14,12,7,10,9,"S Attwell",13,5,7,6,3,0,17,6,8,6,1,0,2.5,3.5,2.75,0.384615384615385,0.352941176470588,"Sat"
"134","h",1.16363,1.06615,1.16363,1.06615,5,10,2,0,1.4304,"w",2019-09-28 15:00:00,1,0,0,3,0.09748,"Wolves",22.9375,11.3809523809524,14,7,7,9,11,"P Tierney",6,2,5,1,0,0,14,5,6,6,1,0,1.85,3.4,4.5,0.333333333333333,0.357142857142857,"Sat"
"135","h",2.35854,3.1082,2.35854,3.1082,6,13,1,3,0.9393,"l",2019-09-28 17:30:00,0,0,1,0,-0.74966,"Everton",32.6666666666667,9.71428571428571,16,7,7,6,12,"M Oliver",12,8,4,5,2,0,20,9,8,2,2,0,10,5.5,1.3,0.666666666666667,0.45,"Sat"
"136","a",3.1082,2.35854,3.1082,2.35854,13,6,3,1,1.8486,"w",2019-09-28 17:30:00,1,0,0,3,0.74966,"Man City",9.71428571428571,32.6666666666667,16,16,7,27,7,"M Oliver",12,8,4,5,2,0,20,9,8,2,2,0,10,5.5,1.3,0.666666666666667,0.45,"Sat"
"137","h",1.82438,0.054134,1.82438,0.054134,13,1,5,0,2.7768,"w",2019-09-29 16:30:00,1,0,0,3,1.770246,"Leicester",5.55882352941176,35.7272727272727,15,14,7,13,5,"C Pawson",13,5,12,9,1,0,3,0,9,0,1,1,1.5,4,7.5,0.384615384615385,0,"Sun"
"138","a",0.054134,1.82438,0.054134,1.82438,1,13,0,5,0.12,"l",2019-09-29 16:30:00,0,0,1,0,-1.770246,"Newcastle United",35.7272727272727,5.55882352941176,15,5,7,4,13,"C Pawson",13,5,12,9,1,0,3,0,9,0,1,1,1.5,4,7.5,0.384615384615385,0,"Sun"
"139","a",1.70399,1.1335,1.70399,1.1335,7,5,1,1,1.825,"d",2019-09-30 20:00:00,0,1,0,1,0.57049,"Arsenal",10.125,5.92592592592593,19,12,7,12,11,"K Friend",16,4,18,8,4,0,10,5,13,7,2,0,2.37,3.5,2.9,0.25,0.5,"Mon"
"140","h",1.1335,1.70399,1.1335,1.70399,5,7,1,1,0.9196,"d",2019-09-30 20:00:00,0,1,0,1,-0.57049,"Man Utd",5.92592592592593,10.125,19,9,7,9,7,"K Friend",16,4,18,8,4,0,10,5,13,7,2,0,2.37,3.5,2.9,0.25,0.5,"Mon"
"141","h",2.60017,0.478504,2.60017,0.478504,12,4,3,0,2.8252,"w",2019-10-05 12:30:00,1,0,0,3,2.121666,"Brighton",8.13513513513514,15.2352941176471,12,9,8,8,10,"J Moss",17,6,11,4,2,0,8,3,7,4,1,0,3.9,3.6,1.9,0.352941176470588,0.375,"Sat"
"142","a",0.478504,2.60017,0.478504,2.60017,4,12,0,3,0.1078,"l",2019-10-05 12:30:00,0,0,1,0,-2.121666,"Tottenham",15.2352941176471,8.13513513513514,12,11,8,14,12,"J Moss",17,6,11,4,2,0,8,3,7,4,1,0,3.9,3.6,1.9,0.352941176470588,0.375,"Sat"
"143","a",3.67827,1.84838,2.76412,1.84838,9,13,5,1,2.472,"w",2019-10-05 15:00:00,1,0,0,3,0.91574,"Aston Villa",8.8,6.04166666666667,15,8,8,13,12,"A Madley",21,5,14,10,1,0,22,12,17,6,3,0,2.37,3.6,2.8,0.238095238095238,0.545454545454545,"Sat"
"144","h",0.558912,1.30723,0.558912,1.30723,6,4,1,0,0.6769,"w",2019-10-05 15:00:00,1,0,0,3,-0.748318,"Burnley",19.5,7.8,15,12,8,11,9,"G Scott",9,3,5,7,2,0,11,2,12,9,1,1,2.87,3.3,2.5,0.333333333333333,0.181818181818182,"Sat"
"145","a",1.30723,0.558912,1.30723,0.558912,4,6,0,1,2.0524,"l",2019-10-05 15:00:00,0,0,1,0,0.748318,"Everton",7.8,19.5,15,7,8,6,13,"G Scott",9,3,5,7,2,0,11,2,12,9,1,1,2.87,3.3,2.5,0.333333333333333,0.181818181818182,"Sat"
"146","a",0.0982107,3.74867,0.0982107,2.9875,4,12,1,2,0.0114,"l",2019-10-05 15:00:00,0,0,1,0,-2.8892893,"Leicester",9.25,7.78125,15,14,8,14,7,"C Kavanagh",18,8,9,4,1,0,2,1,17,6,4,0,1.44,4.75,7,0.444444444444444,0.5,"Sat"
"147","h",3.74867,0.0982107,2.9875,0.0982107,12,4,2,1,2.9796,"w",2019-10-05 15:00:00,1,0,0,3,2.8892893,"Liverpool",7.78125,9.25,15,24,8,20,6,"C Kavanagh",18,8,9,4,1,0,2,1,17,6,4,0,1.44,4.75,7,0.444444444444444,0.5,"Sat"
"148","h",1.84838,3.67827,1.84838,2.76412,13,9,1,5,0.4017,"l",2019-10-05 15:00:00,0,0,1,0,-0.91574,"Norwich",6.04166666666667,8.8,15,6,8,10,21,"A Madley",21,5,14,10,1,0,22,12,17,6,3,0,2.37,3.6,2.8,0.238095238095238,0.545454545454545,"Sat"
"149","a",0.353724,1.44318,0.353724,1.44318,5,2,0,0,0.4004,"d",2019-10-05 15:00:00,0,1,0,1,-1.089456,"Sheffield United",6.72727272727273,19.375,15,9,8,7,7,"A Marriner",8,2,7,7,0,0,9,3,6,7,2,0,2.05,3.4,3.6,0.25,0.333333333333333,"Sat"
"150","h",1.44318,0.353724,1.44318,0.353724,2,5,0,0,2.3876,"d",2019-10-05 15:00:00,0,1,0,1,1.089456,"Watford",19.375,6.72727272727273,15,3,8,4,20,"A Marriner",8,2,7,7,0,0,9,3,6,7,2,0,2.05,3.4,3.6,0.25,0.333333333333333,"Sat"
"151","a",2.0682,1.23577,1.30703,1.23577,7,7,2,1,2.1092,"w",2019-10-05 17:30:00,1,0,0,3,0.0712599999999999,"Crystal Palace",20.0714285714286,14.7894736842105,17,14,8,8,8,"M Oliver",9,4,11,2,3,0,7,4,7,2,2,0,1.95,3.6,3.8,0.444444444444444,0.571428571428571,"Sat"
"152","h",1.23577,2.0682,1.23577,1.30703,7,7,1,2,0.6572,"l",2019-10-05 17:30:00,0,0,1,0,-0.0712599999999999,"West Ham",14.7894736842105,20.0714285714286,17,12,8,11,11,"M Oliver",9,4,11,2,3,0,7,4,7,2,2,0,1.95,3.6,3.8,0.444444444444444,0.571428571428571,"Sat"
"153","h",1.24109,0.683967,1.24109,0.683967,10,7,1,0,1.8762,"w",2019-10-06 14:00:00,1,0,0,3,0.557123,"Arsenal",7.02857142857143,10.2173913043478,14,15,8,13,11,"M Atkinson",12,2,12,14,1,0,10,2,6,5,2,0,1.44,4.75,7,0.166666666666667,0.2,"Sun"
"154","a",0.683967,1.24109,0.683967,1.24109,7,10,0,1,0.8124,"l",2019-10-06 14:00:00,0,0,1,0,-0.557123,"Bournemouth",10.2173913043478,7.02857142857143,14,11,8,13,13,"M Atkinson",12,2,12,14,1,0,10,2,6,5,2,0,1.44,4.75,7,0.166666666666667,0.2,"Sun"
"155","a",2.15201,1.27044,2.15201,1.27044,10,5,4,1,2.0187,"w",2019-10-06 14:00:00,1,0,0,3,0.88157,"Chelsea",11.1052631578947,10.8846153846154,14,14,8,18,14,"P Tierney",10,3,8,3,0,0,13,7,15,4,1,0,4,3.8,1.85,0.3,0.538461538461538,"Sun"
"156","h",1.61884,1.18825,1.61884,1.18825,13,1,0,2,1.6896,"l",2019-10-06 14:00:00,0,0,1,0,0.43059,"Man City",4.11538461538461,19.6875,14,16,8,27,9,"C Pawson",18,2,11,9,5,0,7,2,14,1,2,0,1.12,9,21,0.111111111111111,0.285714285714286,"Sun"
"157","h",1.27044,2.15201,1.27044,2.15201,5,10,1,4,0.7488,"l",2019-10-06 14:00:00,0,0,1,0,-0.88157,"Southampton",10.8846153846154,11.1052631578947,14,7,8,8,15,"P Tierney",10,3,8,3,0,0,13,7,15,4,1,0,4,3.8,1.85,0.3,0.538461538461538,"Sun"
"158","a",1.18825,1.61884,1.18825,1.61884,1,13,2,0,1.0413,"w",2019-10-06 14:00:00,1,0,0,3,-0.43059,"Wolves",19.6875,4.11538461538461,14,10,8,11,11,"C Pawson",18,2,11,9,5,0,7,2,14,1,2,0,1.12,9,21,0.111111111111111,0.285714285714286,"Sun"
"159","a",0.969204,0.650296,0.969204,0.650296,5,1,0,1,1.6237,"l",2019-10-06 16:30:00,0,0,1,0,0.318908,"Man Utd",6.81818181818182,28.4545454545455,16,9,8,9,8,"M Dean",12,2,12,4,3,0,12,3,10,6,3,0,4.5,3.5,1.85,0.166666666666667,0.25,"Sun"
"160","h",0.650296,0.969204,0.650296,0.969204,1,5,1,0,1.0303,"w",2019-10-06 16:30:00,1,0,0,3,-0.318908,"Newcastle United",28.4545454545455,6.81818181818182,16,8,8,5,13,"M Dean",12,2,12,4,3,0,12,3,10,6,3,0,4.5,3.5,1.85,0.166666666666667,0.25,"Sun"
"161","h",2.23324,0.459112,2.23324,0.459112,11,3,2,0,2.6186,"w",2019-10-19 12:30:00,1,0,0,3,1.774128,"Everton",5.71875,10.0526315789474,12,10,9,8,13,"P Tierney",19,10,15,11,2,0,8,4,15,2,2,0,1.95,3.75,3.75,0.526315789473684,0.5,"Sat"
"162","a",0.459112,2.23324,0.459112,2.23324,3,11,0,2,0.2537,"l",2019-10-19 12:30:00,0,0,1,0,-1.774128,"West Ham",10.0526315789474,5.71875,12,12,9,11,13,"P Tierney",19,10,15,11,2,0,8,4,15,2,2,0,1.95,3.75,3.75,0.526315789473684,0.5,"Sat"
"163","h",2.96692,1.32184,2.96692,1.32184,7,10,2,1,2.4098,"w",2019-10-19 15:00:00,1,0,0,3,1.64508,"Aston Villa",15.0555555555556,9.52380952380952,15,11,9,15,13,"D Coote",24,8,9,7,1,0,20,5,17,5,2,1,2.35,3.4,3,0.333333333333333,0.25,"Sat"
"164","h",0.675554,0.402873,0.675554,0.402873,7,5,0,0,1.5813,"d",2019-10-19 15:00:00,0,1,0,1,0.272681,"Bournemouth",12.7,11.8333333333333,15,12,9,13,13,"L Mason",11,2,8,6,1,0,10,1,11,7,3,0,1.72,4.2,4.2,0.181818181818182,0.1,"Sat"
"165","a",1.32184,2.96692,1.32184,2.96692,10,7,1,2,0.4421,"l",2019-10-19 15:00:00,0,0,1,0,-1.64508,"Brighton",9.52380952380952,15.0555555555556,15,9,9,9,12,"D Coote",24,8,9,7,1,0,20,5,17,5,2,1,2.35,3.4,3,0.333333333333333,0.25,"Sat"
"166","a",1.79569,0.8291,1.79569,0.8291,3,6,1,2,2.1661,"l",2019-10-19 15:00:00,0,0,1,0,0.96659,"Burnley",15.2,7.6,15,12,9,12,11,"J Moss",19,3,4,9,0,0,13,4,10,4,3,0,1.57,4,6,0.157894736842105,0.307692307692308,"Sat"
"167","h",2.30068,0.197082,2.30068,0.197082,12,1,1,0,2.774,"w",2019-10-19 15:00:00,1,0,0,3,2.103598,"Chelsea",4.65217391304348,23.5,15,17,9,19,14,"A Marriner",16,8,9,11,2,0,5,0,12,0,1,0,1.3,5.5,10,0.5,0,"Sat"
"168","h",0.8291,1.79569,0.8291,1.79569,6,3,2,1,0.613,"w",2019-10-19 15:00:00,1,0,0,3,-0.96659,"Leicester",7.6,15.2,15,17,9,16,8,"J Moss",19,3,4,9,0,0,13,4,10,4,3,0,1.57,4,6,0.157894736842105,0.307692307692308,"Sat"
"169","a",0.197082,2.30068,0.197082,2.30068,1,12,0,1,0.1328,"l",2019-10-19 15:00:00,0,0,1,0,-2.103598,"Newcastle United",23.5,4.65217391304348,15,8,9,5,14,"A Marriner",16,8,9,11,2,0,5,0,12,0,1,0,1.3,5.5,10,0.5,0,"Sat"
"170","a",0.402873,0.675554,0.402873,0.675554,5,7,0,0,0.9885,"d",2019-10-19 15:00:00,0,1,0,1,-0.272681,"Norwich",11.8333333333333,12.7,15,7,9,10,21,"L Mason",11,2,8,6,1,0,10,1,11,7,3,0,1.72,4.2,4.2,0.181818181818182,0.1,"Sat"
"171","a",1.37695,0.887495,1.37695,0.126326,5,3,1,1,1.7256,"d",2019-10-19 15:00:00,0,1,0,1,1.250624,"Southampton",12.0416666666667,14.6666666666667,15,8,9,9,16,"P Bankes",4,1,10,1,3,0,14,5,17,3,2,0,1.8,3.6,4.5,0.25,0.357142857142857,"Sat"
"172","h",0.891617,0.846851,0.891617,0.846851,10,2,1,1,1.3988,"d",2019-10-19 15:00:00,0,1,0,1,0.044766,"Tottenham",7.43478260869565,18.8947368421053,15,12,9,15,13,"C Kavanagh",12,2,5,11,4,0,7,2,9,2,3,0,1.4,5,7.5,0.166666666666667,0.285714285714286,"Sat"
