population_in_2023,population_in_2022,city,country,population_growthRate,type
1054442,1054243,Changwon,South Korea,0.0002,w
1053041,1030815,Denpasar,Indonesia,0.0216,w
1050459,1040971,Teresina,Brazil,0.0091,w
1049690,1033050,Marrakech,Morocco,0.0161,w
1048889,1034517,Yueyang,China,0.0139,w
1047251,1031867,Tampico,Mexico,0.0149,w
1038964,1008582,Qujing,China,0.0301,w
1034126,1017570,Saltillo,Mexico,0.0163,w
1033645,1015105,Padang,Indonesia,0.0183,w
1031090,1006935,Warangal,India,0.024,w
1030974,994911,Blantyre-Limbe,Malawi,0.0362,w
1030498,1000477,Ilorin,Nigeria,0.03,w
1026767,1013645,San Miguel de Tucuman,Argentina,0.0129,w
1024945,1008662,Cebu City,Philippines,0.0161,w
1023756,996054,Xintai,China,0.0278,w
1022604,998146,Cancun,Mexico,0.0245,w
1020399,980589,Guiping,China,0.0406,w
1018976,1005421,Acapulco de Juarez,Mexico,0.0135,w
1018012,1014675,Rotterdam,Netherlands,0.0033,w
1013240,1000348,Kayseri,Turkey,0.0129,w
1008599,1000467,Valparaiso,Chile,0.0081,w
1007716,1007989,Odesa,Ukraine,-0.0003,w
1005007,992237,Songkhla,Thailand,0.0129,w
1001155,989104,Krasnodar,Russia,0.0122,w
1000947,988230,Nonthaburi,Thailand,0.0129,w
1000475,990650,Bordeaux,France,0.0099,w
999721,976771,Pingxiang Jiangxi,China,0.0235,w
995747,964154,Hamah,Syria,0.0328,w
995078,997537,Volgograd,Russia,-0.0025,w
993175,977845,Jixi Heilongjiang,China,0.0157,w
993097,958210,Chengde,China,0.0364,w
991876,967454,Dehradun,India,0.0252,w
991208,960058,Zhucheng,China,0.0324,w
988744,975171,Morelia,Mexico,0.0139,w
986921,942683,Warri,Nigeria,0.0469,w
986899,962139,Dushanbe,Tajikistan,0.0257,w
986248,961197,Laiwu,China,0.0261,w
984193,953472,Misratah,Libya,0.0322,w
983352,945046,Owerri,Nigeria,0.0405,w
982777,960233,Jiujiang,China,0.0235,w
982021,955649,San Pedro Sula,Honduras,0.0276,w
979248,960438,Agadir,Morocco,0.0196,w
978327,939173,Leiyang,China,0.0417,w
975348,958338,Mudanjiang,China,0.0177,w
970129,942167,Jos,Nigeria,0.0297,w
969804,956849,Jerusalem,Israel,0.0135,w
969322,927472,Nampula,Mozambique,0.0451,w
967428,943042,Guigang,China,0.0259,w
966292,965234,Austin,TX,0.0011,us
964291,927856,Sylhet,Bangladesh,0.0393,w
964266,949518,Ciudad Guayana,Venezuela,0.0155,w
963045,953378,Cucuta,Colombia,0.0101,w
962970,958783,Jacksonville,FL,0.0044,us
961991,942126,Rajshahi,Bangladesh,0.0211,w
961885,948605,Fort Worth,TX,0.014,us
960349,944864,Zamboanga City,Philippines,0.0164,w
958998,946844,Arequipa,Peru,0.0128,w
958548,914456,Lubango,Angola,0.0482,w
958487,929669,Najaf,Iraq,0.031,w
958335,933176,Bangui,Central African Republic,0.027,w
956079,934600,Yangjiang,China,0.023,w
955663,924817,Hengshui,China,0.0334,w
955519,929015,Zhangzhou,China,0.0285,w
955226,942635,Veracruz,Mexico,0.0134,w
955104,949659,Khulna,Bangladesh,0.0057,w
953768,927240,Tianmen,China,0.0286,w
952278,922665,Xinyu,China,0.0321,w
951822,922495,Linfen,China,0.0318,w
951531,943745,Southampton,United Kingdom,0.0083,w
951417,934515,Reynosa,Mexico,0.0181,w
950048,937977,Pathum Thani,Thailand,0.0129,w
948149,945312,Nice,France,0.003,w
946653,924888,Antipolo,Philippines,0.0235,w
944465,929529,Bengbu,China,0.0161,w
943530,928663,Villahermosa,Mexico,0.016,w
941586,946574,Dnipro,Ukraine,-0.0053,w
941508,941569,Seongnam,South Korea,-0.0001,w
940600,907739,Taiz,Yemen,0.0362,w
939166,913268,Deyang,China,0.0284,w
936997,898864,Liling,China,0.0424,w
935947,922302,Oran,Algeria,0.0148,w
934341,921524,West Rand,South Africa,0.0139,w
933395,905154,Jiangyin,China,0.0312,w
930862,956814,San Jose,CA,-0.0271,us
927532,894834,Baishan,China,0.0365,w
926095,916786,Campo Grande,Brazil,0.0102,w
922425,911014,Londrina,Brazil,0.0125,w
919654,894561,Bahawalpur,Pakistan,0.0281,w
919443,906940,Malang,Indonesia,0.0138,w
918324,896750,Guntur,India,0.0241,w
917936,903644,Dandong,China,0.0158,w
917032,911546,Liverpool,United Kingdom,0.006,w
915060,899681,Hermosillo,Mexico,0.0171,w
914036,904170,La Plata,Argentina,0.0109,w
913376,907202,Bergamo,Italy,0.0068,w
912734,911564,Ulsan,South Korea,0.0013,w
911862,902142,Concepcion,Chile,0.0108,w
910743,889876,Changzhi,China,0.0234,w
907865,907196,Columbus,OH,0.0007,us
906581,889708,Bhiwandi,India,0.019,w
905814,864183,Bogra,Bangladesh,0.0482,w
904676,861878,Cabinda,Angola,0.0497,w
904139,860555,Umuahia,Nigeria,0.0506,w
903896,890973,Trujillo,Peru,0.0145,w
903815,887092,Tyumen,Russia,0.0189,w
902353,883389,Ashgabat,Turkmenistan,0.0215,w
900692,885256,Liaoyang,China,0.0174,w
898338,876395,Changde,China,0.025,w
897983,877010,Puducherry,India,0.0239,w
897694,881638,Tuxtla Gutierrez,Mexico,0.0182,w
896716,877888,Erbil,Iraq,0.0214,w
895111,873125,Shangqiu,China,0.0252,w
894388,870224,Firozabad,India,0.0278,w
892254,878960,Soshanguve,South Africa,0.0151,w
888620,872643,Culiacan,Mexico,0.0183,w
887716,893392,Donetsk,Ukraine,-0.0064,w
886381,868161,Xingtai,China,0.021,w
885663,882681,Charlotte,NC,0.0034,us
876930,860580,Huangshi,China,0.019,w
876131,863008,Fuxin,China,0.0152,w
875496,840372,Kuerle,China,0.0418,w
872438,860353,Hufuf-Mubarraz,Saudi Arabia,0.014,w
871457,836448,Quzhou,China,0.0419,w
871449,876728,Indianapolis,IN,-0.006,us
870465,836876,Cherthala,India,0.0401,w
869773,856854,Libreville,Gabon,0.0151,w
869625,863377,Tainan,Taiwan,0.0072,w
864910,848003,Yibin,China,0.0199,w
861978,839474,Xinghua,China,0.0268,w
860522,835771,Yongzhou,China,0.0296,w
859209,847790,Banghazi,Libya,0.0135,w
857683,845243,Luzhou,China,0.0147,w
857225,842281,Ipoh,Malaysia,0.0177,w
855191,836336,Xinyang,China,0.0225,w
851630,832913,Yangquan,China,0.0225,w
849687,849675,Palermo,Italy,0,w
849580,828411,Xiaogan,China,0.0256,w
846560,819791,Enugu,Nigeria,0.0327,w
844747,822337,Maiduguri,Nigeria,0.0273,w
844249,837814,Quebec City,Canada,0.0077,w
843754,815194,Huaihua,China,0.035,w
841108,832944,Winnipeg,Canada,0.0098,w
839046,790742,Lokoja,Nigeria,0.0611,w
838377,839439,Saratov,Russia,-0.0013,w
838301,836857,Valencia,Spain,0.0017,w
837479,814639,Tianshui,China,0.028,w
835900,822533,Orumiyeh,Iran,0.0163,w
834782,816151,Zhuji,China,0.0228,w
834065,818551,Eskisehir,Turkey,0.019,w
830125,802749,Bozhou,China,0.0341,w
826981,827868,Bucheon,South Korea,-0.0011,w
826777,815308,Heze,China,0.0141,w
826414,798818,Kunshan,China,0.0345,w
825581,815141,Barcelona-Puerto La Cruz,Venezuela,0.0128,w
823431,818452,Newcastle upon Tyne,United Kingdom,0.0061,w
821192,808044,Haicheng,China,0.0163,w
821132,805739,Huludao,China,0.0191,w
818628,780349,Kottayam,India,0.0491,w
818566,802188,Bikaner,India,0.0204,w
818057,791806,Jincheng,China,0.0332,w
816293,794715,Nellore,India,0.0272,w
814524,813793,Thessaloniki,Greece,0.0009,w
814332,811707,Bologna,Italy,0.0032,w
813394,792744,Gebze,Turkey,0.026,w
813369,796139,Liaocheng,China,0.0216,w
813320,804692,Sorocaba,Brazil,0.0107,w
812090,767645,Bunia,DR Congo,0.0579,w
811451,791025,Taixing,China,0.0258,w
811041,799178,Xalapa,Mexico,0.0148,w
809468,776832,Benguela,Angola,0.042,w
807833,786186,Langfang,China,0.0275,w
806757,800394,Nottingham,United Kingdom,0.0079,w
804537,777056,Zhumadian,China,0.0354,w
803194,786304,Cagayan de Oro City,Philippines,0.0215,w
802600,784218,Dasmarinas,Philippines,0.0234,w
801853,792437,Nakhon Ratchasima,Thailand,0.0119,w
800793,779320,Sulaimaniya,Iraq,0.0276,w
800010,766392,Zanzibar,Tanzania,0.0439,w
798382,779386,Ar-Rayyan,Qatar,0.0244,w
797964,772476,Gaomi,China,0.033,w
797865,799832,Niigata,Japan,-0.0025,w
796756,773630,Meishan,China,0.0299,w
796509,785635,Jiaozuo,China,0.0138,w
796437,791232,Frankfurt,Germany,0.0066,w
795835,770665,Hanchuan,China,0.0327,w
793927,786127,Vereeniging,South Africa,0.0099,w
792620,778087,Amravati,India,0.0187,w
791931,758275,Anqiu,China,0.0444,w
791214,767107,Muzaffarnagar,India,0.0314,w
789755,767329,Danyang,China,0.0292,w
788276,776617,Gorakhpur,India,0.015,w
786192,757238,Kayamkulam,India,0.0382,w
784230,775245,Shaoguan,China,0.0116,w
783243,743760,Malanje,Angola,0.0531,w
781047,775751,Hamilton,Canada,0.0068,w
779535,762382,Anqing,China,0.0225,w
778280,764116,Bur Sa'id,Egypt,0.0185,w
778187,756083,Gaza,Palestine,0.0292,w
776076,754831,Linhai,China,0.0281,w
775559,762998,Cuttack,India,0.0165,w
774321,752919,Erduosi-Ordoss,China,0.0284,w
771515,749750,Oshogbo,Nigeria,0.029,w
771514,731511,Ibb,Yemen,0.0547,w
770959,757329,Banjarmasin,Indonesia,0.018,w
769417,769595,Krakow,Poland,-0.0002,w
768075,757011,Zigong,China,0.0146,w
767188,739777,Yan'an,China,0.0371,w
767161,752185,Belgaum,India,0.0199,w
766782,755409,Qingyuan,China,0.0151,w
766703,764669,Ansan,South Korea,0.0027,w
766007,749297,Zaria,Nigeria,0.0223,w
764628,747821,Malegaon,India,0.0225,w
762981,735499,Kitwe,Zambia,0.0374,w
761169,745467,Shaoyang,China,0.0211,w
760129,727772,Merca,Somalia,0.0445,w
759150,732643,Dengzhou,China,0.0362,w
758185,739052,Maturin,Venezuela,0.0259,w
757224,737464,Yanji,China,0.0268,w
756158,738713,Tongliao,China,0.0236,w
754711,729924,Yuncheng,China,0.034,w
753325,736488,Sialkot,Pakistan,0.0229,w
752916,734805,Tongling,China,0.0246,w
752744,729109,Tirupati,India,0.0324,w
751679,733917,Wuzhou,China,0.0242,w
750102,723114,Yuxi,China,0.0373,w
750097,733643,Suining Sichuan,China,0.0224,w
