Year,State,Income Level,Percent of Total,Number of Households
2011,Indiana,"$100,000 to $124,999",0.0698,172729
2011,Indiana,"$125,000 to $149,999",0.0375,92744
2011,Indiana,"$150,000 to $199,999",0.0295,73020
2011,Indiana,"$200,000 or more",0.0243,60165
2011,Indiana,"Less than $10,000",0.0713,176337
2011,Iowa,"$10,000 to $14,999",0.0567,69138
2011,Iowa,"$15,000 to $19,999",0.0559,68155
2011,Iowa,"$20,000 to $24,999",0.0561,68363
2011,Iowa,"$25,000 to $29,999",0.0566,69001
2011,Iowa,"$30,000 to $34,999",0.0556,67811
2011,Iowa,"$35,000 to $39,999",0.0541,65953
2011,Iowa,"$40,000 to $44,999",0.0519,63265
2011,Iowa,"$45,000 to $49,999",0.0473,57686
2011,Iowa,"$50,000 to $59,999",0.0899,109635
2011,Iowa,"$60,000 to $74,999",0.1156,140912
2011,Iowa,"$75,000 to $99,999",0.1329,161980
2011,Iowa,"$100,000 to $124,999",0.0746,90993
2011,Iowa,"$125,000 to $149,999",0.0367,44785
2011,Iowa,"$150,000 to $199,999",0.0302,36837
2011,Iowa,"$200,000 or more",0.0246,29992
2011,Iowa,"Less than $10,000",0.0612,74631
2011,Kansas,"$10,000 to $14,999",0.0528,58265
2011,Kansas,"$15,000 to $19,999",0.0542,59857
2011,Kansas,"$20,000 to $24,999",0.057,62958
2011,Kansas,"$25,000 to $29,999",0.0569,62882
2011,Kansas,"$30,000 to $34,999",0.0553,61053
2011,Kansas,"$35,000 to $39,999",0.0543,59975
2011,Kansas,"$40,000 to $44,999",0.0526,58129
2011,Kansas,"$45,000 to $49,999",0.0469,51823
2011,Kansas,"$50,000 to $59,999",0.086,94952
2011,Kansas,"$60,000 to $74,999",0.1088,120128
2011,Kansas,"$75,000 to $99,999",0.1262,139416
2011,Kansas,"$100,000 to $124,999",0.0765,84484
2011,Kansas,"$125,000 to $149,999",0.0403,44496
2011,Kansas,"$150,000 to $199,999",0.0363,40106
2011,Kansas,"$200,000 or more",0.0318,35088
2011,Kansas,"Less than $10,000",0.0642,70867
2011,Kentucky,"$10,000 to $14,999",0.0727,122141
2011,Kentucky,"$15,000 to $19,999",0.0667,112108
2011,Kentucky,"$20,000 to $24,999",0.0635,106711
2011,Kentucky,"$25,000 to $29,999",0.0597,100332
2011,Kentucky,"$30,000 to $34,999",0.0583,98008
2011,Kentucky,"$35,000 to $39,999",0.0527,88659
2011,Kentucky,"$40,000 to $44,999",0.0508,85449
2011,Kentucky,"$45,000 to $49,999",0.0443,74507
2011,Kentucky,"$50,000 to $59,999",0.0812,136443
2011,Kentucky,"$60,000 to $74,999",0.0969,162844
2011,Kentucky,"$75,000 to $99,999",0.1093,183726
2011,Kentucky,"$100,000 to $124,999",0.0615,103383
2011,Kentucky,"$125,000 to $149,999",0.0324,54445
2011,Kentucky,"$150,000 to $199,999",0.0253,42508
2011,Kentucky,"$200,000 or more",0.0226,37928
2011,Kentucky,"Less than $10,000",0.1023,171893
2011,Louisiana,"$10,000 to $14,999",0.0706,118274
2011,Louisiana,"$15,000 to $19,999",0.0667,111684
2011,Louisiana,"$20,000 to $24,999",0.061,102179
2011,Louisiana,"$25,000 to $29,999",0.0582,97409
2011,Louisiana,"$30,000 to $34,999",0.0547,91589
2011,Louisiana,"$35,000 to $39,999",0.0497,83185
2011,Louisiana,"$40,000 to $44,999",0.0486,81399
2011,Louisiana,"$45,000 to $49,999",0.0422,70616
2011,Louisiana,"$50,000 to $59,999",0.0752,126034
2011,Louisiana,"$60,000 to $74,999",0.0929,155661
2011,Louisiana,"$75,000 to $99,999",0.1123,188064
2011,Louisiana,"$100,000 to $124,999",0.0683,114387
2011,Louisiana,"$125,000 to $149,999",0.0385,64542
2011,Louisiana,"$150,000 to $199,999",0.0338,56639
2011,Louisiana,"$200,000 or more",0.0286,47969
2011,Louisiana,"Less than $10,000",0.0988,165466
2011,Maine,"$10,000 to $14,999",0.0646,35608
2011,Maine,"$15,000 to $19,999",0.0597,32939
2011,Maine,"$20,000 to $24,999",0.0613,33800
2011,Maine,"$25,000 to $29,999",0.0573,31628
2011,Maine,"$30,000 to $34,999",0.0574,31662
2011,Maine,"$35,000 to $39,999",0.0516,28468
2011,Maine,"$40,000 to $44,999",0.0515,28406
2011,Maine,"$45,000 to $49,999",0.0463,25535
2011,Maine,"$50,000 to $59,999",0.0874,48236
2011,Maine,"$60,000 to $74,999",0.1106,60999
2011,Maine,"$75,000 to $99,999",0.1254,69190
2011,Maine,"$100,000 to $124,999",0.0689,38016
2011,Maine,"$125,000 to $149,999",0.0354,19547
2011,Maine,"$150,000 to $199,999",0.0302,16662
2011,Maine,"$200,000 or more",0.0236,13000
2011,Maine,"Less than $10,000",0.0687,37905
2011,Maryland,"$10,000 to $14,999",0.0331,70539
2011,Maryland,"$15,000 to $19,999",0.0329,69958
2011,Maryland,"$20,000 to $24,999",0.0353,75131
2011,Maryland,"$25,000 to $29,999",0.0366,77910
2011,Maryland,"$30,000 to $34,999",0.0389,82726
2011,Maryland,"$35,000 to $39,999",0.0373,79389
2011,Maryland,"$40,000 to $44,999",0.0396,84182
2011,Maryland,"$45,000 to $49,999",0.0356,75740
2011,Maryland,"$50,000 to $59,999",0.0768,163425
2011,Maryland,"$60,000 to $74,999",0.1004,213641
2011,Maryland,"$75,000 to $99,999",0.1393,296550
2011,Maryland,"$100,000 to $124,999",0.1061,225900
2011,Maryland,"$125,000 to $149,999",0.0742,157853
2011,Maryland,"$150,000 to $199,999",0.0833,177375
2011,Maryland,"$200,000 or more",0.0806,171527
2011,Maryland,"Less than $10,000",0.0501,106531
2011,Massachusetts,"$10,000 to $14,999",0.0513,129435
2011,Massachusetts,"$15,000 to $19,999",0.0432,109064
2011,Massachusetts,"$20,000 to $24,999",0.0408,102932
2011,Massachusetts,"$25,000 to $29,999",0.0381,96152
2011,Massachusetts,"$30,000 to $34,999",0.0403,101604
2011,Massachusetts,"$35,000 to $39,999",0.037,93312
2011,Massachusetts,"$40,000 to $44,999",0.0385,97160
2011,Massachusetts,"$45,000 to $49,999",0.0355,89560
2011,Massachusetts,"$50,000 to $59,999",0.0703,177240
2011,Massachusetts,"$60,000 to $74,999",0.0948,239046
2011,Massachusetts,"$75,000 to $99,999",0.1339,337712
2011,Massachusetts,"$100,000 to $124,999",0.0992,250179
2011,Massachusetts,"$125,000 to $149,999",0.0667,168215
2011,Massachusetts,"$150,000 to $199,999",0.0729,183992
2011,Massachusetts,"$200,000 or more",0.0724,182735
2011,Massachusetts,"Less than $10,000",0.065,164071
2011,Michigan,"$10,000 to $14,999",0.057,218084
2011,Michigan,"$15,000 to $19,999",0.0578,220968
2011,Michigan,"$20,000 to $24,999",0.0582,222623
2011,Michigan,"$25,000 to $29,999",0.0559,213918
2011,Michigan,"$30,000 to $34,999",0.0552,211297
2011,Michigan,"$35,000 to $39,999",0.052,198856
2011,Michigan,"$40,000 to $44,999",0.0512,195678
2011,Michigan,"$45,000 to $49,999",0.0447,170871
2011,Michigan,"$50,000 to $59,999",0.0847,323961
2011,Michigan,"$60,000 to $74,999",0.1024,391793
2011,Michigan,"$75,000 to $99,999",0.1211,463228
2011,Michigan,"$100,000 to $124,999",0.0736,281389
2011,Michigan,"$125,000 to $149,999",0.0411,157170
2011,Michigan,"$150,000 to $199,999",0.0366,139877
2011,Michigan,"$200,000 or more",0.0293,111963
2011,Michigan,"Less than $10,000",0.0793,303506
2011,Minnesota,"$10,000 to $14,999",0.0462,96772
2011,Minnesota,"$15,000 to $19,999",0.047,98492
2011,Minnesota,"$20,000 to $24,999",0.0454,95086
2011,Minnesota,"$25,000 to $29,999",0.0472,98847
2011,Minnesota,"$30,000 to $34,999",0.0478,100030
2011,Minnesota,"$35,000 to $39,999",0.0463,97059
2011,Minnesota,"$40,000 to $44,999",0.0476,99607
2011,Minnesota,"$45,000 to $49,999",0.0418,87582
2011,Minnesota,"$50,000 to $59,999",0.0851,178169
2011,Minnesota,"$60,000 to $74,999",0.1127,236069
2011,Minnesota,"$75,000 to $99,999",0.1426,298649
2011,Minnesota,"$100,000 to $124,999",0.0908,190176
2011,Minnesota,"$125,000 to $149,999",0.0516,107983
2011,Minnesota,"$150,000 to $199,999",0.0482,100941
2011,Minnesota,"$200,000 or more",0.0425,88905
2011,Minnesota,"Less than $10,000",0.0573,119898
2011,Mississippi,"$10,000 to $14,999",0.0826,89679
2011,Mississippi,"$15,000 to $19,999",0.0745,80840
2011,Mississippi,"$20,000 to $24,999",0.0678,73543
2011,Mississippi,"$25,000 to $29,999",0.062,67241
2011,Mississippi,"$30,000 to $34,999",0.0581,63046
2011,Mississippi,"$35,000 to $39,999",0.0539,58453
2011,Mississippi,"$40,000 to $44,999",0.0483,52390
2011,Mississippi,"$45,000 to $49,999",0.0429,46501
2011,Mississippi,"$50,000 to $59,999",0.0781,84695
2011,Mississippi,"$60,000 to $74,999",0.0913,99069
2011,Mississippi,"$75,000 to $99,999",0.1005,109100
2011,Mississippi,"$100,000 to $124,999",0.0545,59092
2011,Mississippi,"$125,000 to $149,999",0.0275,29789
2011,Mississippi,"$150,000 to $199,999",0.0239,25975
2011,Mississippi,"$200,000 or more",0.0203,22034
2011,Mississippi,"Less than $10,000",0.1139,123615
2011,Missouri,"$10,000 to $14,999",0.0603,142022
2011,Missouri,"$15,000 to $19,999",0.0589,138588
2011,Missouri,"$20,000 to $24,999",0.0597,140428
2011,Missouri,"$25,000 to $29,999",0.059,138906
2011,Missouri,"$30,000 to $34,999",0.0575,135387
2011,Missouri,"$35,000 to $39,999",0.0537,126486
2011,Missouri,"$40,000 to $44,999",0.0525,123596
2011,Missouri,"$45,000 to $49,999",0.0458,107730
2011,Missouri,"$50,000 to $59,999",0.0871,205010
2011,Missouri,"$60,000 to $74,999",0.1034,243347
2011,Missouri,"$75,000 to $99,999",0.1193,280741
2011,Missouri,"$100,000 to $124,999",0.0686,161399
2011,Missouri,"$125,000 to $149,999",0.0375,88300
2011,Missouri,"$150,000 to $199,999",0.0324,76263
2011,Missouri,"$200,000 or more",0.0272,64065
2011,Missouri,"Less than $10,000",0.0772,181836
2011,Montana,"$10,000 to $14,999",0.0639,25774
2011,Montana,"$15,000 to $19,999",0.0656,26485
2011,Montana,"$20,000 to $24,999",0.0642,25920
2011,Montana,"$25,000 to $29,999",0.062,25001
2011,Montana,"$30,000 to $34,999",0.0611,24656
2011,Montana,"$35,000 to $39,999",0.0553,22299
2011,Montana,"$40,000 to $44,999",0.0527,21254
2011,Montana,"$45,000 to $49,999",0.0495,19985
2011,Montana,"$50,000 to $59,999",0.0881,35533
2011,Montana,"$60,000 to $74,999",0.1056,42604
2011,Montana,"$75,000 to $99,999",0.1185,47826
2011,Montana,"$100,000 to $124,999",0.0641,25874
2011,Montana,"$125,000 to $149,999",0.0318,12812
2011,Montana,"$150,000 to $199,999",0.0253,10219
2011,Montana,"$200,000 or more",0.0205,8276
2011,Montana,"Less than $10,000",0.0718,28977
2011,Nebraska,"$10,000 to $14,999",0.0557,39830
2011,Nebraska,"$15,000 to $19,999",0.0544,38909
2011,Nebraska,"$20,000 to $24,999",0.0574,41115
2011,Nebraska,"$25,000 to $29,999",0.0563,40317
2011,Nebraska,"$30,000 to $34,999",0.0583,41709
2011,Nebraska,"$35,000 to $39,999",0.0525,37560
2011,Nebraska,"$40,000 to $44,999",0.0517,36969
2011,Nebraska,"$45,000 to $49,999",0.0452,32374
2011,Nebraska,"$50,000 to $59,999",0.0919,65790
2011,Nebraska,"$60,000 to $74,999",0.1124,80431
2011,Nebraska,"$75,000 to $99,999",0.1318,94334
2011,Nebraska,"$100,000 to $124,999",0.074,52974
2011,Nebraska,"$125,000 to $149,999",0.0379,27150
2011,Nebraska,"$150,000 to $199,999",0.0315,22574
2011,Nebraska,"$200,000 or more",0.0276,19729
2011,Nebraska,"Less than $10,000",0.0614,43938
2011,Nevada,"$10,000 to $14,999",0.0413,40750
2011,Nevada,"$15,000 to $19,999",0.0472,46571
2011,Nevada,"$20,000 to $24,999",0.0492,48586
2011,Nevada,"$25,000 to $29,999",0.0533,52611
2011,Nevada,"$30,000 to $34,999",0.0535,52792
2011,Nevada,"$35,000 to $39,999",0.0485,47824
2011,Nevada,"$40,000 to $44,999",0.0511,50398
2011,Nevada,"$45,000 to $49,999",0.0446,43994
2011,Nevada,"$50,000 to $59,999",0.0898,88656
2011,Nevada,"$60,000 to $74,999",0.1146,113127
2011,Nevada,"$75,000 to $99,999",0.1352,133409
2011,Nevada,"$100,000 to $124,999",0.0832,82111
2011,Nevada,"$125,000 to $149,999",0.0505,49861
2011,Nevada,"$150,000 to $199,999",0.0432,42671
2011,Nevada,"$200,000 or more",0.0361,35644
2011,Nevada,"Less than $10,000",0.0585,57736
2011,New Hampshire,"$10,000 to $14,999",0.0399,20563
2011,New Hampshire,"$15,000 to $19,999",0.038,19548
2011,New Hampshire,"$20,000 to $24,999",0.0451,23206
2011,New Hampshire,"$25,000 to $29,999",0.0434,22350
2011,New Hampshire,"$30,000 to $34,999",0.0439,22614
2011,New Hampshire,"$35,000 to $39,999",0.0441,22705
2011,New Hampshire,"$40,000 to $44,999",0.0444,22861
2011,New Hampshire,"$45,000 to $49,999",0.0409,21045
2011,New Hampshire,"$50,000 to $59,999",0.0807,41529
2011,New Hampshire,"$60,000 to $74,999",0.1096,56434
2011,New Hampshire,"$75,000 to $99,999",0.1462,75254
2011,New Hampshire,"$100,000 to $124,999",0.103,53049
2011,New Hampshire,"$125,000 to $149,999",0.0644,33151
2011,New Hampshire,"$150,000 to $199,999",0.0624,32118
2011,New Hampshire,"$200,000 or more",0.0498,25658
2011,New Hampshire,"Less than $10,000",0.0443,22784
2011,New Jersey,"$10,000 to $14,999",0.0387,123004
2011,New Jersey,"$15,000 to $19,999",0.0396,126048
2011,New Jersey,"$20,000 to $24,999",0.039,123902
2011,New Jersey,"$25,000 to $29,999",0.0402,127943
2011,New Jersey,"$30,000 to $34,999",0.0388,123403
2011,New Jersey,"$35,000 to $39,999",0.0367,116878
2011,New Jersey,"$40,000 to $44,999",0.0379,120542
2011,New Jersey,"$45,000 to $49,999",0.0342,108734
2011,New Jersey,"$50,000 to $59,999",0.0716,227658
2011,New Jersey,"$60,000 to $74,999",0.0942,299482
2011,New Jersey,"$75,000 to $99,999",0.1325,421305
2011,New Jersey,"$100,000 to $124,999",0.1035,329359
2011,New Jersey,"$125,000 to $149,999",0.0716,227680
2011,New Jersey,"$150,000 to $199,999",0.0817,259775
2011,New Jersey,"$200,000 or more",0.0882,280536
2011,New Jersey,"Less than $10,000",0.0517,164605
2011,New Mexico,"$10,000 to $14,999",0.0641,48812
2011,New Mexico,"$15,000 to $19,999",0.0624,47540
2011,New Mexico,"$20,000 to $24,999",0.0657,50046
2011,New Mexico,"$25,000 to $29,999",0.0584,44535
2011,New Mexico,"$30,000 to $34,999",0.0587,44702
2011,New Mexico,"$35,000 to $39,999",0.0535,40774
2011,New Mexico,"$40,000 to $44,999",0.0502,38287
2011,New Mexico,"$45,000 to $49,999",0.0452,34417
2011,New Mexico,"$50,000 to $59,999",0.0788,60050
2011,New Mexico,"$60,000 to $74,999",0.0963,73355
2011,New Mexico,"$75,000 to $99,999",0.1119,85299
2011,New Mexico,"$100,000 to $124,999",0.0662,50466
2011,New Mexico,"$125,000 to $149,999",0.0375,28562
2011,New Mexico,"$150,000 to $199,999",0.034,25930
2011,New Mexico,"$200,000 or more",0.0266,20237
2011,New Mexico,"Less than $10,000",0.0905,68990
2011,New York,"$10,000 to $14,999",0.0523,377349
2011,New York,"$15,000 to $19,999",0.0501,361856
2011,New York,"$20,000 to $24,999",0.0488,352219
2011,New York,"$25,000 to $29,999",0.0465,335537
2011,New York,"$30,000 to $34,999",0.0461,332716
2011,New York,"$35,000 to $39,999",0.0422,304265
2011,New York,"$40,000 to $44,999",0.0428,308675
2011,New York,"$45,000 to $49,999",0.0373,269251
2011,New York,"$50,000 to $59,999",0.0753,543042
2011,New York,"$60,000 to $74,999",0.0957,690273
2011,New York,"$75,000 to $99,999",0.1214,875786
2011,New York,"$100,000 to $124,999",0.0843,608511
2011,New York,"$125,000 to $149,999",0.0546,393753
2011,New York,"$150,000 to $199,999",0.0584,421066
2011,New York,"$200,000 or more",0.0655,472295
2011,New York,"Less than $10,000",0.0789,569093
2011,North Carolina,"$10,000 to $14,999",0.0635,232518
2011,North Carolina,"$15,000 to $19,999",0.0601,220391
2011,North Carolina,"$20,000 to $24,999",0.0594,217829
2011,North Carolina,"$25,000 to $29,999",0.0589,215749
2011,North Carolina,"$30,000 to $34,999",0.0589,215981
2011,North Carolina,"$35,000 to $39,999",0.0533,195173
2011,North Carolina,"$40,000 to $44,999",0.0509,186345
2011,North Carolina,"$45,000 to $49,999",0.046,168586
2011,North Carolina,"$50,000 to $59,999",0.0838,306912
2011,North Carolina,"$60,000 to $74,999",0.1007,369001
2011,North Carolina,"$75,000 to $99,999",0.114,417611
2011,North Carolina,"$100,000 to $124,999",0.0662,242440
2011,North Carolina,"$125,000 to $149,999",0.0372,136149
2011,North Carolina,"$150,000 to $199,999",0.0339,124300
2011,North Carolina,"$200,000 or more",0.0311,114075
2011,North Carolina,"Less than $10,000",0.0822,301059
2011,North Dakota,"$10,000 to $14,999",0.0583,16255
2011,North Dakota,"$15,000 to $19,999",0.0547,15246
2011,North Dakota,"$20,000 to $24,999",0.0566,15771
2011,North Dakota,"$25,000 to $29,999",0.0571,15909
2011,North Dakota,"$30,000 to $34,999",0.0596,16614
2011,North Dakota,"$35,000 to $39,999",0.0501,13962
2011,North Dakota,"$40,000 to $44,999",0.0505,14079
2011,North Dakota,"$45,000 to $49,999",0.0433,12070
2011,North Dakota,"$50,000 to $59,999",0.0842,23462
2011,North Dakota,"$60,000 to $74,999",0.1125,31345
2011,North Dakota,"$75,000 to $99,999",0.1315,36648
2011,North Dakota,"$100,000 to $124,999",0.0744,20729
2011,North Dakota,"$125,000 to $149,999",0.0374,10416
2011,North Dakota,"$150,000 to $199,999",0.0281,7828
2011,North Dakota,"$200,000 or more",0.0272,7570
2011,North Dakota,"Less than $10,000",0.0745,20765
2011,Ohio,"$10,000 to $14,999",0.0588,267654
2011,Ohio,"$15,000 to $19,999",0.0579,263729
2011,Ohio,"$20,000 to $24,999",0.0576,262284
2011,Ohio,"$25,000 to $29,999",0.0559,254393
2011,Ohio,"$30,000 to $34,999",0.0569,259127
2011,Ohio,"$35,000 to $39,999",0.0528,240621
2011,Ohio,"$40,000 to $44,999",0.0508,231194
2011,Ohio,"$45,000 to $49,999",0.045,204865
2011,Ohio,"$50,000 to $59,999",0.0844,384375
2011,Ohio,"$60,000 to $74,999",0.1064,484532
2011,Ohio,"$75,000 to $99,999",0.1209,550373
2011,Ohio,"$100,000 to $124,999",0.0715,325409
2011,Ohio,"$125,000 to $149,999",0.0384,174795
2011,Ohio,"$150,000 to $199,999",0.0344,156516
2011,Ohio,"$200,000 or more",0.0276,125730
2011,Ohio,"Less than $10,000",0.0809,368410
2011,Oklahoma,"$10,000 to $14,999",0.0659,94356
2011,Oklahoma,"$15,000 to $19,999",0.0634,90907
2011,Oklahoma,"$20,000 to $24,999",0.0627,89823
2011,Oklahoma,"$25,000 to $29,999",0.064,91628
2011,Oklahoma,"$30,000 to $34,999",0.0589,84348
2011,Oklahoma,"$35,000 to $39,999",0.0553,79215
2011,Oklahoma,"$40,000 to $44,999",0.0536,76847
2011,Oklahoma,"$45,000 to $49,999",0.0451,64612
2011,Oklahoma,"$50,000 to $59,999",0.0859,123078
2011,Oklahoma,"$60,000 to $74,999",0.1007,144250
2011,Oklahoma,"$75,000 to $99,999",0.1124,161042
2011,Oklahoma,"$100,000 to $124,999",0.0635,91038
2011,Oklahoma,"$125,000 to $149,999",0.0333,47640
2011,Oklahoma,"$150,000 to $199,999",0.0274,39282
2011,Oklahoma,"$200,000 or more",0.0246,35206
2011,Oklahoma,"Less than $10,000",0.0834,119463
2011,Oregon,"$10,000 to $14,999",0.0549,82828
2011,Oregon,"$15,000 to $19,999",0.0567,85525
2011,Oregon,"$20,000 to $24,999",0.0574,86698
2011,Oregon,"$25,000 to $29,999",0.0556,83882
2011,Oregon,"$30,000 to $34,999",0.0565,85272
2011,Oregon,"$35,000 to $39,999",0.0524,79033
2011,Oregon,"$40,000 to $44,999",0.0506,76440
2011,Oregon,"$45,000 to $49,999",0.0448,67637
2011,Oregon,"$50,000 to $59,999",0.0853,128815
2011,Oregon,"$60,000 to $74,999",0.1074,162056
2011,Oregon,"$75,000 to $99,999",0.1244,187776
2011,Oregon,"$100,000 to $124,999",0.0733,110643
2011,Oregon,"$125,000 to $149,999",0.0415,62656
2011,Oregon,"$150,000 to $199,999",0.0361,54458
2011,Oregon,"$200,000 or more",0.0308,46431
2011,Oregon,"Less than $10,000",0.0725,109404
2011,Pennsylvania,"$10,000 to $14,999",0.0566,280290
2011,Pennsylvania,"$15,000 to $19,999",0.0562,278376
2011,Pennsylvania,"$20,000 to $24,999",0.0548,271452
2011,Pennsylvania,"$25,000 to $29,999",0.0534,264584
2011,Pennsylvania,"$30,000 to $34,999",0.053,262402
2011,Pennsylvania,"$35,000 to $39,999",0.0489,242356
2011,Pennsylvania,"$40,000 to $44,999",0.0486,240757
2011,Pennsylvania,"$45,000 to $49,999",0.0429,212315
2011,Pennsylvania,"$50,000 to $59,999",0.0842,417107
2011,Pennsylvania,"$60,000 to $74,999",0.1048,518905
2011,Pennsylvania,"$75,000 to $99,999",0.1249,618470
2011,Pennsylvania,"$100,000 to $124,999",0.0778,385429
2011,Pennsylvania,"$125,000 to $149,999",0.0441,218497
2011,Pennsylvania,"$150,000 to $199,999",0.0413,204504
2011,Pennsylvania,"$200,000 or more",0.0382,189434
2011,Pennsylvania,"Less than $10,000",0.0702,347688
2011,Puerto Rico,"$10,000 to $14,999",0.1241,152681
2011,Puerto Rico,"$15,000 to $19,999",0.0997,122580
2011,Puerto Rico,"$20,000 to $24,999",0.0779,95794
2011,Puerto Rico,"$25,000 to $29,999",0.0652,80206
2011,Puerto Rico,"$30,000 to $34,999",0.0574,70655
2011,Puerto Rico,"$35,000 to $39,999",0.0473,58144
2011,Puerto Rico,"$40,000 to $44,999",0.0386,47478
2011,Puerto Rico,"$45,000 to $49,999",0.0313,38493
2011,Puerto Rico,"$50,000 to $59,999",0.0485,59615
2011,Puerto Rico,"$60,000 to $74,999",0.0453,55669
2011,Puerto Rico,"$75,000 to $99,999",0.0351,43157
2011,Puerto Rico,"$100,000 to $124,999",0.0165,20269
2011,Puerto Rico,"$125,000 to $149,999",0.0077,9489
2011,Puerto Rico,"$150,000 to $199,999",0.0067,8261
2011,Puerto Rico,"$200,000 or more",0.0066,8179
2011,Puerto Rico,"Less than $10,000",0.2922,359423
2011,Rhode Island,"$10,000 to $14,999",0.0583,23949
2011,Rhode Island,"$15,000 to $19,999",0.0513,21073
2011,Rhode Island,"$20,000 to $24,999",0.0482,19777
2011,Rhode Island,"$25,000 to $29,999",0.0446,18319
2011,Rhode Island,"$30,000 to $34,999",0.0455,18683
2011,Rhode Island,"$35,000 to $39,999",0.0445,18282
2011,Rhode Island,"$40,000 to $44,999",0.0446,18293
2011,Rhode Island,"$45,000 to $49,999",0.0366,15013
2011,Rhode Island,"$50,000 to $59,999",0.0786,32276
2011,Rhode Island,"$60,000 to $74,999",0.0968,39734
2011,Rhode Island,"$75,000 to $99,999",0.1346,55265
2011,Rhode Island,"$100,000 to $124,999",0.0899,36905
2011,Rhode Island,"$125,000 to $149,999",0.0548,22482
2011,Rhode Island,"$150,000 to $199,999",0.0521,21368
2011,Rhode Island,"$200,000 or more",0.0433,17757
2011,Rhode Island,"Less than $10,000",0.0763,31299
2011,South Carolina,"$10,000 to $14,999",0.0651,114539
2011,South Carolina,"$15,000 to $19,999",0.0632,111169
2011,South Carolina,"$20,000 to $24,999",0.0625,109908
2011,South Carolina,"$25,000 to $29,999",0.0585,102925
2011,South Carolina,"$30,000 to $34,999",0.058,102087
2011,South Carolina,"$35,000 to $39,999",0.0544,95708
2011,South Carolina,"$40,000 to $44,999",0.0504,88704
2011,South Carolina,"$45,000 to $49,999",0.0437,76909
2011,South Carolina,"$50,000 to $59,999",0.0842,148132
2011,South Carolina,"$60,000 to $74,999",0.0991,174323
2011,South Carolina,"$75,000 to $99,999",0.1136,199795
2011,South Carolina,"$100,000 to $124,999",0.0662,116342
2011,South Carolina,"$125,000 to $149,999",0.0348,61272
2011,South Carolina,"$150,000 to $199,999",0.0293,51528
2011,South Carolina,"$200,000 or more",0.0251,44092
2011,South Carolina,"Less than $10,000",0.0917,161299
2011,South Dakota,"$10,000 to $14,999",0.0596,18968
2011,South Dakota,"$15,000 to $19,999",0.0524,16685
2011,South Dakota,"$20,000 to $24,999",0.06,19106
2011,South Dakota,"$25,000 to $29,999",0.0598,19032
2011,South Dakota,"$30,000 to $34,999",0.0644,20511
2011,South Dakota,"$35,000 to $39,999",0.0536,17054
2011,South Dakota,"$40,000 to $44,999",0.0517,16452
2011,South Dakota,"$45,000 to $49,999",0.0457,14554
2011,South Dakota,"$50,000 to $59,999",0.0919,29265
2011,South Dakota,"$60,000 to $74,999",0.1151,36642
2011,South Dakota,"$75,000 to $99,999",0.1301,41427
2011,South Dakota,"$100,000 to $124,999",0.0666,21200
2011,South Dakota,"$125,000 to $149,999",0.0302,9625
2011,South Dakota,"$150,000 to $199,999",0.0246,7829
2011,South Dakota,"$200,000 or more",0.0243,7744
2011,South Dakota,"Less than $10,000",0.0702,22372
2011,Tennessee,"$10,000 to $14,999",0.067,164640
2011,Tennessee,"$15,000 to $19,999",0.0652,160191
2011,Tennessee,"$20,000 to $24,999",0.0614,150929
2011,Tennessee,"$25,000 to $29,999",0.0599,147356
2011,Tennessee,"$30,000 to $34,999",0.0598,146991
2011,Tennessee,"$35,000 to $39,999",0.0549,134825
2011,Tennessee,"$40,000 to $44,999",0.0516,126896
2011,Tennessee,"$45,000 to $49,999",0.0454,111481
2011,Tennessee,"$50,000 to $59,999",0.0847,208310
2011,Tennessee,"$60,000 to $74,999",0.1002,246308
2011,Tennessee,"$75,000 to $99,999",0.1099,270248
2011,Tennessee,"$100,000 to $124,999",0.0603,148234
2011,Tennessee,"$125,000 to $149,999",0.0321,78991
2011,Tennessee,"$150,000 to $199,999",0.0292,71835
2011,Tennessee,"$200,000 or more",0.0285,70001
2011,Tennessee,"Less than $10,000",0.0898,220761
2011,Texas,"$10,000 to $14,999",0.0551,477720
2011,Texas,"$15,000 to $19,999",0.0552,478837
2011,Texas,"$20,000 to $24,999",0.0557,483023
2011,Texas,"$25,000 to $29,999",0.0556,482019
2011,Texas,"$30,000 to $34,999",0.0539,467601
2011,Texas,"$35,000 to $39,999",0.0499,432492
2011,Texas,"$40,000 to $44,999",0.049,424455
2011,Texas,"$45,000 to $49,999",0.042,364109
2011,Texas,"$50,000 to $59,999",0.081,702011
2011,Texas,"$60,000 to $74,999",0.0994,861729
2011,Texas,"$75,000 to $99,999",0.1179,1022013
2011,Texas,"$100,000 to $124,999",0.077,667293
2011,Texas,"$125,000 to $149,999",0.0451,390838
2011,Texas,"$150,000 to $199,999",0.0447,387351
2011,Texas,"$200,000 or more",0.0437,378868
2011,Texas,"Less than $10,000",0.0747,647448
2011,Utah,"$10,000 to $14,999",0.0403,35136
2011,Utah,"$15,000 to $19,999",0.0408,35541
2011,Utah,"$20,000 to $24,999",0.0454,39593
2011,Utah,"$25,000 to $29,999",0.047,40982
2011,Utah,"$30,000 to $34,999",0.0509,44323
2011,Utah,"$35,000 to $39,999",0.0502,43707
2011,Utah,"$40,000 to $44,999",0.052,45290
2011,Utah,"$45,000 to $49,999",0.047,40937
2011,Utah,"$50,000 to $59,999",0.097,84507
2011,Utah,"$60,000 to $74,999",0.1246,108610
