Transaction_ID,Timestamp,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_Plate_Number,Fraud_indicator
1009,1/9/2023 8:42,Bus ,FTG-234-DEF-890,C-103,Express,Large,340,150,"12.84197701525119, 77.67547528176169",53,MH07OP9012,Fraud
1010,2/13/2023 13:15,Car,FTG-567-GHI-123,A-101,Regular,Small,100,90,"12.84197701525119, 77.67547528176169",79,AP08QR3456,Fraud
1011,3/20/2023 16:54,Motorcycle,FTG-890-JKL-456,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",61,GA08ST7890,Not Fraud
1012,4/28/2023 10:30,Truck,FTG-123-MNO-789,C-103,Regular,Large,340,90,"12.84197701525119, 77.67547528176169",89,MH08UV1234,Fraud
1013,6/2/2023 16:08,Van,FTG-456-PQR-012,B-102,Express,Medium,130,100,"12.84197701525119, 77.67547528176169",44,AP09WX5678,Fraud
1014,7/8/2023 19:45,Sedan,FTG-789-STU-345,A-101,Regular,Medium,120,90,"12.84197701525119, 77.67547528176169",78,GA09YZ9012,Fraud
1015,8/15/2023 22:23,SUV,FTG-012-VWX-678,B-102,Express,Large,150,90,"12.84197701525119, 77.67547528176169",67,MH09AB1234,Fraud
1016,9/23/2023 6:00,Bus ,FTG-345-YZA-901,C-103,Regular,Large,340,90,"12.84197701525119, 77.67547528176169",95,AP10CD5678,Fraud
1017,10/30/2023 11:00,Car,FTG-678-BCD-234,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",55,GA10EF9012,Not Fraud
1018,12/5/2023 14:37,Motorcycle,FTG-901-EFG-567,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",80,MH10GH3456,Not Fraud
1019,1/10/2023 8:46,Truck,FTG-234-HIJ-890,C-103,Express,Large,340,90,"12.84197701525119, 77.67547528176169",62,AP11IJ7890,Fraud
1020,2/14/2023 13:20,Van,FTG-567-KLM-123,B-102,Regular,Medium,130,100,"12.84197701525119, 77.67547528176169",87,GA11KL1234,Fraud
1021,3/21/2023 17:00,Sedan,FTG-890-NOP-456,A-101,Express,Medium,120,100,"12.84197701525119, 77.67547528176169",47,MH11MN5678,Fraud
1022,4/29/2023 10:35,SUV,FTG-123-QRS-789,B-102,Regular,Large,150,120,"12.84197701525119, 77.67547528176169",73,AP12OP9012,Fraud
1023,6/3/2023 16:13,Bus ,FTG-456-TUV-012,C-103,Express,Large,340,100,"12.84197701525119, 77.67547528176169",68,GA12QR3456,Fraud
1024,7/9/2023 19:50,Car,FTG-789-WXY-345,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",91,MH12ST7890,Not Fraud
1025,8/16/2023 22:27,Motorcycle,FTG-012-ZAB-678,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",52,AP13UV1234,Not Fraud
1026,9/24/2023 6:05,Truck,FTG-345-CDE-901,C-103,Regular,Large,340,100,"12.84197701525119, 77.67547528176169",82,GA13WX5678,Fraud
1027,10/31/2023 11:07,Van,FTG-678-FGH-234,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",56,MH13YZ9012,Not Fraud
1028,12/6/2023 14:44,Sedan,FTG-901-IJK-567,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",84,AP14AB1234,Not Fraud
1029,1/11/2023 8:49,SUV,FTG-234-LMN-890,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",69,GA14CD5678,Not Fraud
1030,2/15/2023 13:25,Bus ,FTG-567-OPQ-123,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",94,MH14EF9012,Not Fraud
1031,3/22/2023 17:05,Car,FTG-890-RST-456,A-101,Express,Small,100,60,"12.84197701525119, 77.67547528176169",49,AP15GH3456,Fraud
1032,4/30/2023 10:40,Motorcycle,FTG-123-UVW-789,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",76,GA15IJ7890,Not Fraud
1033,6/4/2023 16:18,Truck,FTG-456-XYZ-012,C-103,Express,Large,340,150,"12.84197701525119, 77.67547528176169",63,MH15KL1234,Fraud
1034,7/10/2023 19:55,Van,FTG-789-BCA-345,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",88,AP16MN5678,Not Fraud
1035,8/17/2023 22:32,Sedan,FTG-012-DEF-678,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",74,GA16OP9012,Not Fraud
1036,9/25/2023 6:10,SUV,FTG-345-GHI-901,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",96,MH16QR3456,Not Fraud
1037,11/1/2023 11:14,Bus ,FTG-678-JKL-234,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",61,AP17ST7890,Not Fraud
1038,12/7/2023 14:51,Car,FTG-901-MNO-567,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",85,GA17UV1234,Not Fraud
1039,1/12/2023 8:52,Motorcycle,FTG-234-PQR-890,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",52,MH17WX5678,Not Fraud
1040,2/16/2023 13:30,Truck,FTG-567-STU-123,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",79,AP18YZ9012,Not Fraud
1041,3/23/2023 17:11,Van,FTG-890-VWX-456,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",66,GA18AB1234,Not Fraud
1042,5/1/2023 10:45,Sedan,FTG-123-YZA-789,A-101,Regular,Medium,120,100,"12.84197701525119, 77.67547528176169",90,MH18CD5678,Fraud
1043,6/5/2023 16:23,SUV,FTG-456-BCD-012,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",48,AP19EF9012,Not Fraud
1044,7/11/2023 20:00,Bus ,FTG-789-EFG-345,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",77,GA19GH3456,Not Fraud
1045,8/18/2023 22:36,Car,FTG-012-HIJ-678,A-101,Express,Small,100,80,"12.84197701525119, 77.67547528176169",60,MH19IJ7890,Fraud
1046,9/26/2023 6:15,Motorcycle,FTG-345-KLM-901,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",83,AP20KL1234,Not Fraud
1047,11/2/2023 11:20,Truck,FTG-678-NOP-234,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",71,GA20MN5678,Not Fraud
1048,12/8/2023 14:58,Van,FTG-901-QRS-567,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",97,MH20OP9012,Not Fraud
1049,1/1/2023 8:18,Sedan,FTG-234-TUV-890,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",46,AP21QR3456,Not Fraud
1050,1/2/2023 12:48,SUV,FTG-567-WXY-123,B-102,Regular,Large,150,90,"12.84197701525119, 77.67547528176169",81,GA21ST7890,Fraud
1051,1/3/2023 16:35,Bus ,FTG-890-ZAB-456,C-103,Express,Large,340,120,"12.84197701525119, 77.67547528176169",64,MH21UV1234,Fraud
1052,1/4/2023 22:15,Car,FTG-123-CDE-789,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",93,AP22WX5678,Not Fraud
1053,1/5/2023 5:45,Motorcycle,FTG-456-FGH-012,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",57,GA22YZ9012,Not Fraud
1054,4/1/2023 12:15,Truck,FTG-789-IJK-345,C-103,Regular,Large,340,150,"12.84197701525119, 77.67547528176169",86,MH22AB1234,Fraud
1055,4/2/2023 16:45,Van,FTG-012-LMN-678,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",57,AP23CD5678,Not Fraud
1056,4/3/2023 20:30,Sedan,FTG-345-OPQ-901,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",84,GA23EF9012,Not Fraud
1057,4/4/2023 2:10,SUV,FTG-678-RST-234,B-102,Express,Large,150,100,"12.84197701525119, 77.67547528176169",66,MH23GH3456,Fraud
1058,4/5/2023 9:40,Bus ,FTG-901-UVW-567,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",91,AP24IJ7890,Not Fraud
1059,4/6/2023 15:20,Car,FTG-234-XYZ-890,A-101,Express,Small,100,90,"12.84197701525119, 77.67547528176169",49,GA24KL1234,Fraud
1060,4/7/2023 18:55,Motorcycle,FTG-567-BCA-123,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",77,MH24MN5678,Not Fraud
1061,4/8/2023 22:25,Truck,FTG-890-DEF-456,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",59,AP25OP9012,Not Fraud
1062,4/9/2023 4:05,Van,FTG-123-GHI-789,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",88,GA25QR3456,Not Fraud
1063,4/10/2023 8:35,Sedan,FTG-456-JKL-012,A-101,Express,Medium,120,100,"12.84197701525119, 77.67547528176169",68,MH25ST7890,Fraud
1064,4/11/2023 12:00,SUV,FTG-789-MNO-345,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",93,AP26UV1234,Not Fraud
1065,4/12/2023 17:40,Bus ,FTG-012-PQR-678,C-103,Express,Large,340,100,"12.84197701525119, 77.67547528176169",72,GA26WX5678,Fraud
1066,4/13/2023 22:15,Car,FTG-345-STU-901,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",90,MH26YZ9012,Not Fraud
1067,4/14/2023 3:55,Motorcycle,FTG-678-VWX-234,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",53,AP27AB1234,Not Fraud
1068,4/15/2023 9:30,Truck,FTG-901-YZA-567,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",80,GA27CD5678,Not Fraud
1069,4/16/2023 14:10,Van,FTG-234-BCD-890,B-102,Express,Medium,130,100,"12.84197701525119, 77.67547528176169",67,MH27EF9012,Fraud
1070,4/17/2023 19:45,Sedan,FTG-567-EFG-123,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",96,AP28GH3456,Not Fraud
1071,4/18/2023 0:20,SUV,FTG-890-HIJ-456,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",45,GA28IJ7890,Not Fraud
1072,4/19/2023 5:00,Bus ,FTG-123-KLM-789,C-103,Regular,Large,340,150,"12.84197701525119, 77.67547528176169",79,MH28KL1234,Fraud
1073,4/20/2023 9:35,Car,FTG-456-NOP-012,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",62,AP29MN5678,Not Fraud
1074,4/21/2023 14:10,Motorcycle,FTG-789-QRS-345,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",86,GA29OP9012,Not Fraud
1075,4/22/2023 17:45,Truck,FTG-012-TUV-678,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",50,MH29QR3456,Not Fraud
1076,4/23/2023 23:25,Van,FTG-345-WXY-901,B-102,Regular,Medium,130,90,"12.84197701525119, 77.67547528176169",75,AP30ST7890,Fraud
1077,4/24/2023 4:55,Sedan,FTG-678-ZAB-234,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",70,GA30UV1234,Not Fraud
1078,4/25/2023 9:35,SUV,FTG-901-CDE-567,B-102,Regular,Large,150,120,"12.84197701525119, 77.67547528176169",93,MH30WX5678,Fraud
1079,4/26/2023 14:10,Bus ,FTG-234-FGH-890,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",58,AP31YZ9012,Not Fraud
1080,4/27/2023 17:45,Car,FTG-567-IJK-123,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",84,GA31AB1234,Not Fraud
1081,4/28/2023 23:25,Motorcycle,FTG-890-LMN-456,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",69,MH31CD5678,Not Fraud
1082,4/29/2023 5:05,Truck,FTG-935-EDC-761,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",97,AP32EF9012,Not Fraud
1083,4/30/2023 9:35,Van,FTG-936-OKM-436,B-102,Express,Medium,130,90,"12.84197701525119, 77.67547528176169",47,GA32GH3456,Fraud
1084,5/1/2023 13:10,Sedan,FTG-937-NJI-103,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",82,MH32IJ7890,Not Fraud
1085,5/2/2023 18:50,SUV,FTG-938-LKJ-872,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",61,AP33KL1234,Not Fraud
1086,5/3/2023 23:25,Bus ,FTG-939-UTY-543,C-103,Regular,Large,340,150,"12.84197701525119, 77.67547528176169",89,GA33MN5678,Fraud
1087,5/4/2023 5:05,Car,FTG-940-POU-212,A-101,Express,Small,100,80,"12.84197701525119, 77.67547528176169",54,MH33OP9012,Fraud
1088,5/5/2023 10:40,Motorcycle,,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",78,AP34QR3456,Not Fraud
1089,5/6/2023 15:20,Truck,FTG-942-VBN-652,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",65,KA88AB2345,Not Fraud
1090,5/7/2023 20:55,Van,FTG-943-QWE-322,B-102,Regular,Medium,130,120,"12.84197701525119, 77.67547528176169",92,KA91CD6789,Fraud
1091,5/8/2023 1:30,Sedan,FTG-944-MKH-098,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",51,KA94EF0123,Not Fraud
1092,5/9/2023 7:10,SUV,FTG-945-DCF-762,B-102,Regular,Large,150,90,"12.84197701525119, 77.67547528176169",76,KA97GH4567,Fraud
1093,5/10/2023 11:40,Bus ,FTG-946-POI-431,C-103,Express,Large,340,100,"12.84197701525119, 77.67547528176169",60,KA02IJ8901,Fraud
1094,5/11/2023 16:20,Car,FTG-246-ABC-789,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",85,KA05KL2345,Not Fraud
1095,5/12/2023 19:55,Motorcycle,FTG-579-DEF-012,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",67,KA08MN6779,Not Fraud
1096,5/13/2023 1:35,Truck,FTG-802-GHI-345,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",94,KA11OP0223,Not Fraud
1097,5/14/2023 6:05,Van,FTG-135-JKL-678,B-102,Express,Medium,130,90,"12.84197701525119, 77.67547528176169",46,KA14QR4267,Fraud
1098,5/15/2023 10:45,Sedan,FTG-468-MNO-901,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",81,KA17ST8801,Not Fraud
1099,5/16/2023 15:20,SUV,FTG-791-PQR-234,B-102,Express,Large,150,130,"12.84197701525119, 77.67547528176169",63,KA20UV2145,Fraud
1100,5/17/2023 18:55,Bus ,FTG-014-STU-567,C-103,Regular,Large,340,120,"12.84197701525119, 77.67547528176169",87,KA23WX6589,Fraud
1101,5/18/2023 0:35,Car,FTG-347-VWX-890,A-101,Express,Small,100,90,"12.84197701525119, 77.67547528176169",52,KA26YZ6123,Fraud
1102,5/19/2023 6:15,Motorcycle,FTG-580-YZA-123,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",74,KA29AB2845,Not Fraud
1103,5/20/2023 10:45,Truck,FTG-813-BCD-456,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",58,KA32CD6889,Not Fraud
1104,5/21/2023 15:25,Van,FTG-146-EFG-789,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",83,KA35EF0223,Not Fraud
1105,5/22/2023 20:00,Sedan,FTG-379-HIJ-012,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",71,KA38GH4467,Not Fraud
1106,5/23/2023 0:35,SUV,FTG-502-KLM-345,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",98,KA41IJ8801,Not Fraud
1107,5/24/2023 6:15,Bus ,FTG-735-NOP-678,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",48,KA44KL2145,Not Fraud
1108,5/25/2023 10:50,Car,FTG-968-QRS-901,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",85,KA47MN6189,Not Fraud
1109,5/26/2023 15:30,Motorcycle,FTG-201-TUV-234,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",66,KA50OP0113,Not Fraud
1110,5/27/2023 20:05,Truck,FTG-434-WXY-567,C-103,Regular,Large,340,130,"12.84197701525119, 77.67547528176169",93,KA53QR4167,Fraud
1111,5/28/2023 1:40,Van,FTG-667-ZAB-890,B-102,Express,Medium,130,100,"12.84197701525119, 77.67547528176169",54,KA56ST8801,Fraud
1112,5/29/2023 7:20,Sedan,FTG-890-CDE-123,A-101,Regular,Medium,120,100,"12.84197701525119, 77.67547528176169",80,KA59UV2245,Fraud
1113,5/30/2023 11:50,SUV,FTG-123-FGH-456,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",62,KA62WX6289,Not Fraud
1114,5/31/2023 16:30,Bus ,FTG-356-IJK-789,C-103,Regular,Large,340,100,"12.84197701525119, 77.67547528176169",89,KA65YZ0223,Fraud
1115,6/1/2023 20:05,Car,FTG-589-LMN-012,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",45,KA68AB2245,Not Fraud
1116,6/2/2023 1:45,Motorcycle,FTG-712-OPQ-345,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",77,KA71CD6749,Not Fraud
1117,6/3/2023 6:20,Truck,FTG-945-RST-678,C-103,Express,Large,340,100,"12.84197701525119, 77.67547528176169",70,KA74EF0223,Fraud
1118,6/4/2023 10:55,Van,FTG-178-UVW-901,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",92,KA77GH4557,Not Fraud
1119,6/5/2023 15:35,Sedan,FTG-401-XYZ-234,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",49,KA80IJ8991,Not Fraud
1120,6/6/2023 20:10,SUV,FTG-634-BCA-567,B-102,Regular,Large,150,100,"12.84197701525119, 77.67547528176169",78,KA83KL2245,Fraud
1121,6/7/2023 1:40,Bus ,FTG-867-DEF-890,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",67,KA86MN6289,Not Fraud
1122,6/8/2023 6:20,Car,FTG-090-GHI-123,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",95,KA89OP2123,Not Fraud
1123,6/9/2023 11:00,Motorcycle,FTG-323-JKL-456,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",56,KA92QR4567,Not Fraud
1124,6/10/2023 15:35,Truck,FTG-556-MNO-789,C-103,Regular,Large,340,150,"12.84197701525119, 77.67547528176169",83,KA95ST6901,Fraud
1125,6/11/2023 21:15,Van,FTG-789-PQR-012,B-102,Express,Medium,130,100,"12.84197701525119, 77.67547528176169",68,KA98UV1345,Fraud
1126,6/12/2023 2:50,Sedan,FTG-912-STU-345,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",96,KA02OP0123,Not Fraud
1127,6/13/2023 7:30,SUV,FTG-145-VWX-678,B-102,Express,Large,150,120,"12.84197701525119, 77.67547528176169",47,KA05QR4567,Fraud
1128,6/14/2023 12:05,Bus ,FTG-378-YZA-901,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",82,KA08ST8901,Not Fraud
1129,6/15/2023 16:40,Car,FTG-501-BCD-234,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",59,KA11UV2345,Not Fraud
1130,6/16/2023 22:20,Motorcycle,FTG-734-EFG-567,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",87,KA14WX6789,Not Fraud
1131,6/17/2023 3:00,Truck,FTG-967-HIJ-890,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",50,KA17YZ0123,Not Fraud
1132,6/18/2023 7:30,Van,FTG-200-KLM-123,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",76,KA20AB1345,Not Fraud
1133,6/19/2023 12:10,Sedan,FTG-433-NOP-456,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",65,KA23CD6729,Not Fraud
1134,6/20/2023 16:45,SUV,FTG-666-QRS-789,B-102,Regular,Large,150,100,"12.84197701525119, 77.67547528176169",90,GA34ST7890,Fraud
1135,6/21/2023 21:20,Bus ,FTG-899-TUV-012,C-103,Express,Large,340,150,"12.84197701525119, 77.67547528176169",53,MH34UV1234,Fraud
1136,6/22/2023 1:55,Car,FTG-132-WXY-345,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",79,AP35WX5678,Not Fraud
1137,6/23/2023 7:35,Motorcycle,FTG-365-ZAB-678,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",73,GA35YZ9012,Not Fraud
1138,6/24/2023 12:15,Truck,FTG-598-CDE-901,C-103,Regular,Large,340,90,"12.84197701525119, 77.67547528176169",97,MH35AB1234,Fraud
1139,6/25/2023 16:50,Van,FTG-721-FGH-234,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",44,AP36CD5678,Not Fraud
1140,6/26/2023 22:30,Sedan,FTG-954-IJK-567,A-101,Regular,Medium,120,100,"12.84197701525119, 77.67547528176169",81,GA36EF9012,Fraud
1141,6/27/2023 3:05,SUV,FTG-187-LMN-890,B-102,Express,Large,150,90,"12.84197701525119, 77.67547528176169",64,MH36GH3456,Fraud
1142,6/28/2023 7:40,Bus ,FTG-420-OPQ-123,C-103,Regular,Large,340,120,"12.84197701525119, 77.67547528176169",93,AP37IJ7890,Fraud
1143,6/29/2023 12:15,Car,FTG-653-RST-456,A-101,Express,Small,100,80,"12.84197701525119, 77.67547528176169",57,GA37KL1234,Fraud
1144,6/30/2023 16:55,Motorcycle,FTG-886-UVW-789,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",86,MH37MN5678,Not Fraud
1145,7/1/2023 22:35,Truck,FTG-119-XYZ-012,C-103,Express,Large,340,100,"12.84197701525119, 77.67547528176169",71,AP38OP9012,Fraud
1146,7/2/2023 4:15,Van,FTG-352-BCA-345,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",99,GA38QR3456,Not Fraud
1147,7/3/2023 8:45,Sedan,FTG-585-DEF-678,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",46,MH38ST7890,Not Fraud
1148,7/4/2023 13:25,SUV,FTG-718-GHI-901,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",82,AP39UV1234,Not Fraud
1149,7/5/2023 18:00,Bus ,FTG-951-JKL-234,C-103,Express,Large,340,100,"12.84197701525119, 77.67547528176169",67,GA39WX5678,Fraud
1150,7/6/2023 22:35,Car,FTG-184-MNO-567,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",94,MH39YZ9012,Not Fraud
1151,7/7/2023 4:15,Motorcycle,FTG-417-PQR-890,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",52,AP40AB1234,Not Fraud
1152,7/8/2023 8:50,Truck,FTG-650-STU-123,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",88,GA40CD5678,Not Fraud
1153,7/9/2023 13:30,Van,FTG-883-VWX-456,B-102,Express,Medium,130,100,"12.84197701525119, 77.67547528176169",63,MH40EF9012,Fraud
1154,7/10/2023 18:05,Sedan,FTG-116-YZA-789,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",91,AP41GH3456,Not Fraud
1155,7/11/2023 23:55,SUV,FTG-349-BCD-012,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",55,GA41IJ7890,Not Fraud
1156,7/12/2023 3:15,Bus ,FTG-582-EFG-345,C-103,Regular,Large,340,150,"12.84197701525119, 77.67547528176169",81,MH41KL1234,Fraud
1157,7/13/2023 7:55,Car,FTG-715-HIJ-678,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",58,AP42MN5678,Not Fraud
1158,7/14/2023 12:30,Motorcycle,FTG-948-KLM-901,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",83,GA42OP9012,Not Fraud
1159,7/15/2023 16:05,Truck,FTG-181-NOP-234,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",66,MH42QR3456,Not Fraud
1160,7/16/2023 21:45,Van,FTG-414-QRS-567,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",91,AP43ST7890,Not Fraud
1161,7/17/2023 3:25,Sedan,FTG-647-TUV-890,A-101,Express,Medium,120,100,"12.84197701525119, 77.67547528176169",49,GA43UV1234,Fraud
1162,7/18/2023 7:55,SUV,FTG-880-WXY-123,B-102,Regular,Large,150,90,"12.84197701525119, 77.67547528176169",77,MH43WX5678,Fraud
1163,7/19/2023 12:35,Bus ,FTG-113-ZAB-456,C-103,Express,Large,340,100,"12.84197701525119, 77.67547528176169",59,AP44YZ9012,Fraud
1164,7/20/2023 17:10,Car,FTG-346-CDE-789,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",88,GA44AB1234,Not Fraud
1165,7/21/2023 22:50,Motorcycle,FTG-579-FGH-012,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",68,MH44CD5678,Not Fraud
1166,7/22/2023 4:30,Truck,FTG-802-IJK-345,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",93,AP45EF9012,Not Fraud
1167,7/23/2023 9:05,Van,FTG-135-LMN-678,B-102,Express,Medium,130,100,"12.84197701525119, 77.67547528176169",72,GA45GH3456,Fraud
1168,7/24/2023 13:45,Sedan,FTG-468-OPQ-901,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",90,MH45IJ7890,Not Fraud
1169,7/25/2023 18:20,SUV,FTG-791-RST-234,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",53,AP46KL1234,Not Fraud
1170,7/26/2023 22:55,Bus ,FTG-014-UVW-567,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",80,GA46MN5678,Not Fraud
1171,7/27/2023 4:35,Car,FTG-347-XYZ-890,A-101,Express,Small,100,80,"12.84197701525119, 77.67547528176169",67,MH46OP9012,Fraud
1172,7/28/2023 9:05,Motorcycle,FTG-580-BCA-123,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",96,AP47QR3456,Not Fraud
1173,7/29/2023 13:40,Truck,FTG-813-DEF-456,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",45,GA47ST7890,Not Fraud
1174,7/30/2023 18:20,Van,FTG-146-GHI-789,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",79,MH47UV1234,Not Fraud
1175,7/31/2023 23:00,Sedan,FTG-379-JKL-012,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",62,AP48WX5678,Not Fraud
1176,8/1/2023 3:40,SUV,FTG-502-MNO-345,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",86,GA48YZ9012,Not Fraud
1177,8/2/2023 9:15,Bus ,FTG-735-PQR-678,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",50,MH48AB1234,Not Fraud
1178,8/3/2023 13:50,Car,FTG-968-STU-901,A-101,Regular,Small,100,90,"12.84197701525119, 77.67547528176169",75,AP49CD5678,Fraud
1179,8/4/2023 18:30,Motorcycle,FTG-201-VWX-234,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",70,GA49EF9012,Not Fraud
1180,8/5/2023 23:05,Truck,FTG-434-YZA-567,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",93,MH49GH3456,Not Fraud
1181,8/6/2023 3:40,Van,FTG-667-BCD-890,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",58,AP50IJ7890,Not Fraud
1182,8/7/2023 9:20,Sedan,FTG-890-EFG-123,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",84,GA50KL1234,Not Fraud
