pokedex_nr,"('base_stat', 'attack')","('base_stat', 'defense')","('base_stat', 'hp')","('base_stat', 'special-attack')","('base_stat', 'special-defense')","('base_stat', 'speed')","('effort', 'attack')","('effort', 'defense')","('effort', 'hp')","('effort', 'special-attack')","('effort', 'special-defense')","('effort', 'speed')"
275,100.0,60.0,90.0,90.0,60.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0
276,55.0,30.0,40.0,30.0,30.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
277,85.0,60.0,60.0,75.0,50.0,125.0,0.0,0.0,0.0,0.0,0.0,2.0
278,30.0,30.0,40.0,55.0,30.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
279,50.0,100.0,60.0,95.0,70.0,65.0,0.0,2.0,0.0,0.0,0.0,0.0
280,25.0,25.0,28.0,45.0,35.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
281,35.0,35.0,38.0,65.0,55.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0
282,65.0,65.0,68.0,125.0,115.0,80.0,0.0,0.0,0.0,3.0,0.0,0.0
283,30.0,32.0,40.0,50.0,52.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0
284,60.0,62.0,70.0,100.0,82.0,80.0,0.0,0.0,0.0,1.0,1.0,0.0
285,40.0,60.0,60.0,40.0,60.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0
286,130.0,80.0,60.0,60.0,60.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0
287,60.0,60.0,60.0,35.0,35.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0
288,80.0,80.0,80.0,55.0,55.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0
289,160.0,100.0,150.0,95.0,65.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0
290,45.0,90.0,31.0,30.0,30.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0
291,90.0,45.0,61.0,50.0,50.0,160.0,0.0,0.0,0.0,0.0,0.0,2.0
292,90.0,45.0,1.0,30.0,30.0,40.0,0.0,0.0,2.0,0.0,0.0,0.0
293,51.0,23.0,64.0,51.0,23.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0
294,71.0,43.0,84.0,71.0,43.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0
295,91.0,63.0,104.0,91.0,73.0,68.0,0.0,0.0,3.0,0.0,0.0,0.0
296,60.0,30.0,72.0,20.0,30.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0
297,120.0,60.0,144.0,40.0,60.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0
298,20.0,40.0,50.0,20.0,40.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0
299,45.0,135.0,30.0,45.0,90.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
300,45.0,45.0,50.0,35.0,35.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0
301,65.0,65.0,70.0,55.0,55.0,90.0,0.0,0.0,1.0,0.0,0.0,1.0
302,75.0,75.0,50.0,65.0,65.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0
303,85.0,85.0,50.0,55.0,55.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0
304,70.0,100.0,50.0,40.0,40.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
305,90.0,140.0,60.0,50.0,50.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0
306,110.0,180.0,70.0,60.0,60.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0
307,40.0,55.0,30.0,40.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0
308,60.0,75.0,60.0,60.0,75.0,80.0,0.0,0.0,0.0,0.0,0.0,2.0
309,45.0,40.0,40.0,65.0,40.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0
310,75.0,60.0,70.0,105.0,60.0,105.0,0.0,0.0,0.0,0.0,0.0,2.0
311,50.0,40.0,60.0,85.0,75.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0
312,40.0,50.0,60.0,75.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0
313,73.0,75.0,65.0,47.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
314,47.0,75.0,65.0,73.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
315,60.0,45.0,50.0,100.0,80.0,65.0,0.0,0.0,0.0,2.0,0.0,0.0
316,43.0,53.0,70.0,43.0,53.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0
317,73.0,83.0,100.0,73.0,83.0,55.0,0.0,0.0,2.0,0.0,0.0,0.0
318,90.0,20.0,45.0,65.0,20.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0
319,120.0,40.0,70.0,95.0,40.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0
320,70.0,35.0,130.0,70.0,35.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0
321,90.0,45.0,170.0,90.0,45.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0
322,60.0,40.0,60.0,65.0,45.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
323,100.0,70.0,70.0,105.0,75.0,40.0,1.0,0.0,0.0,1.0,0.0,0.0
324,85.0,140.0,70.0,85.0,70.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0
325,25.0,35.0,60.0,70.0,80.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0
326,45.0,65.0,80.0,90.0,110.0,80.0,0.0,0.0,0.0,0.0,2.0,0.0
327,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0
328,100.0,45.0,45.0,45.0,45.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
329,70.0,50.0,50.0,50.0,50.0,70.0,1.0,0.0,0.0,0.0,0.0,1.0
330,100.0,80.0,80.0,80.0,80.0,100.0,1.0,0.0,0.0,0.0,0.0,2.0
331,85.0,40.0,50.0,85.0,40.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
332,115.0,60.0,70.0,115.0,60.0,55.0,1.0,0.0,0.0,1.0,0.0,0.0
333,40.0,60.0,45.0,40.0,75.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0
334,70.0,90.0,75.0,70.0,105.0,80.0,0.0,0.0,0.0,0.0,2.0,0.0
335,115.0,60.0,73.0,60.0,60.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0
336,100.0,60.0,73.0,100.0,60.0,65.0,1.0,0.0,0.0,1.0,0.0,0.0
337,55.0,65.0,90.0,95.0,85.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0
338,95.0,85.0,90.0,55.0,65.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0
339,48.0,43.0,50.0,46.0,41.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0
340,78.0,73.0,110.0,76.0,71.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0
341,80.0,65.0,43.0,50.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0
342,120.0,85.0,63.0,90.0,55.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0
343,40.0,55.0,40.0,40.0,70.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0
344,70.0,105.0,60.0,70.0,120.0,75.0,0.0,0.0,0.0,0.0,2.0,0.0
345,41.0,77.0,66.0,61.0,87.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0
346,81.0,97.0,86.0,81.0,107.0,43.0,0.0,0.0,0.0,0.0,2.0,0.0
347,95.0,50.0,45.0,40.0,50.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
348,125.0,100.0,75.0,70.0,80.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0
349,15.0,20.0,20.0,10.0,55.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0
350,60.0,79.0,95.0,100.0,125.0,81.0,0.0,0.0,0.0,0.0,2.0,0.0
351,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0
352,90.0,70.0,60.0,60.0,120.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0
353,75.0,35.0,44.0,63.0,33.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0
354,115.0,65.0,64.0,83.0,63.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0
355,40.0,90.0,20.0,30.0,90.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0
356,70.0,130.0,40.0,60.0,130.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0
357,68.0,83.0,99.0,72.0,87.0,51.0,0.0,0.0,2.0,0.0,0.0,0.0
358,50.0,80.0,75.0,95.0,90.0,65.0,0.0,0.0,0.0,1.0,1.0,0.0
359,130.0,60.0,65.0,75.0,60.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0
360,23.0,48.0,95.0,23.0,48.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0
361,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0
362,80.0,80.0,80.0,80.0,80.0,80.0,0.0,0.0,2.0,0.0,0.0,0.0
363,40.0,50.0,70.0,55.0,50.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0
364,60.0,70.0,90.0,75.0,70.0,45.0,0.0,0.0,2.0,0.0,0.0,0.0
365,80.0,90.0,110.0,95.0,90.0,65.0,0.0,0.0,3.0,0.0,0.0,0.0
366,64.0,85.0,35.0,74.0,55.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0
367,104.0,105.0,55.0,94.0,75.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0
368,84.0,105.0,55.0,114.0,75.0,52.0,0.0,0.0,0.0,2.0,0.0,0.0
369,90.0,130.0,100.0,45.0,65.0,55.0,0.0,1.0,1.0,0.0,0.0,0.0
370,30.0,55.0,43.0,40.0,65.0,97.0,0.0,0.0,0.0,0.0,0.0,1.0
371,75.0,60.0,45.0,40.0,30.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
372,95.0,100.0,65.0,60.0,50.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0
373,135.0,80.0,95.0,110.0,80.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0
374,55.0,80.0,40.0,35.0,60.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
375,75.0,100.0,60.0,55.0,80.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0
376,135.0,130.0,80.0,95.0,90.0,70.0,0.0,3.0,0.0,0.0,0.0,0.0
377,100.0,200.0,80.0,50.0,100.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0
378,50.0,100.0,80.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0
379,75.0,150.0,80.0,75.0,150.0,50.0,0.0,2.0,0.0,0.0,1.0,0.0
380,80.0,90.0,80.0,110.0,130.0,110.0,0.0,0.0,0.0,0.0,3.0,0.0
381,90.0,80.0,80.0,130.0,110.0,110.0,0.0,0.0,0.0,3.0,0.0,0.0
382,100.0,90.0,100.0,150.0,140.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0
383,150.0,140.0,100.0,100.0,90.0,90.0,3.0,0.0,0.0,0.0,0.0,0.0
384,150.0,90.0,105.0,150.0,90.0,95.0,2.0,0.0,0.0,1.0,0.0,0.0
385,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0
386,150.0,50.0,50.0,150.0,50.0,150.0,1.0,0.0,0.0,1.0,0.0,1.0
387,68.0,64.0,55.0,45.0,55.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0
388,89.0,85.0,75.0,55.0,65.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0
389,109.0,105.0,95.0,75.0,85.0,56.0,2.0,1.0,0.0,0.0,0.0,0.0
390,58.0,44.0,44.0,58.0,44.0,61.0,0.0,0.0,0.0,0.0,0.0,1.0
391,78.0,52.0,64.0,78.0,52.0,81.0,0.0,0.0,0.0,1.0,0.0,1.0
392,104.0,71.0,76.0,104.0,71.0,108.0,1.0,0.0,0.0,1.0,0.0,1.0
393,51.0,53.0,53.0,61.0,56.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
394,66.0,68.0,64.0,81.0,76.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0
395,86.0,88.0,84.0,111.0,101.0,60.0,0.0,0.0,0.0,3.0,0.0,0.0
396,55.0,30.0,40.0,30.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0
397,75.0,50.0,55.0,40.0,40.0,80.0,0.0,0.0,0.0,0.0,0.0,2.0
398,120.0,70.0,85.0,50.0,60.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0
399,45.0,40.0,59.0,35.0,40.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0
400,85.0,60.0,79.0,55.0,60.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0
401,25.0,41.0,37.0,25.0,41.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0
402,85.0,51.0,77.0,55.0,51.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0
403,65.0,34.0,45.0,40.0,34.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0
404,85.0,49.0,60.0,60.0,49.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0
405,120.0,79.0,80.0,95.0,79.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0
406,30.0,35.0,40.0,50.0,70.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0
407,70.0,65.0,60.0,125.0,105.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0
408,125.0,40.0,67.0,30.0,30.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0
409,165.0,60.0,97.0,65.0,50.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0
410,42.0,118.0,30.0,42.0,88.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
411,52.0,168.0,60.0,47.0,138.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
412,29.0,45.0,40.0,29.0,45.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0
413,59.0,85.0,60.0,79.0,105.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0
414,94.0,50.0,70.0,94.0,50.0,66.0,1.0,0.0,0.0,1.0,0.0,0.0
415,30.0,42.0,30.0,30.0,42.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0
416,80.0,102.0,70.0,80.0,102.0,40.0,0.0,1.0,0.0,0.0,1.0,0.0
417,45.0,70.0,60.0,45.0,90.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0
418,65.0,35.0,55.0,60.0,30.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
419,105.0,55.0,85.0,85.0,50.0,115.0,0.0,0.0,0.0,0.0,0.0,2.0
420,35.0,45.0,45.0,62.0,53.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
421,60.0,70.0,70.0,87.0,78.0,85.0,0.0,0.0,0.0,2.0,0.0,0.0
422,48.0,48.0,76.0,57.0,62.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0
423,83.0,68.0,111.0,92.0,82.0,39.0,0.0,0.0,2.0,0.0,0.0,0.0
424,100.0,66.0,75.0,60.0,66.0,115.0,0.0,0.0,0.0,0.0,0.0,2.0
425,50.0,34.0,90.0,60.0,44.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0
426,80.0,44.0,150.0,90.0,54.0,80.0,0.0,0.0,2.0,0.0,0.0,0.0
427,66.0,44.0,55.0,44.0,56.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
428,76.0,84.0,65.0,54.0,96.0,105.0,0.0,0.0,0.0,0.0,0.0,2.0
429,60.0,60.0,60.0,105.0,105.0,105.0,0.0,0.0,0.0,1.0,1.0,0.0
430,125.0,52.0,100.0,105.0,52.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0
431,55.0,42.0,49.0,42.0,37.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
432,82.0,64.0,71.0,64.0,59.0,112.0,0.0,0.0,0.0,0.0,0.0,2.0
433,30.0,50.0,45.0,65.0,50.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0
434,63.0,47.0,63.0,41.0,41.0,74.0,0.0,0.0,0.0,0.0,0.0,1.0
435,93.0,67.0,103.0,71.0,61.0,84.0,0.0,0.0,2.0,0.0,0.0,0.0
436,24.0,86.0,57.0,24.0,86.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0
437,89.0,116.0,67.0,79.0,116.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0
438,80.0,95.0,50.0,10.0,45.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
439,25.0,45.0,20.0,70.0,90.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0
440,5.0,5.0,100.0,15.0,65.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0
441,65.0,45.0,76.0,92.0,42.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0
442,92.0,108.0,50.0,92.0,108.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0
443,70.0,45.0,58.0,40.0,45.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0
444,90.0,65.0,68.0,50.0,55.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0
445,130.0,95.0,108.0,80.0,85.0,102.0,3.0,0.0,0.0,0.0,0.0,0.0
446,85.0,40.0,135.0,40.0,85.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
447,70.0,40.0,40.0,35.0,40.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0
448,110.0,70.0,70.0,115.0,70.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0
449,72.0,78.0,68.0,38.0,42.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0
450,112.0,118.0,108.0,68.0,72.0,47.0,0.0,2.0,0.0,0.0,0.0,0.0
451,50.0,90.0,40.0,30.0,55.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0
452,90.0,110.0,70.0,60.0,75.0,95.0,0.0,2.0,0.0,0.0,0.0,0.0
453,61.0,40.0,48.0,61.0,40.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
454,106.0,65.0,83.0,86.0,65.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0
455,100.0,72.0,74.0,90.0,72.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0
456,49.0,56.0,49.0,49.0,61.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0
457,69.0,76.0,69.0,69.0,86.0,91.0,0.0,0.0,0.0,0.0,0.0,2.0
458,20.0,50.0,45.0,60.0,120.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0
459,62.0,50.0,60.0,62.0,60.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
460,92.0,75.0,90.0,92.0,85.0,60.0,1.0,0.0,0.0,1.0,0.0,0.0
461,120.0,65.0,70.0,45.0,85.0,125.0,1.0,0.0,0.0,0.0,0.0,1.0
462,70.0,115.0,70.0,130.0,90.0,60.0,0.0,0.0,0.0,3.0,0.0,0.0
463,85.0,95.0,110.0,80.0,95.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0
464,140.0,130.0,115.0,55.0,55.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0
465,100.0,125.0,100.0,110.0,50.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0
466,123.0,67.0,75.0,95.0,85.0,95.0,3.0,0.0,0.0,0.0,0.0,0.0
467,95.0,67.0,75.0,125.0,95.0,83.0,0.0,0.0,0.0,3.0,0.0,0.0
468,50.0,95.0,85.0,120.0,115.0,80.0,0.0,0.0,0.0,2.0,1.0,0.0
469,76.0,86.0,86.0,116.0,56.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0
470,110.0,130.0,65.0,60.0,65.0,95.0,0.0,2.0,0.0,0.0,0.0,0.0
471,60.0,110.0,65.0,130.0,95.0,65.0,0.0,0.0,0.0,2.0,0.0,0.0
472,95.0,125.0,75.0,45.0,75.0,95.0,0.0,2.0,0.0,0.0,0.0,0.0
473,130.0,80.0,110.0,70.0,60.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0
474,80.0,70.0,85.0,135.0,75.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0
475,125.0,65.0,68.0,65.0,115.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0
476,55.0,145.0,60.0,75.0,150.0,40.0,0.0,1.0,0.0,0.0,2.0,0.0
477,100.0,135.0,45.0,65.0,135.0,45.0,0.0,1.0,0.0,0.0,2.0,0.0
478,80.0,70.0,70.0,80.0,70.0,110.0,0.0,0.0,0.0,0.0,0.0,2.0
479,50.0,77.0,50.0,95.0,77.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0
480,75.0,130.0,75.0,75.0,130.0,95.0,0.0,2.0,0.0,0.0,1.0,0.0
481,105.0,105.0,80.0,105.0,105.0,80.0,1.0,0.0,0.0,1.0,1.0,0.0
482,125.0,70.0,75.0,125.0,70.0,115.0,2.0,0.0,0.0,1.0,0.0,0.0
483,120.0,120.0,100.0,150.0,100.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0
484,120.0,100.0,90.0,150.0,120.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0
485,90.0,106.0,91.0,130.0,106.0,77.0,0.0,0.0,0.0,3.0,0.0,0.0
486,160.0,110.0,110.0,80.0,110.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0
487,100.0,120.0,150.0,100.0,120.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0
488,70.0,120.0,120.0,75.0,130.0,85.0,0.0,0.0,0.0,0.0,3.0,0.0
489,80.0,80.0,80.0,80.0,80.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0
490,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0
491,90.0,90.0,70.0,135.0,90.0,125.0,0.0,0.0,0.0,2.0,0.0,1.0
492,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0
493,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,3.0,0.0,0.0,0.0
494,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0
495,45.0,55.0,45.0,45.0,55.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0
496,60.0,75.0,60.0,60.0,75.0,83.0,0.0,0.0,0.0,0.0,0.0,2.0
497,75.0,95.0,75.0,75.0,95.0,113.0,0.0,0.0,0.0,0.0,0.0,3.0
498,63.0,45.0,65.0,45.0,45.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0
499,93.0,55.0,90.0,70.0,55.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0
500,123.0,65.0,110.0,100.0,65.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0
501,55.0,45.0,55.0,63.0,45.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0
502,75.0,60.0,75.0,83.0,60.0,60.0,0.0,0.0,0.0,2.0,0.0,0.0
503,100.0,85.0,95.0,108.0,70.0,70.0,0.0,0.0,0.0,3.0,0.0,0.0
504,55.0,39.0,45.0,35.0,39.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0
505,85.0,69.0,60.0,60.0,69.0,77.0,2.0,0.0,0.0,0.0,0.0,0.0
506,60.0,45.0,45.0,25.0,45.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0
507,80.0,65.0,65.0,35.0,65.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0
508,110.0,90.0,85.0,45.0,90.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0
509,50.0,37.0,41.0,50.0,37.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0
510,88.0,50.0,64.0,88.0,50.0,106.0,0.0,0.0,0.0,0.0,0.0,2.0
511,53.0,48.0,50.0,53.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0
512,98.0,63.0,75.0,98.0,63.0,101.0,0.0,0.0,0.0,0.0,0.0,2.0
513,53.0,48.0,50.0,53.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0
514,98.0,63.0,75.0,98.0,63.0,101.0,0.0,0.0,0.0,0.0,0.0,2.0
515,53.0,48.0,50.0,53.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0
516,98.0,63.0,75.0,98.0,63.0,101.0,0.0,0.0,0.0,0.0,0.0,2.0
517,25.0,45.0,76.0,67.0,55.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0
518,55.0,85.0,116.0,107.0,95.0,29.0,0.0,0.0,2.0,0.0,0.0,0.0
519,55.0,50.0,50.0,36.0,30.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0
520,77.0,62.0,62.0,50.0,42.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0
521,115.0,80.0,80.0,65.0,55.0,93.0,3.0,0.0,0.0,0.0,0.0,0.0
522,60.0,32.0,45.0,50.0,32.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0
523,100.0,63.0,75.0,80.0,63.0,116.0,0.0,0.0,0.0,0.0,0.0,2.0
524,75.0,85.0,55.0,25.0,25.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
525,105.0,105.0,70.0,50.0,40.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0
526,135.0,130.0,85.0,60.0,80.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0
527,45.0,43.0,65.0,55.0,43.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0
528,57.0,55.0,67.0,77.0,55.0,114.0,0.0,0.0,0.0,0.0,0.0,2.0
529,85.0,40.0,60.0,30.0,45.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0
530,135.0,60.0,110.0,50.0,65.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0
531,60.0,86.0,103.0,60.0,86.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0
532,80.0,55.0,75.0,25.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0
533,105.0,85.0,85.0,40.0,50.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0
534,140.0,95.0,105.0,55.0,65.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0
535,50.0,40.0,50.0,50.0,40.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0
536,65.0,55.0,75.0,65.0,55.0,69.0,0.0,0.0,2.0,0.0,0.0,0.0
537,95.0,75.0,105.0,85.0,75.0,74.0,0.0,0.0,3.0,0.0,0.0,0.0
538,100.0,85.0,120.0,30.0,85.0,45.0,0.0,0.0,2.0,0.0,0.0,0.0
539,125.0,75.0,75.0,30.0,75.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0
540,53.0,70.0,45.0,40.0,60.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0
541,63.0,90.0,55.0,50.0,80.0,42.0,0.0,2.0,0.0,0.0,0.0,0.0
542,103.0,80.0,75.0,70.0,80.0,92.0,3.0,0.0,0.0,0.0,0.0,0.0
543,45.0,59.0,30.0,30.0,39.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0
544,55.0,99.0,40.0,40.0,79.0,47.0,0.0,2.0,0.0,0.0,0.0,0.0
545,100.0,89.0,60.0,55.0,69.0,112.0,0.0,0.0,0.0,0.0,0.0,3.0
546,27.0,60.0,40.0,37.0,50.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0
547,67.0,85.0,60.0,77.0,75.0,116.0,0.0,0.0,0.0,0.0,0.0,2.0
548,35.0,50.0,45.0,70.0,50.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0
549,60.0,75.0,70.0,110.0,75.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0
550,92.0,65.0,70.0,80.0,55.0,98.0,0.0,0.0,0.0,0.0,0.0,2.0
551,72.0,35.0,50.0,35.0,35.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0
