,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
694,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
695,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
696,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
697,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
698,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
699,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
700,Heart attack, vomiting, breathlessness, sweating, chest_pain
701,Heart attack, vomiting, breathlessness, sweating, chest_pain
702,Heart attack, breathlessness, sweating, chest_pain,
703,Heart attack, vomiting, sweating, chest_pain,
704,Heart attack, vomiting, breathlessness, chest_pain,
705,Heart attack, vomiting, breathlessness, sweating,
706,Heart attack, vomiting, breathlessness, sweating, chest_pain
707,Heart attack, breathlessness, sweating, chest_pain,
708,Heart attack, vomiting, sweating, chest_pain,
709,Heart attack, vomiting, breathlessness, chest_pain,
710,Varicose veins, fatigue, cramps, bruising, obesity
711,Varicose veins, fatigue, cramps, bruising, obesity
712,Varicose veins, cramps, bruising, obesity, swollen_legs
713,Varicose veins, fatigue, bruising, obesity, swollen_legs
714,Varicose veins, fatigue, cramps, obesity, swollen_legs
715,Varicose veins, fatigue, cramps, bruising, swollen_legs
716,Varicose veins, fatigue, cramps, bruising, obesity
717,Varicose veins, fatigue, cramps, bruising, obesity
718,Varicose veins, fatigue, cramps, bruising, obesity
719,Varicose veins, fatigue, cramps, bruising, obesity
720,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
721,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
722,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
723,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
724,Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
725,Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
726,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
727,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
728,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
729,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
730,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
731,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
732,Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
733,Hyperthyroidism, fatigue, weight_loss, restlessness, sweating
734,Hyperthyroidism, fatigue, mood_swings, restlessness, sweating
735,Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
736,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
737,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
738,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
739,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
740,Hypoglycemia, vomiting, fatigue, anxiety, sweating
741,Hypoglycemia, vomiting, fatigue, anxiety, sweating
742,Hypoglycemia, vomiting, fatigue, anxiety, sweating
743,Hypoglycemia, fatigue, anxiety, sweating, headache
744,Hypoglycemia, vomiting, anxiety, sweating, headache
745,Hypoglycemia, vomiting, fatigue, sweating, headache
746,Hypoglycemia, vomiting, fatigue, anxiety, headache
747,Hypoglycemia, vomiting, fatigue, anxiety, sweating
748,Hypoglycemia, vomiting, fatigue, anxiety, sweating
749,Hypoglycemia, vomiting, fatigue, anxiety, sweating
750,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
751,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
752,Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
753,Osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
754,Osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
755,Osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
756,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
757,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
758,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
759,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
760,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
761,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
762,Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
763,Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
764,Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
765,Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
766,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
767,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
768,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
769,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
770,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
771,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
772,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance
773,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance
774,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance
775,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
776,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
777,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
778,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
779,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
780,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
781,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
782,Acne, pus_filled_pimples, blackheads, scurring,
783,Acne, skin_rash, blackheads, scurring,
784,Acne, skin_rash, pus_filled_pimples, scurring,
785,Acne, skin_rash, pus_filled_pimples, blackheads,
786,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
787,Acne, skin_rash, pus_filled_pimples, blackheads,
788,Acne, skin_rash, pus_filled_pimples, scurring,
789,Acne, skin_rash, blackheads, scurring,
790,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
791,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
792,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
793,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
794,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
795,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,
796,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
797,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
798,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
799,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
800,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
801,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
802,Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
803,Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
804,Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
805,Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
806,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
807,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
808,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
809,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
810,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
811,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
812,Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
813,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
814,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
815,Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
816,Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
817,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
818,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
819,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
820,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
821,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
822,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
823,Fungal infection,itching, skin_rash, dischromic _patches,
824,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
825,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
826,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
827,Fungal infection,itching, skin_rash, dischromic _patches,
828,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
829,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
830,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
831,Allergy, shivering, chills, watering_from_eyes,
832,Allergy, continuous_sneezing, chills, watering_from_eyes,
833,Allergy, continuous_sneezing, shivering, watering_from_eyes,
834,Allergy, continuous_sneezing, shivering, chills,
835,Allergy, shivering, chills, watering_from_eyes,
836,Allergy, continuous_sneezing, chills, watering_from_eyes,
837,Allergy, continuous_sneezing, shivering, watering_from_eyes,
838,Allergy, continuous_sneezing, shivering, chills,
839,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
840,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
841,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
842,GERD, stomach_pain, acidity, vomiting, cough
843,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
844,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
845,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
846,GERD, acidity, ulcers_on_tongue, vomiting, cough
847,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
848,GERD, stomach_pain, acidity, vomiting, cough
849,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
850,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
851,Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
852,Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
853,Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
854,Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
855,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
856,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
857,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
858,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
859,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
860,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
861,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
862,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
863,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
864,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
865,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
866,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
867,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
868,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
869,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
870,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
871,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
872,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
873,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
874,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
875,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases
876,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
877,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
878,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
879,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
880,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
881,AIDS, patches_in_throat, high_fever, extra_marital_contacts,
882,AIDS, muscle_wasting, high_fever, extra_marital_contacts,
883,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,
884,AIDS, muscle_wasting, patches_in_throat, high_fever,
885,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
886,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
887,AIDS, patches_in_throat, high_fever, extra_marital_contacts,
888,AIDS, muscle_wasting, high_fever, extra_marital_contacts,
889,AIDS, muscle_wasting, patches_in_throat, high_fever,
890,Diabetes , fatigue, weight_loss, restlessness, lethargy
891,Diabetes , fatigue, weight_loss, restlessness, lethargy
892,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
893,Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
894,Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
895,Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
896,Diabetes , fatigue, weight_loss, restlessness, lethargy
897,Diabetes , fatigue, weight_loss, restlessness, lethargy
898,Diabetes , fatigue, weight_loss, restlessness, lethargy
899,Diabetes , fatigue, weight_loss, restlessness, lethargy
900,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
901,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
902,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
903,Gastroenteritis, vomiting, dehydration, diarrhoea,
904,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
905,Gastroenteritis, vomiting, sunken_eyes, dehydration,
906,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
907,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
908,Gastroenteritis, vomiting, dehydration, diarrhoea,
909,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
910,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
911,Bronchial Asthma, cough, high_fever, breathlessness, family_history
912,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
913,Bronchial Asthma, fatigue, cough, breathlessness, family_history
914,Bronchial Asthma, fatigue, cough, high_fever, family_history
915,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
916,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
917,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
918,Bronchial Asthma, cough, high_fever, breathlessness, family_history
919,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
920,Hypertension , headache, chest_pain, dizziness, loss_of_balance
921,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
922,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
923,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
924,Hypertension , headache, chest_pain, dizziness, lack_of_concentration
925,Hypertension , headache, chest_pain, dizziness, loss_of_balance
926,Hypertension , headache, chest_pain, dizziness, loss_of_balance
927,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
928,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
929,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
930,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
931,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
932,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
933,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
934,Migraine, acidity, indigestion, headache, excessive_hunger
935,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
936,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
937,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
938,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
939,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
940,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
941,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
942,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
943,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
944,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
945,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
946,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
947,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
948,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
949,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
950,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
951,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
952,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
953,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
954,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
955,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,
956,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
957,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
958,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
959,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
960,Jaundice,itching, vomiting, fatigue, weight_loss
961,Jaundice,itching, vomiting, fatigue, weight_loss
962,Jaundice, vomiting, fatigue, weight_loss, high_fever
963,Jaundice,itching, fatigue, weight_loss, high_fever
964,Jaundice,itching, vomiting, weight_loss, high_fever
965,Jaundice,itching, vomiting, fatigue, high_fever
966,Jaundice,itching, vomiting, fatigue, weight_loss
967,Jaundice,itching, vomiting, fatigue, weight_loss
968,Jaundice,itching, vomiting, fatigue, weight_loss
969,Jaundice,itching, vomiting, fatigue, weight_loss
970,Malaria, chills, vomiting, high_fever, sweating
971,Malaria, chills, vomiting, high_fever, sweating
972,Malaria, chills, vomiting, high_fever, sweating
973,Malaria, vomiting, high_fever, sweating, headache
974,Malaria, chills, high_fever, sweating, headache
975,Malaria, chills, vomiting, sweating, headache
976,Malaria, chills, vomiting, high_fever, headache
977,Malaria, chills, vomiting, high_fever, sweating
978,Malaria, chills, vomiting, high_fever, sweating
979,Malaria, chills, vomiting, high_fever, sweating
980,Chicken pox,itching, skin_rash, fatigue, lethargy
981,Chicken pox, skin_rash, fatigue, lethargy, high_fever
982,Chicken pox,itching, fatigue, lethargy, high_fever
983,Chicken pox,itching, skin_rash, lethargy, high_fever
984,Chicken pox,itching, skin_rash, fatigue, high_fever
985,Chicken pox,itching, skin_rash, fatigue, lethargy
986,Chicken pox,itching, skin_rash, fatigue, lethargy
987,Chicken pox,itching, skin_rash, fatigue, lethargy
988,Chicken pox,itching, skin_rash, fatigue, lethargy
989,Chicken pox,itching, skin_rash, fatigue, lethargy
990,Dengue, skin_rash, chills, joint_pain, vomiting
991,Dengue, skin_rash, chills, joint_pain, vomiting
992,Dengue, skin_rash, chills, joint_pain, vomiting
993,Dengue, skin_rash, chills, joint_pain, vomiting
994,Dengue, chills, joint_pain, vomiting, fatigue
995,Dengue, skin_rash, joint_pain, vomiting, fatigue
996,Dengue, skin_rash, chills, vomiting, fatigue
997,Dengue, skin_rash, chills, joint_pain, fatigue
998,Dengue, skin_rash, chills, joint_pain, vomiting
999,Dengue, skin_rash, chills, joint_pain, vomiting
1000,Typhoid, chills, vomiting, fatigue, high_fever
1001,Typhoid, chills, vomiting, fatigue, high_fever
1002,Typhoid, chills, vomiting, fatigue, high_fever
1003,Typhoid, chills, vomiting, fatigue, high_fever
1004,Typhoid, chills, vomiting, fatigue, high_fever
1005,Typhoid, chills, vomiting, fatigue, high_fever
1006,Typhoid, chills, vomiting, fatigue, high_fever
1007,Typhoid, chills, vomiting, fatigue, high_fever
1008,Typhoid, chills, vomiting, fatigue, high_fever
1009,Typhoid, chills, fatigue, high_fever, headache
1010,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1011,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1012,hepatitis A, vomiting, yellowish_skin, dark_urine, nausea
1013,hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea
1014,hepatitis A, joint_pain, vomiting, dark_urine, nausea
1015,hepatitis A, joint_pain, vomiting, yellowish_skin, nausea
1016,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1017,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1018,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1019,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1020,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1021,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1022,Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine
1023,Hepatitis B,itching, lethargy, yellowish_skin, dark_urine
1024,Hepatitis B,itching, fatigue, yellowish_skin, dark_urine
1025,Hepatitis B,itching, fatigue, lethargy, dark_urine
1026,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1027,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1028,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1029,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1030,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1031,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1032,Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
1033,Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
1034,Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
1035,Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes
1036,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1037,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1038,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1039,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1040,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1041,Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine
1042,Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine
1043,Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine
1044,Hepatitis D, joint_pain, vomiting, fatigue, dark_urine
1045,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1046,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1047,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1048,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1049,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1050,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1051,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1052,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1053,Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin
1054,Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin
1055,Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin
1056,Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin
1057,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1058,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1059,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1060,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1061,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1062,Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1063,Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1064,Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
1065,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
1066,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1067,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1068,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1069,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1070,Tuberculosis, chills, vomiting, fatigue, weight_loss
1071,Tuberculosis, chills, vomiting, fatigue, weight_loss
1072,Tuberculosis, vomiting, fatigue, weight_loss, cough
1073,Tuberculosis, chills, fatigue, weight_loss, cough
1074,Tuberculosis, chills, vomiting, weight_loss, cough
1075,Tuberculosis, chills, vomiting, fatigue, cough
1076,Tuberculosis, chills, vomiting, fatigue, weight_loss
1077,Tuberculosis, chills, vomiting, fatigue, weight_loss
1078,Tuberculosis, chills, vomiting, fatigue, weight_loss
1079,Tuberculosis, chills, vomiting, fatigue, weight_loss
1080,Common Cold, continuous_sneezing, chills, fatigue, cough
1081,Common Cold, continuous_sneezing, chills, fatigue, cough
1082,Common Cold, chills, fatigue, cough, high_fever
1083,Common Cold, continuous_sneezing, fatigue, cough, high_fever
1084,Common Cold, continuous_sneezing, chills, cough, high_fever
1085,Common Cold, continuous_sneezing, chills, fatigue, high_fever
1086,Common Cold, continuous_sneezing, chills, fatigue, cough
1087,Common Cold, continuous_sneezing, chills, fatigue, cough
1088,Common Cold, continuous_sneezing, chills, fatigue, cough
1089,Common Cold, continuous_sneezing, chills, fatigue, cough
1090,Pneumonia, chills, fatigue, cough, high_fever
1091,Pneumonia, chills, fatigue, cough, high_fever
1092,Pneumonia, chills, fatigue, cough, high_fever
1093,Pneumonia, fatigue, cough, high_fever, breathlessness
1094,Pneumonia, chills, cough, high_fever, breathlessness
1095,Pneumonia, chills, fatigue, high_fever, breathlessness
1096,Pneumonia, chills, fatigue, cough, breathlessness
1097,Pneumonia, chills, fatigue, cough, high_fever
1098,Pneumonia, chills, fatigue, cough, high_fever
1099,Pneumonia, chills, fatigue, cough, high_fever
1100,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1101,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1102,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1103,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
1104,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
1105,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
