Day,Date,Hour,Country,Event,Actual,Previous,Consensus,Forecast
Sunday,01/19/20,20:30,CN,Loan Prime Rate 1Y,0.0415,4.15%,,0.0405
Tuesday,01/21/20,4:30,GB,Claimant Count Change DEC,14.9K,14.9K,22.6K,26K
Wednesday,01/22/20,8:30,CA,Inflation Rate YoY DEC,0.022,2.20%,0.022,0.022
Wednesday,01/22/20,18:50,JP,Balance of Trade DEC,-152.5B,-85.2B,-150B,-124B
Thursday,01/23/20,18:30,JP,Inflation Rate YoY DEC,0.008,0.50%,0.004,0.005
Tuesday,01/28/20,8:30,US,Durable Goods Orders MoM DEC,0.024,-3.10%,0.004,0.006
Wednesday,01/29/20,0:00,JP,Consumer Confidence JAN,39.1,39.1,40.8,40.5
Wednesday,01/29/20,,US,USMCA Trade Deal Signature,,,,
Thursday,01/30/20,5:00,EA,Business Confidence JAN,-0.23,-0.32,-0.19,-0.18
Thursday,01/30/20,19:01,GB,Gfk Consumer Confidence JAN,-9,-11,-9,-10
Thursday,01/30/20,20:00,CN,NBS Manufacturing PMI JAN,50,50.2,50,50
Friday,01/31/20,8:30,US,Personal Income MoM DEC,0.002,0.40%,0.003,0.004
Friday,01/31/20,8:30,US,Personal Spending MoM DEC,0.003,0.40%,0.003,0.005
Friday,01/31/20,18:00,GB,Brexit Deadline,,,,
Sunday,02/02/20,20:45,CN,Caixin Manufacturing PMI JAN,51.1,51.5,51.3,50.5
Monday,02/03/20,8:10,RU,Full Year GDP Growth 2019,0.013,2.50%,,
Wednesday,02/05/20,8:30,CA,Balance of Trade DEC,-0.4B,-1.2B,-0.61B, -0.8B
Wednesday,02/05/20,8:30,US,Balance of Trade DEC,-48.9B,-43.7B,-48.2B,-49B
Friday,02/07/20,8:30,US,Non Farm Payrolls JAN,225K,147K,160K,148K
Friday,02/07/20,10:00,CA,Ivey PMI s.a JAN,57.3,51.9,53.3,52.3
Sunday,02/09/20,20:30,CN,Inflation Rate YoY JAN,0.054,4.50%,0.049,0.051
Tuesday,02/11/20,4:30,GB,Balance of Trade DEC,7.715B,1.821B,,-2.6B
Thursday,02/13/20,8:30,US,Core Inflation Rate YoY JAN,0.023,2.30%,0.022,0.023
Thursday,02/13/20,8:30,US,Inflation Rate YoY JAN,0.025,2.30%,0.024,0.024
Friday,02/14/20,8:30,US,Retail Sales MoM JAN,0.003,0.20%,0.003,0.003
Tuesday,02/18/20,4:30,GB,Claimant Count Change JAN,5.5K,2.6K,22.6K,15K
Tuesday,02/18/20,18:50,JP,Balance of Trade JAN,-1312.6B,-154.6B,-1694.9B,-1723B
Wednesday,02/19/20,4:30,GB,Inflation Rate YoY JAN,0.018,1.30%,0.016,0.014
Wednesday,02/19/20,8:30,CA,Inflation Rate YoY JAN,0.024,2.20%,0.023,0.023
Wednesday,02/19/20,20:30,CN,Loan Prime Rate 1Y,0.0405,4.15%,,0.0395
Thursday,02/20/20,18:30,JP,Inflation Rate YoY JAN,0.007,0.80%,0.007,0.007
Sunday,02/23/20,,CN,NPC Committee Meeting,,,,
Wednesday,02/26/20,18:00,US,President Trump Speech ,,,,
Thursday,02/27/20,5:00,EA,Business Confidence FEB,-0.04,-0.19,-0.28,-0.27
Thursday,02/27/20,8:30,US,Durable Goods Orders MoM JAN,-0.002,2.90%,-0.015,-0.02
Thursday,02/27/20,19:01,GB,Gfk Consumer Confidence FEB,-7,-9,-8,-8
Friday,02/28/20,8:30,US,Personal Income MoM JAN,0.006,0.10%,0.003,0.003
Friday,02/28/20,8:30,US,Personal Spending MoM JAN,0.002,0.40%,0.003,0.002
Friday,02/28/20,20:00,CN,NBS Manufacturing PMI FEB,35.7,50,46,45
Sunday,03/01/20,20:45,CN,Caixin Manufacturing PMI FEB,40.3,51.1,45.7,46
Tuesday,03/03/20,0:00,JP,Consumer Confidence FEB,38.4,39.1,40.6,37.7
Tuesday,03/03/20,11:00,US,Fed Press Conference,,,,
Friday,03/06/20,8:30,CA,Balance of Trade JAN,-1.47B,-0.73B,-0.83B, -0.7B
Friday,03/06/20,8:30,US,Balance of Trade JAN,-45.3B,-48.6B,-46.1B, -45.8B
Friday,03/06/20,8:30,US,Non Farm Payrolls FEB,273K,273K,175K,165K
Friday,03/06/20,10:00,CA,Ivey PMI s.a FEB,54.1,57.3,53.6,56
Monday,03/09/20,20:30,CN,Inflation Rate YoY FEB,0.052,5.40%,0.052,0.051
Wednesday,03/11/20,4:00,GB,BoE Press Conference,,,,
Wednesday,03/11/20,4:30,GB,Balance of Trade JAN,4.2B,6.3B,,-3.7B
Wednesday,03/11/20,7:30,GB,Spring Budget 2020,,,,
Wednesday,03/11/20,7:30,US,Core Inflation Rate YoY FEB,0.024,2.30%,0.023,0.023
Wednesday,03/11/20,7:30,US,Inflation Rate YoY FEB,0.023,2.50%,0.022,0.023
Wednesday,03/11/20,20:00,US,President Trump Statement on Coronavirus,,,,
Friday,03/13/20,14:00,US,President Trump Statement on Coronavirus,,,,
Sunday,03/15/20,17:30,US,Fed Press Conference,,,,
Tuesday,03/17/20,4:30,GB,Claimant Count Change FEB,17.3K,-0.2K,21.4K,24K
Tuesday,03/17/20,7:30,US,Retail Sales MoM FEB,-0.005,0.60%,0.002,0.001
Tuesday,03/17/20,18:50,JP,Balance of Trade FEB,1109.8B,-1313.2B,917.2B,915B
Wednesday,03/18/20,7:30,CA,Inflation Rate YoY FEB,0.022,2.40%,0.021,0.022
Wednesday,03/18/20,8:00,CA,Prime Minister Trudeau Speech ,,,,
Wednesday,03/18/20,18:30,JP,Inflation Rate YoY FEB,0.004,0.70%,0.008,0.005
Thursday,03/19/20,20:30,CN,Loan Prime Rate 1Y,0.0405,4.05%,,0.0395
Tuesday,03/24/20,11:00,CA,Parliamentary Debate & Vote on Coronavirus Aid Package,,,,
Wednesday,03/25/20,2:00,GB,Inflation Rate YoY FEB,0.017,1.80%,0.017,0.015
Wednesday,03/25/20,7:30,US,Durable Goods Orders MoM FEB,0.012,0.10%,-0.008,-0.007
Friday,03/27/20,7:30,US,Personal Income MoM FEB,0.006,0.60%,0.004,0.003
Friday,03/27/20,7:30,US,Personal Spending MoM FEB,0.002,0.20%,0.002,0.003
Monday,03/30/20,4:00,EA,Business Confidence MAR,-0.28,-0.06,-0.05,-0.6
Monday,03/30/20,18:01,GB,Gfk Consumer Confidence MAR,-9,-7,-15,-16
Monday,03/30/20,20:00,CN,NBS Manufacturing PMI MAR,52,35.7,45,44.2
Tuesday,03/31/20,18:50,JP,Tankan Large Manufacturers Index Q1,-8,0,-10,-12
Tuesday,03/31/20,20:45,CN,Caixin Manufacturing PMI MAR,50.1,40.3,45.5,45.7
Thursday,04/02/20,7:30,CA,Balance of Trade FEB,-0.98B,-1.66B,-1.87B, -2B
Thursday,04/02/20,7:30,US,Balance of Trade FEB,-39.9B,-45.5B,-40B, -39B
Friday,04/03/20,7:30,US,Non Farm Payrolls MAR,-701K,275K,-100K,-150K
Sunday,04/05/20,18:01,GB,Gfk Consumer Confidence MAR,-34,-9,,-30
Monday,04/06/20,0:20,JP,Consumer Confidence MAR,30.9,38.4,,36.8
Tuesday,04/07/20,9:00,CA,Ivey PMI s.a MAR,26,54.1,41,43
Tuesday,04/07/20,,EA,Eurogroup Meeting,,,,
Thursday,04/09/20,1:00,GB,Balance of Trade FEB,-2.8B,2.4B,,2.2B
Thursday,04/09/20,20:30,CN,Inflation Rate YoY MAR,0.043,5.20%,0.048,0.05
Thursday,04/09/20,,EA,Eurogroup Meeting,,,,
Friday,04/10/20,7:30,US,Core Inflation Rate YoY MAR,0.021,2.40%,0.023,0.023
Friday,04/10/20,7:30,US,Inflation Rate YoY MAR,0.015,2.30%,0.016,0.015
Wednesday,04/15/20,7:30,US,Retail Sales MoM MAR,-0.087,-0.40%,-0.08,-0.065
Sunday,04/19/20,18:50,JP,Balance of Trade MAR,4.9B,1108.8B,420B, 400B
Sunday,04/19/20,20:30,CN,Loan Prime Rate 1Y,0.0385,4.05%,0.0385,0.0385
Tuesday,04/21/20,1:00,GB,Claimant Count Change MAR,12.2K,5.9K,175K,272K
Wednesday,04/22/20,1:00,GB,Inflation Rate YoY MAR,0.015,1.70%,0.015,0.013
Wednesday,04/22/20,7:30,CA,Inflation Rate YoY MAR,0.009,2.20%,0.012,0.015
Thursday,04/23/20,18:01,GB,Gfk Consumer Confidence APR,-34,-34,-40,-46
Thursday,04/23/20,18:30,JP,Inflation Rate YoY MAR,0.004,0.40%,,0.002
Friday,04/24/20,7:30,US,Durable Goods Orders MoM MAR,-0.144,1.10%,-0.119,-0.12
Wednesday,04/29/20,4:25,EA,Business Confidence APR,-1.81,-0.28,,-1.24
Wednesday,04/29/20,20:00,CN,NBS Manufacturing PMI APR,50.8,52,51,47.6
Wednesday,04/29/20,21:45,CN,Caixin Manufacturing PMI APR,49.4,50.1,50.3,47.8
Thursday,04/30/20,0:00,JP,Consumer Confidence APR,21.6,30.9,,22.3
Thursday,04/30/20,7:30,US,Personal Income MoM MAR,-0.02,0.60%,-0.015,-0.01
Thursday,04/30/20,7:30,US,Personal Spending MoM MAR,-0.075,0.20%,-0.05,-0.063
Tuesday,05/05/20,7:30,CA,Balance of Trade MAR,-1.41B,-0.89B,-2B, -1.5B
Tuesday,05/05/20,7:30,US,Balance of Trade MAR,-44.4B,-39.8B,-44B,-44.2B
Thursday,05/07/20,9:00,CA,Ivey PMI s.a APR,22.8,26,25,20
Thursday,05/07/20,7:30,US,Non Farm Payrolls APR,-20500K,-870K,-22000K,-21780K
Thursday,05/07/20,20:30,CN,Inflation Rate YoY APR,0.033,4.30%,0.037,0.036
Tuesday,05/12/20,7:30,US,Core Inflation Rate YoY APR,0.014,2.10%,0.017,0.016
Tuesday,05/12/20,7:30,US,Inflation Rate YoY APR,0.003,1.50%,0.004,0.005
Wednesday,05/13/20,1:00,GB,Balance of Trade MAR,-6.7B,-1.5B,,-1.7B
Wednesday,05/13/20,7:30,US,Retail Sales MoM APR,-0.164,-8.30%,-0.12,-0.118
Tuesday,05/19/20,1:00,GB,Claimant Count Change APR,856.5K,12.1K,676.5K,650K
Tuesday,05/19/20,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,0.0385,0.0385
Wednesday,05/20/20,1:00,GB,Inflation Rate YoY APR,0.008,1.50%,0.009,0.008
Wednesday,05/20/20,7:30,CA,Inflation Rate YoY APR,-0.002,0.90%,-0.001,-0.001
Wednesday,05/20/20,18:50,JP,Balance of Trade APR,-930B,5.4B,-560B,-480B
Thursday,05/21/20,18:01,GB,Gfk Consumer Confidence 05,-34,-33,,-42
Thursday,05/21/20,18:30,JP,Inflation Rate YoY APR,0.001,0.40%,,0.002
Thursday,05/21/20,,CN,National People’s Congress,,,,
Thursday,05/28/20,4:00,EA,Business Confidence 05,-2.43,-1.99,,-3
Thursday,05/28/20,7:30,US,Durable Goods Orders MoM APR,-0.172,-16.60%,-0.19,-0.19
Thursday,05/28/20,0:00,JP,Consumer Confidence 05,24,21.6,,25.1
Thursday,05/28/20,7:30,US,Personal Income MoM APR,0.105,-2.20%,-0.065,-0.066
Thursday,05/28/20,7:30,US,Personal Spending MoM APR,-0.136,-6.90%,-0.126,-0.114
Saturday,05/30/20,20:00,CN,NBS Manufacturing PMI 05,50.6,50.8,51,50.5
Saturday,05/30/20,20:45,CN,Caixin Manufacturing PMI 05,50.7,49.4,49.6,49.5
Thursday,06/04/20,7:30,CA,Balance of Trade APR,-3.25B,-1.53B,-2.36B, 0.5B
Thursday,06/04/20,7:30,US,Balance of Trade APR,-49.4B,-42.3B,-49B, -54.3B
Thursday,06/04/20,18:01,GB,Gfk Consumer Confidence Final 05,-36,-33,-34,-34
Friday,06/05/20,7:30,US,Non Farm Payrolls 05,2509K,-20687K,-8000K,-8870K
Friday,06/05/20,9:00,CA,Ivey PMI s.a 05,39.1,22.8,,25
Tuesday,06/09/20,20:30,CN,Inflation Rate YoY 05,0.024,3.30%,0.027,0.027
Wednesday,06/10/20,7:30,US,Core Inflation Rate YoY 05,0.012,1.40%,0.013,0.012
Wednesday,06/10/20,7:30,US,Inflation Rate YoY 05,0.001,0.30%,0.002,0.002
Friday,06/12/20,1:00,GB,Balance of Trade APR,0.31B,-3.96B,,-6.2B
Tuesday,06/16/20,1:00,GB,Claimant Count Change 05,528.9K,1032.7K,400K,330K
Tuesday,06/16/20,7:30,US,Retail Sales MoM 05,0.177,-14.70%,0.08,0.075
Tuesday,06/16/20,18:50,JP,Balance of Trade 05,-833.4B,-931.9B,-970.8B,-880B
Wednesday,06/17/20,1:00,GB,Inflation Rate YoY 05,0.005,0.80%,0.005,0.005
Wednesday,06/17/20,7:30,CA,Inflation Rate YoY 05,-0.004,-0.20%,0,0
Thursday,06/18/20,18:30,JP,Inflation Rate YoY 05,0.001,0.10%,0.001,0.001
Sunday,06/21/20,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.037
Thursday,06/25/20,7:30,US,Durable Goods Orders MoM 05,0.158,-18.10%,0.109,0.085
Friday,06/26/20,7:30,US,Personal Income MoM 05,-0.042,10.80%,-0.06,-0.056
Friday,06/26/20,7:30,US,Personal Spending MoM 05,0.082,-12.60%,0.09,0.095
Monday,06/29/20,20:00,CN,NBS Manufacturing PMI JUN,50.9,50.6,50.4,50.2
Tuesday,06/30/20,18:50,JP,Tankan Large Manufacturers Index Q2,-34,-8,-31,-34
Tuesday,06/30/20,20:45,CN,Caixin Manufacturing PMI JUN,51.2,50.7,50.5,50.3
Wednesday,07/01/20,0:00,JP,Consumer Confidence JUN,28.4,24,,30
Thursday,07/02/20,7:30,CA,Balance of Trade 05,-0.68B,-4.27B,-3B, -2.8B
Thursday,07/02/20,7:30,US,Balance of Trade 05,-54.6B,-49.8B,-53B, -53B
Thursday,07/02/20,7:30,US,Non Farm Payrolls JUN,4800K,2699K,3000K,2900K
Thursday,07/02/20,18:01,GB,Gfk Consumer Confidence Final JUN,-27,-30,,-32
Tuesday,07/07/20,9:00,CA,Ivey PMI s.a JUN,58.2,39.1,,43
Wednesday,07/08/20,6:30,GB,Supplementary Budget,,,,
Wednesday,07/08/20,20:30,CN,Inflation Rate YoY JUN,0.025,2.40%,0.025,0.025
Thursday,07/09/20,,EA,Eurogroup Meeting,,,,
Tuesday,07/14/20,1:00,GB,Balance of Trade 05,4.3B,2.3B,,-0.8B
Tuesday,07/14/20,7:30,US,Core Inflation Rate YoY JUN,0.012,1.20%,0.011,0.012
Tuesday,07/14/20,7:30,US,Inflation Rate YoY JUN,0.006,0.10%,0.006,0.005
Wednesday,07/15/20,1:00,GB,Inflation Rate YoY JUN,0.006,0.50%,0.004,0.006
Thursday,07/16/20,1:00,GB,Claimant Count Change JUN,-28.1K,566.4K,250K,210K
Thursday,07/16/20,7:30,US,Retail Sales MoM JUN,0.075,18.20%,0.05,0.045
Sunday,07/19/20,18:50,JP,Balance of Trade JUN,-268.8B,-838.2B,-35.8B,-40B
Sunday,07/19/20,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,0.0385,0.0385
Monday,07/20/20,18:30,JP,Inflation Rate YoY JUN,0.001,0.10%,,0.001
Wednesday,07/22/20,7:30,CA,Inflation Rate YoY JUN,0.007,-0.40%,0.003,0.003
Thursday,07/23/20,18:01,GB,Gfk Consumer Confidence JUL,-27,-30,-26,-26
Monday,07/27/20,7:30,US,Durable Goods Orders MoM JUN,0.073,15.10%,0.07,0.05
Thursday,07/30/20,20:00,CN,NBS Manufacturing PMI JUL,51.1,50.9,50.7,51
Friday,07/31/20,0:00,JP,Consumer Confidence JUL,29.5,28.4,,26
Friday,07/31/20,7:30,US,Personal Income MoM JUN,-0.011,-4.40%,-0.005,-0.003
Friday,07/31/20,7:30,US,Personal Spending MoM JUN,0.056,8.50%,0.055,0.053
Sunday,08/02/20,20:45,CN,Caixin Manufacturing PMI JUL,52.8,51.2,51.3,51.6
Wednesday,08/05/20,7:30,CA,Balance of Trade JUN,-3.19B,-1.33B,-0.9B, -1B
Wednesday,08/05/20,7:30,US,Balance of Trade JUN,-50.7B,-54.8B,-50.1B,-50.7B
Friday,08/07/20,7:30,US,Non Farm Payrolls JUL,1763K,4800K,1600K,1620K
Friday,08/07/20,9:00,CA,Ivey PMI s.a JUL,68.5,58.2,57.5,57.9
Sunday,08/09/20,20:30,CN,Inflation Rate YoY JUL,0.027,2.50%,0.026,0.027
Tuesday,08/11/20,1:00,GB,Claimant Count Change JUL,94.4K,-28.1K,10K,5K
Wednesday,08/12/20,1:00,GB,Balance of Trade JUN,5.3B,7.7B,,2.8B
Wednesday,08/12/20,7:30,US,Core Inflation Rate YoY JUL,0.016,1.20%,0.011,0.01
Wednesday,08/12/20,7:30,US,Inflation Rate YoY JUL,0.01,0.60%,0.008,0.007
Friday,08/14/20,7:30,US,Retail Sales MoM JUL,0.012,8.40%,0.019,0.02
Tuesday,08/18/20,18:50,JP,Balance of Trade JUL,11.6B,-269.3B,-77.6B,-120B
Wednesday,08/19/20,1:00,GB,Inflation Rate YoY JUL,0.01,0.60%,0.006,0.007
Wednesday,08/19/20,7:30,CA,Inflation Rate YoY JUL,0.001,0.70%,0.005,0.005
Wednesday,08/19/20,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Thursday,08/20/20,18:01,GB,Gfk Consumer Confidence AUG,-27,-27,-25,-24
Thursday,08/20/20,18:30,JP,Inflation Rate YoY JUL,0.003,0.10%,,0.001
Wednesday,08/26/20,7:30,US,Durable Goods Orders MoM JUL,0.112,7.70%,0.043,0.039
Friday,08/28/20,7:30,US,Personal Income MoM JUL,0.004,-1%,-0.002,-0.004
Friday,08/28/20,7:30,US,Personal Spending MoM JUL,0.019,6.20%,0.015,0.012
Sunday,08/30/20,20:00,CN,NBS Manufacturing PMI AUG,51,51.1,51.2,51.3
Monday,08/31/20,0:00,JP,Consumer Confidence AUG,29.3,29.5,,29
Monday,08/31/20,20:45,CN,Caixin Manufacturing PMI AUG,53.1,52.8,52.6,52.4
Thursday,09/03/20,7:30,CA,Balance of Trade JUL,-2.45B,-1.59B,-2.5B, -2.3B
Thursday,09/03/20,7:30,US,Balance of Trade JUL,-63.6B,-53.5B,-58B, -59B
Friday,09/04/20,7:30,US,Non Farm Payrolls AUG,1371K,1734K,1400K,1490K
Friday,09/04/20,9:00,CA,Ivey PMI s.a AUG,67.8,68.5,,68.7
Tuesday,09/08/20,20:30,CN,Inflation Rate YoY AUG,0.024,2.70%,0.024,0.025
Friday,09/11/20,1:00,GB,Balance of Trade JUL,1.1B,3.9B,,1.2B
Friday,09/11/20,7:30,US,Core Inflation Rate YoY AUG,0.017,1.60%,0.016,0.015
Friday,09/11/20,7:30,US,Inflation Rate YoY AUG,0.013,1%,0.012,0.011
Friday,09/11/20,,EA,Eurogroup Meeting,,,,
Tuesday,09/15/20,1:00,GB,Claimant Count Change AUG,73.7K,69.9K,100K,51K
Tuesday,09/15/20,18:50,JP,Balance of Trade AUG,248.3B,10.9B,-37.5B,-50B
Wednesday,09/16/20,1:00,GB,Inflation Rate YoY AUG,0.002,1%,0,0.001
Wednesday,09/16/20,7:30,CA,Inflation Rate YoY AUG,0.001,0.10%,0.004,0.003
Wednesday,09/16/20,7:30,US,Retail Sales MoM AUG,0.006,0.90%,0.01,0.01
Thursday,09/17/20,18:30,JP,Inflation Rate YoY AUG,0.002,0.30%,,0.001
Sunday,09/20/20,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,0.0385,0.0385
Thursday,09/24/20,6:30,GB,Winter Economy Plan,,,,
Thursday,09/24/20,18:01,GB,Gfk Consumer Confidence SEP,-25,-27,-27,-26
Friday,09/25/20,7:30,US,Durable Goods Orders MoM AUG,0.004,11.70%,0.015,0.02
Tuesday,09/29/20,20:00,CN,NBS Manufacturing PMI SEP,51.5,51,51.2,51.4
Tuesday,09/29/20,20:45,CN,Caixin Manufacturing PMI SEP,53,53.1,53.1,53.4
Wednesday,09/30/20,18:50,JP,Tankan Large Manufacturers Index Q3,-27,-34,-23,-26
Thursday,10/01/20,7:30,US,Personal Income MoM AUG,-0.027,0.50%,-0.024,-0.02
Thursday,10/01/20,7:30,US,Personal Spending MoM AUG,0.01,1.50%,0.008,0.008
Friday,10/02/20,0:00,JP,Consumer Confidence SEP,32.7,29.3,,32
Friday,10/02/20,7:30,US,Non Farm Payrolls SEP,661K,1489K,850K,915K
Monday,10/05/20,,EA,Eurogroup Video Conference,,,,
Tuesday,10/06/20,7:30,CA,Balance of Trade AUG,-2.45B,-2.53B,-2B, -2.1B
Tuesday,10/06/20,7:30,US,Balance of Trade AUG,-67.1B,-63.4B,-66.1B, -66.5B
Wednesday,10/07/20,9:00,CA,Ivey PMI s.a SEP,54.3,67.8,,68
Friday,10/09/20,1:00,GB,Balance of Trade AUG,1.4B,1.7B,,0.6B
Tuesday,10/13/20,1:00,GB,Claimant Count Change SEP,28K,39.5K,78.8K,72K
Tuesday,10/13/20,7:30,US,Core Inflation Rate YoY SEP,0.017,1.70%,0.018,0.017
Tuesday,10/13/20,7:30,US,Inflation Rate YoY SEP,0.014,1.30%,0.014,0.015
Wednesday,10/14/20,20:30,CN,Inflation Rate YoY SEP,0.017,2.40%,0.018,0.02
Friday,10/16/20,7:30,US,Retail Sales MoM SEP,0.019,0.60%,0.007,0.005
Sunday,10/18/20,18:50,JP,Balance of Trade SEP,675B,248.6B,989.8B, 900B
Monday,10/19/20,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,0.0385,0.0385
Wednesday,10/21/20,1:00,GB,Inflation Rate YoY SEP,0.005,0.20%,0.005,0.004
Wednesday,10/21/20,7:30,CA,Inflation Rate YoY SEP,0.005,0.10%,0.004,0.003
Thursday,10/22/20,18:01,GB,Gfk Consumer Confidence OCT,-31,-30,-28,-26
Thursday,10/22/20,18:30,JP,Inflation Rate YoY SEP,0,0.20%,,0.001
Tuesday,10/27/20,7:30,US,Durable Goods Orders MoM SEP,0.019,0.40%,0.005,0.004
Thursday,10/29/20,0:00,JP,Consumer Confidence OCT,33.6,32.7,,34.8
Friday,10/30/20,7:30,US,Personal Income MoM SEP,0.009,-2.50%,0.004,0.004
Friday,10/30/20,7:30,US,Personal Spending MoM SEP,0.014,1%,0.01,0.008
Friday,10/30/20,20:00,CN,NBS Manufacturing PMI OCT,51.4,51.5,51.3,51.4
Sunday,11/01/20,20:45,CN,Caixin Manufacturing PMI OCT,53.6,53,53,52.8
Monday,11/02/20,,US,Presidential Election,,,,
Tuesday,11/03/20,,EA,Eurogroup Video Conference,,,,
Wednesday,11/04/20,8:30,CA,Balance of Trade SEP,-3.25B,-3.21B,-2.6B, -2.6B
Wednesday,11/04/20,8:30,US,Balance of Trade SEP,-63.9B,-67B,-63.8B, -63.1B
Friday,11/06/20,8:30,US,Non Farm Payrolls OCT,638K,672K,600K,510K
Friday,11/06/20,10:00,CA,Ivey PMI s.a OCT,54.5,54.3,51.5,52
Monday,11/09/20,20:30,CN,Inflation Rate YoY OCT,0.005,1.70%,0.008,0.01
Tuesday,11/10/20,2:00,GB,Claimant Count Change OCT,-29.8K,-40.2K,50K,36K
Thursday,11/12/20,2:00,GB,Balance of Trade SEP,0.6B,2.9B,,-1.0B
Thursday,11/12/20,8:30,US,Core Inflation Rate YoY OCT,0.016,1.70%,0.018,0.018
Thursday,11/12/20,8:30,US,Inflation Rate YoY OCT,0.012,1.40%,0.013,0.015
Tuesday,11/17/20,8:30,US,Retail Sales MoM OCT,0.003,1.60%,0.005,0.004
Tuesday,11/17/20,18:50,JP,Balance of Trade OCT,872.9B,687.8B,250B,210B
Wednesday,11/18/20,2:00,GB,Inflation Rate YoY OCT,0.007,0.50%,0.006,0.007
Wednesday,11/18/20,8:30,CA,Inflation Rate YoY OCT,0.007,0.50%,0.004,0.003
Thursday,11/19/20,18:30,JP,Inflation Rate YoY OCT,-0.004,0%,-0.003,-0.002
Thursday,11/19/20,19:01,GB,GfK Consumer Confidence NOV,-33,-31,-34,-33
Thursday,11/19/20,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,,0.0385
Wednesday,11/25/20,8:30,US,Durable Goods Orders MoM OCT,0.013,2.10%,0.009,0.008
Wednesday,11/25/20,10:00,US,Personal Income MoM OCT,-0.007,0.70%,0,0.002
Wednesday,11/25/20,10:00,US,Personal Spending MoM OCT,0.005,1.20%,0.004,0.005
Sunday,11/29/20,20:00,CN,NBS Manufacturing PMI NOV,52.1,51.4,51.5,51
Monday,11/30/20,20:45,CN,Caixin Manufacturing PMI NOV,54.9,53.6,53.5,53.2
Monday,11/30/20,,EA,Eurogroup Video Conference,,,,
Wednesday,12/02/20,0:00,JP,Consumer Confidence NOV,33.7,33.6,,33
Friday,12/04/20,8:30,CA,Balance of Trade OCT,-3.76B,-3.8B,-3B,-3.5B
Friday,12/04/20,8:30,US,Balance of Trade OCT,-63.1B,-62.1B,-64.8B,-65B
Friday,12/04/20,8:30,US,Non Farm Payrolls NOV,245K,610K,469K,500K
Monday,12/07/20,10:00,CA,Ivey PMI s.a NOV,52.7,54.5,54.7,54
Tuesday,12/08/20,20:30,CN,Inflation Rate YoY NOV,-0.005,0.50%,0,0.001
Thursday,12/10/20,2:00,GB,Balance of Trade OCT,-1.7B,0.6B,,0.5B
Thursday,12/10/20,8:30,US,Core Inflation Rate YoY NOV,0.016,1.60%,0.016,0.016
Thursday,12/10/20,8:30,US,Inflation Rate YoY NOV,0.012,1.20%,0.011,0.012
Sunday,12/13/20,18:50,JP,Tankan Large Manufacturers Index Q4,-10,-27,-15,-17
Tuesday,12/15/20,2:00,GB,Claimant Count Change NOV,64.3K,-29.8K,,30K
Tuesday,12/15/20,18:50,JP,Balance of Trade NOV,366.8B,871.7B,529.8B,510B
Wednesday,12/16/20,2:00,GB,Inflation Rate YoY NOV,0.003,0.70%,0.006,0.008
Wednesday,12/16/20,8:30,CA,Inflation Rate YoY NOV,0.01,0.70%,0.008,0.008
Wednesday,12/16/20,8:30,US,Retail Sales MoM NOV,-0.011,-0.10%,-0.003,-0.003
Wednesday,12/16/20,,EA,Eurogroup Video Conference,,,,
Thursday,12/17/20,18:30,JP,Inflation Rate YoY NOV,-0.009,-0.40%,,-0.005
Thursday,12/17/20,19:01,GB,GfK Consumer Confidence DEC,-26,-33,-31,-30
Sunday,12/20/20,20:30,CN,Loan Prime Rate 1Y,0.0385,3.85%,0.0385,0.0385
Wednesday,12/23/20,8:30,US,Durable Goods Orders MoM NOV,0.009,1.80%,0.006,0.006
Wednesday,12/23/20,8:30,US,Personal Income MoM NOV,-0.011,-0.60%,-0.003,-0.004
Wednesday,12/23/20,8:30,US,Personal Spending MoM NOV,-0.004,0.30%,-0.002,-0.004
Wednesday,12/30/20,20:00,CN,NBS Manufacturing PMI DEC,51.9,52.1,52,51.5
Sunday,01/03/21,20:45,CN,Caixin Manufacturing PMI DEC,53,54.9,54.8,54.6
Wednesday,01/06/21,0:00,JP,Consumer Confidence DEC,31.8,33.7,,35
Thursday,01/07/21,8:30,CA,Balance of Trade NOV,-3.34B,-3.73B,-3.5B,-3.2B
Thursday,01/07/21,8:30,US,Balance of Trade NOV,-68.1B,-63.1B,-65.2B,-67.6B
Thursday,01/07/21,10:00,CA,Ivey PMI s.a DEC,46.7,52.7,,53.2
Friday,01/08/21,8:30,US,Non Farm Payrolls DEC,-140K,336K,71K,112K
Sunday,01/10/21,20:30,CN,Inflation Rate YoY DEC,0.002,-0.50%,0.001,0
Wednesday,01/13/21,8:30,US,Core Inflation Rate YoY DEC,0.016,1.60%,0.016,0.016
Wednesday,01/13/21,8:30,US,Inflation Rate YoY DEC,0.014,1.20%,0.013,0.012
Friday,01/15/21,2:00,GB,Balance of Trade NOV,-5B,-2.3B,,-1.2B
Friday,01/15/21,8:30,US,Retail Sales MoM DEC,-0.007,-1.40%,0,-0.002
