Name,Price,Producer,MPN,EAN,UPC,Base Clock,Turbo Clock,Unlocked Multiplier,Cores,Threads,TDP,Socket,Integrated GPU,Product Page
AMD Ryzen 7 2700,$272.02 USD,AMD,YD2700BBAFBOX,0730143309189,730143309189,3.2 GHz,4.1 GHz,True,8,16,100 W,AM4,False,https://www.amazon.ca/dp/B07B41717Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 7 2700X,$192.22 USD,AMD,YD270XBGAFBOX,0730143309202,730143309202,3.7 GHz,4.3 GHz,True,8,16,100 W,AM4,False,https://www.amazon.ca/dp/B07B428M7F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 7 3700X,$601.32 USD,AMD,100-100000071BOX,0730143309974,730143309974,3.6 GHz,4.4 GHz,True,8,16,65 W,AM4,False,https://www.amazon.ca/dp/B08ZJB58JC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 7 3800X,$433.96 USD,AMD,100-100000025BOX,0730143309899,730143309899,3.9 GHz,4.5 GHz,True,8,16,105 W,AM4,False,https://www.amazon.ca/dp/B07Z1211CC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 7 3800XT,$282.89 USD,AMD,100-100000279WOF,0730143312264,,3.9 GHz,4.7 GHz,True,8,16,105 W,AM4,False,https://www.amazon.ca/dp/B089WCXZJC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 9 3900X,$570.33 USD,AMD,100-100000023BOX,0730143309950,,3.8 GHz,4.6 GHz,True,12,24,105 W,AM4,False,https://www.amazon.ca/dp/B07SXMZLP9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 9 3900XT,,AMD,100-100000277WOF,0730143312554,,3.8 GHz,4.7 GHz,True,12,24,105 W,AM4,False,
AMD Ryzen 9 3950X,$735.59 USD,AMD,100-100000051WOF,0730143311809,,3.5 GHz,4.7 GHz,True,16,32,105 W,AM4,False,https://www.amazon.ca/dp/B07ZTYKLZW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 9 7900X3D,$507.04 USD,AMD,100-100000909WOF,0730143314916,,4.4 GHz,5.6 GHz,False,12,24,120 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BTRRNK7T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 9 7950X3D,$550.55 USD,AMD,100-100000908WOF,0730143314893,,4.2 GHz,5.7 GHz,False,16,32,120 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BTRH9MNS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper 1900X,$194.56 USD,AMD,YD190XA8AEWOF,0730143309042,,3.8 GHz,4.0 GHz,True,8,16,180 W,TR4,False,https://www.amazon.ca/dp/B0754JNQBP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper 1920X,$284.33 USD,AMD,YD192XA8AEWOF,0730143308786,,3.5 GHz,4.0 GHz,True,12,24,180 W,TR4,False,https://www.amazon.ca/AMD-Threadripper-24-thread-Processor-YD192XA8AEWOF/dp/B074CBJHCT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074CBJHCT
AMD Ryzen Threadripper 1950X,$513.47 USD,AMD,YD195XA8AEWOF,0730143308755,730143308755,3.4 GHz,4.0 GHz,True,16,32,180 W,TR4,False,https://www.amazon.ca/AMD-Threadripper-32-thread-Processor-YD195XA8AEWOF/dp/B074CBH3R4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074CBH3R4
AMD Ryzen Threadripper 2920X,$569.62 USD,AMD,YD292XA8AFWOF,0730143309417,730143309417,3.5 GHz,4.3 GHz,True,12,24,180 W,TR4,False,https://www.amazon.ca/dp/B07JDF4QP2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper 2950X,$785.71 USD,AMD,YD295XA8AFWOF,0730143309301,730143309301,3.5 GHz,4.4 GHz,True,16,32,180 W,TR4,False,https://www.amazon.ca/dp/B07GFN6CVF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper 2970WX,$1182.35 USD,AMD,YD297XAZAFWOF,0730143309400,730143309400,3.0 GHz,4.2 GHz,True,24,48,250 W,TR4,False,https://www.amazon.ca/dp/B07JBQJ1D9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper 2990WX,$797.91 USD,AMD,YD299XAZAFWOF,0730143309288,730143309288,3.0 GHz,4.0 GHz,True,32,64,250 W,TR4,False,https://www.amazon.ca/dp/B07G25SD1P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper Pro 3955WX,$979.25 USD,AMD,100-100000167WOF,0730143312950,,3.9 GHz,4.3 GHz,False,16,32,280 W,sWRX80,False,https://www.amazon.ca/dp/B08V5J11BD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper Pro 3975WX,$2756.42 USD,AMD,100-100000086WOF,0730143312943,,3.5 GHz,4.2 GHz,False,32,64,280 W,sWRX80,False,https://www.amazon.ca/dp/B08V5H7GPM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper Pro 3995WX,$4968.82 USD,AMD,100-100000087WOF,0730143312936,,2.7 GHz,4.2 GHz,False,64,128,280 W,sWRX80,False,https://www.amazon.ca/dp/B08V5HPXVY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper Pro 5955WX,$1022.04 USD,AMD,100-100000447WOF,0730143314626,,4.0 GHz,4.5 GHz,False,16,32,280 W,sWRX8,False,https://www.amazon.ca/dp/B0BFVVC89M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper Pro 5965WX,$2255.18 USD,AMD,100-100000446WOF,0730143314404,,3.8 GHz,4.5 GHz,False,24,48,280 W,sWRX8,False,https://www.amazon.ca/dp/B0B5VJHT7L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper Pro 5975WX,$3125.63 USD,AMD,100-100000445WOF,0730143314381,,3.6 GHz,4.5 GHz,False,32,64,280 W,sWRX8,False,https://www.amazon.ca/dp/B0B5VH1WPC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen Threadripper Pro 5995WX,$6244.74 USD,AMD,100-100000444WOF,0730143314367,,2.7 GHz,4.5 GHz,False,64,128,280 W,sWRX8,False,https://www.amazon.ca/dp/B0B5VLPVL5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Celeron G1840,$47.15 USD,Intel,BX80646G1840,5032037062534,,2.8 GHz,GHz,False,2,2,54 W,1150,False,https://www.amazon.ca/dp/B00J2LIE9C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Celeron G6900,,Intel,BX80715G6900,5032037238755,,3.4 GHz,GHz,False,2,2,46 W,1700,False,
Intel Core i3-10100,,Intel,BX8070110100,5032037186957,,3.6 GHz,4.1 GHz,False,4,8,65 W,1200,Intel UHD 630,
Intel Core i3-10100F,,Intel,BX8070110100F,0675901864039,,3.6 GHz,4.3 GHz,False,4,8,125 W,1200,False,
Intel Core i3-10105,,Intel,BX8070110105,5032037214841,,3.7 GHz,GHz,False,4,8,65 W,1200,False,
Intel Core i3-10300,,Intel,BX8070110300,5032037186933,,3.7 GHz,4.2 GHz,False,4,8,65 W,1200,Intel UHD 630,
Intel Core i3-10305,,Intel,BX8070110305,5032037214827,,3.8 GHz,GHz,False,4,8,65 W,1200,False,
Intel Core i3-10320,,Intel,BX8070110320,5032037186872,,3.8 GHz,4.4 GHz,False,4,8,65 W,1200,Intel UHD 630,
Intel Core i3-13100,$137.81 USD,Intel,BX8071513100,5032037260312,735858528351,3.4 GHz,GHz,False,4,8,60 W,1700,False,https://www.amazon.ca/dp/B0BQ6CTTMK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i3-13100F,$116.05 USD,Intel,BX8071513100F,5032037260336,735858528375,3.4 GHz,GHz,False,4,8,58 W,1700,False,https://www.amazon.ca/dp/B0BQ6BCWC4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i3-4130,,Intel,BX80646I34130,5032037056533,,3.4 GHz,GHz,False,2,4,54 W,1150,Intel HD 4400,
Intel Core i3-4160,,Intel,BX80646I34160,5032037066921,735858287180,3.6 GHz,GHz,False,2,4,54 W,1150,Intel HD 4400,
Intel Core i3-4170,,Intel,BX80646I34170,5032037073479,,3.7 GHz,GHz,False,2,4,54 W,1150,False,
Intel Core i3-4330,,Intel,BX80646I34330,5032037056113,,GHz,GHz,False,2,4,54 W,1150,Intel HD 4600,
Intel Core i3-6098P,,Intel,BX80662I36098P,5032037084291,,3.6 GHz,GHz,False,2,4,54 W,1151,False,
Intel Core i3-6100,$114.6 USD,Intel,BX80662I36100,5032037079051,735858305532,3.7 GHz,GHz,False,2,4,47 W,1151,Intel HD 530,https://www.amazon.ca/Intel-BX80662I36100-6th-Generation-i3-6100-Processor/dp/B015VPX2EO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015VPX2EO
Intel Core i3-6100T,$126.83 USD,Intel,BX80662I36100T,5032037079112,,3.2 GHz,GHz,False,2,4,35 W,1151,False,https://www.amazon.ca/Intel-Corp-BX80662I36100T-6100T-Processor/dp/B015XEXILK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015XEXILK
Intel Core i3-6300,$137.79 USD,Intel,BX80662I36300,5032037078870,,3.8 GHz,GHz,False,2,4,47 W,1151,Intel HD 530,https://www.amazon.ca/Intel-BX80662I36300-Boxed-i3-6300-Processor-LGA1151/dp/B015VPX3G6?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015VPX3G6
Intel Core i3-6300T,,Intel,BX80662I36300T,5032037078818,,3.3 GHz,GHz,False,2,4,35 W,1151,False,
Intel Core i3-6320,$194.63 USD,Intel,BX80662I36320,5032037080095,,3.9 GHz,GHz,False,2,4,47 W,1151,Intel HD 530,https://www.amazon.ca/Intel-BX80662I36320-Boxed-Core-i3-6320-Processor/dp/B015VPX48I?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015VPX48I
Intel Core i3-7100,$117.87 USD,Intel,BX80677I37100,5032037096171,00735858330107,3.9 GHz,GHz,False,2,4,51 W,1151,Intel HD 630,https://www.amazon.ca/Intel-BX80677I37100-Generation-i3-7100-Processor/dp/B01NCESRJX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCESRJX
Intel Core i3-7100T,,Intel,BX80677I37100T,5032037096966,,3.4 GHz,GHz,False,2,4,35 W,1151,False,
Intel Core i3-7300,$151.35 USD,Intel,BX80677I37300,5032037096232,,4.0 GHz,GHz,False,2,4,51 W,1151,Intel HD 630,https://www.amazon.ca/Intel-BX80677I37300-Core-Desktop-Processors/dp/B01N59LL8R?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N59LL8R
Intel Core i3-7300T,$159.46 USD,Intel,BX80677I37300T,5032037096782,,3.5 GHz,GHz,False,2,4,35 W,1151,False,https://www.amazon.ca/Core-i3-7300T-Processor-BX80677I37300T/dp/B01N1SH0IU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1SH0IU
Intel Core i3-7320,$153.77 USD,Intel,BX80677I37320,5032037095570,,4.1 GHz,GHz,False,2,4,51 W,1151,False,https://www.amazon.ca/Intel-BX80677I37320-Core-Desktop-Processors/dp/B01MSTCUY8?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MSTCUY8
Intel Core i3-7350K,$163.56 USD,Intel,BX80677I37350K,5032037095518,,4.2 GHz,GHz,True,2,4,60 W,1151,Intel HD 630,https://www.amazon.ca/Intel-BX80677I37350K-Generation-Desktop-Processor/dp/B01NCEJN24?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCEJN24
Intel Core i3-8100,$166.81 USD,Intel,BX80684I38100,5032037107501,735858348430,3.6 GHz,GHz,False,4,4,65 W,1151,Intel UHD 630,https://www.amazon.ca/dp/B0759FTRZL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i3-8300,$164.01 USD,Intel,BX80684I38300,5032037121804,00735858367479,3.7 GHz,GHz,False,4,4,62 W,1151,False,https://www.amazon.ca/Intel-BX80684I38300-i3-8300-Processor-LGA-1151/dp/B0793DCQLG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0793DCQLG
Intel Core i3-8350K,$391.46 USD,Intel,BX80684I38350K,5032037107716,,4.0 GHz,GHz,True,4,4,91 W,1151,Intel UHD 630,https://www.amazon.ca/dp/B08BSNDQ4W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i3-9100,$137.66 USD,Intel,BX80684I39100,5032037156264,,3.6 GHz,4.2 GHz,False,4,4,65 W,1151,Intel UHD 630,https://www.amazon.ca/Intel-i3-9100-Desktop-Processor-LGA1151/dp/B07RXW4Y2K?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07RXW4Y2K
Intel Core i3-9100F,$100.97 USD,Intel,BX80684I39100F,5032037158015,,3.6 GHz,4.2 GHz,False,4,4,65 W,1151,False,https://www.amazon.ca/Intel-i3-9100F-Desktop-Processor-Graphics/dp/B07R7Q3JZH?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07R7Q3JZH
Intel Core i3-9300,,Intel,BX80684I39300,5032037156202,,3.7 GHz,4.3 GHz,False,4,4,65 W,1151,Intel UHD 630,
Intel Core i3-9320,,Intel,BX80684I39320,5032037156028,,3.7 GHz,4.4 GHz,False,4,4,65 W,1151,Intel UHD 630,
Intel Core i3-9350KF,,Intel,BX80684I39350KF,5032037153379,,4.0 GHz,4.6 GHz,True,4,4,91 W,1151,False,
Intel Core i5-10400,$163.2 USD,Intel,BX8070110400,5032037187138,,2.9 GHz,4.0 GHz,False,6,12,65 W,1200,Intel UHD 630,https://www.amazon.ca/dp/B086MN38Q2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-10400F,,Intel,BX8070110400F,5032037187077,,2.9 GHz,4.0 GHz,False,6,12,65 W,1200,False,
Intel Core i5-10500,,Intel,BX8070110500,5032037187114,,3.1 GHz,GHz,False,6,12,65 W,1200,False,
Intel Core i5-10600,,Intel,BX8070110600,5032037187091,,3.3 GHz,GHz,False,6,12,65 W,1200,False,
Intel Core i5-10600K,,Intel,BX8070110600K,5032037188647,,4.1 GHz,4.8 GHz,True,6,12,125 W,1200,Intel UHD 630,
Intel Core i5-10600KF,,Intel,BX8070110600KF,5032037188708,,4.1 GHz,4.8 GHz,True,6,12,125 W,1200,False,
Intel Core i5-11400,$347.43 USD,Intel,BX8070811400,5032037214902,735858477239,2.6 GHz,GHz,False,6,12,65 W,1200,Intel UHD 730,https://www.amazon.ca/dp/B09C1JCC2H?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-11400F,,Intel,BX8070811400F,5032037215534,,2.6 GHz,GHz,False,6,12,65 W,1200,False,
Intel Core i5-11500,,Intel,BX8070811500,5032037214889,,2.7 GHz,GHz,False,6,12,65 W,1200,Intel UHD 750,
Intel Core i5-11600,,Intel,BX8070811600,5032037214865,,2.8 GHz,GHz,False,6,12,65 W,1200,Intel UHD 750,
Intel Core i5-11600K,$276.74 USD,Intel,BX8070811600K,5032037214926,,3.9 GHz,GHz,True,6,12,125 W,1200,Intel UHD 750,https://www.amazon.ca/dp/B08TX3M96F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-11600KF,,Intel,BX8070811600KF,5032037215558,,3.9 GHz,GHz,True,6,12,125 W,1200,False,
Intel Core i5-13500,$238.65 USD,Intel,BX8071513500,5032037260251,735858528290,2.5 GHz,GHz,False,6,12,65 W,1700,False,https://www.amazon.ca/dp/B0BQ6CFDCX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-2500K,,Intel,BX80623I52500K,5032037011662,,3.3 GHz,3.7 GHz,True,4,4,95 W,1155,Intel HD 3000,
Intel Core i5-3570K,,Intel,BX80637I53570K,5032037036399,,3.4 GHz,3.8 GHz,True,4,4,77 W,1155,Intel HD 4000,
Intel Core i5-4440,,Intel,BX80646I54440,5032037054980,,GHz,GHz,False,4,4,84 W,1150,Intel HD 4600,
Intel Core i5-4460,,Intel,BX80646I54460,5032037062763,,3.2 GHz,3.4 GHz,False,4,4,84 W,1150,Intel HD 4600,
Intel Core i5-4590,,Intel,BX80646I54590,5032037061131,,3.3 GHz,3.7 GHz,False,4,4,84 W,1150,Intel HD 4600,
Intel Core i5-4670K,,Intel,BX80646I54670K,5032037051156,,3.4 GHz,3.8 GHz,True,4,4,84 W,1150,Intel HD 4600,
Intel Core i5-4690,$227.56 USD,Intel,BX80646I54690,5032037061193,,3.5 GHz,3.9 GHz,False,4,4,84 W,1150,Intel HD 4600,https://www.amazon.ca/Intel-i5-4690-Processor-Cache-BX80646I54690/dp/B00JST2QEW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00JST2QEW
Intel Core i5-4690K,,Intel,BX80646I54690K,5032037066013,,3.5 GHz,3.9 GHz,True,4,4,88 W,1150,Intel HD 4600,
Intel Core i5-5675C,,Intel,BX80658I55675C,5032037075237,,3.1 GHz,3.6 GHz,True,4,4,65 W,1150,Intel Iris Pro 6200,
Intel Core i5-6400,,Intel,BX80662I56400,5032037076616,735858301497,2.7 GHz,3.3 GHz,False,4,4,65 W,1151,Intel HD 530,
Intel Core i5-6402P,$184.24 USD,Intel,BX80662I56402P,5032037084116,,GHz,GHz,False,4,4,65 W,1151,False,https://www.amazon.ca/Intel-BX80662I56402P-i5-6402P-Quad-Core-Processor/dp/B01B2PJRN2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01B2PJRN2
Intel Core i5-6500,$202.04 USD,Intel,BX80662I56500,5032037076500,,3.2 GHz,3.6 GHz,False,4,4,65 W,1151,Intel HD 530,https://www.amazon.ca/dp/B010T6CWI2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-6600,$238.64 USD,Intel,BX80662I56600,5032037076081,,3.3 GHz,3.9 GHz,False,4,4,65 W,1151,Intel HD 530,https://www.amazon.ca/Intel-BX80662I56600-Generation-I5-6600-Processor/dp/B010T6D39O?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B010T6D39O
Intel Core i5-6600K,$226.51 USD,Intel,BX80662I56600K,5032037076142,,3.5 GHz,3.9 GHz,True,4,4,91 W,1151,Intel HD 530,https://www.amazon.ca/Intel-BX80662I56600K-6th-Generation-Desktop-Processor/dp/B012M8M7TY?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B012M8M7TY
Intel Core i5-7400,$199.81 USD,Intel,BX80677I57400,5032037092982,735858326254,3.0 GHz,3.5 GHz,False,4,4,65 W,1151,Intel HD 630,https://www.amazon.ca/dp/B01MSTDS3N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-7500,$264.49 USD,Intel,BX80677I57500,5032037092920,735858326193,3.4 GHz,3.8 GHz,False,4,4,65 W,1151,Intel HD 630,https://www.amazon.ca/dp/B01MSDHPL9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-7600,$219.78 USD,Intel,BX80677I57600,5032037092869,,3.5 GHz,4.1 GHz,False,4,4,65 W,1151,Intel HD 630,https://www.amazon.ca/Intel-BX80677I57600-7th-Generation-i5-7600-Processor/dp/B01MYTYSMK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MYTYSMK
Intel Core i5-7600K,$242.48 USD,Intel,BX80677I57600K,5032037092807,735858326070,3.8 GHz,4.2 GHz,True,4,4,91 W,1151,Intel HD 630,https://www.amazon.ca/Intel-i5-7600K-Desktop-Processors-BX80677I57600K/dp/B01MRRPPQS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MRRPPQS
Intel Core i5-7640X,$210.35 USD,Intel,BX80677I57640X,5032037102483,,4.0 GHz,4.2 GHz,True,4,4,112 W,2066,False,https://www.amazon.ca/Intel-i5-7640X-Processor-Unlocked-LGA2066/dp/B071KMBHS8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071KMBHS8
Intel Core i5-8400,$235.75 USD,Intel,BX80684I58400,5032037108904,,2.8 GHz,4.0 GHz,False,6,6,65 W,1151,Intel UHD 630,https://www.amazon.ca/dp/B0759FGJ3Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-8500,$453.16 USD,Intel,BX80684I58500,5032037121743,735858367417,3.0 GHz,4.1 GHz,False,6,6,65 W,1151,Intel UHD 630,https://www.amazon.ca/dp/B08BSM9BZC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-8600,$224.12 USD,Intel,BX80684I58600,5032037121675,00735858367349,3.1 GHz,4.3 GHz,False,6,6,65 W,1151,Intel UHD 630,https://www.amazon.ca/Intel%C2%AE-i5-8600-Desktop-Processor-LGA1151/dp/B0793CD3V2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0793CD3V2
Intel Core i5-8600K,$440.28 USD,Intel,BX80684I58600K,5032037108782,735858350365,3.6 GHz,4.3 GHz,True,6,6,95 W,1151,Intel UHD 630,https://www.amazon.ca/dp/B08BSM4LK2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-9400,$239.65 USD,Intel,BX80684I59400,5032037140225,735858392549,2.9 GHz,4.1 GHz,False,6,6,65 W,1151,Intel UHD 630,https://www.amazon.ca/dp/B07MGZ9FJZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-9400F,$190.81 USD,Intel,BX80684I59400F,5032037150354,735858406079,2.9 GHz,4.1 GHz,False,6,6,65 W,1151,False,https://www.amazon.ca/dp/B07MRCGQQ4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-9500,,Intel,BX80684I59500,5032037157896,,3.0 GHz,4.4 GHz,False,6,6,65 W,1151,Intel UHD 630,
Intel Core i5-9600,,Intel,BX80684I59600,5032037157957,,3.1 GHz,4.6 GHz,False,6,6,65 W,1151,Intel UHD 630,
Intel Core i5-9600K,$174.08 USD,Intel,BX80684I59600K,5032037140171,735858392488,3.7 GHz,GHz,True,6,6,95 W,1151,Intel UHD 630,https://www.amazon.ca/dp/B07HHLX1R8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i5-9600KF,$239.34 USD,Intel,BX80684I59600KF,5032037151818,,3.7 GHz,4.6 GHz,True,6,6,95 W,1151,False,https://www.amazon.ca/dp/B07MQP5LNM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i7-10700,,Intel,BX8070110700,5032037188722,,2.9 GHz,GHz,False,8,16,65 W,1200,False,
Intel Core i7-10700F,$275.08 USD,Intel,BX8070110700F,5032037188760,,2.9 GHz,GHz,True,8,16,65 W,1200,False,https://www.amazon.ca/dp/B086MN2XYL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i7-10700K,,Intel,BX8070110700K,5032037188609,,3.8 GHz,5.1 GHz,True,8,16,125 W,1200,Intel UHD 630,
Intel Core i7-10700KF,,Intel,BX8070110700KF,5032037188685,,3.8 GHz,5.1 GHz,True,8,16,125 W,1200,False,
Intel Core i7-11700,,Intel,BX8070811700,5032037214940,,2.5 GHz,GHz,False,8,16,65 W,1200,Intel UHD 750,
Intel Core i7-11700K,$304.55 USD,Intel,BX8070811700K,5032037214964,,3.6 GHz,GHz,True,8,16,125 W,1200,Intel UHD 750,https://www.amazon.ca/dp/B08X6ND3WP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i7-11700KF,,Intel,BX8070811700KF,5032037215602,,3.6 GHz,GHz,True,8,16,125 W,1200,False,
Intel Core i7-12700F,$282.17 USD,Intel,BX8071512700F,5032037237826,735858503105,2.1 GHz,4.9 GHz,False,8,16,65 W,1700,False,https://www.amazon.ca/dp/B09NPJDPVG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i7-12700KF,$282.17 USD,Intel,BX8071512700KF,5032037234047,735858498982,3.6 GHz,5.0 GHz,True,8,16,125 W,1700,False,https://www.amazon.ca/dp/B09FXKHN7M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Intel Core i7-2600K,,Intel,BX80623I72600K,5032037011709,,3.4 GHz,3.8 GHz,True,4,8,95 W,1155,Intel HD 3000,
Intel Core i7-3770K,,Intel,BX80637I73770K,5032037036146,,3.5 GHz,3.9 GHz,True,4,8,77 W,1155,Intel HD 4000,
Intel Core i7-4770K,,Intel,BX80646I74770K,5032037050371,,3.5 GHz,3.9 GHz,True,4,8,84 W,1150,Intel HD 4600,
Intel Core i7-4790,,Intel,BX80646I74790,5032037061551,,3.6 GHz,4.0 GHz,False,4,8,84 W,1150,Intel HD 4600,
Intel Core i7-4790K,,Intel,BXF80646I74790K,5032037066181,,4.0 GHz,4.4 GHz,True,4,8,88 W,1150,Intel HD 4600,
Intel Core i7-4790K,,Intel,BX80646I74790K,5032037065948,735858285957,4.0 GHz,4.4 GHz,True,4,8,88 W,1150,Intel HD 4600,
Intel Core i7-5775C,,Intel,BX80658I75775C,5032037075039,,3.3 GHz,3.7 GHz,True,4,8,65 W,1150,Intel Iris Pro 6200,
Intel Core i7-5820K,$466.34 USD,Intel,BX80648I75820K,5032037065702,735858285490,3.3 GHz,3.6 GHz,True,6,12,140 W,2011-V3,False,https://www.amazon.ca/Intel-BX80648I75820K-Core-i7-5820K-Desktop-Processor/dp/B00MMLXIKY?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00MMLXIKY
