Name,Price,Producer,MPN,EAN,UPC,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock,Vram,Memory Clock,TDP,Product Page
ZOTAC Gaming GeForce RTX 4070 Ti Trinity,,ZOTAC,ZT-D40710D-10P,4895173626401,,306.8 mm,2.5,0,0,1,3,0,0,2610 MHz,12 GB,21000 MHz,285 W,
ZOTAC Gaming GeForce RTX 4070 Ti Trinity OC,,ZOTAC,ZT-D40710J-10P,4895173626418,,306.8 mm,2.5,0,0,1,3,0,0,2625 MHz,12 GB,21000 MHz,285 W,
ZOTAC Gaming GeForce RTX 4070 Trinity,,ZOTAC,ZT-D40700D-10P,4895173626647,,306.8 mm,2.5,0,0,1,3,0,0,2475 MHz,12 GB,21000 MHz,200 W,
ZOTAC Gaming GeForce RTX 4070 Twin Edge OC,,ZOTAC,ZT-D40700H-10M,4895173626678,,225.5 mm,2.2,1,0,1,3,0,0,2490 MHz,12 GB,21000 MHz,200 W,
ZOTAC Gaming GeForce RTX 4080 AMP! Extreme Airo,,ZOTAC,ZT-D40810B-10P,4895173626364,,355.5 mm,3.5,0,0,1,3,0,0,2565 MHz,16 GB,22400 MHz,320 W,
ZOTAC Gaming GeForce RTX 4080 Trinity,,ZOTAC,ZT-D40810D-10P,4895173626371,,356.1 mm,3.5,0,0,1,3,0,0,2505 MHz,16 GB,22400 MHz,320 W,
ZOTAC Gaming GeForce RTX 4080 Trinity OC,,ZOTAC,ZT-D40810J-10P,4895173626388,,356.1 mm,3.5,0,0,1,3,0,0,2520 MHz,16 GB,22400 MHz,320 W,
ZOTAC GAMING RTX 3070 Ti AMP! Holo,,ZOTAC,ZT-A30710F-10P,4895173623356,,317 mm,3.0,2,0,1,3,0,0,1830 MHz,8 GB,19000 MHz,320 W,
Zotac Gaming RTX 3070 Twin Edge,,ZOTAC,ZT-A30700E-10P,4895173622472,,232 mm,2.0,2,0,1,3,0,0,1725 MHz,8 GB,14000 MHz,220 W,
Zotac Gaming RTX 3070 Twin Edge OC,,ZOTAC,ZT-A30700H-10P,4895173622489,,232 mm,2.0,2,0,1,3,0,0,1755 MHz,8 GB,14000 MHz,220 W,
ZOTAC GeForce RTX 3080 Ti Trinity,,ZOTAC,ZT-A30810D-10P,4895173623189,,318 mm,3.25,2,0,1,3,0,0,1665 MHz,12 GB,19000 MHz,350 W,
ZOTAC GeForce RTX 3080 Ti Trinity OC,,ZOTAC,ZT-A30810J-10P,4895173623202,,319 mm,3.25,2,0,1,3,0,0,1695 MHz,12 GB,19000 MHz,350 W,
ASRock Arc A380 Challenger ITX,,ASRock,90-GA3KZZ-00UANF,4710483939365,,190 mm,2.0,1,0,1,3,0,0,2250 MHz,6 GB,1937 MHz,75 W,
ASRock Radeon RX 6950 XT Phantom Gaming OC,,ASRock,90-GA49ZZ-00UANF,4710483942730,,320 mm,2.8,3,0,1,3,0,0,2324 MHz,16 GB,18000 MHz,335 W,
ASRock Radeon VII,,ASRock,90-GA1100-00UANW,4717677338119,,280 mm,2.0,2,0,1,1,0,0,1750 MHz,16 GB,2000 MHz,300 W,
Asus AREZ PH RX 550 2G,$112.43 USD,ASUS,AREZ-PH-RX550-2G,0192876023402,192876023402,192 mm,2.0,0,0,1,1,1,0,1071 MHz,2 GB,6000 MHz,50 W,https://www.amazon.ca/ASUS-AREZ-PH-RX550-2G-GDDR5-Graphics-Cards/dp/B07DTYNYR1?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07DTYNYR1
Asus CERBERUS GTX 1050 O2G,$154.5 USD,ASUS,CERBERUS-GTX1050-O2G,0889349927366,889349927366,203 mm,2.0,0,0,1,1,1,0,1544 MHz,2 GB,7008 MHz,75 W,https://www.amazon.ca/Geforce-Gaming-Graphics-Graphic-CERBERUS-GTX1050-O2G/dp/B079NYSHB4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B079NYSHB4
Asus CERBERUS GTX 1050TI O4G,$205.64 USD,ASUS,CERBERUS-GTX1050TI-O4G,0889349927298,889349927298,203 mm,2.0,0,0,1,1,1,0,1480 MHz,4 GB,7008 MHz,75 W,https://www.amazon.ca/Cerberus-GeForce%C2%AE-Gaming-Graphics-Cerberus-GTX1050Ti-O4G/dp/B079JSKCW3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B079JSKCW3
Asus DUAL GTX 1050 O2G,,ASUS,DUAL-GTX1050-O2G,0889349557983,889349557983,212 mm,2.0,0,0,1,1,1,0,1518 MHz,2 GB,7008 MHz,75 W,
Asus DUAL GTX 1060 O3G,$235.01 USD,ASUS,DUAL-GTX1060-O3G,0779184783312,889349487716,242 mm,2.1,0,1,2,2,1,0,1809 MHz,3 GB,8008 MHz,120 W,https://www.amazon.ca/ASUS-GeForce-Dual-Fan-Graphics-DUAL-GTX1060-O3G/dp/B01KMVHB6M?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01KMVHB6M
Asus DUAL GTX 1060 O6G,$268.53 USD,ASUS,DUAL-GTX1060-O6G,0889349476086,889349476086,242 mm,2.1,0,1,2,2,1,0,1809 MHz,6 GB,8008 MHz,120 W,https://www.amazon.ca/GeForce-Dual-fan-Gaming-Graphics-DUAL-GTX1060-O6G/dp/B01JHQT1SE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01JHQT1SE
Asus DUAL RX 580 O4G,$236.31 USD,ASUS,DUAL-RX580-O4G,0889349731666,889349731666,242 mm,1.0,1,0,2,2,1,0,1380 MHz,4 GB,7000 MHz,185 W,https://www.amazon.ca/dp/B071CMPRZZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Asus DUAL RX 580 O8G,$242.26 USD,ASUS,DUAL-RX580-O8G,0190198470690,889349735459,242 mm,1.0,1,0,2,2,1,0,1380 MHz,8 GB,MHz,185 W,https://www.amazon.ca/dp/B071L1VGQW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS GeForce GT 1030,,ASUS,90YV0AT0-M0NA00,4712900743333,,173 mm,2.0,0,0,0,0,0,0,MHz,2 GB,4 MHz,30 W,
ASUS GeForce GT 1030 2G,,ASUS,90YV0AT2-M0NA00,4712900910223,,169 mm,1.0,0,0,0,0,0,0,MHz,2 GB,4 MHz,30 W,
ASUS GeForce GT 1030 Phoenix,,ASUS,90YV0AU0-M0NA00,4712900743449,,184 mm,2.0,0,0,1,0,1,0,MHz,2 GB,6008 MHz,30 W,
ASUS GeForce GT 730,,ASUS,90YV06N2-M0NA00,4716659990390,,165 mm,2.0,0,0,1,0,0,1,MHz,2 GB,,0 W,
ASUS GeForce GTX 1050 2G,,ASUS,90YV0AA0-M0NA00,4712900584615,,192 mm,2.0,0,0,0,0,0,0,1455 MHz,2 GB,4 MHz,75 W,
ASUS GeForce GTX 1050 Expedition,,ASUS,90YV0A82-M0NA00,4712900578201,,212 mm,2.0,0,0,1,1,0,1,1455 MHz,2 GB,3504 MHz,75 W,
ASUS GeForce GTX 1050 Expedition O2G,,ASUS,90YV0A84-M0NA00,4712900597660,,212 mm,2.0,0,0,1,1,1,0,1455 MHz,2 GB,3504 MHz,75 W,
ASUS GeForce GTX 1050 STRIX 2G Gaming,,ASUS,90YV0AD1-M0NA00,4712900603712,,241 mm,2.0,0,1,0,0,0,0,1455 MHz,2 GB,4 MHz,75 W,
ASUS GeForce GTX 1050 STRIX O2G Gaming,,ASUS,90YV0AD0-M0NA00,4712900603682,,241 mm,2.0,0,1,0,0,0,0,1556 MHz,2 GB,4 MHz,75 W,
ASUS GeForce GTX 1050 Ti Cerberus,,ASUS,90YV0A74-M0NA00,4712900927290,,203 mm,2.0,0,0,1,1,1,0,1455 MHz,4 GB,7008 MHz,0 W,
ASUS GeForce GTX 1050 Ti DC2 O4G,,ASUS,90YV0A32-M0NA00,4712900803716,,235 mm,2.0,0,0,0,0,0,0,1353 MHz,4 GB,4 MHz,75 W,
ASUS GeForce GTX 1050 Ti Expedition,,ASUS,90YV0A52-M0NA00,4712900558883,,212 mm,2.0,0,0,0,0,0,0,1392 MHz,4 GB,4 MHz,75 W,
ASUS GeForce GTX 1050 Ti Expedition O4G,,ASUS,90YV0A54-M0NA00,4712900597387,,212 mm,2.0,0,0,0,0,0,0,1455 MHz,4 GB,4 MHz,75 W,
ASUS GeForce GTX 1050 Ti PH,$188.59 USD,ASUS,90YV0A70-M0NA00,4712900570175,889349570173,212 mm,2.0,0,0,0,0,0,0,1392 MHz,4 GB,4 MHz,75 W,https://www.amazon.ca/dp/B01M360WG6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS GeForce GTX 1050 Ti STRIX 4G Gaming,,ASUS,90YV0A31-M0NA00,4712900578171,,241 mm,2.0,0,1,0,0,0,0,1392 MHz,4 GB,4 MHz,75 W,
ASUS GeForce GTX 1050 Ti STRIX O4G Gaming,$188.59 USD,ASUS,90YV0A30-M0NA00,4712900578126,,241 mm,2.0,0,1,0,0,0,0,1493 MHz,4 GB,4 MHz,75 W,https://www.amazon.ca/Geforce-1050Ti-Graphics-STRIX-GTX1050TI-O4G-GAMING-Graphic/dp/B01MG9AKKZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MG9AKKZ
ASUS GeForce GTX 1060 Dual 3G,,ASUS,90YV09X5-M0NA00,4712900494907,,242 mm,2.0,0,1,0,0,0,0,1708 MHz,3 GB,4 MHz,120 W,
ASUS GeForce GTX 1060 Dual O3G,,ASUS,90YV09X3-M0NA00,4712900487718,,242 mm,2.0,0,1,0,0,0,0,1785 MHz,3 GB,4 MHz,120 W,
ASUS GeForce GTX 1060 Dual O6G,,ASUS,90YV09X0-M0NA00,4712900476088,,242 mm,2.0,0,1,0,0,0,0,1785 MHz,6 GB,4 MHz,120 W,
ASUS GeForce GTX 1060 Expedition O6G,,ASUS,90YV0A28-M0NA00,4712900671353,,240 mm,2.0,0,1,0,0,0,0,1785 MHz,6 GB,4 MHz,120 W,
ASUS GeForce GTX 1060 O6G 9 Gbps,,ASUS,90YV0A65-M0NA00,4712900731743,,298 mm,2.0,0,1,2,2,1,0,1809 MHz,6 GB,MHz,120 W,
ASUS GeForce GTX 1060 STRIX 6G Gaming,,ASUS,90YV09Q1-M0NA00,4712900469363,,298 mm,2.0,1,0,0,0,0,0,"Boost Clock (Gaming-Mode): 1708 MHz
MHz",6 GB,4 MHz,120 W,
ASUS GeForce GTX 1060 STRIX O6G Gaming,,ASUS,90YV09Q0-M0NA00,4712900469349,,298 mm,2.0,1,0,0,0,0,0,1847 MHz,6 GB,4 MHz,120 W,
ASUS GeForce GTX 1060 Turbo 6G,,ASUS,90YV09R0-M0NA00,4712900476118,,266.7 mm,2.0,0,1,0,0,0,0,1706 MHz,6 GB,4 MHz,120 W,
ASUS GeForce GTX 1070 Dual 8G,,ASUS,90YV09T4-M0NA00,4712900484960,,240 mm,2.0,1,0,0,0,0,0,1721 MHz,8 GB,4 MHz,150 W,
ASUS GeForce GTX 1070 Dual O8G,$403.44 USD,ASUS,90YV09T1-M0NA00,4712900478716,889349478714,240 mm,2.0,1,0,0,0,0,0,1771 MHz,8 GB,4 MHz,150 W,https://www.amazon.ca/GeForce-Dual-fan-Gaming-Graphics-DUAL-GTX1070-8G/dp/B01JHQSZ5Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01JHQSZ5Y
ASUS GeForce GTX 1070 Expedition O8G,,ASUS,90YV09T6-M0NA00,4712900642865,,240 mm,2.0,1,0,0,0,0,0,MHz,8 GB,4 MHz,150 W,
ASUS GeForce GTX 1070 STRIX 8G Gaming,$580.29 USD,ASUS,90YV09N2-M0NA00,4712900455052,,298 mm,2.0,1,0,0,0,0,0,1683 MHz,8 GB,4 MHz,150 W,https://www.amazon.ca/ASUS-GeForce-Strix-Graphic-STRIX-GTX1070-8G-GAMING/dp/B01HMDRY7E?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HMDRY7E
ASUS GeForce GTX 1070 STRIX O8G Gaming,,ASUS,90YV09N0-M0NA00,4712900441697,,298 mm,2.0,1,0,0,0,0,0,1835 MHz,8 GB,4 MHz,150 W,
ASUS GeForce GTX 1070 Ti Cerberus A8G,$541.21 USD,ASUS,90YV0BJ1-M0NA00,4712900910179,889349910177,270 mm,2.5,1,0,0,0,0,0,1683 MHz,8 GB,2 MHz,180 W,https://www.amazon.ca/Cerberus-GeForce%C2%AE-Advanced-Graphics-CERBERUS-GTX1070TI-A8G-GAMING/dp/B077XFDLQ1?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077XFDLQ1
ASUS GeForce GTX 1070 Ti STRIX 8G Gaming,,ASUS,90YV0BI1-M0NA00,4712900892376,,298 mm,2.5,1,0,0,0,0,0,1683 MHz,8 GB,2 MHz,180 W,
ASUS GeForce GTX 1070 Ti STRIX A8G Gaming,,ASUS,90YV0BI0-M0NA00,4712900892338,,298 mm,2.5,1,0,0,0,0,0,1683 MHz,8 GB,2 MHz,180 W,
ASUS GeForce GTX 1070 Ti Turbo 8G,,ASUS,90YV0BJ0-M0NA00,4712900892666,,266.7 mm,2.0,1,0,0,0,0,0,1683 MHz,8 GB,2 MHz,180 W,
ASUS GeForce GTX 1070 Turbo 8G,,ASUS,90YV09P0-M0NA00,4712900459623,,266.7 mm,2.0,1,0,0,0,0,0,1683 MHz,8 GB,4 MHz,150 W,
ASUS GeForce GTX 1080 STRIX 8G Gaming,$543.48 USD,ASUS,90YV09M1-M0NM00,4712900442250,,298 mm,2.0,1,1,0,0,0,0,1733 MHz,8 GB,5 MHz,180 W,https://www.amazon.ca/ASUS-GeForce-STRIX-Graphics-STRIX-GTX1080-8G-GAMING/dp/B01GRRRW0A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01GRRRW0A
ASUS GeForce GTX 1080 STRIX A8G,,ASUS,90YV09M2-M0NM00,4712900479768,,298 mm,2.0,1,1,0,0,0,0,1809 MHz,8 GB,5 MHz,180 W,
ASUS GeForce GTX 1080 STRIX O8G 11 Gbps,,ASUS,90YV09M4-M0NM00,4712900727098,,298 mm,2.5,1,1,2,2,1,0,1835 MHz,8 GB,MHz,180 W,
ASUS GeForce GTX 1080 STRIX O8G Gaming,,ASUS,90YV09M0-M0NM00,4712900426960,,298 mm,2.0,1,1,2,2,1,0,1898 MHz,8 GB,5000 MHz,180 W,
ASUS GeForce GTX 1080 Ti Founders Edition,,ASUS,90YV0AP0-U0NM00,4712900699852,,266.7 mm,2.0,1,1,1,3,0,0,1582 MHz,11 GB,5500 MHz,250 W,
ASUS GeForce GTX 1080 Ti STRIX 11G Gaming,,ASUS,90YV0AM1-M0NM00,4712900718591,,298 mm,2.5,2,0,0,0,0,0,1582 MHz,11 GB,MHz,250 W,
ASUS GeForce GTX 1080 Ti STRIX O11G Gaming,,ASUS,90YV0AM0-M0NM00,4712900714555,,298 mm,2.5,2,0,0,0,0,0,1683 MHz,11 GB,MHz,250 W,
ASUS GeForce GTX 1080 Ti Turbo 11G,,ASUS,90YV0AN0-M0NM00,4712900715200,,266.7 mm,2.0,1,1,0,0,0,0,1582 MHz,11 GB,,250 W,
ASUS GeForce GTX 1080 Turbo 8G,,ASUS,90YV09S0-M0NA00,4712900426663,,266.7 mm,2.0,1,0,0,0,0,0,1733 MHz,8 GB,5 MHz,180 W,
ASUS GeForce GTX 1650,,ASUS,90YV0D30-M0NA00,4718017411301,,182 mm,2.75,0,0,1,1,1,0,1710 MHz,4 GB,8000 MHz,75 W,
"ASUS GeForce GTX 1650 Dual O4G, 4096 MB GDDR5",$203.82 USD,ASUS,90YV0CV2-M0NA00,4718017295734,,204 mm,2.0,0,0,1,1,1,0,1755 MHz,4 GB,8000 MHz,75 W,https://www.amazon.ca/dp/B07QKGDDJD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS GeForce GTX 1650 Phoenix,,ASUS,90YV0EZ1-M0NA00,4718017808293,,178 mm,2.0,0,0,1,1,1,0,MHz,4 GB,12000 MHz,75 W,
"ASUS GeForce GTX 1650 Phoenix O4G, 4096 MB GDDR5",$187.86 USD,ASUS,90YV0CV0-M0NA00,4718017295772,,190 mm,2.0,0,0,1,1,1,0,1710 MHz,4 GB,8000 MHz,75 W,https://www.amazon.ca/dp/B07QJDT7GR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"ASUS GeForce GTX 1650 ROG STRIX A4G, 4096 MB GDDR5",,ASUS,90YV0CX0-M0NA00,4718017309615,,242 mm,2.0,0,0,1,1,0,0,1710 MHz,4 GB,8000 MHz,75 W,
"ASUS GeForce GTX 1650 ROG STRIX O4G, 4096 MB GDDR5",,ASUS,90YV0CX1-M0NA00,4718017310000,,242 mm,2.0,0,0,1,1,0,0,1860 MHz,4 GB,8000 MHz,75 W,
ASUS GeForce GTX 1650 Super,,ASUS,90YV0E40-M0NA00,4718017557658,,174 mm,2.0,0,1,1,1,1,0,1770 MHz,4 GB,12000 MHz,100 W,
ASUS GeForce GTX 1650 Super Advanced ROG Strix A,,ASUS,90YV0E11-M0NA00,4718017557610,,243 mm,2.5,0,1,2,2,0,0,1740 MHz,4 GB,12000 MHz,100 W,
ASUS GeForce GTX 1650 Super Phoenix,,ASUS,90YV0E41-M0NA00,4718017557580,,174 mm,2.0,0,1,1,1,1,0,1725 MHz,4 GB,12000 MHz,100 W,
ASUS GeForce GTX 1650 Super ROG Strix,,ASUS,90YV0E10-M0NA00,4718017557559,,243 mm,2.5,0,1,2,2,0,0,1785 MHz,4 GB,12002 MHz,100 W,
ASUS GeForce GTX 1650 Super TUF,,ASUS,90YV0E43-M0NA00,4718017556712,,206 mm,2.5,0,1,1,1,1,0,1725 MHz,4 GB,12000 MHz,100 W,
ASUS GeForce GTX 1650 Super TUF O4G Gaming,,ASUS,90YV0E42-M0NA00,4718017556699,,206 mm,2.5,0,1,1,1,1,0,1770 MHz,4 GB,12000 MHz,100 W,
ASUS GeForce GTX 1650 TUF,,ASUS,90YV0EZ2-M0NA00,4718017806824,,206 mm,2.3,0,1,1,1,1,0,1755 MHz,4 GB,12000 MHz,75 W,
ASUS GeForce GTX 1650 TUF 4GD,,ASUS,90YV0EH1-M0NA00,4718017696210,,204.5 mm,2.5,0,0,1,1,1,0,1590 MHz,4 GB,12000 MHz,75 W,
ASUS GeForce GTX 1650 TUF O4GD,,ASUS,90YV0EH0-M0NA00,4718017695893,,204.5 mm,2.5,0,0,1,1,1,0,1650 MHz,4 GB,12000 MHz,75 W,
ASUS GeForce GTX 1660 Dual 6G Evo,,ASUS,90YV0D14-M0NA00,4718017359696,,242 mm,2.75,1,0,1,1,1,0,1845 MHz,6 GB,8000 MHz,120 W,
ASUS GeForce GTX 1660 Dual O6G Evo,,ASUS,90YV0D11-M0NA00,4718017357050,,242 mm,2.75,1,0,1,1,1,0,1845 MHz,6 GB,8000 MHz,120 W,
ASUS GeForce GTX 1660 Phoenix,,ASUS,90YV0CU0-M0NA00,4718017274883,,174 mm,2.0,1,0,1,1,1,0,MHz,6 GB,8000 MHz,120 W,
ASUS GeForce GTX 1660 Super Dual O6G Evo,$255.84 USD,ASUS,90YV0DS3-M0NA00,4718017504744,,242 mm,2.75,1,0,1,1,1,0,MHz,6 GB,14002 MHz,125 W,https://www.amazon.ca/dp/B07ZHWQ81N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS GeForce GTX 1660 Super Mini,,ASUS,90YV0DT4-M0NA00,4718017608756,,197 mm,2.0,1,0,1,1,1,0,1860 MHz,6 GB,14000 MHz,120 W,
ASUS GeForce GTX 1660 Super Phoenix,$285.78 USD,ASUS,90YV0DT0-M0NA00,4718017505291,,174 mm,2.0,1,0,1,1,1,0,MHz,6 GB,14002 MHz,125 W,https://www.amazon.ca/dp/B07ZGXG8GM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS GeForce GTX 1660 Super ROG Strix,,ASUS,90YV0DW0-M0NA00,4718017557726,,243 mm,2.5,1,0,2,2,0,0,1875 MHz,6 GB,14002 MHz,125 W,
ASUS GeForce GTX 1660 Super ROG Strix A,,ASUS,90YV0DW1-M0NA00,4718017557818,,243 mm,2.5,1,0,2,2,0,0,1875 MHz,6 GB,14002 MHz,125 W,
ASUS GeForce GTX 1660 Super TUF,,ASUS,90YV0DS0-M0NA00,4718017503846,,264 mm,2.75,1,0,1,1,1,0,MHz,6 GB,14002 MHz,125 W,
ASUS GeForce GTX 1660 Super TUF O6G Gaming,$289.41 USD,ASUS,90YV0DT2-MTNA00,4718017551618,192876551615,206 mm,2.5,1,0,1,1,1,0,1815 MHz,6 GB,14002 MHz,125 W,https://www.amazon.ca/dp/B081SPGMBD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS GeForce GTX 1660 Ti Dual O6G,$299.08 USD,ASUS,90YV0CT2-M0NA00,4718017258142,192876258149,215 mm,2.5,1,0,1,1,1,0,1800 MHz,6 GB,12000 MHz,120 W,https://www.amazon.ca/dp/B07NHC49R4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS GeForce GTX 1660 Ti Phoenix O6G,,ASUS,90YV0CT0-M0NA00,4718017257909,,174 mm,2.0,1,0,1,1,1,0,1785 MHz,6 GB,12000 MHz,120 W,
ASUS GeForce GTX 1660 Ti ROG STRIX O6G,,ASUS,90YV0CQ0-M0NA00,4718017266376,,301 mm,2.5,1,0,1,1,0,0,1860 MHz,6 GB,12000 MHz,120 W,
ASUS GeForce GTX 1660 Ti TUF 6G Evo,,ASUS,90YV0CT8-M0NA00,4711081315803,195553315807,206 mm,2.0,1,0,2,1,1,0,1800 MHz,6 GB,12000 MHz,130 W,
ASUS GeForce GTX 1660 Ti TUF O6G Evo,,ASUS,90YV0CT7-M0NA00,4711081320227,,206 mm,2.0,1,0,2,1,0,0,1845 MHz,6 GB,12000 MHz,130 W,
ASUS GeForce GTX 1660 TUF,,ASUS,90YV0CU2-M0NA00,4718017289757,,205 mm,3.0,1,0,1,1,1,0,MHz,6 GB,8000 MHz,120 W,
ASUS GeForce GTX 1660 TUF X3,,ASUS,90YV0D15-M0NA00,4718017378406,,264 mm,2.75,1,0,1,1,1,0,1860 MHz,6 GB,8000 MHz,120 W,
ASUS GeForce GTX 1660 TUF X3 A,,ASUS,90YV0D16-M0NA00,4718017389662,,264 mm,2.75,1,0,1,1,1,0,1800 MHz,6 GB,8000 MHz,120 W,
Asus GeForce GTX 660 Ti,,ASUS,TI-DC2O-2GD5,7123290431286,,272 mm,2.0,0,2,1,1,1,1,1046 MHz,2 GB,6008 MHz,150 W,
ASUS GeForce GTX 750 Ti STRIX OC,,ASUS,90YV06W0-M0NA00,4716659824183,,196 mm,2.0,0,0,1,1,0,1,1202 MHz,2 GB,2700 MHz,60 W,
ASUS GeForce RTX 2060 Dual 6G EVO,,ASUS,90YV0CH4-M0NA00,4718017273930,,242 mm,2.75,1,0,2,1,1,0,1680 MHz,6 GB,14000 MHz,160 W,
ASUS GeForce RTX 2060 Dual A6G,,ASUS,90YV0CM2-M0NA00,4718017220538,,270 mm,2.0,1,0,2,1,1,0,1710 MHz,6 GB,14000 MHz,160 W,
ASUS GeForce RTX 2060 Dual A6G EVO,,ASUS,90YV0CH3-M0NA00,4718017273732,,242 mm,2.5,1,0,2,1,1,0,1695 MHz,6 GB,14000 MHz,160 W,
ASUS GeForce RTX 2060 Dual Mini,,ASUS,90YV0CJ5-M0NA00,4718017604482,192876604489,197 mm,2.0,1,0,1,1,1,0,1755 MHz,6 GB,14000 MHz,160 W,
ASUS GeForce RTX 2060 Dual O6G EVO,$224.13 USD,ASUS,90YV0CH2-M0NA00,4718017273831,192876273838,242 mm,2.5,1,0,2,1,1,0,1755 MHz,6 GB,14000 MHz,160 W,https://www.amazon.ca/dp/B07R18TH1X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS GeForce RTX 2060 Phoenix 6G,,ASUS,90YV0CJ0-M0NA00,4718017252706,,177 mm,2.0,1,0,2,1,1,0,1680 MHz,6 GB,14000 MHz,160 W,
ASUS GeForce RTX 2060 ROG STRIX 6G,,ASUS,90YV0CI2-M0NA00,4718017216678,,300 mm,3.0,1,1,2,2,0,0,1680 MHz,6 GB,14000 MHz,160 W,
ASUS GeForce RTX 2060 ROG Strix 6G Evo,,ASUS,90YV0D22-M0NA00,4718017372725,,302 mm,2.5,1,0,2,2,0,0,7000 MHz,6 GB,14000 MHz,500 W,
ASUS GeForce RTX 2060 ROG STRIX A6G,,ASUS,90YV0CI1-M0NA00,4718017216630,,300 mm,3.0,1,1,2,2,0,0,1710 MHz,6 GB,14000 MHz,190 W,
ASUS GeForce RTX 2060 ROG Strix A6G Evo,,ASUS,90YV0D21-M0NA00,4718017372688,,302 mm,2.5,1,0,2,2,0,0,7000 MHz,6 GB,14000 MHz,500 W,
ASUS GeForce RTX 2060 ROG STRIX O6G,,ASUS,90YV0CI0-M0NA00,4718017216616,,300 mm,3.0,1,1,2,2,0,0,1860 MHz,6 GB,14000 MHz,160 W,
ASUS GeForce RTX 2060 ROG Strix O6G Evo,,ASUS,90YV0D20-M0NA00,4718017372640,,302 mm,2.5,1,0,2,2,0,0,7000 MHz,6 GB,14000 MHz,500 W,
ASUS GeForce RTX 2060 Super 8G Evo V,,ASUS,90YV0DZ2-M0NA00,4718017553094,,242 mm,2.5,1,0,1,1,1,0,1650 MHz,8 GB,14000 MHz,175 W,
ASUS GeForce RTX 2060 Super Dual 8G EVO,,ASUS,90YV0DF2-M0NA00,4718017420471,,267 mm,2.75,1,0,1,1,1,0,1650 MHz,8 GB,14000 MHz,175 W,
ASUS GeForce RTX 2060 Super Dual A8G EVO,,ASUS,90YV0DF3-M0NA00,4718017420518,,267 mm,2.75,1,0,1,1,1,0,1665 MHz,8 GB,14000 MHz,175 W,
ASUS GeForce RTX 2060 Super Dual A8G EVO V,,ASUS,90YV0DZ1-M0NA00,4718017553148,,242 mm,2.5,1,0,2,2,1,0,1665 MHz,8 GB,14000 MHz,175 W,
ASUS GeForce RTX 2060 Super Dual O8G EVO,,ASUS,90YV0DF0-M0NA00,4718017418959,,267 mm,2.75,1,0,1,1,1,0,1695 MHz,8 GB,14000 MHz,175 W,
ASUS GeForce RTX 2060 Super Dual O8G EVO V,,ASUS,90YV0DZ0-M0NA00,4718017553049,,300.5 mm,2.5,1,0,2,2,1,0,1695 MHz,8 GB,14000 MHz,175 W,
ASUS GeForce RTX 2060 Super ROG Strix 8G EVO,,ASUS,90YV0DQ2-M0NA00,4718017495042,,300.5 mm,2.5,1,1,2,2,0,0,1650 MHz,8 GB,14000 MHz,175 W,
ASUS GeForce RTX 2060 Super ROG Strix 8G Gaming,,ASUS,90YV0DG2-M0NA00,4718017422673,,301 mm,2.5,1,1,1,1,0,0,1650 MHz,8 GB,14000 MHz,175 W,
