,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
481,482,Muhammad Hanif Durad,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Beijing Institute of Technology,China,,"Computer Networks and Security, Parallel and Grid Computing, Computer Architecture",
482,483,Shahzad Ahmad Qureshi,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Pakistan Institute of Engineering and Applied Sciences,Pakistan,,"Medical Image Reconstruction, Pattern Recognition, Evolutionary Computation, Digital Subtraction Angiography, Embedded Systems, Computational Metallurgy and Materials Science",
483,484,Aneela Zameer Jaafery,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,University of Paisley,UK,,"Modeling and Simulation of Physical Systems, Stochastic Optimization, Evolutionary Computing",
484,485,Irfan ul Haq,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,University of Vienna,Austria,,"Cloud Computing, Internet of Things, Information Security, Web Mining, Cognitive Computer Science, Self Organizing Systems",
485,486,Tauseef Jamal,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Univ of Porto/Univ of Aveiro Portugal/Uni of Minho,Portugal,,"Ad-Hoc Networks, Wireless Pervasive Systems, Cooperative Networking, Cooperative Sensing and Inference, Self-organized Networked Systems",
486,487,Muhammad Irfan Hameed,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,MS,National University of Sciences and Technology,Pakistan,,"Establishment of Software Services Infrastructure, Development of an Integrated Set of Information Systems, Development of Internet and Database Application Software, Distant Electronic Classroom Utilizing Low Bandwidth Internet, Data Warehousing, Information Security Management",
487,488,Naeem Akhtar,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Vienna University of Technology,Austria,,"Pose Tracking, Image Registration and Alignment, Visual Surveillance and Navigation, 3D Reconstruction, Virtual and Augmented Reality",
488,489,Ghulam Raza,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,University of Konstanz,germany,,"Automatic lexical acquisition, Computational grammar development, Theoretical linguistics, Parallel corpora development and statistical machine translation",
489,490,Muhammad Abid,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Tsinghua University,China,,"High performance computing using GPUs, CMPs; Parallel programming using OpenCL and CUDA; Architectures of GPUs/CMPs",
490,491,Hidayatullah Khan,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,MSc,University of Peshawar,Pakistan,,"Software Design & Development, Cyber Security, Database Security",
491,492,Kamran Safdar,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Universität Salzburg,Austria,,"Computational geometry, in particular, straight skeletons and Voronoi diagrams; general-purpose computing on graphics processing units (GPGPU); computer graphics and geometric modeling; algorithms and mathematical proofs; parallel and high-performance computing",
492,493,Nauman Shamim,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,MS,National University of Sciences and Technology,Pakistan,,,
493,494,Fayyaz-ul-Amir Afsar Minhas,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Colorado State University,USofA,,"Machine Learning (Artificial & Computational Intelligence), Digital Signal Processing, Biomedical signal analysis, Biometrics",
503,504,Junaid Hassan,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,BS,"University of Engineering and Technology,Taxila",Pakistan,,"Web Design and Development,eCommerce Applications Development,Wireless and Mobile Computing,Advanced Heterogeneous Networks",
509,510,Adnan Iqbal,NAML-Mianwali,Computer Science,Punjab,Associate Professor/HoD,PhD,National University of Sciences and Technology,Pakistan,2010.0,"Computer Networking,Cloud Computing",
510,511,Ms. Ambreen Hanif,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,Lahore University of Management Sciences,Pakistan,,,
511,512,Mr. Gul Aftab Ahmed,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,University of Manchester,UK,,,
512,513,Junaid Akhtar,NAML-Mianwali,Computer Science,Punjab,Assistant Professor,Post Doc,University of Virginia,USofA,2014.0,"Computational Semiotics,Sentiment Analysis,Evolutionary Computation,Charles Sanders Peirce",
513,514,Dr.Muhammad Adil Raja,NAML-Mianwali,Computer Science,Punjab,Associate Professor,PhD,University of Limerick,Ireland,2008.0,Real-time Non-intrusive Quality Estimation of VoIP,
514,515,Mr. Muhammad Kamran Nishat,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,Lahore University of Management Sciences,Pakistan,,,
515,516,Mr. Muhammad Sarmad Ali,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,Post Doc,University of Limerick,Ireland,2010.0,machine learning approaches for data intensive computing,
516,517,Noman Javed,NAML-Mianwali,Computer Science,Punjab,Assistant Professor,PhD,University of Orleans,France,,,
517,518,Sheraz Anjum,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,National University of Sciences and Technology,Pakistan,,,
518,519,Dr.Nadeem Ahmad,University of Lahore-PakPattan,Computer Science and IT,Punjab,Head of Department,PhD,Politecnico di Torino,Italy,2014.0,human machine interfaces,
525,526,Dr. Ibrar Hussain,University of Lahore-PakPattan,Computer Science and IT,Punjab,Associate Professor,PhD,Zhejiang University,China,2014.0,"Human-Computer Interaction, sonification, ubiquitous computing, accessibility, and location-based services",
549,550,Muhammad Nouman Zafar,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,MS,National University of Sciences and Technology,Pakistan,,Big data and IoT,
550,551,Syed Zishan Ali,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,MS,COMSATS Institute of Information Technology,Pakistan,,Data mining and Big Data Analytics,
622,623,Shafiq Hussain,University of Sahiwal,Computer Science,Punjab,HEC Approved PhD Supervisor,PhD,University of Sunderland,UK,,,
682,683,Dr. Mohammad Jamil Sawar,Barani Institute of Information and Technology,Computer Science,Punjab,Professor,PhD,University of Leeds,UK,,,
683,684,Dr. Umair Abdullah,Barani Institute of Information and Technology,Computer Science,Punjab,Associate Professor,PhD,Foundation University,Pakistan,,,
684,685,Dr. Mohsin Raza,Barani Institute of Information and Technology,Computer Science,Punjab,Associate Professor,PhD,"International Islamic University,Islamabad",Pakistan,,,
685,686,Mr. Ikram Afzal,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor, MCS,Barani Institute of Information Technology,Pakistan,,,
686,687,Mr. Muhammad Asif,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,PhD,Abasyn University,Pakistan,,,"PhD in progress from Abasyn University,Pakistan
"
687,688,Mr. Munir Ahmad,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,,PhD in progress
688,689,"Mrs. Sumaira Asad,",Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MIT,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
689,690,Mr. Muhammad Ayub,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MBA,Preston,Pakistan,,,
690,691,"Mr. Farhan Sabir Ujager,",Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,,PhD in progress from Shaheed Zulfikar Ali Bhutto Institute of Science and Technology
691,692,Mr. Farrukh Abbas,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,COMSATS Institute of Information Technology,Pakistan,,,
692,693,Mrs. Maryam Amin,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,,
693,694,"Mr. Naveed Ashraf,",Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,University of Bergen,Norway,,,
695,696,Ms. Tayyaba Baseer,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Bahria University,Pakistan,,,
696,697,Syeda Zer Afshan Gohar,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,,
697,698,Mr. Shahid Jamil,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,,
698,699,Mr. Adil Shaheen,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Centre for Advanced Studies in Engineering,Pakistan,,,
699,700,Mr. Zahid Ahmed,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
700,701,Ms. Noor ul Ain,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,BSC,"University of Engineering and Technology,Taxila",Pakistan,,,MS in progress from National University of Sciences and Technology
701,702,Mr. Umar Farooq,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
702,703,Hafiz Muhammad Shafiq Gondal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MSCS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
703,704,Mr. Muhammad Ihsan,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MBA,National University of Modern Languages,Pakistan,,,MS in progress from IQRA
704,705,Mr. Muhammad Nauman Iqbal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,MS in progress from UAAR
705,706,Mr. Saeed Iqbal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,PhD,COMSATS Institute of Information Technology,Pakistan,,,
706,707,"Mr. Azhar Jamil,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,BS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,MS in progress from UAAR
708,709,"Mr. Muhammad Zeeshan Muzaffar,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,,PhD in progress from ISRA
709,710,Mr. Amir Rashid,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,MSCS in progress from UAAR
710,711,Mr. Adeel Sohail,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MBA,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,,
711,712,Ms. Tehreem Ijaz,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MA,National University of Modern Languages,Pakistan,,,
712,713,"Ms. Kainat Anjum,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MA,Universtiy of Lahore,Pakistan,,,
713,714,Mr. Suleman Shah,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MS,"University of Engineering and Technology,Taxila",Pakistan,,,
714,715,"Mr. Shahid Rashid,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MS,"HITEC University,Taxila",Pakistan,,,
715,716,Ms. Shamsa Kanwal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
716,717,Mr. Afrasiab Kaikobad,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,BSIT,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
717,718,Ms. Maria Niaz,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MSCS,National University of Sciences and Technology,Pakistan,,,
718,719,Mr. Jawad-Ur-Rehman,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MS,Bahria University,Pakistan,,,
719,720,Mr. M.Atta Ul Aleem,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MIT,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
720,721,Ms. Ammarah Abbas,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MSC,Allama Iqbal Open University,Pakistan,,,
721,722,Ms. Nadia Ghaffar,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
723,724,Mr. M. Azeem Mushtaq,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,MSCS in progress UAAR
725,726,Ms. Tahira Mahboob,Fatima Jinnah Women University,Software Engineering,Punjab,Assistant Professor,MS,"University of Engineering and Technology,Taxila",Pakistan,2012.0,,
737,738,Dr. Sumaira Sultan Minhas,Fatima Jinnah Women University,Software Engineering,Punjab,Assistant Professor,PhD,University of Manchester,UK,2016.0,,
738,739,Aftab Ahmed,FAST(Faisalabad),Computer Science,Punjab,Professor/HoD,PhD,"University of Wales,Aberystwyth",UK,1996.0,"curriculum development, professional ethics; software design architectures; software process modeling and improvement; and software testing and quality assurance.",
739,740,Hashim Yasin,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,PhD, University of Bonn,germany,2016.0," vision-based 3D motion retrieval and reconstruction, 3D pose estimation, action recognition, machine learning, motion synthesis and analysis etc. ",
740,741,Rana Asif Rehman,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,PhD, Hongik University,SouthKorea,2016.0,"Design and development of energy efficient routing protocols,Cross layer architectures,Caching and forwarding schemes for cognitive radio ad hoc networks,named data networking based wireless networks",
741,742,Maria Maqsood,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2013.0,Security Issues in Agile Methodologies,
742,743,Rizwan Ul Haq,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,2005.0,,
743,744,Shakeel Anjum,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,2009.0,,
744,745,Adeel Ashraf Cheema,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2008.0,Recommender Systems Intelligent Information Systems Geographical Information Systems and Remote Sensing Data Warehousing and Data Mining,
745,746,Aneela Safdar,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,Pakistan Institute of Engineering and Applied Sciences,Pakistan,2016.0,"Network Security and Monitoring,Digital Forensics,Real time Visualization,Complex Event Processing.",
746,747,Asma Sattar,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,University of Engineering and Technology,Pakistan,2015.0,"Machine Learning Prediction and Recommendation ,Data Mining ,Mobile Application Development",
747,748,Asra Ashraf,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,National University of Sciences and Technology,Pakistan,2015.0,,
748,749,Hafiz Tayyeb Javed,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2016.0,"Game Intelligence,Adaptive Price Formulation,Data Mining & Machine Learning",
749,750,Muhammad Atif,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,2016.0,"Machine Learning & Data mining,Applications of computational intelligence in games,Effective computing",
750,751,Muhammad Saad,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,"Skolkovo Institute of Science and Technology, ",Russian Federation,2015.0,,
751,752,Nasreen Akhtar,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,Agricultural University Peshawar,Pakistan,2016.0,Data Mining,
752,753,Rida Ghafoor,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,"University of Engineering and Technology,Taxila",Pakistan,2015.0,,
753,754,Shahid Iqbal,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,2017.0,"Graph Theory,Evolutionary Computing,Data Mining and Machine Learning",
754,755,Tahir Farooq,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,National Textile University,Pakistan,2016.0,BigData,
755,756,Zain Iqbal,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2015.0,"Artificial Intelligence, Computational Intelligence, Machine Learning, swarm intelligence, evolutionary algorithms, and expert systems. ",
756,757,Usman Ghous,FAST(Faisalabad),Computer Science,Punjab,Instructor,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2016.0,Data Analytics,
757,758,Faryal Saud,FAST(Faisalabad),Computer Science,Punjab,Instructor,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2013.0,,MS in progress from FAST
758,759,Khalid Hussain,FAST(Faisalabad),Computer Science,Punjab,Instructor,MS,"FAST– National University of Computer and Emerging Sciences,Chiniot-Faisalabad",Pakistan,,Signal Processing and machine learning.,
759,760,Maham Shabbir,FAST(Faisalabad),Computer Science,Punjab,Instructor,BS,National University of Sciences and Technology,Pakistan,2012.0,,MS in progress from FAST
760,761,Mazhar Husaain,FAST(Faisalabad),Computer Science,Punjab,Instructor,BS,"FAST– National University of Computer and Emerging Sciences,Peshawar",Pakistan,2015.0,,MS in progress from FAST Peshawar
761,762,Saqib Hayat,FAST(Faisalabad),Computer Science,Punjab,Instructor,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2013.0,,
762,763,Muhammad Ashraf Iqbal,University of Central Punjab,Computer Science,Punjab,Dean,PhD,University of Engineering and Technology,Pakistan,,,
763,764,Ahmad Shabbar Kazmi,University of Central Punjab,Computer Science,Punjab,Head of Department,PhD, Boston University,USofA,1999.0,Neural Networks,
764,765,Shahid S. Siddiqi,University of Central Punjab,Computer Science,Punjab,Professor,PhD,Brunel University,UK,1994.0,,
766,767,Shafiq Ur Rahman,University of Central Punjab,Computer Science,Punjab,Associate Professor,PhD,George Washington University,USofA,1993.0,"Natural Language Processing (Morphological Analysis, Annotated Corpus building, Lexical resources), Secure Communication on Internet (IPSec) esp. Key Management Issues for Single Source Multicast Groups and Routing in Mobile Ad-Hoc Networks (Unicast, multicast), Lock-Free Data Structures and Urdu fonts ",
767,768,Nauman Mazher,University of Central Punjab,Computer Science,Punjab,Associate Professor,PhD,Centre for Advanced Studies in Engineering,Pakistan,2011.0,"Nature Inspired computing and I developed a novel Artificial Immune System (AIS) security framework for the Mobile Adhoc Network (MANET) routing protocol BeeAdHoc, based on the foraging principles of honey bees.",
768,769,Karrar Haider,University of Central Punjab,Computer Science,Punjab,Associate Professor,PhD,University of the Punjab,Pakistan,2011.0,Physics,
769,770,Adnan N. Qureshi,University of Central Punjab,Computer Science,Punjab,Associate Professor,PhD, University of Bedfordshire,UK,2015.0,,
770,771,Muhammad Amjad Iqbal,University of Central Punjab,Computer Science,Punjab,Associate Professor,PhD,FAST– National University of Computer and Emerging Sciences,Pakistan,2010.0,"Computational Intelligence,Multimodal Function Optimization,Data Clustering,Image Segmentation


",
771,772,Shahzad Majeed Tiwana,University of Central Punjab,Computer Science,Punjab,Assistant Professor,PhD,University Of Southern California,USA,2010.0,,
772,773,Muhammad Humayoun,University of Central Punjab,Computer Science,Punjab,Assistant Professor,PhD,University of Grenoble,France,,NLP,
773,774,Amir Shahzad,University of Central Punjab,Computer Science,Punjab,Assistant Professor,PhD,Beihang University,China,," combinatorics, information theory and signal processing. Specific areas are problem in extremal and probabilistic methods in combinatorics, spectral graph theory, coding for distributed storage, interference channels.",
774,775,Sadaf Baloch,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,Institute of Business Administration,Pakistan,2011.0,,
775,776,Saeed Iqbal Khattak,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"MACHINE LEARNING (TEXT/IMAGES) AND COMPUTER VISION , CLOUD Computing, Big Data",PhD in progress from UCP
776,777,Kamran Shabbir,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,,,
777,778,Irfana Omar,University of Central Punjab,Computer Science,Punjab,Senior Lecturer,M.Phil,Allama Iqbal Open University,Pakistan,2011.0," epistemological access to higher education, role of ICT in motivating English language learners in ESL classroom at university level, and role of non-verbal communication in teaching-learning process of English.",PhD in progress from UMT
778,779,Maria Naseem,University of Central Punjab,Computer Science,Punjab,Assistant Professor,PhD,"Abdus Salam School of Mathematical Sciences,GC University",Pakistan,2017.0,graph theory and combinatory.,
779,780,Sajid Hussain,University of Central Punjab,Computer Science,Punjab,Assistant Professor,Master,Linköping University,Sweden,,,
780,781,Adnan Ghafoor,University of Central Punjab,Computer Science,Punjab,Assistant Professor,PhD,"International Islamic University,Islamabad",Pakistan,,Reconfigurable Asynchronous Adaptive Processing and hardware realization of complex Image processing and communication algorithms.,
781,782,Talat Yasmin,University of Central Punjab,Computer Science,Punjab,Assistant Professor,M.Phil,National College of Business Administration and Economics,Pakistan,2014.0,Statistics,PhD in progress from NCBA&E
782,783,Imtiaz Riaz,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,COMSATS Institute of Information Technology,Pakistan,2014.0,Mathematics,
783,784,Faisal Masud Shaikh,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,2006.0,Telecom,
785,786,Muhammad Mustafa Hassan,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MSc,"Åbo Akademi University,",Finland,,"Design Science, Human-Computer Interaction, Participatory Design, Interaction Design, Computer Science Education, Novel Pedagogies and Learning Theories.",PhD in progress 
786,787,Imran Arshad Choudhry,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,University of Central Punjab,Pakistan,,"Computer Basics and Electronics, Logic and Design, Low level Programming, Computer Architecture, Database Design and Administration and Networking.",
787,788,Zaid Munir,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2011.0,"Telecom,Networking",
788,789,Mohsin Abbas,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,University of Ulm,germany,2011.0,,Phd in progress
789,790,Haroon Abdul Waheed,University of Central Punjab,Computer Science,Punjab,Assistant Professor,PhD,University of Central Punjab,Pakistan,2011.0,"Distributed & Parallel Computation, Security Aspects, Cloud Computing, Big Data Analysis, Formal Specification & Analysis, Business and Software Process Mining.",
790,791,Asad Umar Khan,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MSc,University of Agriculture,Pakistan,,,
792,793,Aqsa Mehnoor,University of Central Punjab,Computer Science,Punjab,Lecturer,Bachelors,University of Central Punjab,Pakistan,2016.0,,
793,794,Ather Suleman,University of Central Punjab,Computer Science,Punjab,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013.0,,
794,795,Muhammad Ali,University of Central Punjab,Computer Science,Punjab,Lecturer,MS,Lahore University of Management Sciences,Pakistan,,"System designing, development, project management, consultation",
795,796,Muhammad Irfan Anjum,University of Central Punjab,Computer Science,Punjab,Lecturer,PhD,Quaid-i-Azam University,Pakistan,,,
796,797,Maria Zafar,University of Central Punjab,Computer Science,Punjab,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
797,798,Moomal Qureshi,University of Central Punjab,Computer Science,Punjab,Senior Lecturer,MS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,,,
798,799,Uzair Ali,University of Central Punjab,Computer Science,Punjab,Lecturer,Bachelors,University of Central Punjab,Pakistan,2015.0,,
799,800,Muhammad Usman,University of Central Punjab,Computer Science,Punjab,Lecturer,M.Phil leading to PhD,University of Notre Dame Indiana ,USA,,,
800,801,Ayesha Zaheer,University of Central Punjab,Computer Science,Punjab,Lecturer,MS,Lahore University of Management Sciences,Pakistan,2016.0,,
802,803,Amina Mukhtar,University of Central Punjab,Computer Science,Punjab,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2010.0,,
803,804,Sumaira Sharif,University of Central Punjab,Computer Science,Punjab,Lecturer,PhD,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
804,805,Waseem Aslam,University of Central Punjab,Computer Science,Punjab,Lecturer,MS,National University of Sciences and Technology,Pakistan,2014.0,,
805,806,Syed Nisar Ali,University of Central Punjab,Computer Science,Punjab,Senior Lecturer,M.Phil,Quaid-i-Azam University,Pakistan,2013.0,,
806,807,Samia Asloob Qureshi,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2010.0,,
807,808,M. Rehan Abbas,University of Central Punjab,Computer Science,Punjab,Senior Lecturer,MS,University of Engineering and Technology,Pakistan,2013.0,,
808,809,Zain Ul Abadin Zafar,University of Central Punjab,Computer Science,Punjab,Lecturer,PhD,University of Engineering and Technology,Pakistan,2013.0,,
810,811,Awais M. Lodhi,University of Central Punjab,Computer Science,Punjab,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2006.0,,
811,812,Namra Sheikh,University of Central Punjab,Computer Science,Punjab,Lecturer,MS,University of Engineering and Technology,Pakistan,2016.0,,
812,813,M. Usman Afzal,University of Central Punjab,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2003.0,,
813,814,Muhammad Rizwan Ali,University of Central Punjab,Computer Science,Punjab,Associate Professor,Bachelors,Punjab University College of Information Technology,Pakistan,2010.0,,
814,815,Ahmed Abd-e-Muneeb Niazi,University of Central Punjab,Computer Science,Punjab,Associate Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
815,816,Shaista Siddique,University of Central Punjab,Computer Science,Punjab,Associate Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
816,817,Saad Azhar Saeed,University of Central Punjab,Computer Science,Punjab,Associate Professor,M.Phil,FAST– National University of Computer and Emerging Sciences,Pakistan,,Big Data | Recommender system in cloud computing,
817,818,Nabia Mansoor,University of Central Punjab,Computer Science,Punjab,Associate Professor,MS,National University of Sciences and Technology,Pakistan,,,
818,819,Maida Khan,University of Central Punjab,Computer Science,Punjab,Associate Professor,BS,Punjab University College of Information Technology,Pakistan,,,M.Phil in progress
819,820,Muhammad Mubashir Hassan,University of Central Punjab,Computer Science,Punjab,Associate Professor,MS,National University of Sciences and Technology,Pakistan,,,
820,821,Suneel Kumar,University of Central Punjab,Computer Science,Punjab,Associate Professor,MS,COMSATS Institute of Information Technology,Pakistan,2016.0,"Wireless sensor networks,Wireless adhoc networks",
821,822,Amna Shahnawaz,University of Central Punjab,Computer Science,Punjab,Associate Professor,MS,Lahore University of Management Sciences,Pakistan,2017.0,,
822,823,M Zohaib,University of Central Punjab,Computer Science,Punjab,Associate Professor,MSc,University of Engineering and Technology,Pakistan,,,
823,824,Love Kummar,University of Central Punjab,Computer Science,Punjab,Associate Professor,BS,COMSATS Institute of Information Technology,Pakistan,,,
825,826,Aadil Jamshaid,University of Central Punjab,Computer Science,Punjab,Associate Professor,MS,COMSATS Institute of Information Technology,Pakistan,2016.0,,
826,827,Nabeel Ahsan,University of Central Punjab,Computer Science,Punjab,Associate Professor,MS,Ilmenau University of Technology,germany,,"IoT (Internet of Things),  RFID systems for IoT,RF MEMS & Antenna Design,UMTS/LTE, LTE advanced,UMTS/LTE, LTE advanced",
827,828,Javaria Arshad,University of Central Punjab,Computer Science,Punjab,Associate Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2015.0,,
862,863,Ms. Afrozah Nadeem,Lahore Garrison University,Computer Sciences,Punjab,Assistant Professor,BSCS,University of Engineering and Technology,Pakistan,,,
870,871,Mr. Umair Waqas,Lahore Garrison University,Computer Sciences,Punjab,Lecturer,MS,National University of Sciences and Technology,Pakistan,,Mobile Development,
887,888,Prof. Dr Syed Mansoor Sarwar,Punjab University College of Information and Technology,Information Technology,Punjab,Principal,PhD, Iowa State University, USA,1988.0,"Operating Systems, Data Structures, Programming Languages",
