rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
766,3700,Fashion & Retail,Richard Schulze,82,United States,Naples,Best Buy,Fashion & Retail,United States,Best Buy Co. Inc.,TRUE,D,M,1/2/1941 0:00,Schulze,Richard,Chairman,4/4/2023 5:01,Florida,South,1941,1,2,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,Real Estate,Yitzhak Tshuva,74,Israel,Netanya,Real estate,Real Estate,Israel,,TRUE,D,M,7/7/1948 0:00,Tshuva,Yitzhak,,4/4/2023 5:01,,,1948,7,7,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612
766,3700,Manufacturing,Wang Yanqing & family,56,China,Wuxi,Electrical equipment,Manufacturing,China,,TRUE,D,M,4/7/1966 0:00,Wang,Yanqing,,4/4/2023 5:01,,,1966,4,7,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
787,3600,Diversified,Rajiv Bajaj,56,India,Pune,Diversified,Diversified,India,,FALSE,Split Family Fortune,M,12/21/1966 0:00,Bajaj,Rajiv,,4/4/2023 5:01,,,1966,12,21,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
787,3600,Diversified,Sanjiv Bajaj,53,India,Pune,Diversified,Diversified,India,,FALSE,Split Family Fortune,M,11/2/1969 0:00,Bajaj,Sanjiv,,4/4/2023 5:01,,,1969,11,2,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
787,3600,Finance & Investments,Leonid Boguslavsky,71,Italy,Florence,Venture capital,Finance & Investments,Canada,,TRUE,D,M,6/17/1951 0:00,Boguslavsky,Leonid,,4/4/2023 5:01,,,1951,6,17,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
787,3600,Finance & Investments,Jim Coulter,63,United States,San Francisco,Private equity,Finance & Investments,United States,,TRUE,U,M,12/1/1959 0:00,Coulter,Jim,,4/4/2023 5:01,California,West,1959,12,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Automotive,Nicolas D'Ieteren,47,Switzerland,Anzere,"Auto parts, distribution",Automotive,Belgium,,FALSE,N,M,4/13/1975 0:00,D'Ieteren,Nicolas ,,4/4/2023 5:01,,,1975,4,13,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
787,3600,Food & Beverage,Beatriz Davila de Santo Domingo,84,Bermuda,,Beer,Food & Beverage,Colombia,,FALSE,U,F,3/7/1939 0:00,Davila de Santo Domingo,Beatriz,,4/4/2023 5:01,,,1939,3,7,,,,,,,,,,,
787,3600,Real Estate,Bob Gaglardi,82,Canada,Vancouver,Hotels,Real Estate,Canada,,TRUE,U,M,2/19/1941 0:00,Gaglardi,Bob,,4/4/2023 5:01,,,1941,2,19,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
787,3600,Finance & Investments,Jaime Gilinski Bacal,65,United Kingdom,London,Banking,Finance & Investments,Colombia,,FALSE,D,M,12/14/1957 0:00,Gilinski Bacal,Jaime,Investor,4/4/2023 5:01,,,1957,12,14,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
787,3600,Gambling & Casinos,Pansy Ho,60,Hong Kong,Hong Kong,Casinos,Gambling & Casinos,Hong Kong,,FALSE,U,F,8/26/1962 0:00,Ho,Pansy,,4/4/2023 5:01,,,1962,8,26,,,,,,,,,,,
787,3600,Finance & Investments,Alan Howard,59,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,Brevan Howard Asset Management,TRUE,U,M,9/1/1963 0:00,Howard,Alan,Founder,4/4/2023 5:01,,,1963,9,1,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
787,3600,Automotive,Huang Yi,61,China,Beijing,Car dealerships,Automotive,Hong Kong,,TRUE,D,M,1/1/1962 0:00,Huang,Yi,,4/4/2023 5:01,,,1962,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
787,3600,Finance & Investments,Peter Kellogg,80,United States,Short Hills,Investments,Finance & Investments,United States,,FALSE,E,M,9/1/1942 0:00,Kellogg,Peter,,4/4/2023 5:01,New Jersey,Northeast,1942,9,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Finance & Investments,Vyacheslav Kim,53,Kazakhstan,Almaty,Fintech,Finance & Investments,Kazakhstan,,TRUE,U,M,6/12/1969 0:00,Kim,Vyacheslav,,4/4/2023 5:01,,,1969,6,12,182.75,5.2,"$180,161,741,180 ",61.7,104.4,73.2,11.7,28.4,18513930,48.019573,66.923684
787,3600,Finance & Investments,Josh Kushner,37,United States,New York City,Venture capital,Finance & Investments,United States,Thrive Capital,TRUE,U,M,6/12/1985 0:00,Kushner,Josh,Managing Partner,4/4/2023 5:01,New York,Northeast,1985,6,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Real Estate,Samuel Tak Lee,83,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,FALSE,D,M,4/9/1939 0:00,Lee,Samuel Tak,,4/4/2023 5:01,,,1939,4,9,,,,,,,,,,,
787,3600,Real Estate,Edwin Leong,71,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,TRUE,D,M,12/4/1951 0:00,Leong,Edwin,,4/4/2023 5:01,,,1951,12,4,,,,,,,,,,,
787,3600,Finance & Investments,"Stephen Mandel, Jr.",67,United States,Greenwich,Hedge funds,Finance & Investments,United States,Lone Pine Capital,TRUE,D,M,3/12/1956 0:00,Mandel,Stephen,Founder,4/4/2023 5:01,Connecticut,Northeast,1956,3,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Diversified,Mohamed Mansour,75,United Kingdom,London,Diversified,Diversified,Egypt,,TRUE,U,M,1/23/1948 0:00,Mansour,Mohamed,,4/4/2023 5:01,,,1948,1,23,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
787,3600,Fashion & Retail,Masahiro Miki,67,Japan,Tokyo,Shoes,Fashion & Retail,Japan,,TRUE,U,M,7/26/1955 0:00,Miki,Masahiro,,4/4/2023 5:01,,,1955,7,26,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
787,3600,Technology,Masahiro Noda,84,Japan,Tokyo,Software,Technology,Japan,,TRUE,U,M,8/24/1938 0:00,Noda,Masahiro,,4/4/2023 5:01,,,1938,8,24,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
787,3600,Technology,Cliff Obrecht,37,Australia,Sydney,Software,Technology,Australia,,TRUE,D,M,12/28/1985 0:00,Obrecht,Cliff,,4/4/2023 5:01,,,1985,12,28,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
787,3600,Technology,Melanie Perkins,35,Australia,Sydney,Software,Technology,Australia,Canva,TRUE,D,F,5/13/1987 0:00,Perkins,Melanie,Cofounder & CEO,4/4/2023 5:01,,,1987,5,13,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
787,3600,Finance & Investments,J.B. Pritzker,58,United States,Springfield,"Hotels, investments",Finance & Investments,United States,,FALSE,E,M,1/19/1965 0:00,Pritzker,J.B.,,4/4/2023 5:01,Illinois,Midwest,1965,1,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Fashion & Retail,Juan Roig,73,Spain,Valencia,Supermarkets,Fashion & Retail,Spain,,FALSE,D,M,10/8/1949 0:00,Roig,Juan,,4/4/2023 5:01,,,1949,10,8,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47,47076781,40.463667,-3.74922
787,3600,Real Estate,Jerry Speyer & family,82,United States,New York,Real estate,Real Estate,United States,,TRUE,E,M,6/23/1940 0:00,Speyer,Jerry,,4/4/2023 5:01,New York,Northeast,1940,6,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Fashion & Retail,Lawrence Stroll,63,Switzerland,Geneva,Fashion investments,Fashion & Retail,Canada,,TRUE,U,M,7/11/1959 0:00,Stroll,Lawrence,,4/4/2023 5:01,,,1959,7,11,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
787,3600,Logistics,Tung Chee Chen,80,Hong Kong,Hong Kong,Shipping,Logistics,Hong Kong,,FALSE,E,M,12/15/1942 0:00,Tung,Chee Chen,,4/4/2023 5:01,,,1942,12,15,,,,,,,,,,,
787,3600,Food & Beverage,Wang Junlin,60,China,Chengdu,Liquor,Food & Beverage,China,,TRUE,D,M,9/1/1962 0:00,Wang,Junlin,,4/4/2023 5:01,,,1962,9,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
787,3600,Automotive,Xia Zuoquan,61,China,Shenzhen,"Automobiles, batteries",Automotive,China,,TRUE,U,M,1/1/1962 0:00,Xia,Zuoquan,,4/4/2023 5:01,,,1962,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
787,3600,Technology,Zeng Fangqin,57,China,Shenzhen,Smartphone components,Technology,China,,TRUE,D,F,12/25/1965 0:00,Zeng,Fangqin,,4/4/2023 5:01,,,1965,12,25,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
787,3600,Manufacturing,Zhang Jian,54,China,Tianjin,"Electric bikes, scooters",Manufacturing,China,,TRUE,U,M,1/1/1969 0:00,Zhang,Jian,,4/4/2023 5:01,,,1969,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
818,3500,Fashion & Retail,Rocco Basilico,33,United States,Los Angeles,Eyeglasses,Fashion & Retail,Italy,,FALSE,N,M,7/11/1989 0:00,Basilico,Rocco,,4/4/2023 5:01,California,West,1989,7,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
818,3500,Healthcare,Maurizio Billi,65,Brazil,Sao Paulo,Generic drugs,Healthcare,Brazil,,FALSE,U,M,11/22/1957 0:00,Billi,Maurizio,,4/4/2023 5:01,,,1957,11,22,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528
818,3500,Finance & Investments,Fashu Chen,62,China,Fuzhou,Investments,Finance & Investments,China,,TRUE,D,M,10/26/1960 0:00,Chen,Fashu,,4/4/2023 5:01,,,1960,10,26,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
818,3500,Manufacturing,Giuseppe Crippa & family,87,Italy,Cernusco Lombardone,Microchip testing,Manufacturing,Italy,,TRUE,U,M,5/5/1935 0:00,Crippa,Giuseppe,,4/4/2023 5:01,,,1935,5,5,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
818,3500,Finance & Investments,Daniel D'Aniello,76,United States,Vienna,Private equity,Finance & Investments,United States,,TRUE,D,M,9/14/1946 0:00,D'Aniello,Daniel,,4/4/2023 5:01,Virginia,South,1946,9,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
818,3500,Fashion & Retail,Claudio Del Vecchio,66,United States,Muttontown,Eyeglasses,Fashion & Retail,Italy,,FALSE,N,M,2/26/1957 0:00,Del Vecchio,Claudio,,4/4/2023 5:01,New York,Northeast,1957,2,26,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
818,3500,Fashion & Retail,Clemente Del Vecchio,18,Italy,Milan,Eyeglases,Fashion & Retail,Italy,,FALSE,N,M,5/6/2004 0:00,Del Vecchio,Clemente,,4/4/2023 5:01,,,2004,5,6,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
818,3500,Fashion & Retail,Leonardo Maria Del Vecchio,27,Italy,Milan,Eyeglasses,Fashion & Retail,Italy,,FALSE,N,M,5/6/1995 0:00,Del Vecchio,Leonardo Maria,,4/4/2023 5:01,,,1995,5,6,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
818,3500,Fashion & Retail,Luca Del Vecchio,21,Italy,Milan,Eyeglasses,Fashion & Retail,Italy,,FALSE,N,M,8/31/2001 0:00,Del Vecchio,Luca,,4/4/2023 5:01,,,2001,8,31,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
818,3500,Fashion & Retail,Marisa Del Vecchio,64,Italy,Rome,Eyeglasses,Fashion & Retail,Italy,,FALSE,N,F,7/10/1958 0:00,Del Vecchio,Marisa,,4/4/2023 5:01,,,1958,7,10,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
818,3500,Fashion & Retail,Paola Del Vecchio,61,Luxembourg,Luxembourg,Eyeglasses,Fashion & Retail,Italy,,FALSE,N,F,5/14/1961 0:00,Del Vecchio,Paola,,4/4/2023 5:01,,,1961,5,14,115.09,1.7,"$71,104,919,108 ",19.2,102.3,82.1,26.5,20.4,645397,49.815273,6.129583
818,3500,Finance & Investments,Walter P.J. Droege,70,Germany,Dusseldorf,Investing,Finance & Investments,Germany,,TRUE,D,M,11/25/1952 0:00,Droege,Walter P.J.,,4/4/2023 5:01,,,1952,11,25,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
818,3500,Fashion & Retail,Fan Daidi,57,China,Xian,Skincare,Fashion & Retail,China,,TRUE,N,F,1/1/1966 0:00,Fan ,Daidi,,4/4/2023 5:01,,,1966,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
818,3500,Technology,Peter Gassner,58,United States,Pleasanton,Software,Technology,United States,,TRUE,U,M,2/26/1965 0:00,Gassner,Peter,,4/4/2023 5:01,California,West,1965,2,26,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
818,3500,Energy,Mikhail Gutseriev,65,Russia,Moscow,"Oil, coal, real estate",Energy,Russia,,TRUE,U,M,3/9/1958 0:00,Gutseriev,Mikhail,,4/4/2023 5:01,,,1958,3,9,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
818,3500,Manufacturing,Patrick Lee,81,Hong Kong,Hong Kong,Paper,Manufacturing,Hong Kong,,TRUE,D,M,1/1/1942 0:00,Lee,Patrick,,4/4/2023 5:01,,,1942,1,1,,,,,,,,,,,
818,3500,Food & Beverage,Leng Youbin,54,China,Beijing,Infant formula,Food & Beverage,China,,TRUE,D,M,1/1/1969 0:00,Leng,Youbin,,4/4/2023 5:01,,,1969,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
818,3500,Finance & Investments,Daniel Loeb,61,United States,New York,Hedge funds,Finance & Investments,United States,Third Point,TRUE,D,M,12/18/1961 0:00,Loeb,Daniel,Investor,4/4/2023 5:01,New York,Northeast,1961,12,18,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
818,3500,Food & Beverage,Margarita Louis-Dreyfus & family,60,Switzerland,Davos,Commodities,Food & Beverage,Switzerland,Louis Dreyfus SAS,FALSE,D,F,6/1/1962 0:00,Louis-Dreyfus,Margarita,President,4/4/2023 5:01,,,1962,6,1,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
818,3500,Healthcare,Prasert Prasarttong-Osoth,90,Thailand,Bangkok,Hospitals,Healthcare,Thailand,,TRUE,U,M,3/26/1933 0:00,Prasarttong-Osoth,Prasert,,4/4/2023 5:01,,,1933,3,26,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
818,3500,Finance & Investments,Ira Rennert,88,United States,New York,Investments,Finance & Investments,United States,,TRUE,D,M,5/31/1934 0:00,Rennert,Ira,,4/4/2023 5:01,New York,Northeast,1934,5,31,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
818,3500,Fashion & Retail,Dirk Rossmann & family,76,Germany,Lower-Saxony,Drugstores,Fashion & Retail,Germany,,TRUE,U,M,9/7/1946 0:00,Rossmann,Dirk,,4/4/2023 5:01,,,1946,9,7,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
818,3500,Construction & Engineering,Arkady Rotenberg,71,Russia,Moscow,"Construction, pipes, banking",Construction & Engineering,Russia,,TRUE,U,M,12/15/1951 0:00,Rotenberg,Arkady,,4/4/2023 5:01,,,1951,12,15,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
818,3500,Fashion & Retail,Remo Ruffini,61,Italy,Como,Winter jackets,Fashion & Retail,Italy,,TRUE,U,M,8/27/1961 0:00,Ruffini,Remo,,4/4/2023 5:01,,,1961,8,27,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
818,3500,Healthcare,Karin Sartorius-Herbst,,Germany,Northeim,Biopharmaceuticals,Healthcare,Germany,,FALSE,U,F,,Sartorius-Herbst,Karin,,4/4/2023 5:01,,,,,,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
818,3500,Automotive,Vivek Chaand Sehgal,66,India,Delhi,Auto parts,Automotive,Australia,,TRUE,U,M,9/28/1956 0:00,Sehgal,Vivek Chaand,,4/4/2023 5:01,,,1956,9,28,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
818,3500,Finance & Investments,Scott Shleifer,45,United States,New York,Private equity,Finance & Investments,United States,Tiger Global Management,TRUE,D,M,6/14/1977 0:00,Shleifer,Scott,Investor,4/4/2023 5:01,New York,Northeast,1977,6,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
818,3500,Technology,Thomas Siebel,70,United States,Woodside,Business software,Technology,United States,,TRUE,E,M,11/22/1952 0:00,Siebel,Thomas,,4/4/2023 5:01,California,West,1952,11,22,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
818,3500,Manufacturing,Wim van der Leegte & family,75,Netherlands,Eindhoven,Manufacturing,Manufacturing,Netherlands,,FALSE,U,M,8/23/1947 0:00,van der Leegte,Wim,,4/4/2023 5:01,,,1947,8,23,115.91,2.6,"$909,070,395,161 ",85,104.2,81.8,23,41.2,17332850,52.132633,5.291266
818,3500,Diversified,Xiao Yongming & family,58,China,Beijing,Fertilizer,Diversified,China,,TRUE,D,M,7/1/1964 0:00,Xiao,Yongming,,4/4/2023 5:01,,,1964,7,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
818,3500,Technology,Michael Xie,54,United States,Los Altos Hills,Cybersecurity,Technology,United States,,TRUE,U,M,2/20/1969 0:00,Xie,Michael,,4/4/2023 5:01,California,West,1969,2,20,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
818,3500,Logistics,Yang Shaopeng,65,China,Qingdao,Shipping,Logistics,China,,TRUE,D,M,1/1/1958 0:00,Yang,Shaopeng,,4/4/2023 5:01,,,1958,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
818,3500,Fashion & Retail,Nicoletta Zampillo,65,Monaco,Monaco,Eyeglasses,Fashion & Retail,Italy,,FALSE,N,F,3/28/1958 0:00,Zampillo,Nicoletta,,4/4/2023 5:01,,,1958,3,28,,,"$7,184,844,193 ",,,,,,38964,43.7384176,7.4246158
818,3500,Manufacturing,Barry Zekelman,56,Canada,Windsor,Steel,Manufacturing,Canada,,FALSE,U,M,1/3/1967 0:00,Zekelman,Barry,,4/4/2023 5:01,,,1967,1,3,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
852,3400,Finance & Investments,William Ackman,56,United States,New York,Hedge funds,Finance & Investments,United States,"Pershing Square Capital Management, L.P.",TRUE,U,M,5/11/1966 0:00,Ackman,William,"Founder, CEO",4/4/2023 5:01,New York,Northeast,1966,5,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
852,3400,Energy,Somphote Ahunai,55,Thailand,Bangkok,Renewable energy,Energy,Thailand,,TRUE,D,M,6/1/1967 0:00,Ahunai,Somphote,,4/4/2023 5:01,,,1967,6,1,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
852,3400,Metals & Mining,Igor Altushkin,52,Russia,Yekaterinburg,Metals,Metals & Mining,Russia,,TRUE,U,M,9/10/1970 0:00,Altushkin,Igor,,4/4/2023 5:01,,,1970,9,10,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
852,3400,Food & Beverage,Ramon Ang,69,Philippines,Manila,Diversified,Food & Beverage,Philippines,,TRUE,U,M,1/14/1954 0:00,Ang,Ramon,,4/4/2023 5:01,,,1954,1,14,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14,43.1,108116615,12.879721,121.774017
852,3400,Food & Beverage,Acharya Balkrishna,50,India,Haridwar,Consumer goods,Food & Beverage,India,,TRUE,U,M,7/25/1972 0:00,Balkrishna,Acharya,,4/4/2023 5:01,,,1972,7,25,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
852,3400,Manufacturing,Markus Blocher,52,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,Switzerland,,FALSE,U,M,1/1/1971 0:00,Blocher,Markus,,4/4/2023 5:01,,,1971,1,1,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
852,3400,Diversified,Richard Branson,72,British Virgin Islands,Necker Island,Virgin,Diversified,United Kingdom,,TRUE,D,M,7/18/1950 0:00,Branson,Richard,,4/4/2023 5:01,,,1950,7,18,,,,,,,,,,,
852,3400,Finance & Investments,Cho Jung-ho,64,South Korea,Seoul,Finance,Finance & Investments,South Korea,Meritz Financial Group,FALSE,U,M,10/5/1958 0:00,Cho,Jung-ho,,4/4/2023 5:01,,,1958,10,5,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
852,3400,Food & Beverage,Alessandra Garavoglia,63,Italy,Milan,Spirits,Food & Beverage,Italy,,FALSE,U,F,2/6/1960 0:00,Garavoglia,Alessandra,,4/4/2023 5:01,,,1960,2,6,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
852,3400,Fashion & Retail,Laurence Graff & family,84,Switzerland,Gstaad,Diamond jewelry,Fashion & Retail,United Kingdom,,TRUE,E,M,6/13/1938 0:00,Graff,Laurence,,4/4/2023 5:01,,,1938,6,13,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
852,3400,Media & Entertainment,"Amos Hostetter, Jr.",86,United States,Boston,Cable television,Media & Entertainment,United States,Pilot House Associates,TRUE,D,M,1/12/1937 0:00,Hostetter,Amos,Chair,4/4/2023 5:01,Massachusetts,Northeast,1937,1,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
852,3400,Sports,Robert Johnson,75,United States,Palm Beach,"Johnson & Johnson, sports",Sports,United States,,FALSE,N,M,4/12/1947 0:00,Johnson,Robert ,,4/4/2023 5:01,Florida,South,1947,4,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
852,3400,Finance & Investments,Steven Klinsky,66,United States,New York,Investments,Finance & Investments,United States,New Mountain Capital,TRUE,E,M,5/30/1956 0:00,Klinsky,Steven,Founder & CEO,4/4/2023 5:01,New York,Northeast,1956,5,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
852,3400,Fashion & Retail,William Lauder,62,United States,New York,Estee Lauder,Fashion & Retail,United States,,FALSE,D,M,4/11/1960 0:00,Lauder,William,,4/4/2023 5:01,New York,Northeast,1960,4,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
852,3400,Food & Beverage,John Middleton,68,United States,Bryn Mawr,Tobacco,Food & Beverage,United States,,FALSE,E,M,3/2/1955 0:00,Middleton,John,,4/4/2023 5:01,Pennsylvania,Northeast,1955,3,2,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
852,3400,Fashion & Retail,Hiroshi Mikitani,58,Japan,Tokyo,Online retail,Fashion & Retail,Japan,,TRUE,D,M,3/11/1965 0:00,Mikitani,Hiroshi,,4/4/2023 5:01,,,1965,3,11,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
852,3400,Technology,Bob Parsons,72,United States,Scottsdale,Web hosting,Technology,United States,,TRUE,E,M,11/27/1950 0:00,Parsons,Bob,,4/4/2023 5:01,Arizona,West,1950,11,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
852,3400,Finance & Investments,J. Joe Ricketts & family,81,United States,Little Jackson Hole,TD Ameritrade,Finance & Investments,United States,,TRUE,D,M,7/16/1941 0:00,Ricketts,J. Joe,,4/4/2023 5:01,Wyoming,South,1941,7,16,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
