"name","rank","year","company.founded","company.name","company.relationship","company.sector","company.type","demographics.age","demographics.gender","location.citizenship","location.country code","location.gdp","location.region","wealth.type","wealth.worth in billions","wealth.how.category","wealth.how.from emerging","wealth.how.industry","wealth.how.inherited","wealth.how.was founder","wealth.how.was political"
"Stefano Pessina","113","2014","1849","Alliance Boots","relation","pharmaceuticals","aquired","72","male","Italy","ITA","0.0","Europe","executive","10.4","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Lim Goh Tong","114","1996","1965","Genting Highlands","founder","casinos","new","78","male","Malaysia","MYS","101000000000.0","East Asia","self-made finance","2.7","Financial","True","Diversified financial","not inherited","True","True"
"Eugene Wu","115","1996","1945","Shin Kong Financial","relation","finance ","new","0","male","Taiwan","Taiwan","0.0","East Asia","inherited","2.7","Financial","True","Hedge funds","father","True","True"
"John Simplot","115","2001","1929","J.R. Simplot Company","founder","agricultural products","new","92","male","United States","USA","10600000000000.0","North America","founder non-finance","3.6","Traded Sectors","True","Consumer","not inherited","True","True"
"Edgar Bronfman","116","1996","1857","Seagrams","relation","liquor","new","67","male","United States","USA","8100000000000.0","North America","inherited","2.7","Traded Sectors","True","Consumer","father","True","True"
"Antonio Ermirio de Moraes","116","2001","1919","Votorantim Group","relation","metals, paper, cement","new","0","male","Brazil","BRA","560000000000.0","Latin America","inherited","3.5","Traded Sectors","True","Non-consumer industrial","father","True","True"
"Craig McCaw","116","2001","1987","McCaw Cellular","founder","cell phones","new","51","male","United States","USA","10600000000000.0","North America","founder non-finance","3.5","Non-Traded Sectors","True","Media","not inherited","True","True"
"Kazuo Okada","116","2001","1973","Wynn Resorts","founder","casinos","new","58","male","Japan","JPN","4160000000000.0","East Asia","self-made finance","3.5","Financial","True","Real Estate","not inherited","True","True"
"Ng Teng Fong","116","2001","1962","Far East Organization","founder","real estate","new","72","male","Singapore","SGP","89285087395.0","East Asia","self-made finance","3.5","Financial","True","Real Estate","not inherited","True","True"
"Nicolas Hayek","116","2001","1986","Swatch Group","founder","watches","merger","72","male","Switzerland","CHE","279000000000.0","Europe","founder non-finance","3.5","Traded Sectors","True","Consumer","not inherited","True","True"
"Reinhold Wuerth","116","2001","1945","Adolf Wurth Group","relation","screws","new","0","male","Germany","DEU","1950000000000.0","Europe","executive","3.5","Traded Sectors","True","Non-consumer industrial","not inherited","True","True"
"Sakip Sabanci","116","2001","1926","Sabanci Holdings","relation","textiles","new","68","male","Turkey","TUR","196000000000.0","Middle East/North Africa","inherited","3.5","Traded Sectors","True","Consumer","father","True","True"
"Stephan Schmidheiny","116","2001","1912","Holcim","relation","construction","new","53","male","Switzerland","CHE","279000000000.0","Europe","inherited","3.5","Financial","True","Money Management","4th generation","True","True"
"Charles Bronfman","117","1996","1857","Seagrams","relation","liquor","new","64","male","Canada","CAN","627000000000.0","North America","inherited","2.6","Traded Sectors","True","Consumer","father","True","True"
"Li Hejun","117","2014","1994","Hanergy Solar","founder/chairman","energy","new","46","male","China","CHN","0.0","East Asia","privatized and resources","10.3","Resource Related","True","Energy","not inherited","True","True"
"Sergei Galitsky","117","2014","1994","Magnit","founder","retail","new","46","male","Russia","RUS","0.0","Europe","founder non-finance","10.3","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Leo Kirch","118","1996","1956","Kirch Group","founder","media","new","0","male","Germany","DEU","2500000000000.0","Europe","founder non-finance","2.6","Non-Traded Sectors","True","Media","not inherited","True","True"
"Von Siemens family","119","1996","1847","Siemens","","industrial automation","new","0","","Germany","DEU","2500000000000.0","Europe","inherited","2.6","Traded Sectors","True","Non-consumer industrial","not inherited","True","True"
"Kjeld Kirk Kristiansen","119","2014","1949","Lego","relation","toys","new","66","male","Denmark","DEN","0.0","Europe","inherited","10.2","Traded Sectors","True","Consumer","3rd generation","True","True"
"Marcel Herrmann Telles","119","2014","1885","Ambev","founder","investment banking/beer","aquired","64","male","Brazil","BRA","0.0","Latin America","founder non-finance","10.2","Traded Sectors","True","Consumer","not inherited","True","True"
"John Latsis","120","1996","1938","EFG International","relation","shipping","new","0","male","Greece","GRC","147000000000.0","Europe","inherited","2.6","Financial","True","Money Management","father","True","True"
"Yaw Teck-seng","121","1996","1963","Samling Strategic Corp","founder","logging","new","0","male","Malaysia","MYS","101000000000.0","East Asia","privatized and resources","2.6","Resource Related","True","Mining and metals","not inherited","True","True"
"Charles Butt","121","2014","1905","H-E-B supermarket","relation","groceries","new","76","male","United States","USA","0.0","North America","inherited","10.1","Non-Traded Sectors","True","Retail, Restaurant","3rd generation","True","True"
"Alfred Heineken","122","1996","1864","Heineken International","relation","beer","new","0","female","Netherlands","NLD","443000000000.0","Europe","inherited","2.6","Traded Sectors","True","Consumer","father","True","True"
"Carrie Perrodo","122","2014","1975","Perenco","relation","oil","new","63","female","France","FRA","0.0","Europe","inherited","10.0","0","True","Other","spouse/widow","True","True"
"David Tepper","122","2014","1993","Appaloosa Management","founder","hedge funds","new","56","male","United States","USA","0.0","North America","self-made finance","10.0","Financial","True","Hedge funds","not inherited","True","True"
"George Kaiser","122","2014","1940","Kaiser-Francis Oil Company","relation","oil","new","71","male","United States","USA","0.0","North America","inherited","10.0","Resource Related","True","Energy","father","True","True"
"Hinduja Brothers","122","2014","1914","Hinduja Group","relation","media, exports","new","0","male","United Kingdom","GBR","0.0","Europe","inherited","10.0","Financial","True","Diversified financial","father","True","True"
"Jack Ma","122","2014","1999","Alibaba group","founder","internet","new","49","male","China","CHN","0.0","East Asia","founder non-finance","10.0","New Sectors","True","Technology-Computer","not inherited","True","True"
"Patrick Soon-Shiong","122","2014","1997","American Pharmaceutical Partners ","founder","healthcare","new","62","male","United States","USA","0.0","North America","founder non-finance","10.0","New Sectors","True","Technology-Medical","not inherited","True","True"
"Stephen Schwarzman","122","2014","1985","Blackstone Group","founder","private equity","new","67","male","United States","USA","0.0","North America","self-made finance","10.0","Financial","True","Private equity/leveraged buyout","not inherited","True","True"
"Jaime Augusto Zobel de Ayala","123","1996","1834","Ayala Corporation","relation","construcion","new","0","male","Philippines","PHL","82848194406.0","East Asia","inherited","2.6","Financial","True","Money Management","4th generation","True","True"
"George Ty","124","1996","1962","Metropolitan Bank and Trust Company","founder","banking","new","0","male","Philippines","PHL","82848194406.0","East Asia","self-made finance","2.6","Financial","True","Money Management","not inherited","True","True"
"Ann Kroenke","124","2001","1962","Walmart","relation","retail"," new","0","female","United States","USA","10600000000000.0","North America","inherited","3.4","Traded Sectors","True","Consumer","father","True","True"
"Charles Bronfman","124","2001","1857","Seagrams","relation","liquor","new","69","male","Canada","CAN","733000000000.0","North America","inherited","3.4","Traded Sectors","True","Consumer","father","True","True"
"David Geffen","124","2001","1970","Asylum Records/Geffen Records/Dreamworks","founder","entertainment","new","58","male","United States","USA","10600000000000.0","North America","founder non-finance","3.4","Non-Traded Sectors","True","Media","not inherited","True","True"
"Dhirubhai Ambani","124","2001","1966","Reliance","founder","textiles","new","0","male","India","IND","494000000000.0","South Asia","founder non-finance","3.4","Traded Sectors","True","Consumer","not inherited","True","True"
"Gerard Louis-Dreyfus","124","2001","1851","Louis Dreyfus Group","relation","energy","new","68","male","France","FRA","1380000000000.0","Europe","inherited","3.4","Financial","True","Money Management","4th generation","True","True"
"James Sorenson","124","2001","1977","Sorenson Companies","founder","real estate","new","79","male","United States","USA","10600000000000.0","North America","self-made finance","3.4","Financial","True","Real Estate","not inherited","True","True"
"Samuel Johnson","125","1996","1886","S. C. Johnson & Son","relation","cleaning supplies","new","67","male","United States","USA","8100000000000.0","North America","inherited","2.6","Traded Sectors","True","Consumer","5th generation or longer","True","True"
"Henry Hillman","126","1996","1942","Pittsburgh Coke & Chemical","relation","coal","new","77","male","United States","USA","8100000000000.0","North America","inherited","2.6","Financial","True","Money Management","father","True","True"
"Julio Bozano","127","1996","1960","Banco Bozano Simonsen","founder","banking","new","60","male","Brazil","BRA","854000000000.0","Latin America","self-made finance","2.5","Financial","True","Money Management","not inherited","True","True"
"Porsche family","128","1996","1931","Porsche","","cars","new","0","","Germany","DEU","2500000000000.0","Europe","inherited","2.5","0","True","0","father","True","True"
"Peter Livanos","129","1996","1949","Ceres Hellenic","relation","shipping","new","0","male","Greece","GRC","147000000000.0","Europe","inherited","2.5","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Giorgio Armani","129","2014","1975","Armani","founder","luxury goods","new","79","male","Italy","ITA","0.0","Europe","founder non-finance","9.9","Traded Sectors","True","Consumer","not inherited","True","True"
"Michael Kadoorie","130","1996","1890","CLP Holdings","relation","utilities","new","55","male","Hong Kong","HKG","160000000000.0","East Asia","inherited","2.5","Financial","True","Money Management","father","True","True"
"Akira Mori","130","2001","1959","Mori Building","relation","construction","new","66","male","Japan","JPN","4160000000000.0","East Asia","inherited","3.3","Financial","True","Real Estate","father","True","True"
"Amos Hosetter Jr","130","2001","1964","Continental Cablevision","founder","media","new","64","male","United States","USA","10600000000000.0","North America","founder non-finance","3.3","Non-Traded Sectors","True","Media","not inherited","True","True"
"Bernard Marcus","130","2001","1979","Home Depot","founder","home improvement retail","new","71","male","United States","USA","10600000000000.0","North America","founder non-finance","3.3","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Edgar Bronfman","130","2001","1857","Seagrams","relation","liquor","new","72","male","United States","USA","10600000000000.0","North America","inherited","3.3","Traded Sectors","True","Consumer","father","True","True"
"Eitaro Itoyama","130","2001","0","","","golf courses","","58","male","Japan","JPN","4160000000000.0","East Asia","self-made finance","3.3","Financial","True","Real Estate","not inherited","True","True"
"Martin Ebner","130","2001","1985","BZ Bank","founder","banking","new","0","male","Switzerland","CHE","279000000000.0","Europe","self-made finance","3.3","Financial","True","Money Management","not inherited","True","True"
"Ronald Perelman","130","2001","1980","MacAnderws and Forbes Holdings","founder","holding company","aquired","58","male","United States","USA","10600000000000.0","North America","self-made finance","3.3","Financial","True","Private equity/leveraged buyout","not inherited","True","True"
"Ryoichi Jinnai","130","2001","1962","Promise Consumer Finance","founder","finance","new","74","male","Japan","JPN","4160000000000.0","East Asia","self-made finance","3.3","Financial","True","Money Management","not inherited","True","True"
"Richard Kinder","130","2014","1997","Kinder Morgan Energy Partners","founder","energy","new","69","male","United States","USA","0.0","North America","founder non-finance","9.5","Traded Sectors","True","Non-consumer industrial","not inherited","True","True"
"Tsai Eng-Meng","130","2014","1962","Want Want China","relation","food","new","57","male","Taiwan","Taiwan","0.0","East Asia","inherited","9.5","Traded Sectors","True","Consumer","father","True","True"
"Henry Fok","131","1996","1962","Sociedade de Turismo e Divers?es de Macau","investor","casinos","new","72","male","Hong Kong","HKG","160000000000.0","East Asia","self-made finance","2.5","Financial","True","Real Estate","not inherited","True","True"
"Goroemon Yoshimoto","132","1996","0","","","","","0","male","Japan","JPN","4710000000000.0","East Asia","","2.5","Financial","True","Real Estate","not inherited","True","True"
"Edward Johnson, III.","132","2014","1946","Fidelity Investments","relation","investment banking","new","83","male","United States","USA","0.0","North America","inherited","9.3","Financial","True","Money Management","father","True","True"
"Eric Schmidt","132","2014","1998","google","executive chairman","technology","new","58","male","United States","USA","0.0","North America","executive","9.3","New Sectors","True","Technology-Computer","not inherited","True","True"
"Hiroshi Mikitani","132","2014","1997","Rakuten","founder","e-commerce","new","49","male","Japan","JPN","0.0","East Asia","founder non-finance","9.3","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Samuel Newhouse, Jr.","132","2014","1909","Advance Publications","relation","media","new","86","male","United States","USA","0.0","North America","inherited","9.3","Non-Traded Sectors","True","Media","father","True","True"
"Rinji Shino","133","1996","1949","Meiko Group","","real estate","","0","male","Japan","JPN","4710000000000.0","East Asia","","2.5","Financial","True","Real Estate","not inherited","True","True"
"Yasuyuki Nambu","134","1996","1976","Pasona Inc","founder","staffing services","new","0","male","Japan","JPN","4710000000000.0","East Asia","founder non-finance","2.5","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Rafik Al-Hariri","135","1996","1978","Saudi Oger","founder","construction","aquired","52","male","Lebanon","LBN","13690217121.0","Middle East/North Africa","privatized and resources","2.5","Non-Traded Sectors","True","Constrution","not inherited","True","True"
"Alejo Peralta","136","1996","1939","Groupo IUSA","relation","construction","new","0","male","Mexico","MEX","397000000000.0","Latin America","inherited","2.5","Non-Traded Sectors","True","Media","father","True","True"
"Dietrich Mateschitz","136","2014","1984","Red Bull","founder","beverages","new","69","male","Austria","AUT","0.0","Europe","founder non-finance","9.2","Traded Sectors","True","Consumer","not inherited","True","True"
"John van Vlissingen","137","1996","1975","BCD Holdings","founder","travel company","new","57","male","Netherlands","NLD","443000000000.0","Europe","privatized and resources","2.5","Resource Related","True","Energy","not inherited","True","True"
"Joao Roberto Marinho","137","2014","1925","Globo Organizations","relation","media","new","60","male","Brazil","BRA","0.0","Latin America","inherited","9.1","Non-Traded Sectors","True","Media","father","True","True"
"Jose Roberto Marinho","137","2014","1925","Globo Organizations","relation","media","new","58","male","Brazil","BRA","0.0","Latin America","inherited","9.1","Non-Traded Sectors","True","Media","father","True","True"
"Roberto Marinho","137","2014","1925","Globo Organizations","relation","media","new","66","male","Brazil","BRA","0.0","Latin America","inherited","9.1","Non-Traded Sectors","True","Media","father","True","True"
"Roman Abramovich","137","2014","1988","Millhouse LLC","founder","private investment company","new","47","male","Russia","RUS","0.0","Europe","privatized and resources","9.1","Resource Related","True","Non-consumer industrial","not inherited","True","True"
"Sheikh Saleh Bin Abdul Aziz Al-rajhi","138","1996","1957","Al Rajhi bank","founder","Banking","new","0","male","Saudi Arabia","SAU","158000000000.0","Middle East/North Africa","self-made finance","2.5","Financial","True","Money Management","not inherited","True","True"
"Charles Koch","138","2001","1940","Koch industries","relation","  Oil refining","new","65","male","United States","USA","10600000000000.0","North America","inherited","3.2","Resource Related","True","Energy","father","True","True"
"David Koch","138","2001","1940","Koch industries","relation"," Oil refining","new","60","male","United States","USA","10600000000000.0","North America","inherited","3.2","Resource Related","True","Energy","father","True","True"
"Donald Fisher","138","2001","1969","The Gap","founder","clothing ","new","72","male","United States","USA","10600000000000.0","North America","founder non-finance","3.2","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Doris Fisher","138","2001","1969","The Gap","founder","clothing ","new","70","female","United States","USA","10600000000000.0","North America","founder non-finance","3.2","Traded Sectors","True","Consumer","not inherited","True","True"
"Karl-Heinz Kipp","138","2001","1965","Massa","founder","retail","new","77","male","Germany","DEU","1950000000000.0","Europe","founder non-finance","3.2","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Philippe Foriel-Destezet","138","2001","1996","Adecco","owner","HR consulting","aquired","65","male","France","FRA","1380000000000.0","Europe","executive","3.2","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Preston Tisch","138","2001","1946","Loews Corporation","founder","retail","new","74","male","United States","USA","10600000000000.0","North America","founder non-finance","3.2","Traded Sectors","True","Consumer","not inherited","True","True"
"Ronald Lauder","138","2001","1946","Est?Lauder","relation","makeup","new","59","male","United States","USA","10600000000000.0","North America","inherited","3.2","Traded Sectors","True","Consumer","father","True","True"
"Mohammed Jameel","139","1996","1945","Abdul Latif Jameel Co. Ltd","relation","auto dealerships","new","0","male","Saudi Arabia","SAU","158000000000.0","Middle East/North Africa","inherited","2.5","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"Maersk McKinney Moller","140","1996","1905","Maersk Group","relation","shipping","new","82","male","Denmark","DNK","188000000000.0","Europe","inherited","2.5","Financial","True","Diversified financial","father","True","True"
"Nicky Oppenheimer","141","1996","1888","De Beers","relation","diamonds","new ","50","male","South Africa","ZAF","148000000000.0","Sub-Saharan Africa","inherited","2.5","Resource Related","True","Mining and metals","3rd generation","True","True"
"Alain Wertheimer","141","2014","1909","Chanel","relation","luxury goods","new","65","male","France","FRA","0.0","Europe","inherited","9.0","Traded Sectors","True","Consumer","3rd generation","True","True"
"Charoen Sirivadhanabhakdi","141","2014","1941","ThaiBev","founder","alcohol","privatization","69","male","Thailand","THA","0.0","East Asia","privatized and resources","9.0","Traded Sectors","True","Consumer","not inherited","True","True"
"Gerard Wertheimer","141","2014","1909","Chanel","relation","luxury goods","new","63","male","France","FRA","0.0","Europe","inherited","9.0","Traded Sectors","True","Consumer","3rd generation","True","True"
"Silvio Berlusconi","141","2014","1978","Fininvest","founder","media","new","77","male","Italy","ITA","0.0","Europe","privatized and resources","9.0","Non-Traded Sectors","True","Media","not inherited","True","True"
"Vladimir Yevtushenkov","141","2014","1993","Sistema/Sitronics","Chairman/founder","technology","new","65","male","Russia","RUS","0.0","Europe","privatized and resources","9.0","Non-Traded Sectors","True","Media","not inherited","True","True"
"Ernesto Bertarelli","142","1996","1906","Serono","relation","pharmaceuticals","new","30","male","Switzerland","CHE","330000000000.0","Europe","inherited","2.5","New Sectors","True","Technology-Medical","3rd generation","True","True"
"Banyong Lamsam","143","1996","1945","Kasikornbank","relation","banking","new","0","male","Thailand","THA","182000000000.0","East Asia","inherited","2.5","Financial","True","Money Management","not inherited","True","True"
"George Soros","144","1996","1969","Soros Fund Management","founder","hedge funds","new","65","male","United States","USA","8100000000000.0","North America","self-made finance","2.5","Financial","True","Hedge funds","not inherited","True","True"
"Abigail Johnson","145","1996","1946","Fidelity Investments","relation","investment banking","new","34","female","United States","USA","8100000000000.0","North America","inherited","2.5","Financial","True","Money Management","3rd generation","True","True"
"Jon Huntsman","146","1996","1982","Huntsman chemical","founder","chemicals","new","58","male","United States","USA","8100000000000.0","North America","founder non-finance","2.5","Traded Sectors","True","Non-consumer industrial","not inherited","True","True"
"Ennio Doris","146","2001","1982","Mediolanum SpA","founder","asset management","new","60","male","Italy","ITA","1160000000000.0","Europe","self-made finance","3.1","Financial","True","Hedge funds","not inherited","True","True"
"Gianni Agnelli","146","2001","1899","Fiat","relation","cars","new","0","male","Italy","ITA","1160000000000.0","Europe","inherited","3.1","Traded Sectors","True","Consumer","3rd generation","True","True"
"Lester Crown","146","2001","1919","General Dynamics","relation","aerospace and defense","new","75","male","United States","USA","10600000000000.0","North America","inherited","3.1","Financial","True","Money Management","father","True","True"
"Rafik Al-Hariri","146","2001","1978","Saudi Oger","founder","construction","aquired","57","male","Lebanon","LBN","17649751244.0","Middle East/North Africa","privatized and resources","3.1","Non-Traded Sectors","True","Constrution","not inherited","True","True"
"William Wrigley","146","2001","1891","Wm Wrigley Jr. Company","relation","gum","new","37","male","United States","USA","10600000000000.0","North America","inherited","3.1","Traded Sectors","True","Consumer","4th generation","True","True"
"Carlos Alberto Sicupira","146","2014","1999","Ambev","founder","investment banking/beer","aquired","66","male","Brazil","BRA","0.0","Latin America","founder non-finance","8.9","Traded Sectors","True","Consumer","not inherited","True","True"
"Hisakazu Yamaguchi","147","1996","1950","Daiwan Can","relation","cans","new","0","male","Japan","JPN","4710000000000.0","East Asia","inherited","2.4","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"Alexei Kuzmichev","147","2014","1989","Alfa Group","founder","investment banking","new","51","male","Russia","RUS","0.0","Europe","privatized and resources","8.8","Resource Related","True","Energy","not inherited","True","True"
"Dmitry Rybolovlev","147","2014","1930","Uralkali","owner","fertilizer","aquired","47","male","Russia","RUS","0.0","Europe","executive","8.8","Traded Sectors","True","Consumer","not inherited","True","True"
"Elaine Marshall","147","2014","1940","Koch industries","relation","  Oil refining","new","71","female","United States","USA","0.0","North America","inherited","8.8","Financial","True","Diversified financial","spouse/widow","True","True"
"Hasso Plattner","147","2014","1972","SAP AG","founder","software","new","70","male","Germany","DEU","0.0","Europe","founder non-finance","8.8","New Sectors","True","Technology-Computer","not inherited","True","True"
"Thomas Peterffy","147","2014","1977","Interactive Brokers","founder, chairman, ceo","stock brokerage","new","69","male","United States","USA","0.0","North America","self-made finance","8.8","Financial","True","Money Management","not inherited","True","True"
"Kanichiro Ishibashi","148","1996","1931","Bridgestone Corp","relation","tires","new","0","male","Japan","JPN","4710000000000.0","East Asia","inherited","2.4","Resource Related","True","Mining and metals","father","True","True"
"Andrew Gotianun","149","1996","1955","Filinvest Development Corporation","founder","real estate","new","0","male","Philippines","PHL","82848194406.0","East Asia","self-made finance","2.4","Financial","True","Real Estate","not inherited","True","True"
"Anacleto Angelini","150","1996","1955","Angelini Group","founder","mining","new","82","male","Chile","CHL","75800000000.0","Latin America","privatized and resources","2.3","Resource Related","True","Energy","not inherited","True","True"
"Dieter Schwarz","151","1996","1930","Schwarz Group","relation","groceries","new","0","male","Germany","DEU","2500000000000.0","Europe","inherited","2.3","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"A Jerrold Perenchio","151","2001","1955","Univision","former chairman and CEO","media","aquired","70","male","United States","USA","10600000000000.0","North America","executive","3.0","Non-Traded Sectors","True","Media","not inherited","True","True"
"Emilio Azcarraga Jean","151","2001","1955","Grupo Televisa","relation","media","new","33","male","Mexico","MEX","725000000000.0","Latin America","inherited","3.0","Non-Traded Sectors","True","Media","father","True","True"
"George Lucas","151","2001","1971","Lucasfilm","founder","Star Wars","new","56","male","United States","USA","10600000000000.0","North America","founder non-finance","3.0","Non-Traded Sectors","True","Media","not inherited","True","True"
"Henry Hillman","151","2001","1942","Pittsburgh Coke & Chemical","relation","coal","new","82","male","United States","USA","10600000000000.0","North America","inherited","3.0","Financial","True","Money Management","father","True","True"
"Khoo Teck Puat","151","2001","1960","Malayan Banking","founder","banking","new","84","male","Singapore","SGP","89285087395.0","East Asia","self-made finance","3.0","Financial","True","Real Estate","not inherited","True","True"
"Mohammed Jameel","151","2001","1945","Abdul Latif Jameel Co. Ltd","relation","auto dealerships","new","0","male","Saudi Arabia","SAU","183000000000.0","Middle East/North Africa","inherited","3.0","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"Ricardo Salinas Pliego","151","2001","1906","Grupo Salinas/Group Elektra","relation","telecommunications","new","45","male","Mexico","MEX","725000000000.0","Latin America","inherited","3.0","Non-Traded Sectors","True","Retail, Restaurant","4th generation","True","True"
"Riley Bechtel","151","2001","1898","Bechtel Corporation","relation and chairman","construction","new","48","male","United States","USA","10600000000000.0","North America","inherited","3.0","Non-Traded Sectors","True","Constrution","4th generation","True","True"
"Robert Bass","151","2001","1919","Sid Richardson Gasoline Co","relation","oil","new","53","male","United States","USA","10600000000000.0","North America","inherited","3.0","Resource Related","True","Energy","father","True","True"
"Saleh Kamel","151","2001","1969","Dallah al Baraka Group","founder","airport maintenance","new","59","male","Saudi Arabia","SAU","183000000000.0","Middle East/North Africa","self-made finance","3.0","Financial","True","Money Management","not inherited","True","True"
"Stephen Bechtel","151","2001","1898","Bechtel Corporation","relation","construction","new","75","male","United States","USA","10600000000000.0","North America","inherited","3.0","Non-Traded Sectors","True","Constrution","4th generation","True","True"
"Ciputra","152","1996","1961","Ciputra Development","founder","real estate","new","0","male","Indonesia","IDN","227000000000.0","East Asia","self-made finance","2.3","Financial","True","Real Estate","not inherited","True","True"
"Ludwig Merckle","152","2014","1881","Ratiopharm","relation","pharmaceuticals","new","49","male","Germany","DEU","0.0","Europe","inherited","8.6","New Sectors","True","Technology-Medical","4th generation","True","True"
"Leonardo Del Vecchio","153","1996","1961","?Luxottica","founder","glasses","new","60","male","Italy","ITA","1310000000000.0","Europe","founder non-finance","2.3","Traded Sectors","True","Consumer","not inherited","True","True"
"Antonia Johnson","153","2014","1873","Axel Johnson Group","relation","trade investment","new","70","female","Sweden","SWE","0.0","Europe","inherited","8.5","Financial","True","Diversified financial","4th generation","True","True"
"Donald Newhouse","153","2014","1909","Advance Publications","relation","media","new","84","male","United States","USA","0.0","North America","inherited","8.5","Non-Traded Sectors","True","Media","father","True","True"
"Galen Weston","153","2014","1882","George Weston Limited","relation","food distribution","new","73","male","Canada","CAN","0.0","North America","inherited","8.5","Non-Traded Sectors","True","Retail, Restaurant","3rd generation","True","True"
"Hank & Doug Meijer","153","2014","1934","Meijer","relation","groceries","new","0","male","United States","USA","0.0","North America","inherited","8.5","Non-Traded Sectors","True","Retail, Restaurant","3rd generation","True","True"
"Michael Kadoorie","153","2014","1901","CLP Holdings","relation","utilities","new","72","male","Hong Kong","HKG","0.0","East Asia","inherited","8.5","Financial","True","Diversified financial","father","True","True"
"Michele Ferrero","154","1996","1946","Ferrero spa","relation","chocolates","new","69","male","Italy","ITA","1310000000000.0","Europe","executive","2.3","Traded Sectors","True","Consumer","not inherited","True","True"
"Eitaro Itoyama","155","1996","0","","","golf courses","","53","male","Japan","JPN","4710000000000.0","East Asia","self-made finance","2.3","Financial","True","Real Estate","not inherited","True","True"
"Akio Morita","156","1996","1946","Sony","founder","technology","new","0","male","Japan","JPN","4710000000000.0","East Asia","founder non-finance","2.3","Traded Sectors","True","Consumer","not inherited","True","True"
"Kim Woo-choong","157","1996","1967","Daewoo Group","founder","textiles","new","0","male","South Korea","KOR","603000000000.0","East Asia","privatized and resources","2.3","Financial","True","Diversified financial","not inherited","True","True"
"Kjeld Kirk Kristiansen","158","1996","1949","Lego","relation","toys","new","48","male","Denmark","DNK","188000000000.0","Europe","inherited","2.3","Traded Sectors","True","Consumer","3rd generation","True","True"
"Elon Musk","158","2014","1999","Paypal, SpaceX, Tesla Motors","investor/founder","technology","new","42","male","United States","USA","0.0","North America","founder non-finance","8.4","Traded Sectors","True","Consumer","not inherited","True","True"
"Joseph Lau","158","2014","1978","Chinese Estates Holdings","founder","real estate","new","62","male","Hong Kong","HKG","0.0","East Asia","self-made finance","8.4","Financial","True","Real Estate","not inherited","True","True"
"Stephan Schmidheiny","159","1996","1912","Holcim","relation","construction","new","48","male","Switzerland","CHE","330000000000.0","Europe","inherited","2.3","Financial","True","Money Management","4th generation","True","True"
"Robert Bass","160","1996","1919","Sid Richardson Gasoline Co","relation","oil","new","48","male","United States","USA","8100000000000.0","North America","inherited","2.3","Resource Related","True","Energy","father","True","True"
"August von Finck","160","2014","1890","Allianz, Merk Finck & Co","relation","banking/insurance","new","83","male","Germany","DEU","0.0","Europe","inherited","8.3","Financial","True","Diversified financial","father","True","True"
"Ricardo Salinas Pliego","160","2014","1906","Grupo Salinas/Group Elektra","relation","telecommunications","new","58","male","Mexico","MEX","0.0","Latin America","inherited","8.3","Non-Traded Sectors","True","Retail, Restaurant","4th generation","True","True"
"Andronico Luksic","161","1996","1888","Antofagasta","founder","copper","aquired","69","male","Chile","CHL","75800000000.0","Latin America","privatized and resources","2.2","Resource Related","True","Mining and metals","not inherited","True","True"
"Adrian and John Swire","162","1996","1816","Swire","relation","trading company","new","0","male","Hong Kong","HKG","160000000000.0","East Asia","inherited","2.2","Financial","True","Money Management","4th generation","True","True"
"Dietmar Hopp","162","2001","1972","SAP AG","founder","software","new","60","male","Germany","DEU","1950000000000.0","Europe","founder non-finance","2.9","New Sectors","True","Technology-Computer","not inherited","True","True"
"Hiroshi Yamauchi","162","2001","1889","Nintendo","relation","video games","new","73","male","Japan","JPN","4160000000000.0","East Asia","inherited","2.9","New Sectors","True","Technology-Computer","3rd generation","True","True"
"Joseph and Moise Safra","162","2001","1955","Banco Safra (now Saftra Group)","founder","banking","new","0","male","Brazil","BRA","560000000000.0","Latin America","self-made finance","2.9","Financial","True","Money Management","not inherited","True","True"
"Leslie Wexner","162","2001","1963","Limited Brands","founder","clothing","new","59","male","United States","USA","10600000000000.0","North America","founder non-finance","2.9","Traded Sectors","True","Consumer","not inherited","True","True"
"Lorenzo Zambrano","162","2001","1906","Cemex","relation","cement","new","56","male","Mexico","MEX","725000000000.0","Latin America","inherited","2.9","Non-Traded Sectors","True","Constrution","3rd generation","True","True"
"Andrei Skoch","162","2014","1999","Metallionvest","partner","mining","new","48","male","Russia","RUS","0.0","Europe","privatized and resources","8.2","Resource Related","True","Non-consumer industrial","not inherited","True","True"
