,Punjab,Haryana,Rajasthan,Delhi,UP,Uttarakhand,HP,J&K,Chandigarh,Chhattisgarh,Gujarat,MP,Maharashtra,Goa,DNH,Andhra Pradesh,Telangana,Karnataka,Kerala,Tamil Nadu,Pondy,Bihar,Jharkhand,Odisha,West Bengal,Sikkim,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura
12/04/2019 00:00:00,93.1,95,212,60.2,230,31.7,26.9,46,2.9,90,319.7,203.8,419.7,10,18,189.7,218.4,222.6,71.5,312.9,7.4,71.3,22.9,86.8,109.4,1.3,2.1,22.3,2.4,6.4,1.5,2.1,3.1
13/04/2019 00:00:00,249.8,197.7,240.6,123.2,383,40.1,28.7,48.5,6.2,85.2,340.6,190.4,436.2,12.4,18.6,176.2,151.8,191.5,71.4,329.9,8.4,109.3,25.3,91.1,183.4,1.2,2.4,33.2,2.6,5.6,1.9,2.4,5.7
14/04/2019 00:00:00,250.6,209.8,242.9,126.1,407.9,44.4,29.1,44.8,6.2,91.1,334.7,195.1,451,12.4,18.7,178.1,156.6,199.2,73.2,347.7,8.8,113.8,25.6,92.9,195.2,1.1,2.3,32.7,2.5,5.7,1.5,2.5,5.4
15/04/2019 00:00:00,274.1,219.4,248.5,135.1,416.9,46.5,30.8,45.8,6.5,90.5,330.8,192.8,458.8,12.4,18.9,179,162.2,198.1,74.2,330.3,8.6,99.1,24.3,97.7,181.6,1.2,2.3,27.7,2.4,5.3,1.8,2.5,5.1
16/04/2019 00:00:00,269.4,219.1,249.5,135.2,435.1,46.7,31.3,46,6.4,89.6,340.2,191.7,448.7,12.4,19.1,178.2,165.6,198.2,75.9,334,8.5,95.6,21.6,96.4,182.4,1.3,2.2,28.4,2.6,5.8,2,2.3,6.6
17/04/2019 00:00:00,282.7,219.7,254.7,133.5,446.8,47.2,31.7,48.8,6.7,87.3,331.8,188.4,407.6,12.4,18.5,185,163.5,195.2,76.1,337.3,8.6,103.1,25.2,88.4,175.9,1.3,2.2,29.6,2.6,5.4,1.7,2.2,5.5
18/04/2019 00:00:00,281.5,224.5,255.7,136.7,452.6,48.6,31.5,44.6,6.8,89.7,328.2,187.4,388.5,10.9,17.1,184.6,147,191.8,77.2,339.7,8.6,101.1,25.3,90.4,176.3,1.2,2.3,31.1,2.8,5.8,1.7,2.2,5.4
19/04/2019 00:00:00,286,211.8,246.4,136,445.1,44.9,28.5,42.3,6.1,86.3,319.5,171.4,371.1,10,17.4,174.3,136.3,170.3,70.3,319.5,8.1,100.3,25.7,88.4,162.5,1,2.2,32.7,2.7,6,1.7,2.2,5.5
20/04/2019 00:00:00,121.8,120.5,242.6,63.9,259.9,34.9,27.5,48.4,3.4,75.8,356.3,252.2,495.9,10.5,18.7,195,255.1,242.7,77.6,311.6,7.5,64.5,22.2,70.3,116.3,1.4,2.3,20.7,2.6,5.5,1.9,2.1,3.6
21/04/2019 00:00:00,124.8,124.7,244.8,63.6,250,35.3,28.9,46.6,3.4,72.2,354.7,249.8,494.2,10.9,18.7,197.6,255.2,250.1,79.3,323.8,7.9,61.2,21,71.7,113.5,1.6,2,22.7,2.5,6,1.9,2.2,3.5
22/04/2019 00:00:00,124.9,124.8,245.1,63.8,257.7,35.6,29.2,48.3,3.5,77.2,347.2,250.4,491.4,10.8,18.9,201.2,253.3,249.6,79.7,325.6,8,63.8,22.1,70,115.4,1.7,2.2,19.2,2.5,5.9,1.7,2.3,3.3
23/04/2019 00:00:00,121.8,123,245.7,62.5,250.6,36,29.1,48.8,3.5,79.2,344.5,250.6,493.4,10.9,19.1,199,249.7,252,80.6,328.3,7.9,69,22.3,67.5,119.7,1.5,2.1,21,2.6,5.7,1.6,2.2,3.4
24/04/2019 00:00:00,113,123,246.2,63.8,274.9,36,28.8,49,3.5,81.9,362,252.9,492.9,11.1,18.5,200.7,254,253.3,80.5,329.1,7.8,69.8,23.8,69.5,119.9,1.6,2.1,22.7,2.6,5.8,1.7,2.2,3.5
25/04/2019 00:00:00,96.9,108,236,60.3,247.3,34.9,27.9,42.7,3.5,83.7,361.6,248.3,484.8,11.6,19.4,200.8,255.9,248,79.2,326.4,7.8,68.2,24.1,69.2,120.5,1.6,2.1,23.1,2.7,5.9,1.6,2.2,3.4
26/04/2019 00:00:00,97.8,94.5,230.1,57.9,215.8,31.3,25,46.3,3.4,85.1,346.4,222.4,456.8,11.6,17,194,247.7,224.3,71.9,302.8,7.1,70.8,23.9,67.4,111.1,1.3,2.1,21.1,2.6,5.5,1.7,2.1,3.4
27/04/2019 00:00:00,112.8,125.5,232.5,74.2,280.7,38.8,30,50.8,4.4,78,326.4,246.6,447.6,12.9,18.9,166.1,218.6,203.7,71.9,277.7,6.8,72.2,25.9,65.7,106.8,1.9,2.4,22.8,2.5,6,1.9,2.1,3.3
28/04/2019 00:00:00,118.6,131.1,232.8,76.9,276.6,39.1,30.4,51.4,4.5,78.2,329.8,239.7,456.7,13.1,19,167.7,223.4,209,72.5,285.9,6.7,71.6,24.1,66.9,111.8,2,2.2,21.7,2.7,6,1.8,2.2,3.5
29/04/2019 00:00:00,121.2,132.1,235.6,76.9,277.3,40,30,52.5,4.5,78.6,325.4,237.4,447.8,10.9,19,164.5,225.7,204.1,66.9,261.1,6.4,75.4,25.1,65.6,110.3,2,2.2,22.5,2.7,6.4,1.8,2.2,3.7
30/04/2019 00:00:00,123.3,134.5,232.7,79.2,293.2,42.2,30.6,52.4,4.9,74.5,324.4,242.8,427.8,13.1,18.9,168.2,222.7,207.2,72.7,272.4,6.8,75.2,24,65.3,109.6,2.2,2.2,22.4,2.6,6.3,1.9,2.3,3.8
02/05/2019 00:00:00,120.9,133.6,235,82,304.8,41.4,30.4,52.5,4.9,75.3,320.9,245.1,428.5,13.5,18.7,172.6,225.7,211.6,74.4,271.4,6.8,77.7,25.1,66.2,107,2.1,2.3,22.8,2.7,6.2,1.7,2.3,3.3
03/05/2019 00:00:00,122.1,133,234.6,80.4,297,41.5,30,53.4,4.7,75.8,317.6,246.2,425.5,13.4,18.7,170.1,208.3,208.1,73.6,276.3,6.7,76.1,24.5,70.3,111.1,2.1,2.2,22.4,2.6,6.4,1.7,2.3,3.5
04/05/2019 00:00:00,113.8,124.6,231,78,308,39.1,27.5,52.7,4.4,77.2,306.7,246.9,415.3,13.3,18.4,163,204.8,193.3,66.5,259.2,6.2,80.2,25.2,71.6,100.7,1.9,2.1,21.4,2.4,6.2,1.7,2.1,3.4
05/05/2019 00:00:00,213.9,179.6,225.8,98.5,326.9,38.3,29.2,41,5,103.5,317.2,164,409.6,11,18.4,158.1,179.5,177.3,71.4,280.4,7.6,98.1,26.6,89.7,166.7,1,2,27.2,2.5,5.8,1.6,2,4.7
06/05/2019 00:00:00,220.3,186.1,228.5,99.3,328.4,39.7,29.8,39.8,5.3,98.6,320.5,163.5,403,11,18.6,153.1,169.4,158.3,70.2,282.4,7.5,98.1,24.1,95,153.1,0.9,2,24.7,2.3,5.7,1.6,2,4.2
07/05/2019 00:00:00,222.9,185.6,225,102.4,335.1,40.4,30.7,39.8,5.3,86.6,312.7,166.5,391.5,12.2,18.5,153.9,153.7,159.2,68.8,282.3,7.3,89,22.4,89.4,139.1,1,2.1,25.7,2.3,6.1,1.6,2,4.3
08/05/2019 00:00:00,219.3,184.2,226.6,102.6,301.8,39.9,29.4,41.3,5.2,84.2,306.6,162.9,385.4,11.9,18.5,147.7,154.1,154.8,68.1,280.9,7.4,69.5,21.8,87.6,142.8,1,1.4,28.8,2.4,6.4,1.6,2.1,4.5
09/05/2019 00:00:00,197.7,179.5,222,100.9,276.3,38.8,28.7,39.5,4.7,81.3,289.4,162.4,379.7,11.9,18.4,149.7,148.7,164.7,70.2,293.5,7.7,70.4,22.1,84.1,140.9,1,1.9,29.6,2.3,6.1,1.7,2.1,4.4
10/05/2019 00:00:00,165.1,169.3,210.8,94.6,261.3,36.5,27.3,30.1,4.3,80.8,279.2,152.4,385.6,11.9,18.4,154.2,160.2,163,71.3,291.6,7.8,53,20.1,83.2,133.4,1.2,2.3,29.4,2.4,6.1,1.4,2.2,4.7
11/05/2019 00:00:00,122.6,143,197.9,84.7,244.4,33,24.5,34.5,3.4,76.2,257.9,154.1,380.7,11.3,18.1,160,166.3,156,65.1,274.7,7.3,43.5,19,78.9,122.6,1.2,2.2,26.5,2.2,6.1,1.6,2.4,4.1
12/05/2019 00:00:00,245.9,194.3,242.2,116.6,422.1,42.9,30.7,42.4,6.3,110.2,342.2,219,441.2,11.4,18.9,165.3,184.1,171.9,60,297.9,7.7,104.2,27.1,98.7,194.3,1.3,2.2,29.5,2.6,5.8,1.9,2.2,5.6
13/05/2019 00:00:00,253.7,211.3,251.4,129,428.8,43.3,30.4,42.8,6.8,111.6,355.4,229.2,451.4,11,19.2,168.2,191.1,164.5,60.7,299,7.8,97.4,24.8,102.5,192.2,1.2,2.3,27.8,2.5,5.4,1.9,2,4.8
14/05/2019 00:00:00,264.8,208.1,256.8,130.4,406.8,45.4,32,42.9,6.4,106.5,354.3,220.4,446,11.3,19.1,175.2,198.7,172.9,62.7,312.3,8.5,88.2,22.5,97.4,180.5,1.2,2.4,29.2,2.5,5.4,2.1,2.2,4.9
15/05/2019 00:00:00,229.6,183.2,219.3,115.2,372.2,40.7,29.5,37,6,100.1,346.8,197.9,423.8,11.3,19,174.1,199,163.7,65.7,312.5,8.5,90.6,22.7,86.9,174.5,0.9,2.3,31.7,2.6,5.6,1.9,2.3,4.7
16/05/2019 00:00:00,220.4,177.2,218.3,109.3,357.5,39.5,29.5,42.5,5.5,96.7,338.8,185.2,400.5,11.3,19,158.7,174.1,174.8,65.6,300.7,8.4,97.1,23.2,86.2,172.5,0.9,2.3,31.4,2.6,5.6,1.7,2.2,5
17/05/2019 00:00:00,206.3,157.8,198.7,100.7,359.1,38.3,28.9,40.5,4.9,91.7,334.6,183.2,374,11.3,18.7,154.9,167.8,165.4,66.3,305.3,8,91.9,22.2,87.9,166,0.8,2.3,30.5,2.4,5.7,1.6,2.3,4.6
18/05/2019 00:00:00,210.9,153.9,159.3,98.9,364.1,37.4,26.3,37.3,4.9,93.7,314.9,175.8,364.8,11.3,18.7,151,161.1,160.8,62.2,284.4,7.4,91.4,21.8,89,151.3,0.5,2.3,30.9,2.6,5.5,1.6,2.3,4.8
19/05/2019 00:00:00,122.1,128.2,205.5,91.9,342.3,38.3,25.4,44.2,4.1,99.9,381.2,206.1,495,13.8,18.7,177.6,161.6,235.4,79.3,324.7,8.9,93.5,23.4,79.9,151.5,1.2,1.9,23.8,2.6,5,1.6,2.1,4.3
20/05/2019 00:00:00,129,138.6,216.8,99.3,362,39.5,26,43,4.4,100.5,359.9,212,494.5,13.8,16.2,178.2,164.1,230.6,68.5,323.2,9,89.4,24.1,90.8,160.4,1.3,2.2,25.8,2.6,5.5,1.7,2.2,5.3
21/05/2019 00:00:00,108.6,141.7,221.1,106.7,380.7,41.2,24.8,33.7,4.6,102.6,379.2,216.4,500.6,13.8,18.1,186.1,171.1,233.1,77.4,337.7,8.9,98.1,25.1,92,170,1.4,2.1,27.1,2.6,5.4,1.8,2,5.6
22/05/2019 00:00:00,126.4,144.5,226.7,111.4,387.1,40.5,25.4,41.7,4.8,103.9,387.3,219.3,513.1,13.5,19,189.3,176,241.9,78.4,342.2,9.1,99.8,26.5,95.4,181.2,1.4,2.2,28.9,2.8,5,1.8,2.1,5.4
23/05/2019 00:00:00,132.7,146.7,226.5,109.7,387.1,41.2,27.5,42.6,4.8,105.5,392.9,221,511.8,13.5,18.4,193.3,176.9,236.5,84.3,352.2,9.1,99.6,27.4,96.5,178.9,1.2,2.3,27,2.7,5.3,1.9,2.1,5.1
24/05/2019 00:00:00,133.3,143.3,228.3,103.2,364,40.9,28.1,46.3,4.5,104,389.6,221,513.3,13.5,18.2,193.3,176.9,236.5,84.3,352.2,9.1,99.6,27.4,96.5,178.9,1.2,2.3,27,2.7,5.3,1.9,2.1,5.1
25/05/2019 00:00:00,126.3,132.9,224.7,98.7,358.7,38.7,25.7,44.2,4.1,104.1,375.4,217.3,504.1,13.5,18.3,189,171.1,219.1,79.3,325.7,8.3,94.2,26.5,94.6,177.7,1,2.1,22,1.9,5.3,1.8,2.2,4.5
26/05/2019 00:00:00,86.3,93,178.7,46.1,240.8,22.5,13,45.6,2.4,81.6,282.4,182.1,395.6,7.4,13.5,176.7,219.7,226.4,69.9,276.5,6.1,68.2,21.5,66.5,100.4,1,2.1,19,2.4,5.6,1.6,2.2,3.1
27/05/2019 00:00:00,74.7,92,171.9,48.7,247.4,21.7,20.5,44.7,2.4,86.4,291,183.4,403.6,6.9,15,181.4,224.9,238.3,75.3,302.6,7,63,23.2,69.1,114.7,1.4,1.9,21.5,2.7,5.8,1.8,2.1,3.5
28/05/2019 00:00:00,69.6,85.9,171.4,46,241.6,19.5,15.6,42.8,2.3,80.8,263,178.9,394.4,7.2,12.9,175.4,210.7,231.2,69.9,290.7,5,69.9,23.9,74.7,106.4,1.5,2,21.3,2.6,5.3,1.7,2,3.6
29/05/2019 00:00:00,63.1,76.7,161.2,46.1,239.9,18.2,12.8,44.6,2.3,75.2,238.2,160,357.9,6.2,3.2,162.1,207.4,214.9,66.7,256.3,4.2,72.7,24.2,79.1,107.8,1.4,2.1,19.5,2.3,5,1.5,2.1,3.5
30/05/2019 00:00:00,66.9,74.7,127.9,44.1,238.9,18,12,43.2,2.3,73.4,207.5,150.3,328,6.9,2.2,159.7,202.5,213.6,65.7,245.9,4.1,73.3,23.2,82.7,111.8,1.3,2,19.1,2.5,4.7,1.6,2.1,3.2
31/05/2019 00:00:00,57.6,65.9,105.8,44.4,217.3,17,12.9,42.9,2.4,77,192.3,131.8,348.2,7,2,160.4,202.7,217.4,66.6,244.7,4.1,76.3,23.7,80.7,117,1.3,2,20.6,2.5,4.3,1.8,2.1,3.1
02/06/2019 00:00:00,56.1,64.8,123.5,42.4,219.4,16.9,12.6,40.9,2.2,73.6,201.7,142.8,351,6.8,1.7,161,208.6,214.6,67.5,244.5,4.1,67.3,23,82.8,125.2,1.3,1.9,21,2.4,3.7,1.5,2,3.6
03/06/2019 00:00:00,113.4,125.5,203.1,78.4,296.7,35.1,26.6,41.8,3.7,74.1,351.2,171,357.7,10.8,18.2,152.5,143.2,146,63.3,253.7,7,84.4,22.4,83.8,158.2,0.9,2,26.2,2.4,5.6,1.7,2.1,5
04/06/2019 00:00:00,119.7,132.4,202.6,75.9,290.5,34.7,27.2,42.6,3.4,76.7,347.8,169.7,383.7,10.8,17.1,146.7,146.8,146.2,65.9,257.5,7.2,82.6,23.9,85.8,159.6,1.1,2,26.9,2.5,5.9,1.7,2.2,4.7
05/06/2019 00:00:00,124.5,137,200.6,74.2,286.8,34.8,27.8,42.3,3.7,75.7,337.8,164.3,387.9,11.5,18.3,144.4,146.2,147.4,65.6,262,7.3,80.2,23.6,79.8,149.6,1.1,2.2,26.7,2.7,5.9,1.7,2.1,3.8
06/06/2019 00:00:00,125.7,137.9,202.3,75.9,286.7,35.9,27.4,43.5,3.7,72.8,327.4,164.9,383.7,10.5,18.6,146.6,145.2,147.2,65.1,259.4,7.1,74.1,20,70.8,124.8,1.2,2,24.6,2.5,6.1,1.7,2.1,4.1
07/06/2019 00:00:00,122,134.7,204.3,76,302.9,36,27.6,43.2,3.7,73.9,312.7,171.3,363.2,10.5,18.2,151.4,149.4,141.8,64.9,266,7.7,70.3,19.9,70.5,110.6,1.2,2.1,22.3,2.5,5.7,1.7,2.1,3.9
08/06/2019 00:00:00,117,124.8,197,69.1,287.8,32.7,25.2,42.6,3.4,73.5,279,170.3,347.4,10.5,17.2,149.8,149.4,140.1,62.4,241.5,7,71.1,22.9,73.9,116.3,1,2.1,20.3,2.5,5.5,1.8,2.1,3.7
09/06/2019 00:00:00,90.7,104.3,185.3,60.8,290,26.1,17,43.1,2.9,68.5,233.3,162.8,313.9,8.9,12,146.1,141.9,132.6,57.2,195.7,5.3,77.9,24.5,76.1,113.9,0.8,2.2,22.7,2.5,5.6,1.7,2.4,4.1
10/06/2019 00:00:00,102.8,115.2,225.2,67.9,259.4,35,29,43.1,3.7,80.8,333.9,243.7,412.4,12,17.9,165.2,181.9,211.9,62.7,278.2,6.9,75.3,22.8,67.6,120.6,1.3,2.2,23.2,2.9,6.2,1.8,2.1,3.9
11/06/2019 00:00:00,92.4,97.9,208.1,67.7,231.2,28.6,27.7,41.1,3.8,79.9,329.3,238.3,417.1,12,18.1,166.6,184.4,216.2,63.9,281.6,7,75.8,24.5,81.9,124.5,1.7,2.1,23.5,2.6,6.2,1.9,2.1,3.8
12/06/2019 00:00:00,105.3,118.9,227,70.8,242.7,37.3,29.3,45.3,3.8,82.7,327.6,241.9,417.4,12,18.2,167.5,185.8,216,65.1,289.8,7,68.7,24.5,81.8,125.7,1.4,2.1,23.3,2.8,5.9,1.9,2.2,3.9
13/06/2019 00:00:00,104,118.3,224.8,70.4,259.8,38.2,29.8,45.4,3.8,80.8,327.4,235.6,413.3,12,18.2,169.7,184,218.7,66.6,294.9,7.1,63.7,24.6,73.5,127.2,1.3,2.4,23.5,2.9,6,1.9,2.2,3.7
14/06/2019 00:00:00,105.3,113.7,219.2,72.5,246.2,38.9,29.9,53,3.8,79.2,322.5,218.1,397.6,12,18.1,169.7,176.9,219.4,68.3,298.9,7.2,71.2,22.7,75.4,124.9,1.4,2.3,23.8,2.8,6.3,1.9,2.1,3.8
15/06/2019 00:00:00,95.3,107.2,221.5,58.6,239,33.4,25.5,51.6,3.3,64.5,297.7,214.8,351.6,11.5,14.9,168.6,157.7,202.8,64.6,283.2,6.4,69,23.5,84.1,114.8,1.2,2.2,22.6,2.6,6.3,2,2.2,3.4
16/06/2019 00:00:00,97.9,103.7,221.8,63.7,249.1,35.6,26.9,48.9,3.3,69.2,300.2,222,361.6,9.8,16.2,162.7,140.1,197.3,61.2,272.9,6.5,69.8,22.3,82.2,112.4,1.1,2.2,22.5,2.9,5.9,2,2.2,3.1
17/06/2019 00:00:00,146.2,158,226.8,102.8,412.7,44,27.9,41.8,5.1,92.2,382.1,219.1,507,11.8,17.7,193.1,172.2,225.8,85.2,348.9,8.8,106.2,28.4,93.9,184.1,1.1,2,26,2.3,5.2,1.8,2.1,4.4
18/06/2019 00:00:00,158.9,167.3,230.7,110.8,413.5,45.1,29.2,48.3,5.3,92.3,387.9,222.8,513.6,12.4,18.2,201.7,173,221.7,86.8,359.7,9.1,107.3,28.7,85,193.3,1.1,2.1,27.6,2.6,5.2,1.8,2.1,5.1
19/06/2019 00:00:00,169.5,171.5,233.6,114,428.3,35.8,13.1,48.1,5.5,88.9,384.3,225.1,513.9,12.4,18,202.5,171.3,219.4,87.7,364,8.8,105.8,27.5,81.5,192,1,2.2,27.1,2.6,5.2,1.9,2.3,5.2
20/06/2019 00:00:00,161.7,164.4,240.3,114.5,442,47.2,29.4,48.7,5.2,92.3,391.1,227.8,522.1,12.4,18.1,202.5,175.1,218.9,89.4,365.3,9.3,96.5,25.2,94.3,172.7,1.1,2.1,25.5,2.4,5.2,1.8,2.2,4.7
21/06/2019 00:00:00,139.4,147.7,234,105.5,398.2,45.1,28.8,43.5,4.9,93.5,388.3,223.8,505.3,12.4,17.9,199.9,172.5,205.3,82.8,355.5,8.5,104.7,26,92,184.2,1.1,2.2,24.7,2.2,5.4,1.5,2.4,3.6
22/06/2019 00:00:00,142.4,156,238.8,109.2,406.1,44.6,29.1,44.6,4.6,92.1,384.8,223.5,503.3,12.4,17.9,201,172.6,194.1,81.2,351.6,9,102.3,26,91,155.6,1.2,2.3,25,2.3,5.1,1.6,2.4,3.6
23/06/2019 00:00:00,150.2,151,239.8,99.9,414.7,41.9,26.6,46.4,4.3,92.8,372,219.1,487.5,12.4,17.7,199.1,171.1,176,77.8,328.3,8.5,101,26.2,90.7,154.9,1.1,2.2,25.8,2.5,5.3,1.7,2.2,5.2
24/06/2019 00:00:00,105.1,126.4,234.2,77.7,281.2,40,32.2,51,4.5,78.7,324.8,235.9,445.9,9.9,18.3,177.3,211.8,233.6,73.3,283,6.9,78.2,25.3,69,112.2,1.8,2.4,21.5,2.8,6.5,1.9,2.3,3.5
25/06/2019 00:00:00,106.5,129.6,240.4,75.9,283.7,41,32.8,51.3,4.3,79.8,327.1,243.1,457.6,10.1,18.6,180.6,216.6,233.8,75.7,294,6.9,79,26.2,68.4,122.3,1.9,2.1,22.9,2.4,6.5,1.6,2.1,3.5
26/06/2019 00:00:00,111.2,130.3,238.7,76.6,283.2,39.6,31.3,49.8,4.2,77.1,329.1,242.1,460.2,10.3,18.8,182.4,216.3,234.8,74.9,297.4,7,81.6,25.9,70.3,118.8,1.9,2.1,24.1,2.3,6.6,1.6,2.1,4.5
27/06/2019 00:00:00,111,129.6,238.6,75,270.6,39.3,31.6,50.6,4.2,80.8,337.6,242.8,464.3,10.4,18.5,184.3,218.9,233.2,76,302.3,7.1,79.4,25.6,71,118.3,2.1,2.3,22.8,2.7,6.5,1.9,2.5,3.4
28/06/2019 00:00:00,112.9,131.6,237.6,76,283.9,39.9,32.1,50.3,4.2,82.2,341.5,250.7,466,10.1,19,182.8,217.2,233.6,76.3,300.3,7.5,79.7,26,69.5,121.4,2.7,2.3,23.1,2.7,6.6,1.9,2.5,3.5
29/06/2019 00:00:00,114.3,130.9,245.5,71.4,284.6,39.9,30.1,50.9,4.1,83.7,339.1,255.7,464.7,10,18.7,183,213.6,228.6,74,299.5,7.3,78.7,26.4,70.4,119.1,2.8,2.1,23.2,2.7,6.7,2,2.3,3.4
30/06/2019 00:00:00,99.3,116.7,231,60.3,282.3,33.5,26.6,49.9,4.1,80,312.7,254.5,424.1,8.7,14.9,178.7,208,214.7,65.3,270.3,6.3,82.8,26.6,70.1,107.5,2.1,2.3,22.2,2.8,6.5,1.9,2.3,3.3
01/07/2019 00:00:00,163.9,157.5,180.9,103.8,379.4,33.9,24.2,34.8,4.8,94.5,300.2,172.3,424.5,11.7,18.9,164.3,217.8,158.5,65.6,282,7.5,104.7,22.1,89.8,151.8,0.9,2.3,34.2,2.4,5.2,1.6,2.4,4.9
02/07/2019 00:00:00,192.4,176.4,196.9,110.9,388,40.3,25.7,41,5.1,94,307.4,172.8,433.7,11.8,18.9,161.9,217.9,160.1,67.4,281.3,7.4,110.7,24.2,96.4,166.7,1,2.2,36,2.6,5.7,1.7,2.4,5
03/07/2019 00:00:00,209.5,187.7,215.6,117.8,379.5,41.4,26.7,41.2,5.5,94.2,312.7,174,431.6,11.9,18.4,159.9,217.8,169,67.2,283.3,7.7,111.8,26.2,107,180,1,2.4,38,2.5,5.4,1.6,2.5,5.3
04/07/2019 00:00:00,221.9,189.8,222,115.7,372.6,40.7,27.5,41.8,5.7,96.9,313.2,173.9,426.7,11.9,19,160.9,204.2,168.4,65.7,279.8,7.4,114.5,25.8,99.8,184.4,0.8,2.6,37.2,2.9,5.4,1.8,2.6,5.3
05/07/2019 00:00:00,239.1,200.7,231.7,117,400.1,42.9,29.7,41.6,5.6,97.5,313.4,181,426.8,11.9,18.9,164.7,193.4,168,63.9,284.2,7.5,110.8,24.8,95.2,168.6,0.7,2.6,33.2,2.1,5.5,1.8,2.7,5.1
06/07/2019 00:00:00,245.6,195.7,237.9,110.1,368.5,40.8,28.7,42.5,5.1,95,287.5,174.5,424,11.3,18.7,165.4,210.6,160,64.6,284.2,7.9,100.7,24.7,94,161.6,0.8,2.4,34.8,2.5,5.5,1.9,2.5,4.4
07/07/2019 00:00:00,239.4,175.1,229.1,102.1,341.6,37.1,25.6,39.5,4.3,90.8,290.3,165.6,414.1,10.2,18.4,166.8,212.1,155.9,58.4,261.3,7.4,103.1,23,87.8,151.5,0.6,2.1,35.1,2.4,5.4,1.8,2.4,4.6
08/07/2019 00:00:00,77.9,86.6,171.8,57.8,280.3,21.6,12.1,46.6,2.5,76.5,261.3,179.6,380.5,7.8,2.7,168.7,143.8,196.4,69.6,253.7,5.4,80.8,24.4,69.7,118.8,1,1.4,15.8,2.5,4,1.4,2,3.3
08/07/2019 00:00:00,75.3,86.1,154.1,59.9,268.3,22.1,13.9,45.5,2.6,77.9,265.8,182.2,388.6,8.2,2.9,170.6,145.1,207.4,71.7,255.6,5.7,70.2,22.6,78.2,118.4,1.3,1.4,15.5,2.3,3.7,1.5,2.1,3.4
09/07/2019 00:00:00,68.5,84.4,163,56.8,260.2,22.6,13.9,40.4,2.4,70.6,268,185.8,399.1,8.2,3,169.3,142.9,207.2,71.3,255,5.6,64,18.8,64.7,82.4,1.3,1.1,14.8,2.1,3.8,1.4,1.4,3.5
09/07/2019 00:00:00,81.2,89.7,171,58.6,283,23.1,14.4,45.9,2.6,75.1,275.8,189.3,405.7,8.6,3.2,170.1,142.4,207.9,70.7,260.5,5.8,72.8,20.6,63.6,95.1,1.4,1.4,14.3,2.3,4,1.4,2,3.3
10/07/2019 00:00:00,83.7,92.4,167.2,59.9,284.4,23.3,14.2,43.9,2.7,75.2,278.9,186.2,410.2,8.9,3.3,170.5,144.9,205.5,70.6,261.7,5.7,75.3,19,67.3,99.8,1.5,1.3,16.8,2.1,4.1,1.4,1.8,2.9
10/07/2019 00:00:00,91,94.2,170.6,59.5,293.6,22.8,14.1,44.6,2.8,74.5,280.6,187.9,412.7,9.2,3.4,169.4,146,193.5,69.9,260.8,5.8,71.8,21.1,56.5,93.3,1.5,1.4,16.5,2.2,4.1,1.4,1.8,2.9
11/07/2019 00:00:00,91.6,96.6,168,62.2,296.3,23.9,14.6,42.4,2.8,72.5,275.4,183.3,404.4,9.5,3.8,159.1,140.9,198.2,70.3,259,5.6,73.6,22.3,55,97.8,1.4,1.3,17,2.1,4.3,1.4,1.8,2.9
11/07/2019 00:00:00,100.8,111.4,208.2,61.5,264.6,33.2,27.3,42.5,3.3,70.8,316.8,232,421.9,12,18.1,175.1,191.5,180.4,72.1,282.8,7.2,68.6,23.8,66.7,110.8,1.3,2.1,22.6,2.5,5.9,1.7,2.3,3.5
12/07/2019 00:00:00,100,115,211.8,62.6,268.3,34.1,27.4,43.5,3.4,70.7,318.5,235.2,429.8,12,18,173.8,190.6,183.5,72.6,291.4,7.4,67.8,23.9,73.6,111.2,1.5,2.1,23.6,2.6,5.9,1.8,2.1,3.5
12/07/2019 00:00:00,105.3,114.6,214.7,63.6,266.3,34.1,27.7,43.9,3.5,71.1,318.6,238.4,431.3,13.4,18.3,167.6,194.8,186.2,71.5,290.2,7.4,67.5,24.1,74.9,114.1,1.4,2.1,23.2,2.5,6,1.9,2.1,3.5
13/07/2019 00:00:00,104.4,116.7,215.5,63.4,266.6,34.6,27.9,44.4,3.4,71.6,326.4,240.6,433.4,13,18.4,168.6,197.2,186.2,71.6,279.1,7.2,68.2,24.3,74.8,112.6,1.8,2.1,23.3,2.5,6,2.2,2.3,4
14/07/2019 00:00:00,106.3,116.3,218.7,64,265.9,34.5,27.3,44.5,3.4,72.3,334.4,244,429.8,13,18.3,169.6,190.4,186.4,71.9,273.6,7.2,68.7,24.2,74.1,114.2,1.9,2,23.7,2.4,6,1.7,2.1,3.6
15/07/2019 00:00:00,102.7,114.6,220.6,60.4,260,34.7,28.2,43,3.3,71.2,331.3,245,431,13,18.3,169.3,177.5,188,72,267.5,6.9,67.6,24.6,73.8,113.9,1.9,2.1,23.3,2.5,6.2,1.8,2.1,3.6
16/07/2019 00:00:00,98.9,105.6,215,58,255.2,31.5,25.7,43.7,2.9,70.8,321.7,246,417.1,11.8,18,167.3,174,176.5,65.8,244.6,6.3,67.8,24.1,72.1,102.9,1.2,2.2,21.7,2.6,6.1,1.8,2.1,3.3
