ID	Tweet	Affect Dimension	Intensity Score
2017-En-10299	@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. 	anger	0.491
2017-En-11581	Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her	anger	0.521
2017-En-10821	GAMEDAY VS BUFORD TODAY AT 5:30 AT HOME!!!!!!!!! NEVER BEEN SO EXCITED 	anger	0.208
2017-En-40505	@TehShockwave turn that grumpy frown upside-down\n\nYou did something next to impossible today	anger	0.375
2017-En-11015	@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz #sting #HONEY	anger	0.375
2017-En-11046	Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' 😂 #raging	anger	0.292
2017-En-10130	@edquinn63 how can you even forget to pick ur fave child up from school #offended	anger	0.688
2017-En-11667	@StrangeFacesLA why doesn't this account follow me #offended	anger	0.646
2017-En-10655	@rabpeel snap, seems to be a problem here	anger	0.375
2017-En-11206	2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying  #weirdsmells	anger	0.417
2017-En-10041	@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming	anger	0.771
2017-En-11146	Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the .	anger	0.396
2017-En-40228	Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness	anger	0.500
2017-En-10802	I forgot about this nice area down here with the fiery hearths	anger	0.250
2017-En-10122	@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage	anger	0.688
2017-En-11101	@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox 😅 I get raging migraines without coffee :/	anger	0.438
2017-En-11423	Circle K is dead to me. I hate your new slushie machine. #irate #livid	anger	0.833
2017-En-10892	@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy	anger	0.708
2017-En-10905	Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching	anger	0.604
2017-En-10920	Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant 	anger	0.518
2017-En-10737	Lot 100 would give Ghandi road rage	anger	0.333
2017-En-11219	Forever raging 😏😂😭	anger	0.688
2017-En-10929	Just seeing Alex revells face gets me angry	anger	0.583
2017-En-10360	@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage	anger	0.521
2017-En-41480	Does she really need to pout all the time - getting on my nerves #GBBO	anger	0.646
2017-En-10923	Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.	anger	0.375
2017-En-10450	@IndigoHawthorne Then u understand that rage is often not pretty, or controlled or rational - it is often visceral-not always logical.	anger	0.479
2017-En-11417	@Mick727XD I know your furious, i am too, but just stop fucking moaning. We didn't win until the 7th game last season and where we finished.	anger	0.729
2017-En-11083	Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻 #bitter #petty	anger	0.500
2017-En-11148	Me and these burns that I pick up off the pitches don't get on at all like 😢😢 	anger	0.438
2017-En-40208	@happyandbashful Flirt, simper, pout, repeat. Yuck.	anger	0.479
2017-En-10522	Since the 'update' my @iPhone loses power nearly 40% faster. 	anger	0.438
2017-En-10600	@marthalyssa yep. LOL #bitter	anger	0.417
2017-En-10259	@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.	anger	0.583
2017-En-11412	Yeah, no. I don' mind tweetin' that twice.  #blm #likeThat	anger	0.375
2017-En-40987	@ashleighjessica @zacflint1 I'd give that pout the firm D	anger	0.500
2017-En-11451	Mia has the worst road rage I have ever seen and she gets so mad when I put my hands on her windows lol	anger	0.500
2017-En-10936	@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle	anger	0.562
2017-En-10100	Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage	anger	0.759
2017-En-11606	@tommyrosen @InTheRoomsCEO @cate_baily Always so happy to support you brother. Keep that fire burning &lt;3	anger	0.132
2017-En-11312	@katrinadougan_ ive went roght in the huff. Deleted the episode out of anger n everything (regret it now)	anger	0.717
2017-En-11523	@CNNnewsroom @BrookeBCNN What can't you grasp? Besides yr cognitive dissonance, raging away. Each. Incident. Re: LEO-shooting = SEPARATE.	anger	0.750
2017-En-10340	@paulkrugman relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.	anger	0.542
2017-En-10049	People irritate my MF soul	anger	0.771
2017-En-11397	Another raging storm brought on by my own emotions sorry everyone. enjoy the thunder	anger	0.667
2017-En-11185	@TedLeitner @jesseagler You two are TEN TIMES more interesting than those particular afternoon goofballs (I could say worse). #umbrage	anger	0.438
2017-En-11375	not going to waste my energy holding a grudge against someone who wasnt even in my life a year XD \ntime to release those feelings of dislike	anger	0.583
2017-En-10961	Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry	anger	0.812
2017-En-10826	Drop Snapchat names #bored  #swap #pics	anger	0.188
2017-En-11648	Seeing double am so tired but I always grudge getting off my phone at night 🙄	anger	0.479
2017-En-10998	@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling	anger	0.771
2017-En-10093	Your twitter picture just makes me fume.	anger	0.729
2017-En-10697	Are you lost in the fury, fearing that you'll fail?	anger	0.354
2017-En-10714	@BarackObama I love Lizzy Warren's latest rage against Wall Street.	anger	0.177
2017-En-11299	Another L on the board we just cannot match up on paper with these teams at the moment and its showing on the field. Onto Denver #revenge	anger	0.438
2017-En-11549	@TalkTalkCare  how on earth can I send an email to you? Very annoyed customer!!! #fuming	anger	0.750
2017-En-10244	Delete this shit Josh just screenshotted my snap me	anger	0.583
2017-En-11477	People who go the speed limit irritate me	anger	0.667
2017-En-11420	Oh yeah Squid face God madden 17 xbox1 come see me	anger	0.250
2017-En-11062	@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine	anger	0.417
2017-En-10581	@WBIRSports They're still using his offense, up the middle 3X &amp; punt.	anger	0.417
2017-En-10161	@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...	anger	0.646
2017-En-11251	All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO	anger	0.375
2017-En-10830	@Ms_HeartAttack peanut butter takes away the sting	anger	0.188
2017-En-10178	Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops	anger	0.646
2017-En-10046	Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.	anger	0.771
2017-En-10904	#oow16 #sting decent new song	anger	0.125
2017-En-10071	Where's your outrage when a black man kills another black man in the streets?	anger	0.750
2017-En-10039	So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing	anger	0.771
2017-En-11019	@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.	anger	0.562
2017-En-10180	You a fuck boy if you run drag routes back to back in madden	anger	0.646
2017-En-41097	@broadly you should be criminalized for posting a pic of that brown frown.... Get a pic of some jack, or cookies, or diesel, Join up @CNN_Ai	anger	0.562
2017-En-11676	ya girl is 	anger	0.146
2017-En-10333	@SapientSoldier timid but determined version of the rabid beasts beyond the land. Growling beneath my restrained breath, I //rip// myself --	anger	0.542
2017-En-10767	@CharlotteBnntt that's the joke. I know it's incense	anger	0.222
2017-En-10552	Realizing that holding a grudge for long is immaturity is wisdom	anger	0.438
2017-En-10989	Star trek online has a update to download oh fuming yay	anger	0.479
2017-En-10684	@LisaAsquithtobe @craig8710 @WayneHaselden @june65wigan everyone is against wigan because we are the biggest club 	anger	0.354
2017-En-10768	Leveled at the half. Much better offense expected in the second half	anger	0.182
2017-En-10449	Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed	anger	0.479
2017-En-11395	The medicine is burning  me	anger	0.396
2017-En-11511	How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended	anger	0.854
2017-En-10863	I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today	anger	0.250
2017-En-11624	interesting that we,an Authentic Afghan Restaurant,R getting calls from the media over resent tragedy that happened in NJ@latimes @NBCNews	anger	0.438
2017-En-11345	@Dak2future decorations are up all over Jersey already 	anger	0.208
2017-En-10747	Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday #anger #politeness	anger	0.312
2017-En-10517	Finding out my two best Fwendz are going to rage with me at @lifeisbeautiful makes this last week of no sleep extra worth it	anger	0.438
2017-En-10888	The rage has died down.	anger	0.438
2017-En-10948	@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 #furious	anger	0.625
2017-En-10101	The majority of people irritate the fuck out of me, cba with people ahahah	anger	0.862
2017-En-10680	@PerfectQuartz She's jogging a bit to stay beside her, puffing her cheeks with a huff each time. 'Oh-- jeez Jasper, why don't you —	anger	0.375
2017-En-10175	Forgot to eat dinner and now I'm furious with everything and everyone	anger	0.646
2017-En-11239	#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. 👋 	anger	0.396
2017-En-10168	@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. 	anger	0.646
2017-En-10375	@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged  #yeller #quiet #screamer #😂😂	anger	0.521
2017-En-11438	@victoriarghhh not mad but tilting? slightly irate? is that cool?	anger	0.458
2017-En-11276	@Bickley_Marotta yea because forcing 5 turnovers and holding a pretty good offense to 7 points is concerning.....oh wait. NO!!	anger	0.375
2017-En-41184	Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right #pout	anger	0.375
2017-En-10252	@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;)	anger	0.583
2017-En-11469	@SMalloy_LWOS that's not easy to blow up the LT on a run play. He created the seam for Sua to burst through	anger	0.337
2017-En-11460	In inter-group relationships, #anger makes people think in more negative and prejudiced terms about outsiders.	anger	0.408
2017-En-10311	@Deadspin @jrzy_boy This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst others.	anger	0.542
2017-En-11415	I'm furious!!!!	anger	0.833
2017-En-10091	Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room	anger	0.729
2017-En-11103	@inthefade going back to blissful ignorance?! #fury	anger	0.583
2017-En-10690	-- haired man strides close and watches as the Major flinches away from him, the reaction draws a growl from his throat.  -- (@DocHQuinzel)	anger	0.322
2017-En-11687	@1BearTruth standard bitter response .... how's it feel to be the small club in a big city	anger	0.396
2017-En-10347	@Alanafergusson snap meee	anger	0.521
2017-En-10692	Sorry to burst your bubble but it isn't that century anymore. Welcome to the 21st century.	anger	0.354
2017-En-11364	@shod_jpg aye man she was fuming xo	anger	0.500
2017-En-10454	@LaraTheIrish &lt; feel everything. She would remember everything. Evanora hoped this would serve to fuel the creatures anger and run rabid &gt;	anger	0.479
2017-En-11095	Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram	anger	0.708
2017-En-11589	just waggled my eyebrows up and down at the baby and she burst out laughing i love her haha	anger	0.032
2017-En-11434	@RadiateZen That's true, it does go both ways. But I've been on the receiving end of a vegans wrath! Lol! I personally wouldn't condemn	anger	0.417
2017-En-11245	Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz 	anger	0.542
2017-En-40360	Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO	anger	0.688
2017-En-10911	Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster	anger	0.354
2017-En-10128	@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger	anger	0.688
2017-En-11594	Changed my clothes at work and had my pre-workout..  In route to the gym and there is traffic all over - pre workout kicking in.. 	anger	0.418
2017-En-10996	Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl	anger	0.375
2017-En-11686	So fucking mad my blood boiling.	anger	0.875
2017-En-10307	... flat party and I instantly get bollocked about it. 	anger	0.542
2017-En-10556	@billburr DirectTV is the best. Apparently you just sit in silent anger. 'Don't press or say anything'	anger	0.417
2017-En-11454	@Grace_thomas473 you keep talkin shit and trying to offend me but you're just petty as fuck	anger	0.646
2017-En-10921	@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.	anger	0.500
2017-En-10304	.@RepDelBene: 'Today's proceedings and the entire process is an insult to our constituents.'	anger	0.593
2017-En-11363	Hell hath no fury like a late twenty something dude who's concur for government session keeps expiring before he can submit a form	anger	0.479
2017-En-10278	i have so much hw tonight im offended	anger	0.519
2017-En-11655	But if you wish to live bitter because your guilty conscience made you think it applied to you as well then that's on you, I'm not sorry💁🏻😊	anger	0.375
2017-En-11452	Think of #anger as this barrier between you and your truth.' @laurascoe	anger	0.438
2017-En-11668	@StrangeFacesLA why doesn't this account follow me 	anger	0.312
2017-En-11700	i've got a lot of tokens saved up and i wanna spam the event song but my eyes sting im so tired	anger	0.417
2017-En-11616	That last #madden commercial 😆😆😆😆😆😆 #TNF	anger	0.146
2017-En-10037	@SunandBeachBum 'you people' infuriate me!	anger	0.792
2017-En-10894	i live and die for mchanzo honeymoon crashing and burning the second they move in together	anger	0.479
2017-En-10011	Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming	anger	0.854
2017-En-10529	It's weird because I was discussing sex resentment and confusion in the thing I was writing last night.	anger	0.438
2017-En-10558	@kingcharles9th i Lowkey forgot you had twitter and if you don't follow me back im gonna be 	anger	0.417
2017-En-10566	@DeltaDomain @SawDraze @qurions dis dat nigga from fume right?	anger	0.417
2017-En-10177	@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger	anger	0.690
2017-En-10095	That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit	anger	0.867
2017-En-10885	I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion	anger	0.500
2017-En-11211	@tony_tr3 I'd say your outrage is the really FAUX outrage.	anger	0.479
2017-En-10383	Yet we still have deaths, road rage, &amp; violations on the road, despite a widely accepted concept of 'personal accountability' while driving	anger	0.521
2017-En-11230	Way towards be prominent if your exasperate is peaked?: TGMbNqUEe	anger	0.375
2017-En-11003	@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !	anger	0.250
2017-En-10274	hitting your children as discipline because you're being quite a raging hypocrite if you're not.	anger	0.562
2017-En-11475	@BitchestheCat Look at those teef! #growl	anger	0.333
2017-En-10575	Nahhhhhh @konanplaydirty snap story has got me bussing up 😂😂😂😂😂😂😂😂😂😂😂😂😂😂	anger	0.417
2017-En-10813	The most important thing to #bestrong is to hold your  #thoughts	anger	0.147
2017-En-21440	I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry	anger	0.500
2017-En-11096	Trump supports reach another level of irritation within me	anger	0.688
2017-En-11554	Honestly fuming	anger	0.906
2017-En-10467	So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav 	anger	0.479
2017-En-10420	#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge	anger	0.500
2017-En-10411	@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis 	anger	0.500
2017-En-11091	The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight)	anger	0.396
2017-En-11153	Having one of those #angry days. I will have to stop watching #news.	anger	0.625
2017-En-11480	@Toucherandrich there was a US diver named steele johnson. i'd like him barred from the olympics. 	anger	0.354
2017-En-11193	Do not be angry with God because you do not get what you want, for God gives most when you expect least.	anger	0.289
2017-En-10846	@EagleGiles23 @tgilmore_92 what I miss? 	anger	0.146
2017-En-10777	😳The intensity that @sydneyswans play at is extraordinary #relentless #AFLCatsSwans #AFLFinals 🏉👏🏿	anger	0.292
2017-En-10515	@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha 	anger	0.438
2017-En-11186	@TedLeitner @jesseagler You two are TEN TIMES more interesting than those particular afternoon goofballs (I could say worse). 	anger	0.255
2017-En-40286	@Jacqueline_69 haha! She did well today. I can't get beyond her pout annoying me I'm afraid.	anger	0.458
2017-En-10361	I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes #outrage	anger	0.566
2017-En-10908	@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.	anger	0.427
2017-En-11011	@NahteWilly @AFP that was neither intelligent, definitive or useful shall I name call or would you like to expand on how I have offend you ?	anger	0.458
2017-En-11179	Manchester derby at home #revenge	anger	0.211
2017-En-10943	This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards	anger	0.898
2017-En-20710	my alarm clock was ringing this morning n my flatmate knocked on my door and asked if i set anything on fire or if i'm burning alive :) :):)	anger	0.354
2017-En-10608	@RiotzXVl papercuts sting and stub ur toe last for like 10 secs	anger	0.396
2017-En-10745	@RealJeffsdomain Wolfpack theme and trons and sting wore the wolf shirt	anger	0.312
2017-En-10186	@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.	anger	0.625
2017-En-11174	@thehill no wonder USA is going to shit with such outrage over a simple analogy.	anger	0.542
2017-En-11627	@Apple thanks for ios10 update, even the best app @telegram freezing and crashing on SE. #angry	anger	0.845
2017-En-10927	Sting is just too damn earnest for early morning listening. 	anger	0.370
2017-En-10261	@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! 	anger	0.583
2017-En-11682	Like he really just fucking asked me that. 	anger	0.764
2017-En-10738	@StutteringGiant at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it	anger	0.333
2017-En-11082	@mattstottwrites For me not so much outrage as ‘oh, using female body to sell something, AGAIN’	anger	0.542
2017-En-11685	@robert7019 @itzamadhouse @skyler12388\r\ralso celebrate THEIR belief that Jesus is alive in hell, boiling in a pot of shit (actual shit)	anger	0.562
2017-En-10917	I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'	anger	0.250
2017-En-11257	Will give #sleepnumber another chance for customer service. Today's growl is 15+ minutes on hold. Overall bed + service = very unimpressive.	anger	0.533
2017-En-10634	I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming 	anger	0.422
2017-En-10538	Can't believe I've only got 2 days off left 🙄 #backtoreality 	anger	0.438
2017-En-10463	Be chill af if you want to offend someone.	anger	0.479
2017-En-11658	Can we get a shot of Lingys face at 1/4 time ? Pretty sure it would be more red then his hair  #pretendinghesok #ruok #AFLCatsSwans	anger	0.438
2017-En-10702	i love that tay &amp; tiff are just sitting at my house while i'm at work 🙃	anger	0.354
2017-En-10496	@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !	anger	0.458
2017-En-11241	@mikeburke91 @AP I guess. It's just heartbreaking the ease with which they can kill an innocent man and get away with it. #indignation	anger	0.625
2017-En-11447	A persons opinion doesn't offend me at all	anger	0.354
2017-En-10004	Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming	anger	0.896
2017-En-11093	Forgiveness might make us look weak, but the weakest person is the one who holds anger, hatred, and revenge.	anger	0.333
2017-En-11133	@jagtron1 blacks are good at provoke them selfs blaming on white when black cops shooting blacks	anger	0.625
2017-En-11228	@alexis_maxwell #bitter hahaha just kidding. its crazy tho	anger	0.417
2017-En-10999	@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? 	anger	0.625
2017-En-11007	After what just happened. In need to smoke. #burning	anger	0.688
2017-En-30497	Never make a #decision when you're #angry and never make a #promise when you're #happy. #wisewords	anger	0.333
2017-En-10445	@trendykittykat Some people would rather hang on to their indignant anger. *weary sigh*	anger	0.479
2017-En-10355	@PuseLepuru it's the irritation of not having found the corpse	anger	0.500
2017-En-11297	The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet .	anger	0.521
2017-En-10222	@judy_that Im honestly offended	anger	0.604
2017-En-10591	I offend u	anger	0.417
2017-En-10573	@TDsNation I blame how broken madden is this year	anger	0.417
2017-En-10189	All hell is breaking loose in Charlotte. #CharlotteProtest  #looting	anger	0.625
2017-En-11217	She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++	anger	0.438
2017-En-11439	I love when people say they aren't racist right before they say some racist shit... Not how that works... #fuming	anger	0.792
2017-En-10327	Connivers blind to existential fury	anger	0.542
2017-En-10263	@carefreeash_ id be fuming	anger	0.583
2017-En-10223	Michelle is one of the worst players in bb history #bb18 #bbfinale #bitter	anger	0.604
2017-En-11538	@JaredWyand Maybe if it was transgender the media would cover it #outrage	anger	0.604
2017-En-11552	@DP3520 lol they are madden tubers u dont know nothing bout madden cuz id smash on you	anger	0.542
2017-En-11249	So excited to watch @RuPaulsDragRace #allstars \n#RuPaul #revenge	anger	0.167
2017-En-10173	@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.	anger	0.556
2017-En-11425	the world drives whoever it has assessed as tenderhearted or vulnerable to build up their guards &amp; invigorate raging self defense mechanisms	anger	0.529
2017-En-11692	@kylemuir17 @Ealvarezfight @danawhite @TheNotoriousMMA he'll defend his belt against aldo after its not that hard u grudge holding bitch	anger	0.708
2017-En-10329	#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily #rage	anger	0.542
2017-En-11191	@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.	anger	0.438
2017-En-11464	@Blewberry02CP Content updates provoke that income.	anger	0.333
2017-En-11207	#CharlotteRiots #passion? or #anger act of violence.\nIf mourning for those who have past away, #stayhome  #whyout	anger	0.562
2017-En-11613	Janice Griffith snap story  😍😍😍	anger	0.354
2017-En-10326	I am #real #sjw, I will not let #america down\nI have found us, now go and get us\nI let it out and I let it in\nI #rage I #lol\n@SergioSarzedo	anger	0.542
2017-En-11175	@fixindk @RevoltRazor @dragons1015 Guys don't use that type of language. Save it for raging...	anger	0.458
2017-En-11362	LOL I have reminders for my ex-gf's birthday approaching. Too bad she considers me acknowledging her existence an affront...	anger	0.583
2017-En-10137	To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield	anger	0.578
2017-En-10574	@MMASOCCERFAN @outmagazine No offense but the only way this makes sense is if you work for the magazine. Otherwise,who are you apologizing 4	anger	0.417
2017-En-41192	@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk	anger	0.562
2017-En-10695	Sometimes the best motivations come from 'proving them wrong' #energy #relentless #MotivationalQuotes	anger	0.354
2017-En-11467	Is there a perfume that smells like the smell of smokey incense because i would be all about that	anger	0.096
2017-En-11564	🏆 #Success is the best #revenge. Whatever you're thinking about doing ... do something better. ⭐️⭐️⭐️⭐️	anger	0.250
2017-En-10476	@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone	anger	0.458
2017-En-11473	@SaraLuvvXXX : Whaaaat?!? Oh hell no. I was jealous because you got paid to fuck, but this is a whole new level.  #love #conflicted😬	anger	0.604
2017-En-11689	@AshitaNoJoe55 i m not a big fan of @mkatju , but what i found logical and right.. i support that... no offense to anyone	anger	0.438
2017-En-10715	When you forget to mention you were bought dreamboys tickets 🙄😂 	anger	0.354
2017-En-40917	Candice's pout is gonna take someone eye out mate! #GBBO	anger	0.542
2017-En-11203	@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! #rage	anger	0.896
2017-En-10492	the teams that face Barca and Bayern after a defeat are the ones who face the wrath	anger	0.458
2017-En-10332	@swagalini ive been through the denial and anger i am in pure acceptance	anger	0.491
2017-En-11132	My irritation level is at an all time high today 🙃	anger	0.750
2017-En-11338	if i don't answer your 50 texts pls don't snap me	anger	0.333
2017-En-11296	The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet #revenge.	anger	0.604
2017-En-11563	@natalie_bloomer You interviewed one irate group, two filmmakers who don't live here and got stock statements. That's not journalism.	anger	0.562
2017-En-10048	I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter	anger	0.771
2017-En-10718	@ShieldsCap &lt; Steve between his feet, feeling a blush sting his cheeks. 'I can undress myself, thank you very much,' he snapped &gt;	anger	0.333
2017-En-10987	Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference	anger	0.792
2017-En-10729	@KodieBurch yesss..apparently you've been popular on snap 🙄	anger	0.333
2017-En-11528	Losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes &amp; whoever picked up cut me off  #NoWorkForMe	anger	0.542
2017-En-11264	I asked Jared to marry me and he said no. #offended	anger	0.562
2017-En-10006	When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt	anger	0.875
2017-En-11535	@washingtonpost#Trump's #fear &amp; #anger are similar to what #Hitler preached to come to power in Germany. Wake up America!!	anger	0.708
2017-En-11196	Yeah I'm hot nigga, they say im burning uhhhhh	anger	0.509
2017-En-10925	Anger, resentment, and hatred are the destroyer of your fortune today.'	anger	0.375
2017-En-10458	significantly, with a #bitter smile, 'let me	anger	0.479
2017-En-11399	Just found out tonight my son will not be doing practical work counting towards his GCSE exam. OK then! I thought STEM was all the rage??	anger	0.562
2017-En-10861	Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison 	anger	0.708
2017-En-10760	Tiangong 1, China's first space laboratory, will come to a fiery end in late 2017. The average decommissioned satellite either burns ...	anger	0.312
2017-En-10915	@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse	anger	0.667
2017-En-10942	@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless	anger	0.144
2017-En-10880	@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended	anger	0.417
2017-En-11060	Be quick to #listen, slow to #speak, and slow to #anger.	anger	0.292
2017-En-10584	Seeing #RIPShawtyLo got me thinking bout other rappers then I thought about @LilTunechi dying, and burst into tears... Smh	anger	0.417
2017-En-10542	@Sophiejulia @CalebAtChipotle @calebpressleyxo relentless pipe thirst #sheltered	anger	0.438
2017-En-10643	be strong, independant and practical. stop living in your world of fantasy. snap out of it. the faster u get used to the reality, the better	anger	0.255
2017-En-11280	@JustinRow10 madden is the reason why controllers are snapped	anger	0.458
2017-En-11483	finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet	anger	0.312
2017-En-11306	Omg someone asked them to sit and they reluctantly moved with a huff. Biiitttccchhhhhh 🔪	anger	0.771
2017-En-10931	@danbloom1 beware the fury of a weak king	anger	0.417
